index,true_label,predicted_label
0,11,large_natural_outdoor_scenes
1,15,large_natural_outdoor_scenes
2,4,fruit_and_vegetables
3,14,people
4,1,fish
5,5,household_electrical_devices
6,18,large_natural_outdoor_scenes
7,3,food_containers
8,10,large_natural_outdoor_scenes
9,11,large_natural_outdoor_scenes
10,5,household_electrical_devices
11,17,large_natural_outdoor_scenes
12,2,flowers
13,9,large_natural_outdoor_scenes
14,10,large_natural_outdoor_scenes
15,5,household_electrical_devices
16,18,large_natural_outdoor_scenes
17,8,large_natural_outdoor_scenes
18,16,large_natural_outdoor_scenes
19,10,large_natural_outdoor_scenes
20,16,small_mammals
21,17,large_natural_outdoor_scenes
22,2,flowers
23,5,household_electrical_devices
24,17,large_natural_outdoor_scenes
25,6,household_furniture
26,12,people
27,17,large_natural_outdoor_scenes
28,8,large_natural_outdoor_scenes
29,12,large_natural_outdoor_scenes
30,18,household_electrical_devices
31,9,large_natural_outdoor_scenes
32,17,large_natural_outdoor_scenes
33,16,large_natural_outdoor_scenes
34,11,large_natural_outdoor_scenes
35,5,large_man-made_outdoor_things
36,19,large_natural_outdoor_scenes
37,14,people
38,7,insects
39,6,household_furniture
40,15,household_furniture
41,13,fish
42,10,large_natural_outdoor_scenes
43,8,large_natural_outdoor_scenes
44,17,large_natural_outdoor_scenes
45,9,large_natural_outdoor_scenes
46,14,people
47,18,large_natural_outdoor_scenes
48,19,large_natural_outdoor_scenes
49,15,flowers
50,1,fish
51,7,flowers
52,5,household_electrical_devices
53,3,food_containers
54,10,large_natural_outdoor_scenes
55,7,insects
56,17,large_natural_outdoor_scenes
57,6,household_furniture
58,14,people
59,17,large_natural_outdoor_scenes
60,16,small_mammals
61,0,large_natural_outdoor_scenes
62,0,large_natural_outdoor_scenes
63,8,large_natural_outdoor_scenes
0,4,large_natural_outdoor_scenes
1,14,people
2,4,fruit_and_vegetables
3,10,large_natural_outdoor_scenes
4,15,large_natural_outdoor_scenes
5,4,fruit_and_vegetables
6,2,flowers
7,16,small_mammals
8,11,large_natural_outdoor_scenes
9,19,large_natural_outdoor_scenes
10,16,small_mammals
11,7,flowers
12,19,large_natural_outdoor_scenes
13,14,people
14,10,large_natural_outdoor_scenes
15,8,large_natural_outdoor_scenes
