img_idx,true_label,shuffle_label,flag
0,11,14,cl
1,15,13,cl
2,4,14,cl
3,14,17,cl
4,1,5,cl
5,5,14,cl
6,18,15,cl
7,3,16,cl
8,10,7,cl
9,11,18,cl
10,5,6,cl
11,17,14,cl
12,2,10,cl
13,9,6,cl
14,10,5,cl
15,5,9,cl
16,18,7,cl
17,8,14,cl
18,16,14,cl
19,10,7,cl
20,16,13,cl
21,17,18,cl
22,2,18,cl
23,5,2,cl
24,17,10,ol
25,6,2,cl
26,12,7,cl
27,17,1,cl
28,8,8,cl
29,12,0,cl
30,18,4,cl
31,9,14,cl
32,17,11,cl
33,16,9,cl
34,11,10,cl
35,5,0,cl
36,19,11,cl
37,14,19,cl
38,7,6,cl
39,6,4,cl
40,15,0,cl
41,13,14,cl
42,10,12,cl
43,8,14,cl
44,17,14,cl
45,9,2,cl
46,14,7,cl
47,18,5,cl
48,19,5,cl
49,15,19,cl
50,1,14,cl
51,7,5,cl
52,5,12,cl
53,3,5,cl
54,10,2,cl
55,7,16,cl
56,17,14,cl
57,6,0,cl
58,14,19,cl
59,17,19,cl
60,16,15,cl
61,0,5,cl
62,0,5,cl
63,8,5,cl
64,4,15,cl
65,14,14,ol
66,4,3,cl
67,10,6,cl
68,15,1,cl
69,4,1,cl
70,2,1,cl
71,16,0,cl
72,11,0,cl
73,19,6,cl
74,16,12,cl
75,7,12,cl
76,19,10,cl
77,14,3,cl
78,10,16,cl
79,8,17,cl
80,5,2,cl
81,12,7,cl
82,12,17,cl
83,11,14,ol
84,10,8,cl
85,8,17,cl
86,12,2,cl
87,13,0,cl
88,10,13,cl
89,7,7,cl
90,14,15,cl
91,11,2,cl
92,14,0,cl
93,19,1,cl
94,0,2,cl
95,4,18,cl
96,12,8,cl
97,13,12,cl
98,1,16,cl
99,15,6,cl
100,0,6,cl
101,5,18,cl
102,0,13,cl
103,8,4,cl
104,3,13,cl
105,15,16,cl
106,4,0,cl
107,19,16,cl
108,17,0,cl
109,6,17,cl
110,17,14,cl
111,12,16,cl
112,6,15,cl
113,0,9,cl
114,14,16,cl
115,10,0,cl
116,9,3,cl
117,11,7,cl
118,6,1,cl
119,10,13,cl
120,12,1,cl
121,1,9,cl
122,14,12,cl
123,4,15,cl
124,8,17,cl
125,1,16,cl
126,2,14,cl
127,12,12,cl
128,4,18,cl
129,12,9,cl
130,18,13,cl
131,17,9,cl
132,5,18,cl
133,0,1,cl
134,6,18,cl
135,0,1,cl
136,12,1,cl
137,11,2,cl
138,9,10,cl
139,5,4,cl
140,17,0,cl
141,2,19,cl
142,14,13,cl
143,12,11,cl
144,5,16,cl
145,0,13,cl
146,13,17,cl
147,12,14,cl
148,16,8,cl
149,4,3,cl
150,13,19,cl
151,0,13,cl
152,18,16,cl
153,15,9,cl
154,10,12,cl
155,15,10,cl
156,5,13,cl
157,13,3,cl
158,1,14,cl
159,14,12,cl
160,12,17,cl
