index,true_label,predicted_label
0,0,tabby
1,0,tabby
2,0,Persian cat
3,0,Persian cat
4,0,tabby
5,0,Persian cat
6,0,Persian cat
7,0,Persian cat
8,0,Persian cat
9,0,tabby
10,0,Persian cat
11,0,pizza
12,0,Cat
13,0,German shepherd
14,0,Persian cat
15,0,Persian cat
16,0,Persian cat
17,0,Persian cat
18,0,German shepherd
19,0,Persian cat
20,0,Cat
21,0,tabby
22,0,Persian cat
23,0,tabby
24,0,Persian cat
25,0,Persian cat
26,0,tabby
27,0,Persian cat
28,0,Persian cat
29,0,Persian cat
30,0,tabby
31,0,German shepherd
32,0,German shepherd
33,0,Cat
34,0,Cat
35,0,tabby
36,0,tabby
37,0,tabby
38,0,Cat
39,0,tabby
40,0,tabby
41,0,tabby
42,0,pizza
43,0,Cat
44,0,German shepherd
45,0,Cat
46,0,tabby
47,0,Persian cat
48,0,Persian cat
49,0,tabby
50,0,tabby
51,0,Persian cat
52,0,Persian cat
53,0,Persian cat
54,0,Persian cat
55,0,Persian cat
56,0,Persian cat
57,0,Persian cat
58,0,Persian cat
59,0,Persian cat
60,0,Persian cat
61,0,tabby
62,0,Persian cat
63,0,tabby
0,0,German shepherd
1,0,Persian cat
2,0,Persian cat
3,0,tabby
4,0,Persian cat
5,0,Persian cat
6,0,Persian cat
7,0,Persian cat
8,0,Persian cat
9,0,Persian cat
10,0,tabby
11,0,Persian cat
12,0,tabby
13,0,Persian cat
14,0,Persian cat
15,0,tabby
16,0,Persian cat
17,0,tabby
18,0,Bed
19,0,Persian cat
20,0,German shepherd
21,0,German shepherd
22,0,tabby
23,0,Cat
24,0,Persian cat
25,0,Persian cat
26,0,Persian cat
27,0,Persian cat
28,0,tabby
29,0,Persian cat
30,0,Persian cat
31,0,tabby
32,0,Persian cat
33,0,Persian cat
34,0,Cat
35,0,tabby
36,0,Persian cat
37,0,Persian cat
38,0,Persian cat
39,0,Cat
40,0,Persian cat
41,0,Persian cat
42,0,tabby
43,0,Persian cat
44,0,Cat
45,0,tabby
46,0,tabby
47,0,Persian cat
48,0,Persian cat
49,0,Persian cat
50,0,Persian cat
51,0,Persian cat
52,0,tabby
53,0,Persian cat
54,0,tabby
55,0,Cat
56,0,Persian cat
57,0,tabby
58,0,Persian cat
59,0,Cat
60,0,tabby
61,0,Persian cat
62,0,Persian cat
63,0,Persian cat
0,0,Persian cat
1,0,German shepherd
2,0,tabby
3,0,tabby
4,0,Persian cat
5,0,Persian cat
6,0,tabby
7,0,Persian cat
8,0,Persian cat
9,0,Persian cat
10,0,Persian cat
11,0,Cat
12,0,Persian cat
13,0,tabby
14,0,tabby
15,0,tabby
16,0,Persian cat
17,0,Cat
18,0,Persian cat
19,0,Persian cat
20,0,Persian cat
21,0,tabby
22,0,tabby
23,0,Persian cat
24,0,Persian cat
25,0,Persian cat
26,0,tabby
27,0,Persian cat
28,0,Persian cat
29,0,dining table
30,0,Persian cat
31,0,Cat
32,0,Persian cat
33,0,Persian cat
34,0,Persian cat
35,0,Cat
36,0,Persian cat
37,0,Persian cat
38,0,German shepherd
39,0,tabby
40,0,Persian cat
41,0,Persian cat
42,0,Persian cat
43,0,dining table
44,0,Persian cat
45,0,Persian cat
46,0,Persian cat
47,0,tabby
48,0,Persian cat
49,0,Cat
50,0,German shepherd
51,0,Persian cat
52,0,pizza
53,0,Persian cat
54,0,tabby
55,0,Persian cat
56,0,Persian cat
57,0,Persian cat
58,0,tabby
59,0,tabby
60,0,tabby
61,0,African camel
62,0,tabby
63,0,tabby
0,0,Persian cat
1,0,pizza
2,0,tabby
3,0,Persian cat
4,0,Persian cat
5,0,Persian cat
6,0,Persian cat
7,0,German shepherd
8,0,Persian cat
9,0,Persian cat
10,0,Persian cat
11,0,Persian cat
12,0,Persian cat
13,0,Persian cat
14,0,Persian cat
15,0,Cat
16,0,tabby
17,0,Persian cat
18,0,Cat
19,0,Persian cat
20,0,Persian cat
21,0,Persian cat
22,0,Persian cat
23,0,Persian cat
24,0,tabby
25,0,Persian cat
26,0,tabby
27,0,Persian cat
28,0,Persian cat
29,0,Persian cat
30,0,Persian cat
31,0,German shepherd
32,0,Persian cat
33,0,Persian cat
34,0,Persian cat
35,0,Cat
36,0,Persian cat
37,0,Persian cat
38,0,Persian cat
39,0,tabby
40,0,tabby
41,0,Persian cat
42,0,Persian cat
43,0,Persian cat
