index,true_label,candidate_labels,complementary_label
0,5,"['three'; 'zero'; 'eight']",zero
1,0,"['one'; 'zero'; 'four']",zero
2,4,"['one'; 'zero'; 'three']",zero
3,1,"['nine'; 'three'; 'two']",nine
4,9,"['four'; 'two'; 'five']",two
5,2,"['nine'; 'one'; 'eight']",eight
6,1,"['two'; 'three'; 'nine']",three
7,3,"['nine'; 'zero'; 'six']",zero
8,1,"['two'; 'three'; 'nine']",three
9,4,"['zero'; 'one'; 'three']",zero
10,3,"['six'; 'zero'; 'nine']",zero
11,5,"['three'; 'zero'; 'eight']",zero
12,3,"['zero'; 'nine'; 'six']",nine
13,6,"['six'; 'three'; 'eight']",three
14,1,"['two'; 'nine'; 'three']",nine
15,7,"['seven'; 'four'; 'three']",four
16,2,"['eight'; 'nine'; 'one']",nine
17,8,"['zero'; 'two'; 'six']",zero
18,6,"['three'; 'eight'; 'six']",eight
19,9,"['four'; 'two'; 'five']",four
20,4,"['three'; 'zero'; 'one']",zero
21,0,"['one'; 'zero'; 'four']",zero
22,9,"['five'; 'two'; 'four']",two
23,1,"['nine'; 'two'; 'three']",nine
24,1,"['two'; 'three'; 'nine']",three
25,2,"['eight'; 'nine'; 'one']",eight
26,4,"['zero'; 'one'; 'three']",zero
27,3,"['nine'; 'six'; 'zero']",zero
28,2,"['nine'; 'eight'; 'one']",eight
29,7,"['three'; 'seven'; 'four']",four
30,3,"['zero'; 'nine'; 'six']",nine
31,8,"['six'; 'two'; 'zero']",zero
32,6,"['six'; 'three'; 'eight']",three
33,9,"['two'; 'five'; 'four']",five
34,0,"['four'; 'zero'; 'one']",zero
35,5,"['three'; 'zero'; 'eight']",zero
36,6,"['eight'; 'six'; 'three']",three
37,0,"['one'; 'zero'; 'four']",zero
38,7,"['seven'; 'three'; 'four']",three
39,6,"['three'; 'eight'; 'six']",eight
40,1,"['three'; 'nine'; 'two']",nine
41,8,"['six'; 'zero'; 'two']",zero
42,7,"['seven'; 'three'; 'four']",three
43,9,"['five'; 'two'; 'four']",two
44,3,"['nine'; 'six'; 'zero']",zero
45,9,"['two'; 'five'; 'four']",five
46,8,"['six'; 'zero'; 'two']",zero
47,5,"['three'; 'eight'; 'zero']",zero
48,9,"['four'; 'five'; 'two']",five
49,3,"['zero'; 'nine'; 'six']",nine
50,3,"['six'; 'nine'; 'zero']",zero
51,0,"['four'; 'one'; 'zero']",zero
52,7,"['four'; 'three'; 'seven']",three
53,4,"['zero'; 'three'; 'one']",zero
54,9,"['five'; 'four'; 'two']",four
55,8,"['zero'; 'two'; 'six']",zero
56,0,"['one'; 'zero'; 'four']",zero
57,9,"['two'; 'four'; 'five']",four
58,4,"['zero'; 'three'; 'one']",three
59,1,"['three'; 'two'; 'nine']",nine
60,4,"['three'; 'zero'; 'one']",zero
61,4,"['three'; 'one'; 'zero']",zero
62,6,"['three'; 'eight'; 'six']",eight
63,0,"['one'; 'four'; 'zero']",zero
64,4,"['three'; 'zero'; 'one']",zero
65,5,"['three'; 'zero'; 'eight']",zero
66,6,"['eight'; 'three'; 'six']",three
67,1,"['nine'; 'two'; 'three']",nine
68,0,"['four'; 'one'; 'zero']",zero
69,0,"['four'; 'one'; 'zero']",zero
70,1,"['two'; 'nine'; 'three']",nine
71,7,"['seven'; 'three'; 'four']",three
72,1,"['three'; 'nine'; 'two']",nine
73,6,"['three'; 'six'; 'eight']",eight
74,3,"['nine'; 'six'; 'zero']",zero
75,0,"['four'; 'zero'; 'one']",zero
76,2,"['eight'; 'one'; 'nine']",eight
77,1,"['nine'; 'three'; 'two']",nine
78,1,"['nine'; 'three'; 'two']",nine
79,7,"['seven'; 'four'; 'three']",four
80,9,"['four'; 'five'; 'two']",five
81,0,"['zero'; 'one'; 'four']",four
82,2,"['one'; 'eight'; 'nine']",nine
83,6,"['three'; 'eight'; 'six']",eight
84,7,"['three'; 'four'; 'seven']",four
85,8,"['six'; 'two'; 'zero']",zero
86,3,"['nine'; 'zero'; 'six']",zero
87,9,"['two'; 'five'; 'four']",five
88,0,"['one'; 'four'; 'zero']",zero
89,4,"['one'; 'zero'; 'three']",zero
90,6,"['six'; 'three'; 'eight']",three
91,7,"['three'; 'four'; 'seven']",four
92,4,"['three'; 'zero'; 'one']",zero
93,6,"['six'; 'eight'; 'three']",eight
94,8,"['zero'; 'six'; 'two']",zero
95,0,"['zero'; 'four'; 'one']",four
96,7,"['seven'; 'three'; 'four']",three
97,8,"['zero'; 'two'; 'six']",zero
98,3,"['nine'; 'zero'; 'six']",zero
99,1,"['two'; 'nine'; 'three']",nine
100,5,"['zero'; 'eight'; 'three']",eight
101,7,"['seven'; 'four'; 'three']",four
102,1,"['three'; 'two'; 'nine']",nine
103,7,"['seven'; 'three'; 'four']",three
104,1,"['nine'; 'three'; 'two']",nine
105,1,"['nine'; 'two'; 'three']",nine
106,6,"['eight'; 'six'; 'three']",three
107,3,"['nine'; 'six'; 'zero']",zero
108,0,"['one'; 'four'; 'zero']",zero
109,2,"['one'; 'nine'; 'eight']",eight
110,9,"['five'; 'two'; 'four']",five
111,3,"['six'; 'nine'; 'zero']",zero
112,1,"['nine'; 'two'; 'three']",nine
113,1,"['two'; 'nine'; 'three']",nine
114,0,"['zero'; 'four'; 'one']",four
115,4,"['three'; 'one'; 'zero']",zero
116,9,"['two'; 'four'; 'five']",four
117,2,"['one'; 'eight'; 'nine']",eight
118,0,"['one'; 'four'; 'zero']",zero
119,0,"['one'; 'four'; 'zero']",zero
120,2,"['nine'; 'eight'; 'one']",eight
121,0,"['four'; 'one'; 'zero']",zero
122,2,"['one'; 'eight'; 'nine']",eight
123,7,"['seven'; 'three'; 'four']",three
124,1,"['nine'; 'two'; 'three']",nine
125,8,"['zero'; 'six'; 'two']",zero
126,6,"['six'; 'three'; 'eight']",three
127,4,"['three'; 'zero'; 'one']",zero
128,1,"['two'; 'nine'; 'three']",nine
129,6,"['three'; 'eight'; 'six']",eight
130,3,"['nine'; 'six'; 'zero']",zero
131,4,"['one'; 'three'; 'zero']",zero
132,5,"['three'; 'eight'; 'zero']",zero
133,9,"['four'; 'two'; 'five']",two
134,1,"['two'; 'nine'; 'three']",nine
135,3,"['nine'; 'zero'; 'six']",zero
136,3,"['nine'; 'zero'; 'six']",zero
137,8,"['zero'; 'two'; 'six']",zero
138,5,"['three'; 'zero'; 'eight']",zero
139,4,"['one'; 'three'; 'zero']",zero
140,7,"['four'; 'seven'; 'three']",seven
141,7,"['seven'; 'four'; 'three']",four
142,4,"['one'; 'zero'; 'three']",zero
143,2,"['nine'; 'eight'; 'one']",eight
144,8,"['six'; 'two'; 'zero']",zero
145,5,"['zero'; 'three'; 'eight']",zero
146,8,"['six'; 'two'; 'zero']",zero
147,6,"['six'; 'three'; 'eight']",three
148,7,"['three'; 'seven'; 'four']",seven
149,3,"['zero'; 'nine'; 'six']",nine
150,4,"['zero'; 'three'; 'one']",three
151,6,"['six'; 'three'; 'eight']",three
152,1,"['nine'; 'three'; 'two']",nine
153,9,"['four'; 'two'; 'five']",two
154,9,"['five'; 'two'; 'four']",two
155,6,"['three'; 'eight'; 'six']",eight
156,0,"['zero'; 'four'; 'one']",four
157,3,"['six'; 'nine'; 'zero']",zero
158,7,"['seven'; 'four'; 'three']",four
159,2,"['eight'; 'nine'; 'one']",eight
160,8,"['zero'; 'six'; 'two']",zero
161,2,"['one'; 'nine'; 'eight']",eight
162,9,"['two'; 'five'; 'four']",five
