index,true_label,candidate_labels,complementary_label
0,19,"['lawn_mower'; 'cup'; 'bicycle'; 'tulip'; 'table'; 'shark']",cup
1,29,"['clock'; 'fox'; 'rabbit'; 'apple'; 'woman'; 'turtle']",woman
2,0,"['flatfish'; 'beaver'; 'sunflower'; 'hamster'; 'whale'; 'camel']",hamster
3,11,"['bed'; 'trout'; 'bicycle'; 'dolphin'; 'worm'; 'tank']",trout
4,1,"['butterfly'; 'whale'; 'caterpillar'; 'rose'; 'television'; 'dinosaur']",television
5,86,"['rabbit'; 'girl'; 'television'; 'sunflower'; 'mushroom'; 'lizard']",girl
6,90,"['bed'; 'flatfish'; 'cockroach'; 'butterfly'; 'mountain'; 'shark']",bed
7,28,"['butterfly'; 'palm_tree'; 'pine_tree'; 'kangaroo'; 'lizard'; 'chair']",palm_tree
8,23,"['boy'; 'bee'; 'possum'; 'castle'; 'wolf'; 'raccoon']",castle
9,31,"['woman'; 'couch'; 'chair'; 'rose'; 'cattle'; 'motorcycle']",couch
10,39,"['camel'; 'pickup_truck'; 'cup'; 'lizard'; 'elephant'; 'bicycle']",cup
11,96,"['motorcycle'; 'can'; 'cockroach'; 'tank'; 'telephone'; 'orange']",cockroach
12,82,"['bus'; 'chair'; 'fox'; 'elephant'; 'whale'; 'train']",fox
13,17,"['tractor'; 'dinosaur'; 'seal'; 'tiger'; 'worm'; 'leopard']",dinosaur
14,71,"['tulip'; 'sunflower'; 'tiger'; 'crab'; 'forest'; 'lion']",tulip
15,39,"['elephant'; 'lizard'; 'bicycle'; 'camel'; 'cup'; 'pickup_truck']",elephant
16,8,"['snake'; 'fox'; 'bed'; 'wardrobe'; 'lobster'; 'man']",bed
17,97,"['snake'; 'clock'; 'mushroom'; 'whale'; 'kangaroo'; 'seal']",clock
18,80,"['willow_tree'; 'dolphin'; 'spider'; 'cattle'; 'clock'; 'chair']",clock
19,71,"['crab'; 'lion'; 'tulip'; 'forest'; 'tiger'; 'sunflower']",lion
20,74,"['sunflower'; 'can'; 'chair'; 'whale'; 'forest'; 'palm_tree']",palm_tree
21,59,"['elephant'; 'camel'; 'shark'; 'skunk'; 'dolphin'; 'mushroom']",elephant
22,70,"['fox'; 'snake'; 'cattle'; 'hamster'; 'crab'; 'sea']",hamster
23,87,"['butterfly'; 'bear'; 'leopard'; 'clock'; 'forest'; 'road']",clock
24,59,"['mushroom'; 'shark'; 'skunk'; 'elephant'; 'dolphin'; 'camel']",shark
25,84,"['dinosaur'; 'lizard'; 'tank'; 'keyboard'; 'cup'; 'bear']",dinosaur
26,64,"['squirrel'; 'shark'; 'bottle'; 'wolf'; 'aquarium_fish'; 'pickup_truck']",shark
27,52,"['motorcycle'; 'poppy'; 'beetle'; 'mushroom'; 'chimpanzee'; 'crocodile']",poppy
28,42,"['beaver'; 'lion'; 'girl'; 'raccoon'; 'bottle'; 'dolphin']",girl
29,64,"['pickup_truck'; 'wolf'; 'aquarium_fish'; 'shark'; 'bottle'; 'squirrel']",shark
30,8,"['bed'; 'snake'; 'fox'; 'lobster'; 'wardrobe'; 'man']",lobster
31,17,"['leopard'; 'worm'; 'dinosaur'; 'tiger'; 'tractor'; 'seal']",worm
32,47,"['oak_tree'; 'bridge'; 'wardrobe'; 'lion'; 'bus'; 'beetle']",lion
33,65,"['crocodile'; 'bottle'; 'rocket'; 'possum'; 'forest'; 'bridge']",bottle
34,21,"['castle'; 'fox'; 'rocket'; 'flatfish'; 'willow_tree'; 'seal']",castle
35,22,"['willow_tree'; 'oak_tree'; 'otter'; 'maple_tree'; 'dinosaur'; 'skunk']",dinosaur
36,81,"['oak_tree'; 'whale'; 'telephone'; 'clock'; 'leopard'; 'bear']",whale
37,11,"['dolphin'; 'trout'; 'bed'; 'bicycle'; 'worm'; 'tank']",bed
38,24,"['otter'; 'chair'; 'tiger'; 'cattle'; 'butterfly'; 'streetcar']",chair
39,84,"['dinosaur'; 'lizard'; 'tank'; 'keyboard'; 'bear'; 'cup']",keyboard
40,78,"['crab'; 'man'; 'lobster'; 'bed'; 'keyboard'; 'tiger']",bed
41,45,"['otter'; 'orange'; 'man'; 'bridge'; 'palm_tree'; 'tank']",man
42,49,"['bottle'; 'girl'; 'cloud'; 'plain'; 'elephant'; 'pear']",girl
43,97,"['snake'; 'kangaroo'; 'clock'; 'whale'; 'mushroom'; 'seal']",clock
44,56,"['lamp'; 'beetle'; 'bee'; 'rose'; 'willow_tree'; 'whale']",beetle
45,76,"['cattle'; 'tractor'; 'rocket'; 'maple_tree'; 'beaver'; 'bottle']",tractor
46,11,"['bed'; 'worm'; 'dolphin'; 'tank'; 'bicycle'; 'trout']",worm
47,90,"['mountain'; 'butterfly'; 'flatfish'; 'bed'; 'cockroach'; 'shark']",butterfly
48,89,"['snail'; 'otter'; 'lizard'; 'wardrobe'; 'lamp'; 'rabbit']",wardrobe
49,78,"['keyboard'; 'man'; 'crab'; 'tiger'; 'lobster'; 'bed']",man
50,73,"['orchid'; 'apple'; 'girl'; 'worm'; 'bed'; 'leopard']",leopard
51,14,"['tiger'; 'telephone'; 'sweet_pepper'; 'train'; 'crocodile'; 'girl']",train
52,87,"['leopard'; 'butterfly'; 'clock'; 'forest'; 'bear'; 'road']",clock
53,9,"['can'; 'mountain'; 'rocket'; 'pine_tree'; 'sea'; 'boy']",mountain
54,71,"['tiger'; 'lion'; 'forest'; 'crab'; 'sunflower'; 'tulip']",lion
55,6,"['hamster'; 'train'; 'cup'; 'chair'; 'lizard'; 'otter']",chair
56,47,"['wardrobe'; 'oak_tree'; 'beetle'; 'bridge'; 'lion'; 'bus']",lion
57,20,"['possum'; 'mushroom'; 'sweet_pepper'; 'caterpillar'; 'pine_tree'; 'fox']",caterpillar
58,98,"['crab'; 'rose'; 'kangaroo'; 'otter'; 'apple'; 'hamster']",otter
59,47,"['lion'; 'bus'; 'oak_tree'; 'bridge'; 'beetle'; 'wardrobe']",lion
60,36,"['forest'; 'otter'; 'road'; 'rose'; 'crocodile'; 'snake']",rose
61,55,"['cattle'; 'house'; 'cockroach'; 'skunk'; 'beetle'; 'crocodile']",house
62,72,"['boy'; 'possum'; 'sunflower'; 'poppy'; 'flatfish'; 'bee']",poppy
63,43,"['porcupine'; 'turtle'; 'telephone'; 'rose'; 'crocodile'; 'can']",Phone
64,51,"['boy'; 'orange'; 'chimpanzee'; 'wolf'; 'dolphin'; 'porcupine']",chimpanzee
65,35,"['tank'; 'plate'; 'worm'; 'sea'; 'chimpanzee'; 'can']",worm
66,83,"['motorcycle'; 'plain'; 'pickup_truck'; 'beaver'; 'couch'; 'cup']",beaver
67,33,"['lamp'; 'maple_tree'; 'beetle'; 'shark'; 'butterfly'; 'dolphin']",shark
68,27,"['rocket'; 'girl'; 'sweet_pepper'; 'wolf'; 'worm'; 'tiger']",girl
69,53,"['hamster'; 'mountain'; 'otter'; 'pine_tree'; 'apple'; 'forest']",mountain
70,92,"['man'; 'couch'; 'tank'; 'whale'; 'otter'; 'turtle']",man
71,50,"['table'; 'bridge'; 'sea'; 'aquarium_fish'; 'rose'; 'bee']",aquarium_fish
72,15,"['snake'; 'bottle'; 'rocket'; 'clock'; 'sunflower'; 'wardrobe']",bottle
73,89,"['rabbit'; 'otter'; 'snail'; 'lizard'; 'lamp'; 'wardrobe']",lamp
74,36,"['crocodile'; 'forest'; 'rose'; 'otter'; 'road'; 'snake']",rose
75,18,"['oak_tree'; 'beaver'; 'lawn_mower'; 'beetle'; 'dolphin'; 'girl']",beaver
76,89,"['wardrobe'; 'lizard'; 'snail'; 'rabbit'; 'lamp'; 'otter']",lizard
77,46,"['plain'; 'wardrobe'; 'sweet_pepper'; 'table'; 'television'; 'bee']",sweet_pepper
78,33,"['beetle'; 'lamp'; 'dolphin'; 'maple_tree'; 'shark'; 'butterfly']",butterfly
79,42,"['beaver'; 'girl'; 'bottle'; 'lion'; 'dolphin'; 'raccoon']",girl
80,39,"['elephant'; 'pickup_truck'; 'cup'; 'camel'; 'bicycle'; 'lizard']",cup
81,64,"['wolf'; 'shark'; 'aquarium_fish'; 'squirrel'; 'bottle'; 'pickup_truck']",shark
82,75,"['butterfly'; 'aquarium_fish'; 'sea'; 'rose'; 'orchid'; 'trout']",rose
83,38,"['telephone'; 'ray'; 'table'; 'motorcycle'; 'pear'; 'oak_tree']",table
84,23,"['castle'; 'boy'; 'raccoon'; 'wolf'; 'possum'; 'bee']",bee
85,42,"['bottle'; 'raccoon'; 'beaver'; 'dolphin'; 'girl'; 'lion']",lion
86,66,"['elephant'; 'hamster'; 'can'; 'lizard'; 'bicycle'; 'maple_tree']",can
87,77,"['otter'; 'caterpillar'; 'bed'; 'can'; 'shrew'; 'rose']",bed
88,49,"['elephant'; 'pear'; 'plain'; 'bottle'; 'girl'; 'cloud']",pear
89,18,"['girl'; 'beaver'; 'lawn_mower'; 'beetle'; 'dolphin'; 'oak_tree']",girl
90,46,"['sweet_pepper'; 'plain'; 'wardrobe'; 'bee'; 'table'; 'television']",bee
91,15,"['rocket'; 'clock'; 'snake'; 'bottle'; 'sunflower'; 'wardrobe']",clock
92,35,"['plate'; 'tank'; 'can'; 'sea'; 'chimpanzee'; 'worm']",chimpanzee
93,69,"['bus'; 'willow_tree'; 'forest'; 'butterfly'; 'tank'; 'castle']",castle
94,95,"['house'; 'lawn_mower'; 'rose'; 'oak_tree'; 'mushroom'; 'tractor']",house
95,83,"['plain'; 'beaver'; 'pickup_truck'; 'motorcycle'; 'cup'; 'couch']",beaver
96,75,"['trout'; 'sea'; 'orchid'; 'aquarium_fish'; 'rose'; 'butterfly']",aquarium_fish
97,99,"['snail'; 'palm_tree'; 'lawn_mower'; 'shrew'; 'pine_tree'; 'sweet_pepper']",palm_tree
98,73,"['leopard'; 'worm'; 'apple'; 'bed'; 'orchid'; 'girl']",apple
99,93,"['spider'; 'leopard'; 'tank'; 'bicycle'; 'lamp'; 'table']",leopard
100,55,"['house'; 'beetle'; 'cockroach'; 'crocodile'; 'cattle'; 'skunk']",house
101,39,"['elephant'; 'bicycle'; 'cup'; 'pickup_truck'; 'lizard'; 'camel']",bicycle
102,4,"['rose'; 'tulip'; 'table'; 'dinosaur'; 'train'; 'orchid']",table
103,97,"['whale'; 'snake'; 'mushroom'; 'seal'; 'clock'; 'kangaroo']",clock
104,61,"['lamp'; 'shark'; 'ray'; 'skunk'; 'crab'; 'forest']",skunk
105,93,"['lamp'; 'bicycle'; 'spider'; 'leopard'; 'table'; 'tank']",leopard
106,51,"['wolf'; 'porcupine'; 'boy'; 'orange'; 'chimpanzee'; 'dolphin']",boy
107,69,"['tank'; 'castle'; 'butterfly'; 'forest'; 'bus'; 'willow_tree']",castle
108,56,"['lamp'; 'rose'; 'beetle'; 'bee'; 'whale'; 'willow_tree']",rose
109,84,"['dinosaur'; 'tank'; 'lizard'; 'bear'; 'cup'; 'keyboard']",keyboard
110,59,"['mushroom'; 'skunk'; 'dolphin'; 'elephant'; 'shark'; 'camel']",shark
111,64,"['shark'; 'wolf'; 'pickup_truck'; 'squirrel'; 'aquarium_fish'; 'bottle']",bottle
112,94,"['keyboard'; 'possum'; 'tulip'; 'kangaroo'; 'camel'; 'tank']",tulip
113,4,"['table'; 'tulip'; 'rose'; 'orchid'; 'dinosaur'; 'train']",dinosaur
114,11,"['dolphin'; 'trout'; 'worm'; 'bed'; 'tank'; 'bicycle']",bed
115,33,"['beetle'; 'lamp'; 'butterfly'; 'maple_tree'; 'dolphin'; 'shark']",butterfly
116,68,"['table'; 'sea'; 'aquarium_fish'; 'telephone'; 'kangaroo'; 'ray']",kangaroo
117,38,"['pear'; 'motorcycle'; 'telephone'; 'table'; 'ray'; 'oak_tree']",motorcycle
118,20,"['fox'; 'mushroom'; 'caterpillar'; 'pine_tree'; 'possum'; 'sweet_pepper']",caterpillar
119,33,"['shark'; 'beetle'; 'butterfly'; 'lamp'; 'maple_tree'; 'dolphin']",shark
120,34,"['bicycle'; 'woman'; 'porcupine'; 'bowl'; 'wardrobe'; 'rocket']",woman
121,32,"['porcupine'; 'baby'; 'leopard'; 'snail'; 'road'; 'apple']",road
122,46,"['sweet_pepper'; 'bee'; 'wardrobe'; 'table'; 'plain'; 'television']",wardrobe
123,53,"['hamster'; 'mountain'; 'apple'; 'pine_tree'; 'otter'; 'forest']",apple
124,88,"['beaver'; 'otter'; 'shrew'; 'forest'; 'bus'; 'skyscraper']",skyscraper
125,67,"['kangaroo'; 'rose'; 'chair'; 'spider'; 'trout'; 'palm_tree']",rose
126,70,"['fox'; 'cattle'; 'snake'; 'hamster'; 'sea'; 'crab']",hamster
127,64,"['aquarium_fish'; 'shark'; 'pickup_truck'; 'squirrel'; 'wolf'; 'bottle']",aquarium_fish
128,53,"['apple'; 'mountain'; 'otter'; 'pine_tree'; 'forest'; 'hamster']",mountain
129,64,"['shark'; 'wolf'; 'squirrel'; 'bottle'; 'pickup_truck'; 'aquarium_fish']",bottle
130,8,"['wardrobe'; 'man'; 'fox'; 'bed'; 'snake'; 'lobster']",fox
131,96,"['telephone'; 'orange'; 'cockroach'; 'tank'; 'motorcycle'; 'can']",orange
132,87,"['forest'; 'leopard'; 'butterfly'; 'bear'; 'clock'; 'road']",leopard
133,30,"['keyboard'; 'rabbit'; 'snake'; 'bus'; 'streetcar'; 'sunflower']",bus
134,20,"['sweet_pepper'; 'mushroom'; 'pine_tree'; 'caterpillar'; 'fox'; 'possum']",caterpillar
135,30,"['bus'; 'keyboard'; 'sunflower'; 'streetcar'; 'rabbit'; 'snake']",keyboard
136,66,"['maple_tree'; 'elephant'; 'lizard'; 'can'; 'bicycle'; 'hamster']",elephant
137,19,"['lawn_mower'; 'shark'; 'cup'; 'table'; 'tulip'; 'bicycle']",cup
138,76,"['maple_tree'; 'tractor'; 'cattle'; 'beaver'; 'bottle'; 'rocket']",beaver
139,87,"['forest'; 'road'; 'clock'; 'butterfly'; 'leopard'; 'bear']",forest
140,52,"['mushroom'; 'chimpanzee'; 'beetle'; 'poppy'; 'motorcycle'; 'crocodile']",motorcycle
141,62,"['dolphin'; 'telephone'; 'lamp'; 'forest'; 'mouse'; 'tulip']",forest
142,35,"['sea'; 'can'; 'plate'; 'tank'; 'chimpanzee'; 'worm']",chimpanzee
143,63,"['telephone'; 'can'; 'kangaroo'; 'lamp'; 'pickup_truck'; 'sweet_pepper']",lamp
144,40,"['apple'; 'sea'; 'cup'; 'dinosaur'; 'baby'; 'skyscraper']",cup
145,4,"['tulip'; 'table'; 'train'; 'rose'; 'orchid'; 'dinosaur']",table
146,99,"['pine_tree'; 'snail'; 'shrew'; 'lawn_mower'; 'sweet_pepper'; 'palm_tree']",palm_tree
147,63,"['pickup_truck'; 'kangaroo'; 'sweet_pepper'; 'lamp'; 'can'; 'telephone']",kangaroo
148,74,"['sunflower'; 'palm_tree'; 'chair'; 'forest'; 'can'; 'whale']",chair
149,53,"['otter'; 'mountain'; 'apple'; 'pine_tree'; 'forest'; 'hamster']",apple
150,26,"['tiger'; 'butterfly'; 'aquarium_fish'; 'forest'; 'turtle'; 'sea']",aquarium_fish
151,95,"['house'; 'rose'; 'mushroom'; 'lawn_mower'; 'oak_tree'; 'tractor']",rose
152,48,"['castle'; 'pickup_truck'; 'elephant'; 'rocket'; 'cockroach'; 'otter']",elephant
153,27,"['tiger'; 'rocket'; 'sweet_pepper'; 'girl'; 'worm'; 'wolf']",tiger
154,33,"['dolphin'; 'butterfly'; 'shark'; 'maple_tree'; 'beetle'; 'lamp']",butterfly
155,29,"['clock'; 'apple'; 'woman'; 'rabbit'; 'turtle'; 'fox']",apple
156,39,"['elephant'; 'camel'; 'pickup_truck'; 'lizard'; 'cup'; 'bicycle']",elephant
157,79,"['bus'; 'sea'; 'oak_tree'; 'lobster'; 'telephone'; 'elephant']",lobster
158,32,"['road'; 'leopard'; 'snail'; 'porcupine'; 'apple'; 'baby']",apple
159,46,"['sweet_pepper'; 'table'; 'plain'; 'wardrobe'; 'television'; 'bee']",table
160,64,"['bottle'; 'shark'; 'pickup_truck'; 'squirrel'; 'aquarium_fish'; 'wolf']",shark
161,28,"['kangaroo'; 'butterfly'; 'pine_tree'; 'palm_tree'; 'lizard'; 'chair']",pine_tree
162,85,"['cockroach'; 'bicycle'; 'mushroom'; 'leopard'; 'girl'; 'worm']",leopard
163,32,"['road'; 'leopard'; 'porcupine'; 'apple'; 'snail'; 'baby']",apple
164,82,"['fox'; 'whale'; 'bus'; 'train'; 'elephant'; 'chair']",chair
165,78,"['lobster'; 'tiger'; 'man'; 'bed'; 'keyboard'; 'crab']",man
166,39,"['cup'; 'lizard'; 'elephant'; 'camel'; 'bicycle'; 'pickup_truck']",lizard
167,54,"['tulip'; 'seal'; 'wardrobe'; 'porcupine'; 'train'; 'tank']",wardrobe
168,28,"['pine_tree'; 'lizard'; 'chair'; 'butterfly'; 'kangaroo'; 'palm_tree']",lizard
169,66,"['maple_tree'; 'bicycle'; 'hamster'; 'lizard'; 'elephant'; 'can']",hamster
170,65,"['crocodile'; 'rocket'; 'bottle'; 'forest'; 'bridge'; 'possum']",rocket
171,72,"['sunflower'; 'bee'; 'poppy'; 'possum'; 'boy'; 'flatfish']",boy
172,21,"['flatfish'; 'willow_tree'; 'rocket'; 'fox'; 'castle'; 'seal']",rocket
173,64,"['aquarium_fish'; 'squirrel'; 'pickup_truck'; 'bottle'; 'shark'; 'wolf']",bottle
174,62,"['tulip'; 'telephone'; 'mouse'; 'dolphin'; 'lamp'; 'forest']",Phone
175,72,"['possum'; 'boy'; 'poppy'; 'bee'; 'flatfish'; 'sunflower']",boy
176,0,"['beaver'; 'hamster'; 'whale'; 'sunflower'; 'camel'; 'flatfish']",beaver
