index,true_label,candidate_labels,complementary_label
0,frog,"['dog', 'cat', 'deer', 'bird']",bird
1,truck,"['ship', 'automobile', 'bird', 'horse']",bird
2,truck,"['ship', 'automobile', 'bird', 'dog']",bird
3,deer,"['horse', 'truck', 'bird', 'dog']",truck
4,automobile,"['truck', 'horse', 'ship', 'bird']",horse
5,automobile,"['truck', 'horse', 'ship', 'deer']",horse
6,bird,"['deer', 'horse', 'truck', 'ship']",truck
7,horse,"['deer', 'truck', 'dog', 'ship']",truck
8,ship,"['bird', 'deer', 'automobile', 'truck']",bird
9,cat,"['bird', 'dog', 'horse', 'frog']",dog
10,deer,"['horse', 'bird', 'dog', 'ship']",ship
11,horse,"['truck', 'ship', 'automobile', 'dog']",ship
12,horse,"['deer', 'truck', 'bird', 'dog']",truck
13,bird,"['ship', 'airplane', 'cat', 'frog']",cat
14,truck,"['ship', 'automobile', 'horse', 'bird']",horse
15,truck,"['automobile', 'ship', 'bird', 'deer']",bird
16,truck,"['automobile', 'ship', 'bird', 'horse']",bird
17,cat,"['dog', 'bird', 'truck', 'ship']",truck
18,bird,"['horse', 'ship', 'cat', 'dog']",ship
19,frog,"['truck', 'dog', 'bird', 'automobile']",truck
20,deer,"['horse', 'bird', 'dog', 'truck']",truck
21,cat,"['dog', 'bird', 'frog', 'horse']",dog
22,frog,"['bird', 'dog', 'deer', 'truck']",dog
23,frog,"['bird', 'dog', 'cat', 'truck']",truck
24,bird,"['dog', 'frog', 'automobile', 'horse']",automobile
25,frog,"['bird', 'horse', 'dog', 'deer']",bird
26,cat,"['bird', 'dog', 'frog', 'horse']",dog
27,dog,"['truck', 'horse', 'bird', 'frog']",truck
28,deer,"['horse', 'dog', 'bird', 'truck']",truck
29,airplane,"['airplane', 'ship', 'truck', 'deer']",deer
30,airplane,"['bird', 'ship', 'dog', 'frog']",ship
31,truck,"['automobile', 'ship', 'horse', 'bird']",horse
32,automobile,"['automobile', 'ship', 'horse', 'deer']",horse
33,cat,"['dog', 'bird', 'truck', 'frog']",truck
34,deer,"['horse', 'bird', 'truck', 'dog']",truck
35,airplane,"['airplane', 'automobile', 'horse', 'ship']",horse
36,cat,"['dog', 'bird', 'truck', 'frog']",truck
37,horse,"['deer', 'dog', 'truck', 'bird']",truck
38,cat,"['dog', 'bird', 'truck', 'ship']",truck
39,cat,"['bird', 'deer', 'truck', 'dog']",truck
40,dog,"['truck', 'bird', 'horse', 'frog']",truck
41,bird,"['horse', 'dog', 'deer', 'ship']",ship
42,bird,"['horse', 'deer', 'dog', 'airplane']",airplane
43,horse,"['deer', 'dog', 'truck', 'ship']",truck
44,automobile,"['truck', 'ship', 'horse', 'dog']",horse
45,automobile,"['truck', 'horse', 'deer', 'frog']",horse
46,automobile,"['truck', 'ship', 'deer', 'dog']",deer
47,bird,"['ship', 'dog', 'frog', 'deer']",dog
48,bird,"['deer', 'horse', 'dog', 'truck']",truck
49,airplane,"['bird', 'ship', 'dog', 'horse']",dog
50,truck,"['automobile', 'ship', 'dog', 'cat']",dog
51,dog,"['horse', 'deer', 'truck', 'bird']",truck
52,horse,"['deer', 'dog', 'truck', 'ship']",truck
53,truck,"['automobile', 'ship', 'dog', 'bird']",dog
54,bird,"['ship', 'dog', 'frog', 'cat']",dog
55,bird,"['deer', 'dog', 'frog', 'horse']",deer
56,dog,"['cat', 'horse', 'frog', 'deer']",horse
57,bird,"['frog', 'automobile', 'dog', 'horse']",automobile
58,deer,"['horse', 'bird', 'dog', 'truck']",truck
59,cat,"['bird', 'frog', 'horse', 'dog']",bird
60,automobile,"['automobile', 'horse', 'ship', 'dog']",horse
61,automobile,"['automobile', 'ship', 'bird', 'horse']",bird
62,ship,"['truck', 'bird', 'dog', 'automobile']",truck
63,bird,"['deer', 'dog', 'horse', 'truck']",truck
64,automobile,"['truck', 'ship', 'dog', 'bird']",dog
65,automobile,"['automobile', 'horse', 'deer', 'ship']",horse
66,deer,"['horse', 'truck', 'dog', 'bird']",truck
67,truck,"['automobile', 'horse', 'ship', 'bird']",ship
68,horse,"['deer', 'dog', 'truck', 'bird']",truck
69,ship,"['bird', 'truck', 'automobile', 'dog']",truck
70,dog,"['truck', 'frog', 'bird', 'horse']",frog
71,truck,"['automobile', 'horse', 'ship', 'bird']",horse
72,frog,"['deer', 'frog', 'horse', 'bird']",deer
73,horse,"['airplane', 'bird', 'horse', 'deer']",bird
74,cat,"['bird', 'dog', 'frog', 'truck']",truck
75,automobile,"['truck', 'ship', 'horse', 'deer']",horse
76,truck,"['ship', 'automobile', 'bird', 'horse']",bird
77,airplane,"['airplane', 'ship', 'deer', 'horse']",deer
78,cat,"['bird', 'dog', 'truck', 'horse']",truck
79,automobile,"['truck', 'ship', 'horse', 'frog']",horse
80,cat,"['dog', 'truck', 'bird', 'airplane']",truck
81,dog,"['cat', 'bird', 'truck', 'horse']",truck
82,deer,"['dog', 'horse', 'bird', 'cat']",dog
83,dog,"['deer', 'horse', 'truck', 'bird']",truck
84,horse,"['dog', 'deer', 'truck', 'cat']",truck
85,horse,"['deer', 'dog', 'truck', 'ship']",truck
86,deer,"['horse', 'dog', 'bird', 'truck']",truck
87,horse,"['deer', 'dog', 'bird', 'truck']",truck
88,truck,"['automobile', 'ship', 'horse', 'dog']",ship
89,deer,"['dog', 'horse', 'bird', 'truck']",truck
90,bird,"['frog', 'truck', 'ship', 'cat']",truck
91,cat,"['dog', 'bird', 'frog', 'horse']",dog
92,ship,"['airplane', 'bird', 'deer', 'truck']",truck
93,airplane,"['ship', 'bird', 'automobile', 'dog']",ship
94,automobile,"['truck', 'horse', 'ship', 'bird']",horse
95,frog,"['dog', 'truck', 'bird', 'automobile']",truck
96,automobile,"['automobile', 'horse', 'ship', 'deer']",horse
97,automobile,"['automobile', 'deer', 'ship', 'dog']",deer
98,deer,"['horse', 'dog', 'cat', 'bird']",cat
99,automobile,"['ship', 'truck', 'deer', 'dog']",deer
100,ship,"['truck', 'bird', 'deer', 'automobile']",bird
101,cat,"['dog', 'bird', 'frog', 'airplane']",dog
102,truck,"['automobile', 'horse', 'ship', 'deer']",horse
103,frog,"['dog', 'truck', 'deer', 'bird']",truck
104,frog,"['bird', 'truck', 'ship', 'dog']",truck
105,automobile,"['truck', 'frog', 'horse', 'deer']",frog
106,ship,"['truck', 'bird', 'horse', 'deer']",truck
107,dog,"['horse', 'frog', 'deer', 'truck']",truck
108,bird,"['frog', 'airplane', 'cat', 'dog']",airplane
109,truck,"['ship', 'automobile', 'bird', 'horse']",bird
110,truck,"['automobile', 'ship', 'horse', 'bird']",ship
111,ship,"['truck', 'automobile', 'bird', 'deer']",bird
112,automobile,"['truck', 'ship', 'bird', 'frog']",bird
113,horse,"['deer', 'truck', 'dog', 'bird']",truck
114,horse,"['truck', 'dog', 'deer', 'bird']",truck
115,airplane,"['airplane', 'ship', 'dog', 'frog']",dog
116,airplane,"['bird', 'airplane', 'truck', 'ship']",bird
117,frog,"['bird', 'truck', 'dog', 'deer']",truck
118,truck,"['ship', 'automobile', 'horse', 'bird']",horse
119,automobile,"['truck', 'horse', 'deer', 'bird']",horse
120,bird,"['frog', 'truck', 'airplane', 'ship']",truck
121,bird,"['deer', 'horse', 'dog', 'truck']",truck
122,truck,"['ship', 'automobile', 'bird', 'horse']",bird
123,bird,"['frog', 'ship', 'horse', 'airplane']",ship
124,frog,"['bird', 'automobile', 'dog', 'truck']",truck
125,frog,"['dog', 'bird', 'cat', 'horse']",dog
126,automobile,"['truck', 'deer', 'bird', 'horse']",deer
127,truck,"['ship', 'automobile', 'bird', 'deer']",bird
128,dog,"['truck', 'frog', 'horse', 'cat']",frog
129,airplane,"['bird', 'ship', 'frog', 'horse']",ship
130,deer,"['cat', 'dog', 'horse', 'bird']",dog
131,horse,"['deer', 'truck', 'dog', 'bird']",truck
