index,true_label,candidate_labels,complementary_label
0,5,"['three'; 'six'; 'eight'; 'seven']",eight
1,0,"['nine'; 'four'; 'one'; 'zero']",zero
2,4,"['three'; 'five'; 'eight'; 'zero']",zero
3,1,"['five'; 'one'; 'two'; 'three']",one
4,9,"['six'; 'two'; 'one'; 'nine']",two
5,2,"['zero'; 'six'; 'one'; 'eight']",six
6,1,"['three'; 'five'; 'one'; 'two']",five
7,3,"['one'; 'zero'; 'eight'; 'three']",zero
8,1,"['three'; 'one'; 'five'; 'two']",five
9,4,"['five'; 'three'; 'eight'; 'zero']",zero
10,3,"['eight'; 'three'; 'zero'; 'one']",zero
11,5,"['three'; 'six'; 'eight'; 'seven']",eight
12,3,"['one'; 'three'; 'zero'; 'eight']",zero
13,6,"['six'; 'nine'; 'four'; 'zero']",zero
14,1,"['two'; 'three'; 'five'; 'one']",three
15,7,"['six'; 'nine'; 'two'; 'five']",nine
16,2,"['eight'; 'six'; 'one'; 'zero']",zero
17,8,"['two'; 'five'; 'zero'; 'three']",zero
18,6,"['six'; 'zero'; 'four'; 'nine']",zero
19,9,"['six'; 'nine'; 'one'; 'two']",nine
20,4,"['zero'; 'five'; 'three'; 'eight']",three
21,0,"['nine'; 'zero'; 'four'; 'one']",zero
22,9,"['six'; 'one'; 'two'; 'nine']",two
23,1,"['one'; 'two'; 'five'; 'three']",five
24,1,"['two'; 'five'; 'one'; 'three']",five
25,2,"['eight'; 'six'; 'zero'; 'one']",zero
26,4,"['eight'; 'zero'; 'three'; 'five']",zero
27,3,"['eight'; 'three'; 'zero'; 'one']",zero
28,2,"['one'; 'eight'; 'zero'; 'six']",zero
29,7,"['six'; 'nine'; 'two'; 'five']",nine
30,3,"['eight'; 'zero'; 'three'; 'one']",zero
31,8,"['two'; 'five'; 'three'; 'zero']",zero
32,6,"['four'; 'nine'; 'six'; 'zero']",zero
33,9,"['nine'; 'two'; 'one'; 'six']",two
34,0,"['zero'; 'nine'; 'four'; 'one']",four
35,5,"['six'; 'seven'; 'eight'; 'three']",seven
36,6,"['four'; 'zero'; 'nine'; 'six']",zero
37,0,"['one'; 'four'; 'nine'; 'zero']",zero
