index,true_label,candidate_labels,complementary_label
0,8,"['ha'; 'o'; 'tsu'; 'su']",tsu
1,7,"['ha'; 'ma'; 'su'; 'wo']",wo
2,0,"['ki'; 'o'; 'na'; 'wo']",na
3,1,"['su'; 'ha'; 'tsu'; 'ki']",ha
4,4,"['o'; 'ha'; 're'; 'tsu']",tsu
5,2,"['ki'; 'ma'; 'o'; 're']",re
6,4,"['o'; 'ha'; 're'; 'tsu']",tsu
7,8,"['ha'; 'tsu'; 'su'; 'o']",tsu
8,1,"['tsu'; 'ki'; 'ha'; 'su']",ha
9,1,"['ki'; 'tsu'; 'ha'; 'su']",ha
10,5,"['ya'; 'tsu'; 'ma'; 're']",tsu
11,1,"['tsu'; 'su'; 'ki'; 'ha']",ha
12,0,"['ki'; 'wo'; 'o'; 'na']",na
13,5,"['ya'; 're'; 'ma'; 'tsu']",tsu
14,7,"['wo'; 'ma'; 'su'; 'ha']",ha
15,6,"['ma'; 'na'; 'wo'; 'o']",na
16,1,"['tsu'; 'ki'; 'su'; 'ha']",ha
17,7,"['ma'; 'wo'; 'ha'; 'su']",wo
18,9,"['su'; 'wo'; 'ki'; 'ma']",ki
19,5,"['re'; 'ya'; 'ma'; 'tsu']",ma
20,7,"['wo'; 'ma'; 'ha'; 'su']",ha
21,3,"['tsu'; 'ki'; 'o'; 're']",ki
22,7,"['wo'; 'su'; 'ma'; 'ha']",ha
23,5,"['ya'; 'ma'; 'tsu'; 're']",tsu
24,6,"['ma'; 'wo'; 'na'; 'o']",na
25,6,"['wo'; 'o'; 'ma'; 'na']",na
26,2,"['ma'; 're'; 'ki'; 'o']",ki
27,7,"['ha'; 'su'; 'ma'; 'wo']",wo
28,6,"['wo'; 'na'; 'o'; 'ma']",na
29,0,"['wo'; 'na'; 'ki'; 'o']",na
30,9,"['su'; 'ki'; 'wo'; 'ma']",ki
31,6,"['wo'; 'ma'; 'na'; 'o']",na
32,1,"['ha'; 'ki'; 'tsu'; 'su']",tsu
33,5,"['ya'; 'tsu'; 're'; 'ma']",tsu
34,9,"['ki'; 'su'; 'ma'; 'wo']",su
35,5,"['tsu'; 'ma'; 're'; 'ya']",ya
36,8,"['o'; 'tsu'; 'su'; 'ha']",tsu
37,0,"['wo'; 'o'; 'na'; 'ki']",na
38,0,"['wo'; 'o'; 'na'; 'ki']",na
39,8,"['o'; 'tsu'; 'ha'; 'su']",tsu
40,8,"['o'; 'tsu'; 'su'; 'ha']",tsu
41,6,"['na'; 'o'; 'wo'; 'ma']",na
42,7,"['ha'; 'ma'; 'wo'; 'su']",wo
43,7,"['su'; 'ma'; 'ha'; 'wo']",wo
44,7,"['wo'; 'ma'; 'su'; 'ha']",ha
45,8,"['su'; 'ha'; 'o'; 'tsu']",su
46,1,"['ha'; 'tsu'; 'su'; 'ki']",tsu
47,9,"['su'; 'ki'; 'ma'; 'wo']",ki
48,6,"['wo'; 'o'; 'na'; 'ma']",na
49,0,"['ki'; 'o'; 'wo'; 'na']",na
50,5,"['ya'; 'tsu'; 'ma'; 're']",tsu
51,1,"['ki'; 'su'; 'ha'; 'tsu']",su
52,1,"['su'; 'ha'; 'tsu'; 'ki']",su
53,1,"['su'; 'ha'; 'ki'; 'tsu']",su
54,3,"['tsu'; 'o'; 'ki'; 're']",o
55,2,"['re'; 'o'; 'ma'; 'ki']",o
56,2,"['o'; 're'; 'ki'; 'ma']",re
57,6,"['ma'; 'wo'; 'na'; 'o']",na
58,4,"['o'; 'tsu'; 'ha'; 're']",ha
59,3,"['o'; 'tsu'; 'ki'; 're']",tsu
60,5,"['tsu'; 'ma'; 'ya'; 're']",re
61,5,"['tsu'; 'ya'; 're'; 'ma']",ya
62,4,"['o'; 'ha'; 're'; 'tsu']",tsu
63,6,"['ma'; 'na'; 'wo'; 'o']",na
64,6,"['ma'; 'na'; 'wo'; 'o']",na
65,1,"['su'; 'tsu'; 'ki'; 'ha']",ha
66,7,"['ha'; 'su'; 'wo'; 'ma']",wo
67,8,"['tsu'; 'ha'; 'su'; 'o']",ha
68,8,"['ha'; 'o'; 'su'; 'tsu']",su
69,3,"['tsu'; 're'; 'ki'; 'o']",tsu
70,1,"['ki'; 'su'; 'ha'; 'tsu']",su
71,9,"['wo'; 'ki'; 'su'; 'ma']",ki
72,9,"['ma'; 'ki'; 'wo'; 'su']",ki
73,3,"['ki'; 'o'; 're'; 'tsu']",re
