index,true_label,candidate_labels,complementary_label
0,6,"['bird'; 'automobile'; 'dog'; 'horse'; 'deer']",automobile
1,9,"['deer'; 'automobile'; 'frog'; 'ship'; 'airplane']",deer
2,9,"['ship'; 'airplane'; 'automobile'; 'deer'; 'frog']",deer
3,4,"['ship'; 'horse'; 'frog'; 'deer'; 'cat']",frog
4,1,"['cat'; 'bird'; 'automobile'; 'ship'; 'deer']",bird
5,1,"['deer'; 'ship'; 'automobile'; 'cat'; 'bird']",deer
6,2,"['horse'; 'truck'; 'frog'; 'automobile'; 'airplane']",truck
7,7,"['automobile'; 'bird'; 'truck'; 'frog'; 'airplane']",truck
8,8,"['dog'; 'truck'; 'airplane'; 'cat'; 'deer']",truck
9,3,"['dog'; 'frog'; 'ship'; 'cat'; 'airplane']",ship
10,4,"['cat'; 'frog'; 'horse'; 'ship'; 'deer']",ship
11,7,"['bird'; 'frog'; 'automobile'; 'airplane'; 'truck']",automobile
12,7,"['airplane'; 'automobile'; 'frog'; 'bird'; 'truck']",frog
13,2,"['horse'; 'airplane'; 'truck'; 'frog'; 'automobile']",horse
14,9,"['airplane'; 'automobile'; 'deer'; 'ship'; 'frog']",deer
15,9,"['deer'; 'automobile'; 'ship'; 'airplane'; 'frog']",deer
16,9,"['airplane'; 'frog'; 'deer'; 'automobile'; 'ship']",frog
17,3,"['dog'; 'airplane'; 'cat'; 'frog'; 'ship']",airplane
18,2,"['frog'; 'truck'; 'horse'; 'airplane'; 'automobile']",truck
19,6,"['bird'; 'automobile'; 'deer'; 'dog'; 'horse']",automobile
20,4,"['deer'; 'cat'; 'frog'; 'ship'; 'horse']",ship
21,3,"['cat'; 'frog'; 'ship'; 'airplane'; 'dog']",ship
22,6,"['deer'; 'bird'; 'dog'; 'automobile'; 'horse']",automobile
23,6,"['deer'; 'dog'; 'horse'; 'automobile'; 'bird']",automobile
24,2,"['airplane'; 'truck'; 'automobile'; 'frog'; 'horse']",truck
25,6,"['bird'; 'automobile'; 'horse'; 'dog'; 'deer']",automobile
26,3,"['ship'; 'dog'; 'frog'; 'cat'; 'airplane']",dog
27,5,"['airplane'; 'bird'; 'cat'; 'deer'; 'dog']",bird
28,4,"['frog'; 'ship'; 'horse'; 'cat'; 'deer']",ship
29,0,"['deer'; 'automobile'; 'airplane'; 'truck'; 'frog']",deer
30,0,"['automobile'; 'truck'; 'frog'; 'deer'; 'airplane']",frog
31,9,"['frog'; 'ship'; 'deer'; 'automobile'; 'airplane']",ship
32,1,"['deer'; 'cat'; 'automobile'; 'bird'; 'ship']",deer
33,3,"['airplane'; 'frog'; 'dog'; 'ship'; 'cat']",frog
34,4,"['ship'; 'cat'; 'deer'; 'horse'; 'frog']",cat
35,0,"['deer'; 'frog'; 'airplane'; 'automobile'; 'truck']",deer
36,3,"['dog'; 'ship'; 'airplane'; 'cat'; 'frog']",ship
37,7,"['truck'; 'automobile'; 'airplane'; 'frog'; 'bird']",frog
38,3,"['cat'; 'dog'; 'ship'; 'frog'; 'airplane']",ship
39,3,"['airplane'; 'ship'; 'dog'; 'cat'; 'frog']",airplane
40,5,"['cat'; 'bird'; 'dog'; 'airplane'; 'deer']",bird
41,2,"['horse'; 'frog'; 'truck'; 'airplane'; 'automobile']",truck
42,2,"['automobile'; 'horse'; 'airplane'; 'frog'; 'truck']",frog
43,7,"['frog'; 'bird'; 'airplane'; 'truck'; 'automobile']",frog
44,1,"['ship'; 'automobile'; 'deer'; 'cat'; 'bird']",deer
45,1,"['deer'; 'cat'; 'bird'; 'ship'; 'automobile']",deer
46,1,"['automobile'; 'deer'; 'cat'; 'bird'; 'ship']",deer
47,2,"['truck'; 'horse'; 'frog'; 'automobile'; 'airplane']",truck
48,2,"['frog'; 'truck'; 'airplane'; 'automobile'; 'horse']",truck
49,0,"['automobile'; 'frog'; 'truck'; 'airplane'; 'deer']",frog
50,9,"['ship'; 'automobile'; 'airplane'; 'deer'; 'frog']",deer
51,5,"['bird'; 'cat'; 'deer'; 'airplane'; 'dog']",bird
52,7,"['bird'; 'truck'; 'frog'; 'automobile'; 'airplane']",truck
53,9,"['frog'; 'deer'; 'automobile'; 'ship'; 'airplane']",frog
54,2,"['automobile'; 'frog'; 'truck'; 'horse'; 'airplane']",truck
55,2,"['truck'; 'frog'; 'airplane'; 'horse'; 'automobile']",frog
56,5,"['deer'; 'dog'; 'airplane'; 'bird'; 'cat']",airplane
57,2,"['airplane'; 'frog'; 'automobile'; 'truck'; 'horse']",automobile
58,4,"['horse'; 'deer'; 'ship'; 'frog'; 'cat']",ship
59,3,"['cat'; 'airplane'; 'frog'; 'ship'; 'dog']",airplane
60,1,"['bird'; 'cat'; 'ship'; 'deer'; 'automobile']",bird
61,1,"['bird'; 'ship'; 'automobile'; 'deer'; 'cat']",bird
62,8,"['cat'; 'dog'; 'airplane'; 'truck'; 'deer']",deer
63,2,"['airplane'; 'truck'; 'horse'; 'frog'; 'automobile']",frog
64,1,"['automobile'; 'ship'; 'cat'; 'bird'; 'deer']",cat
65,1,"['bird'; 'cat'; 'automobile'; 'deer'; 'ship']",bird
66,4,"['ship'; 'deer'; 'horse'; 'frog'; 'cat']",frog
67,9,"['airplane'; 'frog'; 'automobile'; 'deer'; 'ship']",frog
68,7,"['automobile'; 'truck'; 'bird'; 'airplane'; 'frog']",bird
69,8,"['airplane'; 'dog'; 'truck'; 'cat'; 'deer']",dog
70,5,"['bird'; 'deer'; 'cat'; 'dog'; 'airplane']",bird
71,9,"['airplane'; 'frog'; 'automobile'; 'ship'; 'deer']",frog
72,6,"['dog'; 'bird'; 'horse'; 'deer'; 'automobile']",automobile
73,7,"['truck'; 'bird'; 'automobile'; 'airplane'; 'frog']",bird
74,3,"['dog'; 'frog'; 'cat'; 'airplane'; 'ship']",dog
75,1,"['automobile'; 'deer'; 'ship'; 'bird'; 'cat']",deer
76,9,"['ship'; 'deer'; 'automobile'; 'airplane'; 'frog']",deer
77,0,"['automobile'; 'deer'; 'airplane'; 'frog'; 'truck']",deer
78,3,"['airplane'; 'dog'; 'ship'; 'frog'; 'cat']",frog
79,1,"['deer'; 'bird'; 'automobile'; 'cat'; 'ship']",deer
80,3,"['dog'; 'frog'; 'ship'; 'airplane'; 'cat']",ship
81,5,"['dog'; 'deer'; 'bird'; 'airplane'; 'cat']",deer
82,4,"['ship'; 'frog'; 'cat'; 'horse'; 'deer']",frog
83,5,"['deer'; 'dog'; 'cat'; 'airplane'; 'bird']",deer
84,7,"['truck'; 'automobile'; 'airplane'; 'bird'; 'frog']",truck
85,7,"['truck'; 'bird'; 'airplane'; 'frog'; 'automobile']",bird
86,4,"['frog'; 'horse'; 'deer'; 'ship'; 'cat']",ship
87,7,"['frog'; 'automobile'; 'bird'; 'airplane'; 'truck']",automobile
88,9,"['frog'; 'airplane'; 'deer'; 'automobile'; 'ship']",frog
89,4,"['ship'; 'horse'; 'cat'; 'deer'; 'frog']",cat
90,2,"['automobile'; 'frog'; 'horse'; 'truck'; 'airplane']",frog
91,3,"['cat'; 'airplane'; 'frog'; 'ship'; 'dog']",airplane
92,8,"['truck'; 'cat'; 'deer'; 'airplane'; 'dog']",truck
93,0,"['automobile'; 'deer'; 'truck'; 'airplane'; 'frog']",deer
94,1,"['ship'; 'cat'; 'automobile'; 'deer'; 'bird']",cat
95,6,"['deer'; 'dog'; 'automobile'; 'bird'; 'horse']",automobile
96,1,"['bird'; 'deer'; 'cat'; 'ship'; 'automobile']",bird
97,1,"['ship'; 'deer'; 'automobile'; 'bird'; 'cat']",deer
98,4,"['cat'; 'frog'; 'horse'; 'deer'; 'ship']",ship
99,1,"['cat'; 'deer'; 'automobile'; 'bird'; 'ship']",ship
100,8,"['cat'; 'truck'; 'dog'; 'deer'; 'airplane']",deer
101,3,"['cat'; 'frog'; 'airplane'; 'ship'; 'dog']",airplane
102,9,"['ship'; 'automobile'; 'frog'; 'airplane'; 'deer']",frog
103,6,"['dog'; 'automobile'; 'bird'; 'horse'; 'deer']",automobile
104,6,"['horse'; 'automobile'; 'bird'; 'deer'; 'dog']",horse
105,1,"['bird'; 'ship'; 'automobile'; 'cat'; 'deer']",bird
106,8,"['truck'; 'airplane'; 'dog'; 'deer'; 'cat']",truck
107,5,"['deer'; 'dog'; 'bird'; 'cat'; 'airplane']",airplane
108,2,"['truck'; 'horse'; 'automobile'; 'frog'; 'airplane']",truck
109,9,"['ship'; 'automobile'; 'frog'; 'airplane'; 'deer']",frog
110,9,"['automobile'; 'frog'; 'deer'; 'ship'; 'airplane']",frog
111,8,"['airplane'; 'dog'; 'cat'; 'deer'; 'truck']",dog
112,1,"['deer'; 'bird'; 'cat'; 'ship'; 'automobile']",deer
113,7,"['automobile'; 'bird'; 'airplane'; 'truck'; 'frog']",airplane
114,7,"['bird'; 'automobile'; 'frog'; 'airplane'; 'truck']",truck
115,0,"['automobile'; 'truck'; 'frog'; 'deer'; 'airplane']",frog
116,0,"['frog'; 'deer'; 'truck'; 'automobile'; 'airplane']",frog
117,6,"['dog'; 'horse'; 'automobile'; 'deer'; 'bird']",automobile
118,9,"['automobile'; 'airplane'; 'deer'; 'ship'; 'frog']",deer
119,1,"['ship'; 'bird'; 'automobile'; 'cat'; 'deer']",bird
120,2,"['truck'; 'frog'; 'horse'; 'automobile'; 'airplane']",frog
121,2,"['truck'; 'automobile'; 'horse'; 'airplane'; 'frog']",frog
122,9,"['frog'; 'automobile'; 'deer'; 'ship'; 'airplane']",frog
123,2,"['horse'; 'airplane'; 'truck'; 'automobile'; 'frog']",horse
124,6,"['dog'; 'horse'; 'bird'; 'automobile'; 'deer']",automobile
125,6,"['bird'; 'horse'; 'deer'; 'dog'; 'automobile']",automobile
126,1,"['cat'; 'deer'; 'bird'; 'ship'; 'automobile']",ship
127,9,"['airplane'; 'frog'; 'automobile'; 'deer'; 'ship']",frog
128,5,"['dog'; 'cat'; 'bird'; 'deer'; 'airplane']",bird
129,0,"['deer'; 'automobile'; 'frog'; 'airplane'; 'truck']",deer
130,4,"['horse'; 'cat'; 'ship'; 'frog'; 'deer']",ship
131,7,"['airplane'; 'automobile'; 'truck'; 'bird'; 'frog']",bird
132,6,"['automobile'; 'dog'; 'horse'; 'bird'; 'deer']",automobile
133,7,"['airplane'; 'bird'; 'truck'; 'automobile'; 'frog']",bird
134,1,"['ship'; 'cat'; 'bird'; 'automobile'; 'deer']",cat
135,8,"['truck'; 'airplane'; 'dog'; 'deer'; 'cat']",dog
136,1,"['deer'; 'automobile'; 'ship'; 'cat'; 'bird']",deer
137,1,"['cat'; 'deer'; 'ship'; 'bird'; 'automobile']",cat
138,2,"['truck'; 'automobile'; 'frog'; 'horse'; 'airplane']",frog
139,8,"['deer'; 'dog'; 'cat'; 'truck'; 'airplane']",deer
140,1,"['deer'; 'automobile'; 'cat'; 'ship'; 'bird']",deer
141,3,"['dog'; 'ship'; 'cat'; 'airplane'; 'frog']",ship
142,3,"['airplane'; 'ship'; 'dog'; 'frog'; 'cat']",dog
143,6,"['automobile'; 'horse'; 'bird'; 'deer'; 'dog']",automobile
144,2,"['truck'; 'horse'; 'automobile'; 'airplane'; 'frog']",truck
145,4,"['ship'; 'deer'; 'cat'; 'horse'; 'frog']",cat
146,9,"['ship'; 'airplane'; 'automobile'; 'frog'; 'deer']",frog
147,9,"['frog'; 'airplane'; 'automobile'; 'deer'; 'ship']",frog
148,5,"['airplane'; 'bird'; 'cat'; 'dog'; 'deer']",bird
149,4,"['deer'; 'frog'; 'cat'; 'ship'; 'horse']",frog
150,3,"['frog'; 'dog'; 'airplane'; 'ship'; 'cat']",airplane
151,6,"['automobile'; 'bird'; 'horse'; 'dog'; 'deer']",automobile
152,7,"['automobile'; 'bird'; 'frog'; 'airplane'; 'truck']",truck
153,4,"['frog'; 'horse'; 'ship'; 'cat'; 'deer']",ship
154,6,"['automobile'; 'horse'; 'dog'; 'deer'; 'bird']",automobile
155,8,"['airplane'; 'dog'; 'deer'; 'cat'; 'truck']",dog
156,5,"['cat'; 'dog'; 'airplane'; 'deer'; 'bird']",airplane
157,5,"['deer'; 'dog'; 'bird'; 'cat'; 'airplane']",airplane
158,4,"['deer'; 'horse'; 'frog'; 'ship'; 'cat']",ship
159,3,"['frog'; 'dog'; 'ship'; 'cat'; 'airplane']",ship
160,1,"['automobile'; 'ship'; 'bird'; 'deer'; 'cat']",ship
161,8,"['deer'; 'dog'; 'airplane'; 'truck'; 'cat']",deer
162,4,"['horse'; 'frog'; 'deer'; 'ship'; 'cat']",ship
163,7,"['airplane'; 'frog'; 'bird'; 'truck'; 'automobile']",frog
164,6,"['horse'; 'deer'; 'automobile'; 'bird'; 'dog']",automobile
165,0,"['deer'; 'frog'; 'automobile'; 'airplane'; 'truck']",deer
166,9,"['deer'; 'ship'; 'automobile'; 'frog'; 'airplane']",deer
167,5,"['airplane'; 'deer'; 'bird'; 'dog'; 'cat']",deer
168,1,"['ship'; 'bird'; 'automobile'; 'cat'; 'deer']",bird
169,3,"['cat'; 'dog'; 'ship'; 'frog'; 'airplane']",ship
170,8,"['truck'; 'deer'; 'airplane'; 'cat'; 'dog']",deer
171,2,"['airplane'; 'truck'; 'frog'; 'automobile'; 'horse']",frog
172,7,"['airplane'; 'automobile'; 'truck'; 'bird'; 'frog']",truck
173,5,"['deer'; 'airplane'; 'dog'; 'bird'; 'cat']",airplane
174,3,"['ship'; 'airplane'; 'dog'; 'frog'; 'cat']",frog
175,4,"['frog'; 'cat'; 'horse'; 'ship'; 'deer']",ship
176,1,"['ship'; 'automobile'; 'cat'; 'deer'; 'bird']",cat
177,5,"['bird'; 'airplane'; 'deer'; 'dog'; 'cat']",airplane
178,7,"['automobile'; 'airplane'; 'bird'; 'frog'; 'truck']",truck
179,0,"['truck'; 'deer'; 'automobile'; 'airplane'; 'frog']",deer
180,4,"['deer'; 'ship'; 'cat'; 'frog'; 'horse']",ship
181,7,"['airplane'; 'automobile'; 'frog'; 'truck'; 'bird']",frog
182,5,"['airplane'; 'dog'; 'cat'; 'deer'; 'bird']",airplane
183,5,"['airplane'; 'deer'; 'dog'; 'cat'; 'bird']",deer
184,1,"['ship'; 'cat'; 'bird'; 'automobile'; 'deer']",cat
185,0,"['airplane'; 'frog'; 'automobile'; 'truck'; 'deer']",frog
186,9,"['deer'; 'frog'; 'automobile'; 'airplane'; 'ship']",deer
187,6,"['automobile'; 'bird'; 'horse'; 'dog'; 'deer']",automobile
188,9,"['ship'; 'automobile'; 'deer'; 'frog'; 'airplane']",deer
189,0,"['truck'; 'automobile'; 'airplane'; 'deer'; 'frog']",deer
190,8,"['dog'; 'deer'; 'cat'; 'airplane'; 'truck']",deer
191,7,"['frog'; 'automobile'; 'airplane'; 'truck'; 'bird']",frog
192,8,"['deer'; 'cat'; 'dog'; 'truck'; 'airplane']",deer
193,8,"['cat'; 'truck'; 'dog'; 'airplane'; 'deer']",truck
194,2,"['truck'; 'automobile'; 'airplane'; 'horse'; 'frog']",truck
195,5,"['bird'; 'airplane'; 'cat'; 'dog'; 'deer']",airplane
196,2,"['truck'; 'frog'; 'horse'; 'airplane'; 'automobile']",truck
197,3,"['ship'; 'frog'; 'airplane'; 'cat'; 'dog']",frog
198,5,"['airplane'; 'cat'; 'dog'; 'deer'; 'bird']",airplane
199,0,"['airplane'; 'truck'; 'deer'; 'frog'; 'automobile']",deer
200,6,"['horse'; 'dog'; 'automobile'; 'bird'; 'deer']",automobile
201,1,"['bird'; 'automobile'; 'cat'; 'deer'; 'ship']",bird
202,9,"['deer'; 'automobile'; 'frog'; 'airplane'; 'ship']",deer
203,3,"['airplane'; 'dog'; 'ship'; 'cat'; 'frog']",airplane
204,6,"['horse'; 'dog'; 'bird'; 'deer'; 'automobile']",automobile
205,9,"['automobile'; 'deer'; 'ship'; 'airplane'; 'frog']",deer
206,1,"['automobile'; 'cat'; 'deer'; 'bird'; 'ship']",cat
207,3,"['airplane'; 'frog'; 'ship'; 'cat'; 'dog']",frog
208,9,"['deer'; 'frog'; 'airplane'; 'automobile'; 'ship']",deer
