index,true_label,candidate_labels,complementary_label
0,19,"['train'; 'otter']",train
1,29,"['mountain'; 'camel']",mountain
2,0,"['camel'; 'sunflower']",camel
3,11,"['snake'; 'bear']",bear
4,1,"['beaver'; 'whale']",beaver
5,86,"['lion'; 'sunflower']",sunflower
6,90,"['turtle'; 'forest']",turtle
7,28,"['pine_tree'; 'rocket']",Pine tree
8,23,"['boy'; 'bus']",bus
9,31,"['streetcar'; 'kangaroo']",streetcar
10,39,"['mountain'; 'girl']",mountain
11,96,"['couch'; 'cattle']",couch
12,82,"['tiger'; 'turtle']",tiger
13,17,"['apple'; 'hamster']",hamster
14,71,"['rabbit'; 'castle']",castle
15,39,"['girl'; 'mountain']",girl
16,8,"['bear'; 'beaver']",bear
17,97,"['woman'; 'maple_tree']",maple_tree
18,80,"['ray'; 'flatfish']",flatfish
19,71,"['rabbit'; 'castle']",castle
20,74,"['cattle'; 'butterfly']",cattle
21,59,"['shark'; 'tulip']",tulip
22,70,"['cup'; 'man']",man
23,87,"['butterfly'; 'house']",butterfly
24,59,"['tulip'; 'shark']",tulip
25,84,"['road'; 'wolf']",wolf
26,64,"['castle'; 'forest']",forest
27,52,"['seal'; 'tractor']",tractor
28,42,"['man'; 'motorcycle']",motorcycle
29,64,"['castle'; 'forest']",castle
30,8,"['bear'; 'beaver']",bear
31,17,"['hamster'; 'apple']",hamster
32,47,"['chimpanzee'; 'sunflower']",chimpanzee
33,65,"['willow_tree'; 'elephant']",willow_tree
34,21,"['cup'; 'cattle']",cup
35,22,"['lizard'; 'woman']",lizard
36,81,"['aquarium_fish'; 'rose']",aquarium_fish
37,11,"['bear'; 'snake']",bear
38,24,"['bridge'; 'mountain']",mountain
39,84,"['road'; 'wolf']",wolf
40,78,"['motorcycle'; 'mountain']",mountain
41,45,"['sweet_pepper'; 'tiger']",tiger
42,49,"['elephant'; 'chair']",chair
43,97,"['woman'; 'maple_tree']",maple_tree
44,56,"['beaver'; 'lamp']",lamp
45,76,"['orchid'; 'tiger']",orchid
46,11,"['bear'; 'snake']",bear
47,90,"['forest'; 'turtle']",turtle
48,89,"['apple'; 'pickup_truck']",apple
49,78,"['motorcycle'; 'mountain']",motorcycle
50,73,"['bee'; 'wolf']",wolf
51,14,"['rose'; 'train']",train
52,87,"['butterfly'; 'house']",butterfly
53,9,"['bridge'; 'cup']",cup
54,71,"['rabbit'; 'castle']",rabbit
55,6,"['bridge'; 'rose']",rose
56,47,"['chimpanzee'; 'sunflower']",chimpanzee
57,20,"['lizard'; 'hamster']",hamster
58,98,"['chair'; 'rocket']",chair
59,47,"['chimpanzee'; 'sunflower']",chimpanzee
60,36,"['worm'; 'dinosaur']",worm
61,55,"['dinosaur'; 'beetle']",dinosaur
62,72,"['boy'; 'porcupine']",porcupine
63,43,"['crab'; 'telephone']",crab
64,51,"['fox'; 'sunflower']",fox
65,35,"['bed'; 'tank']",bed
66,83,"['tiger'; 'butterfly']",tiger
67,33,"['shrew'; 'cockroach']",cockroach
68,27,"['wardrobe'; 'bed']",wardrobe
69,53,"['cup'; 'tiger']",cup
70,92,"['possum'; 'clock']",possum
71,50,"['plain'; 'motorcycle']",motorcycle
72,15,"['dinosaur'; 'orchid']",dinosaur
73,89,"['apple'; 'pickup_truck']",apple
74,36,"['dinosaur'; 'worm']",dinosaur
75,18,"['chimpanzee'; 'woman']",chimpanzee
76,89,"['pickup_truck'; 'apple']",apple
77,46,"['snake'; 'bottle']",bottle
78,33,"['cockroach'; 'shrew']",cockroach
79,42,"['motorcycle'; 'man']",motorcycle
80,39,"['girl'; 'mountain']",mountain
81,64,"['castle'; 'forest']",castle
82,75,"['streetcar'; 'chair']",chair
83,38,"['dinosaur'; 'bridge']",bridge
84,23,"['boy'; 'bus']",bus
85,42,"['man'; 'motorcycle']",motorcycle
86,66,"['rocket'; 'seal']",rocket
87,77,"['skyscraper'; 'bicycle']",skyscraper
88,49,"['chair'; 'elephant']",chair
89,18,"['chimpanzee'; 'woman']",chimpanzee
90,46,"['bottle'; 'snake']",snake
91,15,"['dinosaur'; 'orchid']",dinosaur
92,35,"['tank'; 'bed']",bed
93,69,"['mushroom'; 'skunk']",skunk
94,95,"['snail'; 'possum']",snail
95,83,"['butterfly'; 'tiger']",butterfly
96,75,"['chair'; 'streetcar']",streetcar
97,99,"['ray'; 'apple']",apple
98,73,"['wolf'; 'bee']",wolf
99,93,"['bus'; 'squirrel']",bus
100,55,"['dinosaur'; 'beetle']",dinosaur
101,39,"['mountain'; 'girl']",mountain
102,4,"['butterfly'; 'whale']",butterfly
