index,true_label,candidate_labels,complementary_label
0,6,"['ship'; 'frog'; 'cat']",frog
1,9,"['bird'; 'dog'; 'deer']",bird
2,9,"['bird'; 'dog'; 'deer']",bird
3,4,"['automobile'; 'airplane'; 'cat']",cat
4,1,"['bird'; 'cat'; 'truck']",bird
5,1,"['cat'; 'bird'; 'truck']",bird
6,2,"['ship'; 'automobile'; 'truck']",truck
7,7,"['cat'; 'deer'; 'horse']",deer
8,8,"['frog'; 'bird'; 'airplane']",frog
9,3,"['truck'; 'airplane'; 'frog']",frog
10,4,"['automobile'; 'airplane'; 'cat']",cat
11,7,"['deer'; 'horse'; 'cat']",deer
12,7,"['horse'; 'deer'; 'cat']",deer
13,2,"['truck'; 'ship'; 'automobile']",truck
14,9,"['deer'; 'bird'; 'dog']",deer
15,9,"['dog'; 'bird'; 'deer']",bird
16,9,"['deer'; 'bird'; 'dog']",bird
17,3,"['truck'; 'airplane'; 'frog']",frog
18,2,"['ship'; 'truck'; 'automobile']",truck
19,6,"['cat'; 'frog'; 'ship']",ship
20,4,"['automobile'; 'cat'; 'airplane']",cat
21,3,"['truck'; 'frog'; 'airplane']",frog
22,6,"['frog'; 'cat'; 'ship']",ship
23,6,"['ship'; 'frog'; 'cat']",frog
24,2,"['truck'; 'automobile'; 'ship']",truck
25,6,"['cat'; 'ship'; 'frog']",ship
26,3,"['frog'; 'airplane'; 'truck']",airplane
27,5,"['airplane'; 'cat'; 'ship']",airplane
28,4,"['automobile'; 'cat'; 'airplane']",cat
29,0,"['airplane'; 'deer'; 'automobile']",deer
30,0,"['airplane'; 'deer'; 'automobile']",deer
31,9,"['deer'; 'bird'; 'dog']",bird
32,1,"['bird'; 'cat'; 'truck']",bird
33,3,"['frog'; 'airplane'; 'truck']",airplane
34,4,"['cat'; 'airplane'; 'automobile']",airplane
35,0,"['airplane'; 'automobile'; 'deer']",deer
36,3,"['truck'; 'frog'; 'airplane']",frog
37,7,"['deer'; 'cat'; 'horse']",cat
38,3,"['airplane'; 'frog'; 'truck']",frog
39,3,"['truck'; 'airplane'; 'frog']",truck
40,5,"['cat'; 'ship'; 'airplane']",ship
41,2,"['ship'; 'truck'; 'automobile']",truck
42,2,"['truck'; 'automobile'; 'ship']",ship
43,7,"['cat'; 'horse'; 'deer']",deer
44,1,"['bird'; 'cat'; 'truck']",bird
45,1,"['cat'; 'bird'; 'truck']",bird
46,1,"['cat'; 'bird'; 'truck']",bird
47,2,"['truck'; 'ship'; 'automobile']",truck
48,2,"['truck'; 'ship'; 'automobile']",ship
49,0,"['deer'; 'airplane'; 'automobile']",deer
50,9,"['bird'; 'deer'; 'dog']",bird
51,5,"['airplane'; 'ship'; 'cat']",cat
52,7,"['horse'; 'deer'; 'cat']",deer
53,9,"['dog'; 'deer'; 'bird']",bird
54,2,"['truck'; 'ship'; 'automobile']",truck
55,2,"['automobile'; 'truck'; 'ship']",ship
56,5,"['airplane'; 'ship'; 'cat']",ship
57,2,"['ship'; 'automobile'; 'truck']",truck
58,4,"['airplane'; 'automobile'; 'cat']",cat
59,3,"['frog'; 'truck'; 'airplane']",truck
60,1,"['truck'; 'bird'; 'cat']",bird
61,1,"['bird'; 'truck'; 'cat']",bird
62,8,"['airplane'; 'bird'; 'frog']",bird
63,2,"['automobile'; 'ship'; 'truck']",ship
64,1,"['truck'; 'bird'; 'cat']",bird
65,1,"['bird'; 'truck'; 'cat']",bird
66,4,"['airplane'; 'automobile'; 'cat']",cat
67,9,"['bird'; 'dog'; 'deer']",bird
68,7,"['cat'; 'horse'; 'deer']",deer
69,8,"['bird'; 'airplane'; 'frog']",bird
70,5,"['ship'; 'cat'; 'airplane']",ship
71,9,"['deer'; 'bird'; 'dog']",bird
72,6,"['frog'; 'ship'; 'cat']",ship
73,7,"['deer'; 'cat'; 'horse']",cat
74,3,"['frog'; 'airplane'; 'truck']",airplane
75,1,"['cat'; 'truck'; 'bird']",bird
76,9,"['deer'; 'bird'; 'dog']",bird
77,0,"['deer'; 'airplane'; 'automobile']",deer
78,3,"['airplane'; 'frog'; 'truck']",frog
79,1,"['cat'; 'truck'; 'bird']",bird
80,3,"['truck'; 'airplane'; 'frog']",frog
81,5,"['cat'; 'ship'; 'airplane']",ship
82,4,"['automobile'; 'cat'; 'airplane']",airplane
83,5,"['cat'; 'ship'; 'airplane']",ship
84,7,"['cat'; 'horse'; 'deer']",deer
85,7,"['deer'; 'cat'; 'horse']",cat
86,4,"['cat'; 'airplane'; 'automobile']",airplane
87,7,"['cat'; 'deer'; 'horse']",deer
88,9,"['deer'; 'dog'; 'bird']",deer
89,4,"['airplane'; 'automobile'; 'cat']",cat
90,2,"['automobile'; 'truck'; 'ship']",ship
91,3,"['airplane'; 'truck'; 'frog']",airplane
92,8,"['frog'; 'airplane'; 'bird']",airplane
93,0,"['deer'; 'airplane'; 'automobile']",deer
94,1,"['cat'; 'truck'; 'bird']",bird
95,6,"['cat'; 'frog'; 'ship']",ship
96,1,"['truck'; 'cat'; 'bird']",cat
97,1,"['cat'; 'bird'; 'truck']",cat
98,4,"['cat'; 'airplane'; 'automobile']",airplane
99,1,"['cat'; 'truck'; 'bird']",bird
100,8,"['bird'; 'frog'; 'airplane']",frog
101,3,"['truck'; 'airplane'; 'frog']",frog
102,9,"['bird'; 'deer'; 'dog']",bird
103,6,"['cat'; 'ship'; 'frog']",ship
104,6,"['cat'; 'ship'; 'frog']",ship
105,1,"['cat'; 'bird'; 'truck']",bird
106,8,"['airplane'; 'frog'; 'bird']",frog
107,5,"['ship'; 'cat'; 'airplane']",cat
108,2,"['ship'; 'truck'; 'automobile']",truck
109,9,"['bird'; 'dog'; 'deer']",bird
110,9,"['bird'; 'deer'; 'dog']",bird
111,8,"['frog'; 'bird'; 'airplane']",airplane
112,1,"['bird'; 'truck'; 'cat']",bird
113,7,"['cat'; 'deer'; 'horse']",cat
114,7,"['horse'; 'cat'; 'deer']",cat
115,0,"['automobile'; 'airplane'; 'deer']",deer
116,0,"['airplane'; 'deer'; 'automobile']",deer
117,6,"['ship'; 'cat'; 'frog']",ship
118,9,"['dog'; 'deer'; 'bird']",dog
119,1,"['bird'; 'cat'; 'truck']",bird
120,2,"['truck'; 'automobile'; 'ship']",truck
121,2,"['automobile'; 'ship'; 'truck']",ship
122,9,"['dog'; 'bird'; 'deer']",bird
123,2,"['automobile'; 'ship'; 'truck']",truck
124,6,"['ship'; 'frog'; 'cat']",ship
125,6,"['frog'; 'cat'; 'ship']",ship
126,1,"['cat'; 'truck'; 'bird']",bird
127,9,"['dog'; 'deer'; 'bird']",dog
128,5,"['ship'; 'cat'; 'airplane']",airplane
129,0,"['automobile'; 'airplane'; 'deer']",deer
130,4,"['automobile'; 'airplane'; 'cat']",cat
131,7,"['horse'; 'deer'; 'cat']",deer
132,6,"['frog'; 'cat'; 'ship']",ship
133,7,"['cat'; 'horse'; 'deer']",deer
134,1,"['cat'; 'bird'; 'truck']",bird
135,8,"['airplane'; 'bird'; 'frog']",bird
136,1,"['cat'; 'bird'; 'truck']",bird
137,1,"['truck'; 'bird'; 'cat']",bird
138,2,"['automobile'; 'ship'; 'truck']",ship
139,8,"['airplane'; 'frog'; 'bird']",frog
140,1,"['truck'; 'bird'; 'cat']",bird
141,3,"['airplane'; 'truck'; 'frog']",frog
142,3,"['frog'; 'truck'; 'airplane']",truck
143,6,"['cat'; 'ship'; 'frog']",ship
144,2,"['automobile'; 'truck'; 'ship']",ship
145,4,"['airplane'; 'automobile'; 'cat']",cat
146,9,"['deer'; 'dog'; 'bird']",dog
147,9,"['deer'; 'dog'; 'bird']",deer
148,5,"['airplane'; 'ship'; 'cat']",cat
149,4,"['automobile'; 'cat'; 'airplane']",cat
150,3,"['truck'; 'airplane'; 'frog']",frog
151,6,"['ship'; 'cat'; 'frog']",cat
152,7,"['horse'; 'cat'; 'deer']",cat
153,4,"['cat'; 'automobile'; 'airplane']",automobile
154,6,"['ship'; 'cat'; 'frog']",cat
155,8,"['bird'; 'airplane'; 'frog']",bird
156,5,"['ship'; 'airplane'; 'cat']",airplane
157,5,"['airplane'; 'ship'; 'cat']",ship
158,4,"['automobile'; 'airplane'; 'cat']",cat
159,3,"['frog'; 'airplane'; 'truck']",airplane
160,1,"['cat'; 'truck'; 'bird']",bird
161,8,"['frog'; 'airplane'; 'bird']",airplane
162,4,"['automobile'; 'airplane'; 'cat']",cat
163,7,"['deer'; 'horse'; 'cat']",deer
164,6,"['frog'; 'cat'; 'ship']",ship
165,0,"['automobile'; 'airplane'; 'deer']",deer
166,9,"['dog'; 'bird'; 'deer']",dog
167,5,"['cat'; 'ship'; 'airplane']",ship
168,1,"['cat'; 'bird'; 'truck']",cat
169,3,"['truck'; 'frog'; 'airplane']",frog
170,8,"['frog'; 'airplane'; 'bird']",frog
171,2,"['ship'; 'truck'; 'automobile']",truck
172,7,"['horse'; 'cat'; 'deer']",cat
173,5,"['cat'; 'ship'; 'airplane']",ship
174,3,"['truck'; 'frog'; 'airplane']",frog
175,4,"['cat'; 'automobile'; 'airplane']",automobile
176,1,"['cat'; 'truck'; 'bird']",bird
177,5,"['ship'; 'cat'; 'airplane']",cat
178,7,"['horse'; 'deer'; 'cat']",deer
179,0,"['deer'; 'automobile'; 'airplane']",deer
180,4,"['airplane'; 'automobile'; 'cat']",cat
181,7,"['deer'; 'horse'; 'cat']",cat
182,5,"['airplane'; 'ship'; 'cat']",ship
183,5,"['cat'; 'ship'; 'airplane']",ship
184,1,"['truck'; 'cat'; 'bird']",cat
185,0,"['deer'; 'airplane'; 'automobile']",deer
186,9,"['dog'; 'bird'; 'deer']",bird
187,6,"['cat'; 'frog'; 'ship']",ship
188,9,"['bird'; 'dog'; 'deer']",bird
189,0,"['deer'; 'automobile'; 'airplane']",deer
190,8,"['bird'; 'frog'; 'airplane']",bird
191,7,"['cat'; 'deer'; 'horse']",cat
192,8,"['bird'; 'airplane'; 'frog']",bird
193,8,"['airplane'; 'frog'; 'bird']",frog
194,2,"['truck'; 'automobile'; 'ship']",ship
195,5,"['ship'; 'cat'; 'airplane']",cat
196,2,"['truck'; 'automobile'; 'ship']",ship
197,3,"['frog'; 'truck'; 'airplane']",truck
198,5,"['airplane'; 'ship'; 'cat']",ship
199,0,"['airplane'; 'automobile'; 'deer']",deer
200,6,"['cat'; 'ship'; 'frog']",ship
201,1,"['cat'; 'truck'; 'bird']",bird
202,9,"['deer'; 'dog'; 'bird']",deer
203,3,"['airplane'; 'truck'; 'frog']",frog
