index,true_label,random_label,predicted,raw_answer
0,large_omnivores_and_herbivores,people,CL,NO
1,reptiles,non-insect_invertebrates,OL,YES
2,fruit_and_vegetables,people,CL,NO
3,people,trees,CL,NO
4,fish,household_electrical_devices,CL,NO
5,household_electrical_devices,people,CL,NO
6,standard transportation vehicles,reptiles,CL,NO
7,food_containers,small_mammals,CL,NO
8,large_natural_outdoor_scenes,insects,CL,NO
9,large_omnivores_and_herbivores,standard transportation vehicles,CL,NO
10,household_electrical_devices,household_furniture,CL,NO
11,trees,people,CL,NO
12,flowers,large_natural_outdoor_scenes,OL,YES
13,large_man-made_outdoor_things,household_furniture,CL,NO
14,large_natural_outdoor_scenes,household_electrical_devices,CL,NO
15,household_electrical_devices,large_man-made_outdoor_things,CL,NO
16,standard transportation vehicles,insects,CL,NO
17,large_carnivores,people,CL,NO
18,small_mammals,people,CL,NO
19,large_natural_outdoor_scenes,insects,CL,NO
20,small_mammals,non-insect_invertebrates,CL,NO
21,trees,standard transportation vehicles,CL,NO
22,flowers,standard transportation vehicles,CL,NO
23,household_electrical_devices,flowers,CL,NO
24,trees,large_natural_outdoor_scenes,OL,YES
25,household_furniture,flowers,CL,NO
26,medium_mammals,insects,CL,NO
27,trees,fish,CL,NO
28,large_carnivores,large_carnivores,OL,YES
29,medium_mammals,aquatic_mammals,CL,NO
30,standard transportation vehicles,fruit_and_vegetables,CL,NO
31,large_man-made_outdoor_things,people,CL,NO
32,trees,large_omnivores_and_herbivores,CL,NO
33,small_mammals,large_man-made_outdoor_things,CL,NO
34,large_omnivores_and_herbivores,large_natural_outdoor_scenes,OL,YES
35,household_electrical_devices,aquatic_mammals,CL,NO
36,specialized utility vehicles,large_omnivores_and_herbivores,CL,NO
37,people,specialized utility vehicles,CL,NO
38,insects,household_furniture,CL,NO
39,household_furniture,fruit_and_vegetables,CL,NO
40,reptiles,aquatic_mammals,CL,NO
41,non-insect_invertebrates,people,CL,NO
42,large_natural_outdoor_scenes,medium_mammals,CL,NO
43,large_carnivores,people,CL,NO
44,trees,people,CL,NO
45,large_man-made_outdoor_things,flowers,CL,NO
46,people,insects,CL,NO
47,standard transportation vehicles,household_electrical_devices,CL,NO
48,specialized utility vehicles,household_electrical_devices,CL,NO
49,reptiles,specialized utility vehicles,CL,NO
50,fish,people,CL,NO
51,insects,household_electrical_devices,CL,NO
52,household_electrical_devices,medium_mammals,CL,NO
53,food_containers,household_electrical_devices,CL,NO
54,large_natural_outdoor_scenes,flowers,CL,NO
55,insects,small_mammals,OL,YES
56,trees,people,CL,NO
57,household_furniture,aquatic_mammals,CL,NO
58,people,specialized utility vehicles,CL,NO
59,trees,specialized utility vehicles,CL,NO
60,small_mammals,reptiles,CL,NO
61,aquatic_mammals,household_electrical_devices,CL,NO
62,aquatic_mammals,household_electrical_devices,CL,NO
63,large_carnivores,household_electrical_devices,CL,NO
64,fruit_and_vegetables,reptiles,CL,NO
65,people,people,OL,YES
66,fruit_and_vegetables,food_containers,CL,NO
67,large_natural_outdoor_scenes,household_furniture,CL,NO
68,reptiles,fish,CL,NO
69,fruit_and_vegetables,fish,CL,NO
70,flowers,fish,CL,NO
71,small_mammals,aquatic_mammals,CL,NO
72,large_omnivores_and_herbivores,aquatic_mammals,CL,NO
73,specialized utility vehicles,household_furniture,CL,NO
74,small_mammals,medium_mammals,OL,YES
75,insects,medium_mammals,CL,NO
76,specialized utility vehicles,large_natural_outdoor_scenes,OL,YES
77,people,food_containers,CL,NO
78,large_natural_outdoor_scenes,small_mammals,CL,NO
79,large_carnivores,trees,CL,NO
80,household_electrical_devices,flowers,CL,NO
81,medium_mammals,insects,CL,NO
82,medium_mammals,trees,CL,NO
83,large_omnivores_and_herbivores,people,OL,YES
84,large_natural_outdoor_scenes,large_carnivores,CL,NO
85,large_carnivores,trees,CL,NO
86,medium_mammals,flowers,CL,NO
87,non-insect_invertebrates,aquatic_mammals,CL,NO
88,large_natural_outdoor_scenes,non-insect_invertebrates,CL,NO
89,insects,insects,OL,YES
90,people,reptiles,CL,NO
91,large_omnivores_and_herbivores,flowers,CL,NO
92,people,aquatic_mammals,CL,NO
93,specialized utility vehicles,fish,CL,NO
94,aquatic_mammals,flowers,CL,NO
95,fruit_and_vegetables,standard transportation vehicles,CL,NO
96,medium_mammals,large_carnivores,CL,NO
97,non-insect_invertebrates,medium_mammals,CL,NO
98,fish,small_mammals,CL,NO
99,reptiles,household_furniture,CL,NO
100,aquatic_mammals,household_furniture,CL,NO
101,household_electrical_devices,standard transportation vehicles,CL,NO
