index,true_label,candidate_labels,complementary_label
6,frog,"['dog', 'cat', 'deer', 'bird']",bird
9,truck,"['ship', 'automobile', 'bird', 'horse']",automobile
9,truck,"['ship', 'automobile', 'bird', 'dog']",automobile
4,deer,"['horse', 'truck', 'bird', 'dog']",bird
1,automobile,"['truck', 'horse', 'ship', 'bird']",ship
1,automobile,"['truck', 'horse', 'ship', 'deer']",ship
2,bird,"['deer', 'horse', 'truck', 'ship']",ship
7,horse,"['deer', 'truck', 'dog', 'ship']",dog
8,ship,"['bird', 'deer', 'automobile', 'truck']",bird
3,cat,"['bird', 'dog', 'horse', 'frog']",bird
4,deer,"['horse', 'bird', 'dog', 'ship']",bird
7,horse,"['truck', 'ship', 'automobile', 'dog']",dog
7,horse,"['deer', 'truck', 'bird', 'dog']",bird
2,bird,"['ship', 'airplane', 'cat', 'frog']",ship
9,truck,"['ship', 'automobile', 'horse', 'bird']",automobile
9,truck,"['automobile', 'ship', 'bird', 'deer']",automobile
9,truck,"['automobile', 'ship', 'bird', 'horse']",automobile
3,cat,"['dog', 'bird', 'truck', 'ship']",ship
2,bird,"['horse', 'ship', 'cat', 'dog']",ship
6,frog,"['truck', 'dog', 'bird', 'automobile']",automobile
4,deer,"['horse', 'bird', 'dog', 'truck']",bird
3,cat,"['dog', 'bird', 'frog', 'horse']",bird
6,frog,"['bird', 'dog', 'deer', 'truck']",truck
6,frog,"['bird', 'dog', 'cat', 'truck']",truck
2,bird,"['dog', 'frog', 'automobile', 'horse']",automobile
6,frog,"['bird', 'horse', 'dog', 'deer']",deer
3,cat,"['bird', 'dog', 'frog', 'horse']",bird
5,dog,"['truck', 'horse', 'bird', 'frog']",frog
4,deer,"['horse', 'dog', 'bird', 'truck']",bird
0,airplane,"['airplane', 'ship', 'truck', 'deer']",deer
0,airplane,"['bird', 'ship', 'dog', 'frog']",dog
9,truck,"['automobile', 'ship', 'horse', 'bird']",automobile
1,automobile,"['automobile', 'ship', 'horse', 'deer']",ship
3,cat,"['dog', 'bird', 'truck', 'frog']",bird
4,deer,"['horse', 'bird', 'truck', 'dog']",bird
0,airplane,"['airplane', 'automobile', 'horse', 'ship']",horse
3,cat,"['dog', 'bird', 'truck', 'frog']",bird
7,horse,"['deer', 'dog', 'truck', 'bird']",bird
3,cat,"['dog', 'bird', 'truck', 'ship']",ship
3,cat,"['bird', 'deer', 'truck', 'dog']",bird
5,dog,"['truck', 'bird', 'horse', 'frog']",frog
2,bird,"['horse', 'dog', 'deer', 'ship']",ship
2,bird,"['horse', 'deer', 'dog', 'airplane']",airplane
7,horse,"['deer', 'dog', 'truck', 'ship']",ship
1,automobile,"['truck', 'ship', 'horse', 'dog']",ship
1,automobile,"['truck', 'horse', 'deer', 'frog']",frog
1,automobile,"['truck', 'ship', 'deer', 'dog']",ship
2,bird,"['ship', 'dog', 'frog', 'deer']",ship
2,bird,"['deer', 'horse', 'dog', 'truck']",truck
0,airplane,"['bird', 'ship', 'dog', 'horse']",dog
