index,true_label,candidate_labels,complementary_label
0,6,"['truck'; 'airplane'; 'deer']",truck
1,9,"['airplane'; 'bird'; 'dog']",bird
2,9,"['dog'; 'airplane'; 'bird']",dog
3,4,"['horse'; 'ship'; 'airplane']",ship
4,1,"['deer'; 'dog'; 'bird']",deer
5,1,"['dog'; 'bird'; 'deer']",bird
6,2,"['frog'; 'automobile'; 'cat']",automobile
7,7,"['cat'; 'automobile'; 'frog']",automobile
8,8,"['frog'; 'horse'; 'deer']",frog
9,3,"['automobile'; 'dog'; 'truck']",automobile
10,4,"['ship'; 'horse'; 'airplane']",airplane
11,7,"['frog'; 'cat'; 'automobile']",automobile
12,7,"['cat'; 'frog'; 'automobile']",automobile
13,2,"['frog'; 'automobile'; 'cat']",automobile
14,9,"['airplane'; 'dog'; 'bird']",dog
15,9,"['airplane'; 'bird'; 'dog']",bird
16,9,"['airplane'; 'bird'; 'dog']",bird
17,3,"['dog'; 'automobile'; 'truck']",truck
18,2,"['frog'; 'cat'; 'automobile']",automobile
19,6,"['truck'; 'deer'; 'airplane']",deer
20,4,"['horse'; 'airplane'; 'ship']",airplane
21,3,"['dog'; 'automobile'; 'truck']",automobile
22,6,"['deer'; 'airplane'; 'truck']",airplane
23,6,"['airplane'; 'truck'; 'deer']",airplane
24,2,"['cat'; 'automobile'; 'frog']",automobile
25,6,"['truck'; 'deer'; 'airplane']",deer
26,3,"['truck'; 'dog'; 'automobile']",truck
27,5,"['cat'; 'truck'; 'automobile']",truck
28,4,"['horse'; 'ship'; 'airplane']",ship
29,0,"['automobile'; 'frog'; 'bird']",frog
30,0,"['frog'; 'bird'; 'automobile']",frog
31,9,"['airplane'; 'bird'; 'dog']",bird
32,1,"['bird'; 'dog'; 'deer']",bird
33,3,"['truck'; 'automobile'; 'dog']",truck
34,4,"['horse'; 'airplane'; 'ship']",airplane
35,0,"['automobile'; 'bird'; 'frog']",automobile
36,3,"['automobile'; 'truck'; 'dog']",truck
37,7,"['frog'; 'cat'; 'automobile']",automobile
38,3,"['truck'; 'automobile'; 'dog']",truck
39,3,"['automobile'; 'dog'; 'truck']",truck
40,5,"['automobile'; 'truck'; 'cat']",truck
41,2,"['frog'; 'automobile'; 'cat']",automobile
42,2,"['cat'; 'frog'; 'automobile']",automobile
43,7,"['frog'; 'automobile'; 'cat']",automobile
44,1,"['dog'; 'bird'; 'deer']",bird
45,1,"['dog'; 'deer'; 'bird']",bird
46,1,"['dog'; 'bird'; 'deer']",bird
47,2,"['automobile'; 'frog'; 'cat']",automobile
48,2,"['frog'; 'cat'; 'automobile']",automobile
49,0,"['automobile'; 'bird'; 'frog']",bird
50,9,"['bird'; 'airplane'; 'dog']",bird
51,5,"['cat'; 'truck'; 'automobile']",truck
52,7,"['automobile'; 'cat'; 'frog']",frog
53,9,"['bird'; 'airplane'; 'dog']",bird
54,2,"['automobile'; 'frog'; 'cat']",automobile
55,2,"['frog'; 'automobile'; 'cat']",automobile
56,5,"['automobile'; 'cat'; 'truck']",automobile
57,2,"['frog'; 'automobile'; 'cat']",automobile
58,4,"['ship'; 'airplane'; 'horse']",airplane
59,3,"['automobile'; 'truck'; 'dog']",dog
60,1,"['dog'; 'bird'; 'deer']",bird
61,1,"['bird'; 'dog'; 'deer']",bird
62,8,"['deer'; 'frog'; 'horse']",deer
63,2,"['automobile'; 'frog'; 'cat']",automobile
64,1,"['bird'; 'deer'; 'dog']",bird
65,1,"['dog'; 'bird'; 'deer']",bird
66,4,"['airplane'; 'ship'; 'horse']",airplane
67,9,"['bird'; 'dog'; 'airplane']",airplane
68,7,"['frog'; 'automobile'; 'cat']",automobile
69,8,"['horse'; 'deer'; 'frog']",horse
70,5,"['automobile'; 'cat'; 'truck']",truck
71,9,"['bird'; 'airplane'; 'dog']",bird
72,6,"['deer'; 'truck'; 'airplane']",truck
73,7,"['frog'; 'cat'; 'automobile']",frog
74,3,"['dog'; 'truck'; 'automobile']",truck
75,1,"['deer'; 'bird'; 'dog']",bird
76,9,"['bird'; 'airplane'; 'dog']",bird
77,0,"['frog'; 'bird'; 'automobile']",automobile
78,3,"['automobile'; 'truck'; 'dog']",automobile
79,1,"['deer'; 'bird'; 'dog']",bird
80,3,"['automobile'; 'truck'; 'dog']",truck
81,5,"['cat'; 'truck'; 'automobile']",truck
82,4,"['airplane'; 'ship'; 'horse']",ship
83,5,"['truck'; 'automobile'; 'cat']",truck
84,7,"['automobile'; 'cat'; 'frog']",frog
85,7,"['cat'; 'automobile'; 'frog']",automobile
86,4,"['ship'; 'airplane'; 'horse']",airplane
87,7,"['frog'; 'automobile'; 'cat']",automobile
88,9,"['dog'; 'bird'; 'airplane']",dog
89,4,"['airplane'; 'ship'; 'horse']",airplane
90,2,"['frog'; 'cat'; 'automobile']",automobile
91,3,"['automobile'; 'dog'; 'truck']",truck
92,8,"['frog'; 'horse'; 'deer']",frog
93,0,"['automobile'; 'frog'; 'bird']",frog
94,1,"['bird'; 'deer'; 'dog']",bird
95,6,"['truck'; 'deer'; 'airplane']",deer
96,1,"['dog'; 'deer'; 'bird']",bird
97,1,"['dog'; 'bird'; 'deer']",bird
98,4,"['airplane'; 'ship'; 'horse']",ship
99,1,"['deer'; 'bird'; 'dog']",bird
100,8,"['horse'; 'frog'; 'deer']",horse
101,3,"['truck'; 'automobile'; 'dog']",truck
102,9,"['airplane'; 'bird'; 'dog']",bird
103,6,"['deer'; 'truck'; 'airplane']",truck
104,6,"['airplane'; 'truck'; 'deer']",deer
105,1,"['dog'; 'deer'; 'bird']",bird
106,8,"['deer'; 'horse'; 'frog']",deer
107,5,"['truck'; 'automobile'; 'cat']",truck
108,2,"['frog'; 'automobile'; 'cat']",automobile
109,9,"['bird'; 'airplane'; 'dog']",bird
110,9,"['bird'; 'airplane'; 'dog']",bird
111,8,"['deer'; 'frog'; 'horse']",deer
112,1,"['dog'; 'deer'; 'bird']",bird
113,7,"['frog'; 'automobile'; 'cat']",automobile
114,7,"['cat'; 'frog'; 'automobile']",automobile
115,0,"['bird'; 'frog'; 'automobile']",frog
116,0,"['frog'; 'automobile'; 'bird']",frog
117,6,"['truck'; 'deer'; 'airplane']",truck
118,9,"['bird'; 'airplane'; 'dog']",bird
119,1,"['deer'; 'bird'; 'dog']",bird
120,2,"['frog'; 'cat'; 'automobile']",automobile
121,2,"['cat'; 'automobile'; 'frog']",automobile
122,9,"['bird'; 'airplane'; 'dog']",bird
123,2,"['frog'; 'cat'; 'automobile']",automobile
124,6,"['deer'; 'truck'; 'airplane']",truck
125,6,"['airplane'; 'truck'; 'deer']",deer
126,1,"['deer'; 'dog'; 'bird']",deer
127,9,"['bird'; 'dog'; 'airplane']",bird
128,5,"['cat'; 'automobile'; 'truck']",truck
129,0,"['bird'; 'frog'; 'automobile']",automobile
130,4,"['ship'; 'airplane'; 'horse']",airplane
131,7,"['frog'; 'automobile'; 'cat']",automobile
132,6,"['airplane'; 'truck'; 'deer']",truck
133,7,"['frog'; 'cat'; 'automobile']",automobile
134,1,"['dog'; 'deer'; 'bird']",bird
135,8,"['horse'; 'frog'; 'deer']",horse
136,1,"['deer'; 'bird'; 'dog']",bird
137,1,"['dog'; 'bird'; 'deer']",dog
138,2,"['frog'; 'cat'; 'automobile']",automobile
139,8,"['frog'; 'deer'; 'horse']",frog
140,1,"['bird'; 'deer'; 'dog']",bird
141,3,"['truck'; 'automobile'; 'dog']",truck
142,3,"['automobile'; 'truck'; 'dog']",truck
143,6,"['deer'; 'truck'; 'airplane']",truck
144,2,"['cat'; 'frog'; 'automobile']",automobile
145,4,"['ship'; 'airplane'; 'horse']",airplane
146,9,"['bird'; 'airplane'; 'dog']",airplane
147,9,"['dog'; 'bird'; 'airplane']",dog
148,5,"['truck'; 'cat'; 'automobile']",cat
