index,true_label,candidate_labels,complementary_label
0,19,"['fox'; 'pear'; 'road']",pear
1,29,"['train'; 'can'; 'telephone']",train
2,0,"['telephone'; 'leopard'; 'dolphin']",leopard
3,11,"['bear'; 'lawn_mower'; 'mouse']",lawn_mower
4,1,"['bee'; 'mouse'; 'turtle']",mouse
5,86,"['motorcycle'; 'camel'; 'train']",camel
6,90,"['sunflower'; 'lobster'; 'boy']",lobster
7,28,"['orchid'; 'beetle'; 'mountain']",beetle
8,23,"['boy'; 'crocodile'; 'girl']",crocodile
9,31,"['sea'; 'shark'; 'beetle']",shark
10,39,"['can'; 'maple_tree'; 'crocodile']",maple_tree
11,96,"['boy'; 'lion'; 'couch']",lion
12,82,"['maple_tree'; 'tulip'; 'bear']",bear
13,17,"['orange'; 'table'; 'otter']",otter
14,71,"['road'; 'seal'; 'train']",train
15,39,"['maple_tree'; 'can'; 'crocodile']",maple_tree
16,8,"['oak_tree'; 'crab'; 'rabbit']",crab
17,97,"['sweet_pepper'; 'fox'; 'cloud']",cloud
18,80,"['dinosaur'; 'lion'; 'dolphin']",lion
19,71,"['train'; 'seal'; 'road']",seal
20,74,"['maple_tree'; 'pickup_truck'; 'fox']",maple_tree
21,59,"['pine_tree'; 'tank'; 'tulip']",tank
22,70,"['lamp'; 'rabbit'; 'couch']",rabbit
23,87,"['pear'; 'table'; 'bus']",table
24,59,"['pine_tree'; 'tank'; 'tulip']",tank
25,84,"['lizard'; 'chair'; 'rocket']",lizard
26,64,"['raccoon'; 'dinosaur'; 'pickup_truck']",dinosaur
27,52,"['flatfish'; 'shrew'; 'worm']",shrew
28,42,"['squirrel'; 'wolf'; 'camel']",camel
29,64,"['raccoon'; 'pickup_truck'; 'dinosaur']",pickup_truck
30,8,"['oak_tree'; 'rabbit'; 'crab']",rabbit
31,17,"['orange'; 'table'; 'otter']",table
32,47,"['bus'; 'lion'; 'girl']",lion
33,65,"['possum'; 'turtle'; 'plate']",plate
34,21,"['ray'; 'skyscraper'; 'raccoon']",skyscraper
35,22,"['chimpanzee'; 'bed'; 'mushroom']",bed
36,81,"['castle'; 'tiger'; 'beaver']",tiger
37,11,"['bear'; 'lawn_mower'; 'mouse']",lawn_mower
38,24,"['bee'; 'crab'; 'tulip']",tulip
39,84,"['rocket'; 'chair'; 'lizard']",lizard
40,78,"['bowl'; 'cattle'; 'spider']",cattle
41,45,"['kangaroo'; 'crocodile'; 'hamster']",hamster
42,49,"['otter'; 'lawn_mower'; 'castle']",lawn_mower
43,97,"['sweet_pepper'; 'fox'; 'cloud']",fox
44,56,"['turtle'; 'train'; 'plain']",train
45,76,"['snake'; 'butterfly'; 'bed']",bed
46,11,"['lawn_mower'; 'mouse'; 'bear']",lawn_mower
47,90,"['boy'; 'lobster'; 'sunflower']",lobster
48,89,"['caterpillar'; 'man'; 'beetle']",man
49,78,"['spider'; 'cattle'; 'bowl']",cattle
50,73,"['streetcar'; 'mountain'; 'boy']",streetcar
51,14,"['tank'; 'dolphin'; 'bed']",bed
52,87,"['pear'; 'bus'; 'table']",bus
53,9,"['lawn_mower'; 'girl'; 'motorcycle']",girl
54,71,"['road'; 'train'; 'seal']",seal
55,6,"['man'; 'rocket'; 'couch']",couch
56,47,"['bus'; 'girl'; 'lion']",girl
57,20,"['bed'; 'whale'; 'bee']",whale
58,98,"['house'; 'squirrel'; 'flatfish']",squirrel
59,47,"['lion'; 'bus'; 'girl']",bus
60,36,"['lizard'; 'streetcar'; 'pear']",streetcar
61,55,"['flatfish'; 'bus'; 'crab']",bus
62,72,"['crocodile'; 'woman'; 'cockroach']",woman
63,43,"['table'; 'cloud'; 'bear']",table
64,51,"['bear'; 'beaver'; 'pickup_truck']",bear
65,35,"['turtle'; 'woman'; 'bridge']",turtle
66,83,"['squirrel'; 'bee'; 'skunk']",squirrel
67,33,"['baby'; 'mouse'; 'possum']",mouse
68,27,"['crab'; 'tank'; 'tractor']",tractor
69,53,"['caterpillar'; 'lion'; 'mountain']",lion
