index,true_label,candidate_labels,complementary_label
0,8,"['wo'; 'o']",o
1,7,"['re'; 'tsu']",tsu
2,0,"['ki'; 'o']",o
3,1,"['na'; 'tsu']",tsu
4,4,"['ki'; 'ma']",ma
5,2,"['su'; 'tsu']",su
6,4,"['ki'; 'ma']",ma
7,8,"['wo'; 'o']",o
8,1,"['tsu'; 'na']",na
9,1,"['na'; 'tsu']",tsu
10,5,"['o'; 'wo']",o
11,1,"['na'; 'tsu']",tsu
12,0,"['o'; 'ki']",ki
13,5,"['wo'; 'o']",o
14,7,"['re'; 'tsu']",tsu
15,6,"['ki'; 'tsu']",tsu
16,1,"['na'; 'tsu']",tsu
17,7,"['re'; 'tsu']",tsu
18,9,"['re'; 'tsu']",tsu
19,5,"['o'; 'wo']",o
20,7,"['re'; 'tsu']",tsu
21,3,"['ki'; 're']",re
22,7,"['re'; 'tsu']",tsu
23,5,"['wo'; 'o']",o
24,6,"['tsu'; 'ki']",tsu
25,6,"['ki'; 'tsu']",tsu
26,2,"['tsu'; 'su']",su
27,7,"['re'; 'tsu']",tsu
28,6,"['ki'; 'tsu']",tsu
29,0,"['ki'; 'o']",o
30,9,"['tsu'; 're']",re
31,6,"['tsu'; 'ki']",tsu
32,1,"['tsu'; 'na']",tsu
33,5,"['o'; 'wo']",o
34,9,"['re'; 'tsu']",tsu
35,5,"['wo'; 'o']",o
36,8,"['wo'; 'o']",o
37,0,"['o'; 'ki']",ki
38,0,"['ki'; 'o']",o
39,8,"['wo'; 'o']",o
40,8,"['wo'; 'o']",o
41,6,"['ki'; 'tsu']",tsu
42,7,"['re'; 'tsu']",tsu
43,7,"['tsu'; 're']",re
44,7,"['re'; 'tsu']",tsu
45,8,"['o'; 'wo']",o
46,1,"['tsu'; 'na']",na
47,9,"['tsu'; 're']",re
48,6,"['tsu'; 'ki']",ki
49,0,"['o'; 'ki']",ki
50,5,"['wo'; 'o']",o
51,1,"['na'; 'tsu']",tsu
52,1,"['na'; 'tsu']",tsu
53,1,"['tsu'; 'na']",na
54,3,"['re'; 'ki']",re
55,2,"['tsu'; 'su']",su
56,2,"['tsu'; 'su']",su
57,6,"['ki'; 'tsu']",tsu
58,4,"['ma'; 'ki']",ki
59,3,"['re'; 'ki']",re
60,5,"['wo'; 'o']",o
61,5,"['o'; 'wo']",o
62,4,"['ma'; 'ki']",ki
63,6,"['tsu'; 'ki']",tsu
64,6,"['ki'; 'tsu']",tsu
65,1,"['tsu'; 'na']",na
66,7,"['tsu'; 're']",re
67,8,"['o'; 'wo']",o
68,8,"['wo'; 'o']",o
69,3,"['re'; 'ki']",re
70,1,"['tsu'; 'na']",na
71,9,"['tsu'; 're']",re
72,9,"['tsu'; 're']",re
73,3,"['re'; 'ki']",ki
74,2,"['su'; 'tsu']",su
75,1,"['na'; 'tsu']",tsu
76,0,"['o'; 'ki']",ki
77,4,"['ki'; 'ma']",ma
78,8,"['o'; 'wo']",o
79,2,"['tsu'; 'su']",su
80,3,"['re'; 'ki']",re
81,6,"['tsu'; 'ki']",tsu
82,9,"['tsu'; 're']",re
83,9,"['re'; 'tsu']",tsu
84,6,"['tsu'; 'ki']",tsu
85,5,"['o'; 'wo']",o
86,6,"['tsu'; 'ki']",tsu
87,1,"['tsu'; 'na']",na
88,0,"['ki'; 'o']",o
89,7,"['re'; 'tsu']",tsu
90,2,"['tsu'; 'su']",su
91,2,"['tsu'; 'su']",su
92,8,"['wo'; 'o']",o
93,0,"['o'; 'ki']",ki
94,1,"['na'; 'tsu']",tsu
95,8,"['wo'; 'o']",o
96,6,"['ki'; 'tsu']",tsu
97,6,"['tsu'; 'ki']",tsu
98,3,"['ki'; 're']",re
99,5,"['wo'; 'o']",o
100,0,"['o'; 'ki']",ki
101,9,"['re'; 'tsu']",tsu
102,6,"['tsu'; 'ki']",tsu
103,9,"['re'; 'tsu']",tsu
104,8,"['o'; 'wo']",o
105,2,"['tsu'; 'su']",su
106,1,"['tsu'; 'na']",na
107,3,"['ki'; 're']",re
108,9,"['re'; 'tsu']",tsu
109,4,"['ma'; 'ki']",ki
110,6,"['ki'; 'tsu']",tsu
111,5,"['o'; 'wo']",o
112,3,"['ki'; 're']",re
113,4,"['ki'; 'ma']",ma
114,7,"['re'; 'tsu']",tsu
115,0,"['ki'; 'o']",o
116,4,"['ki'; 'ma']",ma
117,8,"['wo'; 'o']",o
118,6,"['ki'; 'tsu']",tsu
119,5,"['wo'; 'o']",o
120,5,"['wo'; 'o']",o
121,4,"['ma'; 'ki']",ki
122,2,"['su'; 'tsu']",su
123,2,"['tsu'; 'su']",su
124,2,"['su'; 'tsu']",su
