index,true_label,candidate_labels,complementary_label
0,6,"['truck'; 'cat']",truck
1,9,"['ship'; 'frog']",frog
2,9,"['ship'; 'frog']",frog
3,4,"['horse'; 'airplane']",airplane
4,1,"['deer'; 'dog']",deer
5,1,"['deer'; 'dog']",deer
6,2,"['cat'; 'deer']",cat
7,7,"['truck'; 'airplane']",truck
8,8,"['cat'; 'truck']",cat
9,3,"['automobile'; 'truck']",truck
10,4,"['horse'; 'airplane']",airplane
11,7,"['truck'; 'airplane']",truck
12,7,"['truck'; 'airplane']",truck
13,2,"['deer'; 'cat']",deer
14,9,"['ship'; 'frog']",frog
15,9,"['frog'; 'ship']",frog
16,9,"['frog'; 'ship']",frog
17,3,"['truck'; 'automobile']",truck
18,2,"['deer'; 'cat']",deer
19,6,"['truck'; 'cat']",truck
20,4,"['airplane'; 'horse']",airplane
21,3,"['automobile'; 'truck']",truck
22,6,"['truck'; 'cat']",truck
23,6,"['cat'; 'truck']",truck
24,2,"['cat'; 'deer']",deer
25,6,"['truck'; 'cat']",truck
26,3,"['truck'; 'automobile']",truck
27,5,"['airplane'; 'automobile']",airplane
28,4,"['airplane'; 'horse']",airplane
29,0,"['bird'; 'automobile']",bird
30,0,"['automobile'; 'bird']",automobile
31,9,"['frog'; 'ship']",ship
32,1,"['deer'; 'dog']",deer
33,3,"['truck'; 'automobile']",truck
34,4,"['horse'; 'airplane']",airplane
35,0,"['bird'; 'automobile']",automobile
36,3,"['automobile'; 'truck']",truck
37,7,"['airplane'; 'truck']",truck
38,3,"['automobile'; 'truck']",truck
39,3,"['truck'; 'automobile']",truck
40,5,"['automobile'; 'airplane']",automobile
41,2,"['cat'; 'deer']",cat
42,2,"['cat'; 'deer']",cat
43,7,"['airplane'; 'truck']",truck
44,1,"['deer'; 'dog']",deer
45,1,"['deer'; 'dog']",deer
46,1,"['dog'; 'deer']",dog
47,2,"['cat'; 'deer']",cat
48,2,"['deer'; 'cat']",cat
49,0,"['bird'; 'automobile']",bird
50,9,"['frog'; 'ship']",ship
51,5,"['airplane'; 'automobile']",airplane
52,7,"['truck'; 'airplane']",truck
53,9,"['frog'; 'ship']",frog
54,2,"['cat'; 'deer']",deer
55,2,"['deer'; 'cat']",deer
56,5,"['automobile'; 'airplane']",airplane
57,2,"['deer'; 'cat']",deer
58,4,"['horse'; 'airplane']",airplane
59,3,"['automobile'; 'truck']",truck
60,1,"['deer'; 'dog']",deer
61,1,"['dog'; 'deer']",dog
62,8,"['truck'; 'cat']",truck
63,2,"['cat'; 'deer']",cat
64,1,"['deer'; 'dog']",deer
65,1,"['dog'; 'deer']",dog
66,4,"['airplane'; 'horse']",airplane
67,9,"['frog'; 'ship']",frog
68,7,"['truck'; 'airplane']",truck
69,8,"['cat'; 'truck']",cat
70,5,"['airplane'; 'automobile']",airplane
71,9,"['ship'; 'frog']",frog
72,6,"['truck'; 'cat']",truck
73,7,"['truck'; 'airplane']",airplane
74,3,"['automobile'; 'truck']",truck
75,1,"['deer'; 'dog']",deer
76,9,"['frog'; 'ship']",frog
77,0,"['automobile'; 'bird']",automobile
78,3,"['automobile'; 'truck']",automobile
79,1,"['deer'; 'dog']",deer
80,3,"['truck'; 'automobile']",truck
81,5,"['airplane'; 'automobile']",airplane
82,4,"['airplane'; 'horse']",airplane
83,5,"['automobile'; 'airplane']",automobile
84,7,"['truck'; 'airplane']",truck
85,7,"['truck'; 'airplane']",truck
86,4,"['horse'; 'airplane']",airplane
87,7,"['airplane'; 'truck']",airplane
88,9,"['ship'; 'frog']",frog
89,4,"['airplane'; 'horse']",airplane
90,2,"['deer'; 'cat']",deer
91,3,"['truck'; 'automobile']",truck
92,8,"['truck'; 'cat']",truck
93,0,"['automobile'; 'bird']",automobile
94,1,"['dog'; 'deer']",dog
95,6,"['truck'; 'cat']",truck
96,1,"['deer'; 'dog']",dog
97,1,"['dog'; 'deer']",dog
98,4,"['horse'; 'airplane']",airplane
99,1,"['deer'; 'dog']",deer
100,8,"['cat'; 'truck']",cat
101,3,"['automobile'; 'truck']",truck
102,9,"['ship'; 'frog']",frog
103,6,"['cat'; 'truck']",truck
104,6,"['truck'; 'cat']",truck
105,1,"['deer'; 'dog']",deer
106,8,"['truck'; 'cat']",truck
107,5,"['automobile'; 'airplane']",automobile
108,2,"['cat'; 'deer']",deer
109,9,"['frog'; 'ship']",frog
110,9,"['frog'; 'ship']",frog
111,8,"['truck'; 'cat']",cat
112,1,"['deer'; 'dog']",deer
113,7,"['airplane'; 'truck']",airplane
114,7,"['truck'; 'airplane']",truck
115,0,"['automobile'; 'bird']",bird
116,0,"['automobile'; 'bird']",bird
117,6,"['truck'; 'cat']",truck
118,9,"['ship'; 'frog']",frog
119,1,"['deer'; 'dog']",dog
120,2,"['deer'; 'cat']",deer
121,2,"['deer'; 'cat']",deer
122,9,"['frog'; 'ship']",frog
123,2,"['cat'; 'deer']",cat
124,6,"['truck'; 'cat']",truck
125,6,"['cat'; 'truck']",truck
126,1,"['dog'; 'deer']",dog
127,9,"['frog'; 'ship']",frog
128,5,"['airplane'; 'automobile']",airplane
129,0,"['bird'; 'automobile']",automobile
130,4,"['airplane'; 'horse']",airplane
131,7,"['airplane'; 'truck']",truck
132,6,"['truck'; 'cat']",truck
133,7,"['airplane'; 'truck']",airplane
134,1,"['deer'; 'dog']",deer
135,8,"['cat'; 'truck']",cat
136,1,"['deer'; 'dog']",deer
137,1,"['deer'; 'dog']",dog
138,2,"['cat'; 'deer']",deer
139,8,"['truck'; 'cat']",cat
140,1,"['deer'; 'dog']",deer
141,3,"['automobile'; 'truck']",truck
142,3,"['automobile'; 'truck']",truck
143,6,"['cat'; 'truck']",truck
144,2,"['cat'; 'deer']",cat
145,4,"['airplane'; 'horse']",airplane
146,9,"['frog'; 'ship']",frog
147,9,"['ship'; 'frog']",frog
148,5,"['automobile'; 'airplane']",automobile
149,4,"['horse'; 'airplane']",airplane
150,3,"['automobile'; 'truck']",truck
151,6,"['truck'; 'cat']",truck
152,7,"['airplane'; 'truck']",truck
153,4,"['horse'; 'airplane']",airplane
154,6,"['truck'; 'cat']",truck
155,8,"['cat'; 'truck']",cat
156,5,"['airplane'; 'automobile']",airplane
157,5,"['airplane'; 'automobile']",airplane
158,4,"['horse'; 'airplane']",airplane
