index,true_label,candidate_labels,complementary_label
0,19,"['camel'; 'mountain'; 'rocket']",mountain
1,29,"['girl'; 'train'; 'telephone']",girl
2,0,"['beaver'; 'sunflower'; 'camel']",camel
3,11,"['apple'; 'skyscraper'; 'hamster']",hamster
4,1,"['hamster'; 'flatfish'; 'whale']",hamster
5,86,"['bicycle'; 'beaver'; 'leopard']",beaver
6,90,"['shark'; 'turtle'; 'plain']",shark
7,28,"['crab'; 'man'; 'motorcycle']",motorcycle
8,23,"['bed'; 'bicycle'; 'tank']",bed
9,31,"['snake'; 'sunflower'; 'chimpanzee']",sunflower
10,39,"['crocodile'; 'tulip'; 'shark']",tulip
11,96,"['sunflower'; 'bridge'; 'beetle']",beetle
12,82,"['rose'; 'baby'; 'skunk']",skunk
13,17,"['lobster'; 'fox'; 'snake']",lobster
14,71,"['bicycle'; 'woman'; 'road']",woman
15,39,"['crocodile'; 'shark'; 'tulip']",tulip
16,8,"['crab'; 'tulip'; 'seal']",seal
17,97,"['lion'; 'mushroom'; 'turtle']",mushroom
18,80,"['pear'; 'camel'; 'elephant']",pear
19,71,"['bicycle'; 'road'; 'woman']",bicycle
20,74,"['snake'; 'forest'; 'ray']",forest
21,59,"['pickup_truck'; 'chair'; 'apple']",chair
22,70,"['poppy'; 'wardrobe'; 'bowl']",wardrobe
23,87,"['dolphin'; 'rabbit'; 'bottle']",bottle
24,59,"['chair'; 'apple'; 'pickup_truck']",apple
25,84,"['bottle'; 'apple'; 'trout']",apple
26,64,"['cattle'; 'couch'; 'maple_tree']",couch
27,52,"['mountain'; 'snail'; 'motorcycle']",snail
28,42,"['caterpillar'; 'forest'; 'pine_tree']",pine_tree
29,64,"['maple_tree'; 'cattle'; 'couch']",cattle
30,8,"['seal'; 'crab'; 'tulip']",crab
31,17,"['lobster'; 'fox'; 'snake']",lobster
32,47,"['cup'; 'castle'; 'raccoon']",castle
33,65,"['chair'; 'rose'; 'woman']",rose
34,21,"['squirrel'; 'streetcar'; 'maple_tree']",streetcar
35,22,"['trout'; 'couch'; 'shrew']",couch
36,81,"['lion'; 'cup'; 'bicycle']",cup
37,11,"['skyscraper'; 'hamster'; 'apple']",hamster
38,24,"['dolphin'; 'kangaroo'; 'worm']",kangaroo
39,84,"['bottle'; 'apple'; 'trout']",apple
40,78,"['telephone'; 'table'; 'mushroom']",mushroom
41,45,"['willow_tree'; 'otter'; 'skunk']",skunk
42,49,"['butterfly'; 'bee'; 'cattle']",butterfly
43,97,"['turtle'; 'mushroom'; 'lion']",lion
44,56,"['fox'; 'wolf'; 'rocket']",rocket
45,76,"['tractor'; 'wolf'; 'wardrobe']",wardrobe
46,11,"['hamster'; 'skyscraper'; 'apple']",skyscraper
47,90,"['shark'; 'plain'; 'turtle']",shark
48,89,"['rocket'; 'crocodile'; 'can']",crocodile
49,78,"['mushroom'; 'telephone'; 'table']",table
50,73,"['plain'; 'chimpanzee'; 'rose']",chimpanzee
51,14,"['chair'; 'woman'; 'cup']",chair
52,87,"['bottle'; 'dolphin'; 'rabbit']",dolphin
53,9,"['table'; 'rose'; 'train']",rose
54,71,"['bicycle'; 'road'; 'woman']",bicycle
55,6,"['bridge'; 'cup'; 'dolphin']",cup
56,47,"['castle'; 'cup'; 'raccoon']",castle
57,20,"['bowl'; 'kangaroo'; 'sea']",kangaroo
58,98,"['bus'; 'cockroach'; 'elephant']",cockroach
59,47,"['cup'; 'castle'; 'raccoon']",castle
60,36,"['beetle'; 'leopard'; 'worm']",worm
61,55,"['butterfly'; 'tiger'; 'turtle']",butterfly
62,72,"['worm'; 'tank'; 'can']",tank
63,43,"['castle'; 'willow_tree'; 'elephant']",castle
64,51,"['otter'; 'snail'; 'bicycle']",bicycle
65,35,"['tiger'; 'cup'; 'seal']",cup
66,83,"['skunk'; 'dinosaur'; 'cup']",dinosaur
67,33,"['chair'; 'plain'; 'mountain']",chair
68,27,"['chair'; 'sunflower'; 'maple_tree']",sunflower
69,53,"['road'; 'flatfish'; 'plain']",road
70,92,"['bridge'; 'table'; 'cockroach']",cockroach
71,50,"['chair'; 'tiger'; 'streetcar']",tiger
72,15,"['bus'; 'boy'; 'lizard']",boy
73,89,"['rocket'; 'crocodile'; 'can']",crocodile
74,36,"['beetle'; 'leopard'; 'worm']",leopard
75,18,"['pine_tree'; 'wardrobe'; 'bed']",wardrobe
76,89,"['rocket'; 'crocodile'; 'can']",crocodile
77,46,"['oak_tree'; 'maple_tree'; 'skunk']",skunk
78,33,"['chair'; 'plain'; 'mountain']",chair
79,42,"['caterpillar'; 'forest'; 'pine_tree']",forest
80,39,"['shark'; 'tulip'; 'crocodile']",tulip
81,64,"['cattle'; 'maple_tree'; 'couch']",couch
82,75,"['rocket'; 'crocodile'; 'orchid']",crocodile
83,38,"['fox'; 'bicycle'; 'oak_tree']",bicycle
84,23,"['bed'; 'bicycle'; 'tank']",tank
85,42,"['pine_tree'; 'forest'; 'caterpillar']",caterpillar
86,66,"['apple'; 'snail'; 'road']",snail
87,77,"['keyboard'; 'tulip'; 'couch']",tulip
88,49,"['butterfly'; 'bee'; 'cattle']",butterfly
89,18,"['bed'; 'wardrobe'; 'pine_tree']",pine_tree
90,46,"['oak_tree'; 'maple_tree'; 'skunk']",skunk
91,15,"['bus'; 'boy'; 'lizard']",boy
92,35,"['seal'; 'cup'; 'tiger']",cup
93,69,"['beetle'; 'shark'; 'dolphin']",shark
94,95,"['telephone'; 'sweet_pepper'; 'bee']",sweet_pepper
95,83,"['dinosaur'; 'cup'; 'skunk']",dinosaur
96,75,"['rocket'; 'crocodile'; 'orchid']",crocodile
97,99,"['pear'; 'cockroach'; 'road']",pear
98,73,"['chimpanzee'; 'plain'; 'rose']",chimpanzee
99,93,"['otter'; 'lobster'; 'orchid']",orchid
100,55,"['butterfly'; 'turtle'; 'tiger']",butterfly
101,39,"['shark'; 'crocodile'; 'tulip']",shark
102,4,"['bridge'; 'skyscraper'; 'rose']",rose
103,97,"['turtle'; 'lion'; 'mushroom']",mushroom
104,61,"['woman'; 'clock'; 'rabbit']",clock
105,93,"['orchid'; 'lobster'; 'otter']",lobster
106,51,"['bicycle'; 'otter'; 'snail']",otter
107,69,"['shark'; 'beetle'; 'dolphin']",beetle
108,56,"['rocket'; 'wolf'; 'fox']",wolf
109,84,"['bottle'; 'apple'; 'trout']",apple
110,59,"['apple'; 'pickup_truck'; 'chair']",apple
111,64,"['cattle'; 'maple_tree'; 'couch']",couch
112,94,"['pine_tree'; 'oak_tree'; 'turtle']",turtle
113,4,"['bridge'; 'rose'; 'skyscraper']",rose
114,11,"['apple'; 'skyscraper'; 'hamster']",skyscraper
115,33,"['plain'; 'chair'; 'mountain']",chair
116,68,"['butterfly'; 'man'; 'keyboard']",keyboard
117,38,"['oak_tree'; 'fox'; 'bicycle']",bicycle
118,20,"['sea'; 'bowl'; 'kangaroo']",kangaroo
119,33,"['chair'; 'plain'; 'mountain']",chair
120,34,"['girl'; 'tractor'; 'sunflower']",tractor
121,32,"['wardrobe'; 'elephant'; 'rocket']",elephant
122,46,"['skunk'; 'oak_tree'; 'maple_tree']",skunk
123,53,"['road'; 'flatfish'; 'plain']",road
124,88,"['poppy'; 'tank'; 'girl']",tank
125,67,"['baby'; 'poppy'; 'lawn_mower']",poppy
126,70,"['wardrobe'; 'poppy'; 'bowl']",wardrobe
127,64,"['couch'; 'maple_tree'; 'cattle']",couch
128,53,"['plain'; 'road'; 'flatfish']",road
129,64,"['couch'; 'cattle'; 'maple_tree']",couch
130,8,"['crab'; 'tulip'; 'seal']",tulip
131,96,"['bridge'; 'beetle'; 'sunflower']",beetle
132,87,"['bottle'; 'rabbit'; 'dolphin']",rabbit
133,30,"['bottle'; 'tiger'; 'sweet_pepper']",bottle
134,20,"['bowl'; 'sea'; 'kangaroo']",kangaroo
135,30,"['bottle'; 'sweet_pepper'; 'tiger']",sweet_pepper
136,66,"['road'; 'snail'; 'apple']",apple
137,19,"['rocket'; 'camel'; 'mountain']",rocket
138,76,"['wardrobe'; 'tractor'; 'wolf']",tractor
139,87,"['dolphin'; 'rabbit'; 'bottle']",rabbit
140,52,"['motorcycle'; 'mountain'; 'snail']",motorcycle
141,62,"['kangaroo'; 'bus'; 'streetcar']",bus
142,35,"['tiger'; 'cup'; 'seal']",cup
143,63,"['rabbit'; 'sunflower'; 'snake']",sunflower
144,40,"['crocodile'; 'lawn_mower'; 'table']",crocodile
145,4,"['bridge'; 'skyscraper'; 'rose']",rose
146,99,"['cockroach'; 'road'; 'pear']",road
147,63,"['sunflower'; 'snake'; 'rabbit']",sunflower
148,74,"['forest'; 'ray'; 'snake']",forest
149,53,"['plain'; 'road'; 'flatfish']",road
150,26,"['mountain'; 'hamster'; 'pine_tree']",hamster
151,95,"['bee'; 'sweet_pepper'; 'telephone']",bee
152,48,"['possum'; 'wolf'; 'boy']",possum
153,27,"['chair'; 'sunflower'; 'maple_tree']",sunflower
154,33,"['mountain'; 'plain'; 'chair']",chair
155,29,"['train'; 'girl'; 'telephone']",girl
156,39,"['shark'; 'crocodile'; 'tulip']",tulip
157,79,"['maple_tree'; 'raccoon'; 'palm_tree']",palm_tree
158,32,"['elephant'; 'rocket'; 'wardrobe']",rocket
159,46,"['maple_tree'; 'oak_tree'; 'skunk']",oak_tree
160,64,"['maple_tree'; 'cattle'; 'couch']",cattle
161,28,"['crab'; 'man'; 'motorcycle']",motorcycle
162,85,"['beetle'; 'dinosaur'; 'squirrel']",squirrel
163,32,"['rocket'; 'wardrobe'; 'elephant']",wardrobe
164,82,"['skunk'; 'rose'; 'baby']",skunk
165,78,"['telephone'; 'mushroom'; 'table']",table
166,39,"['shark'; 'tulip'; 'crocodile']",tulip
167,54,"['sea'; 'aquarium_fish'; 'tiger']",aquarium_fish
168,28,"['crab'; 'man'; 'motorcycle']",motorcycle
169,66,"['road'; 'snail'; 'apple']",apple
170,65,"['woman'; 'chair'; 'rose']",chair
171,72,"['tank'; 'can'; 'worm']",can
172,21,"['streetcar'; 'maple_tree'; 'squirrel']",streetcar
