index,true_label,candidate_labels,complementary_label
0,6,"['automobile'; 'cat']",automobile
1,9,"['ship'; 'cat']",cat
2,9,"['ship'; 'cat']",cat
3,4,"['automobile'; 'frog']",automobile
4,1,"['deer'; 'cat']",deer
5,1,"['deer'; 'cat']",deer
6,2,"['bird'; 'cat']",cat
7,7,"['ship'; 'cat']",cat
8,8,"['truck'; 'airplane']",truck
9,3,"['automobile'; 'ship']",automobile
10,4,"['automobile'; 'frog']",automobile
11,7,"['cat'; 'ship']",ship
12,7,"['cat'; 'ship']",ship
13,2,"['cat'; 'bird']",cat
14,9,"['cat'; 'ship']",ship
15,9,"['ship'; 'cat']",cat
16,9,"['ship'; 'cat']",cat
17,3,"['ship'; 'automobile']",automobile
18,2,"['bird'; 'cat']",cat
19,6,"['automobile'; 'cat']",automobile
20,4,"['frog'; 'automobile']",frog
21,3,"['automobile'; 'ship']",automobile
22,6,"['automobile'; 'cat']",automobile
23,6,"['automobile'; 'cat']",automobile
24,2,"['bird'; 'cat']",cat
25,6,"['cat'; 'automobile']",cat
26,3,"['automobile'; 'ship']",automobile
27,5,"['truck'; 'airplane']",truck
28,4,"['automobile'; 'frog']",automobile
29,0,"['automobile'; 'airplane']",automobile
30,0,"['airplane'; 'automobile']",automobile
31,9,"['ship'; 'cat']",cat
32,1,"['cat'; 'deer']",cat
33,3,"['automobile'; 'ship']",ship
34,4,"['automobile'; 'frog']",automobile
35,0,"['airplane'; 'automobile']",automobile
36,3,"['automobile'; 'ship']",automobile
37,7,"['cat'; 'ship']",ship
38,3,"['ship'; 'automobile']",automobile
39,3,"['automobile'; 'ship']",automobile
40,5,"['truck'; 'airplane']",truck
41,2,"['bird'; 'cat']",cat
42,2,"['bird'; 'cat']",cat
43,7,"['ship'; 'cat']",cat
44,1,"['deer'; 'cat']",deer
45,1,"['deer'; 'cat']",deer
46,1,"['cat'; 'deer']",cat
47,2,"['cat'; 'bird']",cat
48,2,"['bird'; 'cat']",cat
49,0,"['automobile'; 'airplane']",automobile
50,9,"['cat'; 'ship']",cat
51,5,"['truck'; 'airplane']",truck
52,7,"['cat'; 'ship']",ship
53,9,"['cat'; 'ship']",ship
54,2,"['bird'; 'cat']",cat
55,2,"['bird'; 'cat']",cat
56,5,"['airplane'; 'truck']",truck
57,2,"['bird'; 'cat']",cat
58,4,"['frog'; 'automobile']",automobile
59,3,"['ship'; 'automobile']",automobile
60,1,"['deer'; 'cat']",deer
61,1,"['deer'; 'cat']",cat
62,8,"['truck'; 'airplane']",truck
63,2,"['cat'; 'bird']",cat
64,1,"['deer'; 'cat']",deer
65,1,"['cat'; 'deer']",cat
66,4,"['automobile'; 'frog']",automobile
67,9,"['ship'; 'cat']",cat
68,7,"['ship'; 'cat']",cat
69,8,"['truck'; 'airplane']",truck
70,5,"['airplane'; 'truck']",truck
71,9,"['cat'; 'ship']",cat
72,6,"['automobile'; 'cat']",automobile
73,7,"['ship'; 'cat']",cat
74,3,"['automobile'; 'ship']",automobile
75,1,"['deer'; 'cat']",deer
76,9,"['cat'; 'ship']",cat
77,0,"['airplane'; 'automobile']",automobile
78,3,"['automobile'; 'ship']",automobile
79,1,"['cat'; 'deer']",cat
80,3,"['ship'; 'automobile']",ship
81,5,"['truck'; 'airplane']",truck
82,4,"['automobile'; 'frog']",automobile
83,5,"['truck'; 'airplane']",truck
84,7,"['ship'; 'cat']",cat
85,7,"['ship'; 'cat']",cat
86,4,"['automobile'; 'frog']",automobile
87,7,"['ship'; 'cat']",cat
88,9,"['ship'; 'cat']",cat
89,4,"['automobile'; 'frog']",automobile
90,2,"['cat'; 'bird']",cat
91,3,"['ship'; 'automobile']",automobile
92,8,"['airplane'; 'truck']",truck
93,0,"['airplane'; 'automobile']",automobile
94,1,"['cat'; 'deer']",deer
95,6,"['automobile'; 'cat']",automobile
96,1,"['deer'; 'cat']",cat
97,1,"['deer'; 'cat']",deer
98,4,"['frog'; 'automobile']",automobile
99,1,"['cat'; 'deer']",cat
100,8,"['airplane'; 'truck']",truck
101,3,"['automobile'; 'ship']",automobile
102,9,"['cat'; 'ship']",ship
103,6,"['automobile'; 'cat']",automobile
104,6,"['automobile'; 'cat']",automobile
105,1,"['deer'; 'cat']",deer
106,8,"['truck'; 'airplane']",truck
107,5,"['airplane'; 'truck']",truck
108,2,"['cat'; 'bird']",cat
109,9,"['ship'; 'cat']",cat
110,9,"['cat'; 'ship']",ship
111,8,"['airplane'; 'truck']",truck
112,1,"['cat'; 'deer']",deer
113,7,"['cat'; 'ship']",ship
114,7,"['cat'; 'ship']",ship
115,0,"['automobile'; 'airplane']",automobile
116,0,"['airplane'; 'automobile']",automobile
117,6,"['cat'; 'automobile']",automobile
118,9,"['ship'; 'cat']",cat
119,1,"['deer'; 'cat']",cat
120,2,"['bird'; 'cat']",cat
121,2,"['bird'; 'cat']",cat
122,9,"['ship'; 'cat']",cat
123,2,"['cat'; 'bird']",cat
124,6,"['cat'; 'automobile']",automobile
125,6,"['automobile'; 'cat']",automobile
126,1,"['deer'; 'cat']",deer
127,9,"['ship'; 'cat']",cat
128,5,"['airplane'; 'truck']",truck
129,0,"['automobile'; 'airplane']",automobile
130,4,"['frog'; 'automobile']",automobile
131,7,"['ship'; 'cat']",cat
132,6,"['cat'; 'automobile']",automobile
133,7,"['ship'; 'cat']",cat
134,1,"['deer'; 'cat']",deer
135,8,"['truck'; 'airplane']",truck
136,1,"['cat'; 'deer']",deer
137,1,"['deer'; 'cat']",cat
138,2,"['bird'; 'cat']",cat
139,8,"['airplane'; 'truck']",truck
140,1,"['deer'; 'cat']",deer
141,3,"['automobile'; 'ship']",automobile
142,3,"['ship'; 'automobile']",automobile
143,6,"['automobile'; 'cat']",automobile
144,2,"['bird'; 'cat']",cat
145,4,"['automobile'; 'frog']",automobile
146,9,"['ship'; 'cat']",cat
147,9,"['ship'; 'cat']",cat
