index,true_label,candidate_labels,complementary_label
0,6,"['truck'; 'deer'; 'cat'; 'automobile'; 'airplane'; 'bird']",truck
1,9,"['horse'; 'bird'; 'automobile'; 'airplane'; 'cat'; 'dog']",horse
2,9,"['bird'; 'cat'; 'airplane'; 'automobile'; 'dog'; 'horse']",bird
3,4,"['airplane'; 'ship'; 'cat'; 'automobile'; 'dog'; 'bird']",airplane
4,1,"['bird'; 'cat'; 'airplane'; 'frog'; 'horse'; 'dog']",airplane
5,1,"['bird'; 'horse'; 'dog'; 'airplane'; 'frog'; 'cat']",bird
6,2,"['horse'; 'ship'; 'automobile'; 'airplane'; 'truck'; 'dog']",ship
7,7,"['truck'; 'dog'; 'ship'; 'airplane'; 'deer'; 'cat']",truck
8,8,"['automobile'; 'bird'; 'frog'; 'truck'; 'dog'; 'deer']",bird
9,3,"['airplane'; 'truck'; 'deer'; 'automobile'; 'horse'; 'dog']",deer
10,4,"['dog'; 'automobile'; 'cat'; 'airplane'; 'bird'; 'ship']",automobile
11,7,"['deer'; 'truck'; 'cat'; 'dog'; 'ship'; 'airplane']",truck
12,7,"['deer'; 'truck'; 'airplane'; 'dog'; 'ship'; 'cat']",truck
13,2,"['truck'; 'ship'; 'dog'; 'horse'; 'automobile'; 'airplane']",dog
14,9,"['automobile'; 'horse'; 'cat'; 'bird'; 'airplane'; 'dog']",horse
15,9,"['cat'; 'automobile'; 'horse'; 'dog'; 'bird'; 'airplane']",horse
16,9,"['dog'; 'automobile'; 'airplane'; 'horse'; 'bird'; 'cat']",dog
17,3,"['truck'; 'automobile'; 'horse'; 'dog'; 'deer'; 'airplane']",truck
18,2,"['automobile'; 'horse'; 'ship'; 'truck'; 'dog'; 'airplane']",automobile
19,6,"['truck'; 'cat'; 'automobile'; 'deer'; 'airplane'; 'bird']",truck
20,4,"['cat'; 'airplane'; 'bird'; 'automobile'; 'ship'; 'dog']",airplane
21,3,"['airplane'; 'horse'; 'truck'; 'automobile'; 'deer'; 'dog']",airplane
22,6,"['cat'; 'airplane'; 'bird'; 'automobile'; 'truck'; 'deer']",airplane
23,6,"['cat'; 'bird'; 'deer'; 'automobile'; 'airplane'; 'truck']",truck
24,2,"['automobile'; 'truck'; 'dog'; 'airplane'; 'ship'; 'horse']",dog
25,6,"['automobile'; 'cat'; 'airplane'; 'deer'; 'bird'; 'truck']",cat
26,3,"['horse'; 'truck'; 'deer'; 'airplane'; 'dog'; 'automobile']",truck
27,5,"['bird'; 'frog'; 'horse'; 'truck'; 'ship'; 'automobile']",truck
28,4,"['ship'; 'dog'; 'airplane'; 'bird'; 'cat'; 'automobile']",airplane
29,0,"['truck'; 'dog'; 'cat'; 'bird'; 'automobile'; 'frog']",dog
30,0,"['truck'; 'frog'; 'automobile'; 'dog'; 'bird'; 'cat']",frog
31,9,"['horse'; 'automobile'; 'cat'; 'airplane'; 'dog'; 'bird']",horse
32,1,"['bird'; 'horse'; 'airplane'; 'cat'; 'dog'; 'frog']",airplane
33,3,"['deer'; 'dog'; 'automobile'; 'airplane'; 'truck'; 'horse']",truck
