index,true_label,candidate_labels,complementary_label
0,0,"['bannister'; 'basketball'; 'go-kart'; 'ice cream']",basketball
1,0,"['go-kart'; 'basketball'; 'ice cream'; 'bannister']",basketball
2,0,"['basketball'; 'bannister'; 'go-kart'; 'ice cream']",basketball
3,0,"['bannister'; 'basketball'; 'ice cream'; 'go-kart']",basketball
4,0,"['basketball'; 'bannister'; 'ice cream'; 'go-kart']",ice cream
5,0,"['go-kart'; 'bannister'; 'ice cream'; 'basketball']",ice cream
6,0,"['basketball'; 'ice cream'; 'go-kart'; 'bannister']",basketball
7,0,"['bannister'; 'go-kart'; 'ice cream'; 'basketball']",go-kart
8,0,"['bannister'; 'ice cream'; 'go-kart'; 'basketball']",ice cream
9,0,"['basketball'; 'bannister'; 'ice cream'; 'go-kart']",basketball
10,0,"['bannister'; 'ice cream'; 'basketball'; 'go-kart']",ice cream
11,0,"['ice cream'; 'go-kart'; 'bannister'; 'basketball']",go-kart
12,0,"['bannister'; 'go-kart'; 'ice cream'; 'basketball']",go-kart
13,0,"['go-kart'; 'ice cream'; 'basketball'; 'bannister']",ice cream
14,0,"['basketball'; 'go-kart'; 'ice cream'; 'bannister']",basketball
15,0,"['bannister'; 'basketball'; 'go-kart'; 'ice cream']",basketball
16,0,"['go-kart'; 'basketball'; 'ice cream'; 'bannister']",basketball
17,0,"['bannister'; 'go-kart'; 'basketball'; 'ice cream']",go-kart
18,0,"['ice cream'; 'go-kart'; 'bannister'; 'basketball']",bannister
19,0,"['bannister'; 'basketball'; 'go-kart'; 'ice cream']",basketball
20,0,"['ice cream'; 'bannister'; 'basketball'; 'go-kart']",basketball
21,0,"['basketball'; 'ice cream'; 'bannister'; 'go-kart']",basketball
22,0,"['ice cream'; 'basketball'; 'go-kart'; 'bannister']",basketball
23,0,"['go-kart'; 'basketball'; 'ice cream'; 'bannister']",basketball
24,0,"['ice cream'; 'basketball'; 'bannister'; 'go-kart']",basketball
25,0,"['bannister'; 'basketball'; 'ice cream'; 'go-kart']",basketball
26,0,"['bannister'; 'basketball'; 'go-kart'; 'ice cream']",basketball
27,0,"['ice cream'; 'basketball'; 'bannister'; 'go-kart']",basketball
28,0,"['go-kart'; 'basketball'; 'ice cream'; 'bannister']",basketball
29,0,"['bannister'; 'basketball'; 'ice cream'; 'go-kart']",basketball
30,0,"['ice cream'; 'basketball'; 'go-kart'; 'bannister']",basketball
31,0,"['ice cream'; 'bannister'; 'go-kart'; 'basketball']",bannister
32,0,"['ice cream'; 'go-kart'; 'basketball'; 'bannister']",go-kart
33,0,"['basketball'; 'bannister'; 'go-kart'; 'ice cream']",basketball
34,0,"['go-kart'; 'bannister'; 'ice cream'; 'basketball']",ice cream
35,0,"['bannister'; 'go-kart'; 'basketball'; 'ice cream']",go-kart
36,0,"['go-kart'; 'bannister'; 'basketball'; 'ice cream']",basketball
37,0,"['basketball'; 'ice cream'; 'go-kart'; 'bannister']",basketball
38,0,"['go-kart'; 'bannister'; 'basketball'; 'ice cream']",basketball
39,0,"['go-kart'; 'bannister'; 'ice cream'; 'basketball']",ice cream
40,0,"['basketball'; 'bannister'; 'go-kart'; 'ice cream']",basketball
41,0,"['basketball'; 'bannister'; 'go-kart'; 'ice cream']",go-kart
42,0,"['basketball'; 'go-kart'; 'bannister'; 'ice cream']",basketball
43,0,"['bannister'; 'go-kart'; 'ice cream'; 'basketball']",go-kart
44,0,"['basketball'; 'bannister'; 'ice cream'; 'go-kart']",ice cream
45,0,"['go-kart'; 'ice cream'; 'basketball'; 'bannister']",go-kart
