index,true_label,candidate_labels,complementary_label
0,8,"['na'; 'wo'; 'ha'; 'o'; 'tsu']",tsu
1,7,"['o'; 'ki'; 'ma'; 'su'; 'wo']",ki
2,0,"['ki'; 'na'; 'o'; 'wo'; 'ma']",na
3,1,"['ki'; 're'; 'su'; 'na'; 'tsu']",su
4,4,"['na'; 'ma'; 'tsu'; 'ya'; 're']",tsu
5,2,"['wo'; 'ya'; 'ma'; 'ki'; 'o']",ki
6,4,"['ma'; 'ya'; 'na'; 're'; 'tsu']",tsu
7,8,"['ha'; 'na'; 'wo'; 'o'; 'tsu']",na
8,1,"['na'; 'su'; 're'; 'tsu'; 'ki']",su
9,1,"['ki'; 'tsu'; 're'; 'na'; 'su']",tsu
10,5,"['ha'; 'tsu'; 'o'; 'su'; 'na']",na
11,1,"['ki'; 'na'; 'su'; 're'; 'tsu']",na
12,0,"['o'; 'ma'; 'ki'; 'wo'; 'na']",na
13,5,"['su'; 'ha'; 'tsu'; 'na'; 'o']",na
14,7,"['o'; 'wo'; 'ma'; 'ki'; 'su']",ki
15,6,"['su'; 'ya'; 'ki'; 'na'; 'ha']",ha
16,1,"['tsu'; 'na'; 'su'; 're'; 'ki']",na
17,7,"['wo'; 'ma'; 'ki'; 'su'; 'o']",o
18,9,"['re'; 'ki'; 'ma'; 'na'; 'o']",na
19,5,"['ha'; 'o'; 'su'; 'na'; 'tsu']",na
20,7,"['o'; 'wo'; 'ki'; 'ma'; 'su']",ki
21,3,"['ha'; 'tsu'; 'o'; 're'; 'ma']",o
22,7,"['ma'; 'wo'; 'su'; 'o'; 'ki']",o
23,5,"['o'; 'ha'; 'na'; 'su'; 'tsu']",na
24,6,"['ha'; 'su'; 'ya'; 'ki'; 'na']",na
25,6,"['ha'; 'na'; 'ya'; 'su'; 'ki']",na
26,2,"['ya'; 'ma'; 'ki'; 'wo'; 'o']",ki
27,7,"['wo'; 'ma'; 'ki'; 'o'; 'su']",ki
28,6,"['ki'; 'su'; 'na'; 'ha'; 'ya']",na
29,0,"['ki'; 'wo'; 'na'; 'ma'; 'o']",na
30,9,"['na'; 'ma'; 're'; 'ki'; 'o']",na
31,6,"['ya'; 'ha'; 'na'; 'ki'; 'su']",su
32,1,"['su'; 'tsu'; 'na'; 'ki'; 're']",na
33,5,"['ha'; 'tsu'; 'o'; 'su'; 'na']",na
