index,true_label,cluster_id,candidate_labels,complementary_label
0,6,33,"['automobile'; 'deer'; 'airplane'; 'frog']",
1,9,25,"['frog'; 'automobile'; 'horse'; 'truck']",
2,9,11,"['automobile'; 'cat'; 'ship'; 'horse']",
3,4,38,"['bird'; 'airplane'; 'dog'; 'deer']",
4,1,9,"['automobile'; 'bird'; 'frog'; 'truck']",
5,1,43,"['truck'; 'bird'; 'horse'; 'ship']",
6,2,42,"['automobile'; 'bird'; 'ship'; 'horse']",
7,7,12,"['deer'; 'automobile'; 'frog'; 'ship']",
8,8,28,"['bird'; 'truck'; 'ship'; 'frog']",
9,3,46,"['ship'; 'dog'; 'horse'; 'airplane']",
10,4,8,"['cat'; 'dog'; 'bird'; 'airplane']",
11,7,4,"['ship'; 'airplane'; 'cat'; 'dog']",
12,7,12,"['ship'; 'frog'; 'automobile'; 'deer']",
13,2,46,"['ship'; 'airplane'; 'dog'; 'horse']",
14,9,7,"['frog'; 'bird'; 'dog'; 'truck']",
15,9,25,"['frog'; 'automobile'; 'horse'; 'truck']",
16,9,25,"['horse'; 'frog'; 'truck'; 'automobile']",
17,3,26,"['cat'; 'deer'; 'bird'; 'dog']",
18,2,10,"['airplane'; 'deer'; 'truck'; 'dog']",
19,6,21,"['dog'; 'cat'; 'ship'; 'frog']",
20,4,42,"['horse'; 'bird'; 'automobile'; 'ship']",
21,3,27,"['truck'; 'ship'; 'deer'; 'dog']",
22,6,33,"['airplane'; 'deer'; 'frog'; 'automobile']",
23,6,16,"['frog'; 'automobile'; 'cat'; 'deer']",
24,2,21,"['dog'; 'ship'; 'cat'; 'frog']",
25,6,27,"['ship'; 'deer'; 'dog'; 'truck']",
26,3,14,"['automobile'; 'frog'; 'cat'; 'airplane']",
27,5,21,"['dog'; 'frog'; 'cat'; 'ship']",
28,4,32,"['deer'; 'horse'; 'frog'; 'ship']",
29,0,46,"['dog'; 'ship'; 'horse'; 'airplane']",
30,0,30,"['dog'; 'bird'; 'airplane'; 'automobile']",
31,9,7,"['dog'; 'bird'; 'truck'; 'frog']",
32,1,43,"['ship'; 'truck'; 'horse'; 'bird']",
33,3,26,"['bird'; 'deer'; 'dog'; 'cat']",
34,4,38,"['bird'; 'deer'; 'airplane'; 'dog']",
35,0,5,"['frog'; 'horse'; 'cat'; 'ship']",
36,3,41,"['ship'; 'automobile'; 'cat'; 'dog']",
37,7,12,"['frog'; 'automobile'; 'deer'; 'ship']",
38,3,26,"['dog'; 'deer'; 'bird'; 'cat']",
39,3,1,"['dog'; 'bird'; 'cat'; 'automobile']",
40,5,40,"['airplane'; 'dog'; 'deer'; 'cat']",
41,2,0,"['deer'; 'automobile'; 'airplane'; 'truck']",
42,2,45,"['dog'; 'cat'; 'frog'; 'deer']",
43,7,12,"['deer'; 'ship'; 'automobile'; 'frog']",
44,1,43,"['ship'; 'horse'; 'truck'; 'bird']",
45,1,23,"['airplane'; 'deer'; 'dog'; 'frog']",
46,1,48,"['ship'; 'deer'; 'cat'; 'airplane']",
47,2,13,"['truck'; 'dog'; 'ship'; 'cat']",
48,2,0,"['airplane'; 'truck'; 'automobile'; 'deer']",
49,0,11,"['horse'; 'ship'; 'cat'; 'automobile']",
50,9,11,"['automobile'; 'cat'; 'horse'; 'ship']",
51,5,26,"['cat'; 'deer'; 'bird'; 'dog']",
52,7,12,"['deer'; 'frog'; 'automobile'; 'ship']",
53,9,25,"['automobile'; 'frog'; 'truck'; 'horse']",
54,2,47,"['cat'; 'automobile'; 'bird'; 'truck']",
55,2,0,"['airplane'; 'automobile'; 'truck'; 'deer']",
56,5,27,"['dog'; 'ship'; 'deer'; 'truck']",
57,2,13,"['truck'; 'ship'; 'cat'; 'dog']",
58,4,8,"['bird'; 'cat'; 'airplane'; 'dog']",
59,3,14,"['frog'; 'airplane'; 'automobile'; 'cat']",
60,1,48,"['cat'; 'ship'; 'airplane'; 'deer']",
61,1,3,"['automobile'; 'ship'; 'cat'; 'airplane']",
62,8,39,"['horse'; 'dog'; 'ship'; 'airplane']",
63,2,34,"['deer'; 'cat'; 'dog'; 'automobile']",
64,1,43,"['bird'; 'truck'; 'ship'; 'horse']",
65,1,48,"['cat'; 'ship'; 'airplane'; 'deer']",
66,4,42,"['horse'; 'automobile'; 'ship'; 'bird']",
67,9,24,"['dog'; 'truck'; 'ship'; 'cat']",
68,7,18,"['deer'; 'ship'; 'cat'; 'automobile']",
69,8,31,"['bird'; 'cat'; 'frog'; 'automobile']",
70,5,46,"['ship'; 'dog'; 'horse'; 'airplane']",
71,9,7,"['dog'; 'bird'; 'truck'; 'frog']",
72,6,49,"['cat'; 'airplane'; 'automobile'; 'dog']",
73,7,18,"['cat'; 'ship'; 'automobile'; 'deer']",
74,3,21,"['frog'; 'ship'; 'dog'; 'cat']",
75,1,3,"['automobile'; 'cat'; 'airplane'; 'ship']",
76,9,25,"['frog'; 'automobile'; 'truck'; 'horse']",
77,0,30,"['airplane'; 'bird'; 'dog'; 'automobile']",
78,3,21,"['dog'; 'cat'; 'frog'; 'ship']",
79,1,3,"['automobile'; 'airplane'; 'cat'; 'ship']",
80,3,17,"['truck'; 'ship'; 'dog'; 'bird']",
81,5,46,"['ship'; 'horse'; 'airplane'; 'dog']",
82,4,8,"['airplane'; 'bird'; 'dog'; 'cat']",
83,5,1,"['dog'; 'automobile'; 'cat'; 'bird']",
84,7,38,"['deer'; 'bird'; 'airplane'; 'dog']",
85,7,34,"['cat'; 'automobile'; 'deer'; 'dog']",
86,4,38,"['bird'; 'dog'; 'deer'; 'airplane']",
87,7,18,"['cat'; 'deer'; 'automobile'; 'ship']",
88,9,24,"['dog'; 'ship'; 'truck'; 'cat']",
89,4,1,"['bird'; 'automobile'; 'cat'; 'dog']",
90,2,49,"['dog'; 'automobile'; 'airplane'; 'cat']",
91,3,26,"['dog'; 'deer'; 'cat'; 'bird']",
92,8,31,"['bird'; 'automobile'; 'cat'; 'frog']",
93,0,30,"['automobile'; 'airplane'; 'bird'; 'dog']",
94,1,43,"['horse'; 'truck'; 'ship'; 'bird']",
95,6,16,"['cat'; 'frog'; 'deer'; 'automobile']",
96,1,48,"['airplane'; 'deer'; 'cat'; 'ship']",
97,1,48,"['ship'; 'cat'; 'airplane'; 'deer']",
98,4,21,"['ship'; 'frog'; 'cat'; 'dog']",
99,1,9,"['automobile'; 'frog'; 'truck'; 'bird']",
100,8,6,"['deer'; 'frog'; 'airplane'; 'truck']",
101,3,20,"['horse'; 'dog'; 'deer'; 'frog']",
102,9,7,"['bird'; 'truck'; 'dog'; 'frog']",
103,6,33,"['frog'; 'automobile'; 'deer'; 'airplane']",
104,6,33,"['automobile'; 'frog'; 'airplane'; 'deer']",
105,1,3,"['airplane'; 'ship'; 'cat'; 'automobile']",
106,8,31,"['frog'; 'cat'; 'bird'; 'automobile']",
107,5,26,"['dog'; 'cat'; 'bird'; 'deer']",
108,2,10,"['deer'; 'dog'; 'airplane'; 'truck']",
109,9,25,"['frog'; 'truck'; 'automobile'; 'horse']",
110,9,9,"['truck'; 'frog'; 'automobile'; 'bird']",
111,8,39,"['ship'; 'dog'; 'airplane'; 'horse']",
112,1,48,"['ship'; 'deer'; 'cat'; 'airplane']",
113,7,21,"['ship'; 'dog'; 'cat'; 'frog']",
114,7,8,"['cat'; 'airplane'; 'bird'; 'dog']",
115,0,22,"['frog'; 'truck'; 'cat'; 'airplane']",
116,0,30,"['airplane'; 'dog'; 'automobile'; 'bird']",
117,6,49,"['cat'; 'automobile'; 'airplane'; 'dog']",
118,9,7,"['truck'; 'frog'; 'dog'; 'bird']",
119,1,3,"['ship'; 'cat'; 'automobile'; 'airplane']",
120,2,10,"['deer'; 'airplane'; 'dog'; 'truck']",
121,2,45,"['dog'; 'cat'; 'deer'; 'frog']",
122,9,7,"['frog'; 'dog'; 'truck'; 'bird']",
123,2,14,"['automobile'; 'cat'; 'frog'; 'airplane']",
124,6,15,"['deer'; 'automobile'; 'cat'; 'frog']",
125,6,16,"['cat'; 'deer'; 'frog'; 'automobile']",
126,1,3,"['automobile'; 'cat'; 'airplane'; 'ship']",
127,9,24,"['truck'; 'cat'; 'ship'; 'dog']",
128,5,20,"['deer'; 'frog'; 'horse'; 'dog']",
129,0,44,"['cat'; 'deer'; 'frog'; 'ship']",
130,4,8,"['bird'; 'dog'; 'airplane'; 'cat']",
131,7,4,"['ship'; 'cat'; 'dog'; 'airplane']",
132,6,26,"['deer'; 'cat'; 'bird'; 'dog']",
133,7,4,"['ship'; 'airplane'; 'dog'; 'cat']",
134,1,3,"['ship'; 'airplane'; 'automobile'; 'cat']",
