index,true_label,candidate_labels,complementary_label
0,8,"['na'; 'ki'; 'wo'; 'tsu'; 'su'; 'ha'; 're'; 'ya'; 'o']",ki
1,7,"['ki'; 'ma'; 'na'; 'ya'; 'ha'; 'su'; 'wo'; 'tsu'; 're']",su
2,0,"['tsu'; 'ki'; 're'; 'na'; 'ha'; 'o'; 'su'; 'wo'; 'ma']",ki
3,1,"['ma'; 'o'; 'ha'; 'ki'; 'su'; 'wo'; 'ya'; 're'; 'na']",na
4,4,"['re'; 'tsu'; 'ha'; 'na'; 'ya'; 'ma'; 'o'; 'su'; 'ki']",re
5,2,"['o'; 'wo'; 'su'; 'na'; 're'; 'tsu'; 'ha'; 'ki'; 'ma']",su
6,4,"['ki'; 'na'; 'o'; 'ha'; 'ma'; 'ya'; 'su'; 'tsu'; 're']",na
7,8,"['ha'; 'ki'; 'o'; 'wo'; 'tsu'; 're'; 'su'; 'na'; 'ya']",tsu
8,1,"['wo'; 'na'; 're'; 'o'; 'ha'; 'ki'; 'su'; 'ma'; 'ya']",na
9,1,"['su'; 'na'; 'ma'; 'ya'; 'wo'; 'o'; 're'; 'ha'; 'ki']",na
10,5,"['na'; 'ya'; 'su'; 'ki'; 'ma'; 'o'; 'wo'; 'ha'; 'tsu']",su
11,1,"['ki'; 'o'; 'na'; 'wo'; 'ya'; 'ha'; 'su'; 're'; 'ma']",na
12,0,"['na'; 're'; 'ki'; 'su'; 'o'; 'ha'; 'wo'; 'tsu'; 'ma']",na
13,5,"['ki'; 'na'; 'o'; 'tsu'; 'ha'; 'wo'; 'su'; 'ya'; 'ma']",na
14,7,"['re'; 'ya'; 'tsu'; 'ha'; 'wo'; 'su'; 'na'; 'ki'; 'ma']",tsu
15,6,"['na'; 'wo'; 'o'; 'ma'; 'su'; 'tsu'; 're'; 'ki'; 'ya']",na
16,1,"['ha'; 'ma'; 'ya'; 'wo'; 'su'; 'o'; 're'; 'ki'; 'na']",na
17,7,"['na'; 'ha'; 'ki'; 'ya'; 'wo'; 'ma'; 'tsu'; 're'; 'su']",tsu
18,9,"['o'; 'wo'; 'ma'; 'tsu'; 'ya'; 're'; 'ki'; 'ha'; 'su']",tsu
19,5,"['su'; 'ki'; 'na'; 'wo'; 'ma'; 'tsu'; 'ya'; 'o'; 'ha']",ki
20,7,"['wo'; 'ha'; 'ki'; 'ya'; 'ma'; 'tsu'; 're'; 'na'; 'su']",tsu
21,3,"['tsu'; 'ki'; 'o'; 'wo'; 're'; 'na'; 'su'; 'ha'; 'ma']",ki
22,7,"['wo'; 'ki'; 'ya'; 'na'; 're'; 'ma'; 'tsu'; 'su'; 'ha']",ki
23,5,"['ma'; 'o'; 'su'; 'ya'; 'na'; 'ki'; 'wo'; 'ha'; 'tsu']",na
24,6,"['wo'; 're'; 'ma'; 'ki'; 'na'; 'su'; 'ya'; 'tsu'; 'o']",su
