index,true_label,candidate_labels,complementary_label
0,19,"['flatfish'; 'clock'; 'wardrobe'; 'rocket'; 'chimpanzee']",clock
1,29,"['bee'; 'wolf'; 'streetcar'; 'butterfly'; 'cattle']",streetcar
2,0,"['beaver'; 'hamster'; 'sunflower'; 'camel'; 'whale']",camel
3,11,"['wardrobe'; 'can'; 'mountain'; 'pine_tree'; 'rocket']",mountain
4,1,"['dinosaur'; 'flatfish'; 'butterfly'; 'caterpillar'; 'whale']",whale
5,86,"['hamster'; 'snail'; 'tulip'; 'crab'; 'lion']",lion
6,90,"['can'; 'chair'; 'worm'; 'forest'; 'streetcar']",chair
7,28,"['dinosaur'; 'castle'; 'possum'; 'boy'; 'raccoon']",castle
8,23,"['girl'; 'tulip'; 'shark'; 'cup'; 'bicycle']",shark
9,31,"['snail'; 'road'; 'mouse'; 'plain'; 'mountain']",road
10,39,"['apple'; 'chair'; 'woman'; 'rose'; 'road']",chair
11,96,"['bus'; 'lobster'; 'television'; 'elephant'; 'tank']",lobster
12,82,"['trout'; 'table'; 'kangaroo'; 'snake'; 'rocket']",table
13,17,"['crocodile'; 'train'; 'telephone'; 'girl'; 'man']",girl
14,71,"['bowl'; 'television'; 'cloud'; 'bicycle'; 'snail']",television
15,39,"['apple'; 'chair'; 'rose'; 'woman'; 'road']",rose
16,8,"['woman'; 'hamster'; 'cup'; 'lizard'; 'chair']",hamster
17,97,"['whale'; 'sea'; 'oak_tree'; 'cattle'; 'spider']",whale
18,80,"['possum'; 'can'; 'lizard'; 'bicycle'; 'forest']",bicycle
19,71,"['television'; 'bicycle'; 'cloud'; 'snail'; 'bowl']",bowl
20,74,"['seal'; 'tank'; 'raccoon'; 'orange'; 'skunk']",orange
21,59,"['cockroach'; 'rocket'; 'pear'; 'orchid'; 'castle']",castle
22,70,"['beetle'; 'rabbit'; 'chair'; 'ray'; 'possum']",chair
23,87,"['forest'; 'streetcar'; 'crab'; 'tiger'; 'possum']",crab
24,59,"['pear'; 'cockroach'; 'rocket'; 'castle'; 'orchid']",castle
25,84,"['tank'; 'bus'; 'forest'; 'castle'; 'butterfly']",forest
26,64,"['chimpanzee'; 'apple'; 'mushroom'; 'motorcycle'; 'beetle']",apple
27,52,"['bottle'; 'raccoon'; 'dolphin'; 'leopard'; 'girl']",raccoon
28,42,"['bicycle'; 'wardrobe'; 'bowl'; 'woman'; 'porcupine']",wardrobe
29,64,"['motorcycle'; 'mushroom'; 'chimpanzee'; 'beetle'; 'apple']",chimpanzee
30,8,"['chair'; 'cup'; 'hamster'; 'woman'; 'lizard']",hamster
31,17,"['crocodile'; 'train'; 'telephone'; 'man'; 'girl']",train
32,47,"['table'; 'motorcycle'; 'telephone'; 'ray'; 'pear']",ray
33,65,"['hamster'; 'orchid'; 'pickup_truck'; 'forest'; 'mountain']",orchid
34,21,"['tiger'; 'dinosaur'; 'worm'; 'leopard'; 'seal']",dinosaur
35,22,"['beaver'; 'beetle'; 'oak_tree'; 'lawn_mower'; 'dolphin']",beaver
36,81,"['chair'; 'maple_tree'; 'elephant'; 'hamster'; 'palm_tree']",hamster
37,11,"['pine_tree'; 'rocket'; 'mountain'; 'can'; 'wardrobe']",pine_tree
38,24,"['cup'; 'lawn_mower'; 'table'; 'possum'; 'mushroom']",cup
