index,true_label,candidate_labels,complementary_label
0,19,"['man'; 'tractor'; 'snail'; 'baby']",snail
1,29,"['hamster'; 'skunk'; 'bottle'; 'cup']",bottle
2,0,"['cattle'; 'streetcar'; 'skyscraper'; 'otter']",skyscraper
3,11,"['sweet_pepper'; 'apple'; 'kangaroo'; 'woman']",kangaroo
4,1,"['sunflower'; 'pickup_truck'; 'fox'; 'forest']",pickup_truck
5,86,"['bed'; 'maple_tree'; 'bear'; 'baby']",bear
6,90,"['apple'; 'lawn_mower'; 'palm_tree'; 'lion']",palm_tree
7,28,"['chair'; 'lawn_mower'; 'clock'; 'telephone']",chair
8,23,"['house'; 'telephone'; 'wardrobe'; 'sea']",wardrobe
9,31,"['shark'; 'possum'; 'apple'; 'bee']",apple
10,39,"['wardrobe'; 'table'; 'wolf'; 'dolphin']",wolf
11,96,"['woman'; 'butterfly'; 'chimpanzee'; 'bridge']",butterfly
12,82,"['apple'; 'sea'; 'whale'; 'house']",whale
13,17,"['bee'; 'cattle'; 'man'; 'crocodile']",crocodile
14,71,"['bridge'; 'lizard'; 'pear'; 'beetle']",lizard
15,39,"['wolf'; 'table'; 'dolphin'; 'wardrobe']",wardrobe
16,8,"['bowl'; 'train'; 'snake'; 'streetcar']",snake
17,97,"['poppy'; 'elephant'; 'telephone'; 'beetle']",telephone
18,80,"['baby'; 'lion'; 'elephant'; 'sea']",lion
19,71,"['bridge'; 'pear'; 'lizard'; 'beetle']",lizard
20,74,"['cockroach'; 'orchid'; 'caterpillar'; 'pear']",orchid
21,59,"['caterpillar'; 'tank'; 'baby'; 'willow_tree']",caterpillar
22,70,"['cockroach'; 'elephant'; 'flatfish'; 'worm']",elephant
23,87,"['pine_tree'; 'sunflower'; 'shrew'; 'crab']",shrew
24,59,"['willow_tree'; 'tank'; 'caterpillar'; 'baby']",tank
25,84,"['orchid'; 'skyscraper'; 'turtle'; 'pine_tree']",skyscraper
26,64,"['apple'; 'bowl'; 'bridge'; 'bottle']",bowl
27,52,"['rabbit'; 'clock'; 'streetcar'; 'trout']",clock
28,42,"['can'; 'squirrel'; 'shark'; 'rose']",shark
29,64,"['bridge'; 'bowl'; 'bottle'; 'apple']",apple
30,8,"['train'; 'streetcar'; 'snake'; 'bowl']",snake
31,17,"['cattle'; 'crocodile'; 'bee'; 'man']",crocodile
32,47,"['trout'; 'plate'; 'raccoon'; 'aquarium_fish']",plate
33,65,"['aquarium_fish'; 'pine_tree'; 'table'; 'lion']",table
34,21,"['orange'; 'kangaroo'; 'hamster'; 'beetle']",hamster
35,22,"['couch'; 'worm'; 'whale'; 'orange']",worm
36,81,"['snake'; 'spider'; 'skyscraper'; 'sea']",skyscraper
