index,true_label,candidate_labels,complementary_label
0,8,"['tsu'; 'na'; 'ki'; 'o'; 'su'; 'ya'; 'ma']",na
1,7,"['tsu'; 'ma'; 're'; 'ki'; 'wo'; 'ha'; 'o']",ha
2,0,"['re'; 'ki'; 'wo'; 'na'; 'ha'; 'ma'; 'o']",na
3,1,"['re'; 'o'; 'ya'; 'ma'; 'ha'; 'wo'; 'ki']",o
4,4,"['ha'; 'ya'; 'ki'; 'na'; 'su'; 're'; 'o']",na
5,2,"['ma'; 're'; 'ki'; 'tsu'; 'na'; 'o'; 'wo']",na
6,4,"['ha'; 'ki'; 're'; 'na'; 'ya'; 'o'; 'su']",ki
7,8,"['na'; 'ki'; 'ma'; 'o'; 'tsu'; 'su'; 'ya']",tsu
8,1,"['re'; 'o'; 'ki'; 'ma'; 'ya'; 'ha'; 'wo']",o
9,1,"['ki'; 'ha'; 'ma'; 'o'; 're'; 'wo'; 'ya']",ha
10,5,"['ha'; 'ki'; 'wo'; 'ya'; 'ma'; 'na'; 'su']",ki
11,1,"['ki'; 'wo'; 'ya'; 're'; 'ma'; 'o'; 'ha']",ha
12,0,"['ha'; 'na'; 'o'; 'wo'; 'ma'; 're'; 'ki']",na
13,5,"['ma'; 'ya'; 'su'; 'na'; 'wo'; 'ha'; 'ki']",na
14,7,"['wo'; 'o'; 'ha'; 're'; 'ki'; 'ma'; 'tsu']",tsu
15,6,"['wo'; 'o'; 'tsu'; 'su'; 'na'; 'ki'; 'ya']",na
16,1,"['ma'; 'ha'; 'ki'; 'ya'; 'o'; 're'; 'wo']",o
17,7,"['ha'; 're'; 'ki'; 'o'; 'tsu'; 'ma'; 'wo']",tsu
18,9,"['re'; 'ya'; 'ma'; 'wo'; 'ki'; 'ha'; 'su']",ha
19,5,"['wo'; 'na'; 'ya'; 'ki'; 'ha'; 'su'; 'ma']",na
20,7,"['re'; 'wo'; 'ha'; 'ma'; 'tsu'; 'o'; 'ki']",tsu
21,3,"['ki'; 'wo'; 'ya'; 'o'; 'ma'; 'tsu'; 'na']",tsu
22,7,"['tsu'; 'ma'; 'wo'; 'ha'; 'ki'; 'o'; 're']",o
23,5,"['ha'; 'ki'; 'na'; 'wo'; 'su'; 'ya'; 'ma']",ki
24,6,"['ki'; 'wo'; 'su'; 'na'; 'ya'; 'tsu'; 'o']",su
25,6,"['o'; 'ki'; 'tsu'; 'ya'; 'na'; 'wo'; 'su']",na
26,2,"['ma'; 'na'; 'tsu'; 'wo'; 'ki'; 're'; 'o']",na
27,7,"['tsu'; 'o'; 'ma'; 're'; 'ha'; 'ki'; 'wo']",o
28,6,"['wo'; 'na'; 'tsu'; 'ya'; 'su'; 'o'; 'ki']",na
29,0,"['na'; 'ki'; 'ma'; 're'; 'wo'; 'ha'; 'o']",na
30,9,"['ya'; 'ma'; 're'; 'wo'; 'su'; 'ki'; 'ha']",ha
31,6,"['wo'; 'o'; 'na'; 'ki'; 'su'; 'tsu'; 'ya']",su
32,1,"['re'; 'ma'; 'ya'; 'wo'; 'o'; 'ha'; 'ki']",ha
33,5,"['na'; 'ha'; 'su'; 'ma'; 'wo'; 'ya'; 'ki']",na
34,9,"['wo'; 'ki'; 'su'; 're'; 'ha'; 'ma'; 'ya']",ki
35,5,"['na'; 'ma'; 'ki'; 'ha'; 'su'; 'wo'; 'ya']",na
36,8,"['tsu'; 'ma'; 'su'; 'ya'; 'o'; 'ki'; 'na']",na
37,0,"['wo'; 'ki'; 're'; 'ha'; 'ma'; 'o'; 'na']",na
38,0,"['wo'; 'o'; 'ma'; 're'; 'ki'; 'ha'; 'na']",na
39,8,"['ma'; 'su'; 'o'; 'ki'; 'na'; 'ya'; 'tsu']",su
40,8,"['na'; 'o'; 'tsu'; 'ki'; 'su'; 'ma'; 'ya']",tsu
41,6,"['ya'; 'na'; 'wo'; 'o'; 'tsu'; 'ki'; 'su']",tsu
42,7,"['wo'; 'ha'; 'ma'; 'tsu'; 're'; 'o'; 'ki']",tsu
43,7,"['wo'; 'o'; 'ma'; 'tsu'; 're'; 'ki'; 'ha']",ha
44,7,"['ma'; 'o'; 're'; 'ha'; 'wo'; 'tsu'; 'ki']",tsu
45,8,"['ya'; 'tsu'; 'na'; 'ki'; 'o'; 'ma'; 'su']",tsu
46,1,"['ki'; 'ma'; 'ha'; 'wo'; 'o'; 're'; 'ya']",wo
47,9,"['su'; 'ki'; 'ya'; 'wo'; 'ha'; 're'; 'ma']",ki
48,6,"['wo'; 'ki'; 'su'; 'na'; 'ya'; 'tsu'; 'o']",su
49,0,"['wo'; 'ha'; 'ki'; 'o'; 're'; 'na'; 'ma']",na
50,5,"['ya'; 'ki'; 'ha'; 'su'; 'ma'; 'na'; 'wo']",ki
51,1,"['ma'; 'ki'; 'wo'; 'o'; 're'; 'ya'; 'ha']",ha
52,1,"['ki'; 'wo'; 'ha'; 'ma'; 'ya'; 'o'; 're']",wo
53,1,"['re'; 'ya'; 'o'; 'ki'; 'ha'; 'ma'; 'wo']",o
54,3,"['tsu'; 'ya'; 'o'; 'wo'; 'na'; 'ki'; 'ma']",na
55,2,"['ma'; 'na'; 'ki'; 'wo'; 'tsu'; 're'; 'o']",tsu
56,2,"['o'; 'na'; 'ma'; 'ki'; 're'; 'wo'; 'tsu']",tsu
57,6,"['ya'; 'na'; 'o'; 'wo'; 'su'; 'ki'; 'tsu']",na
58,4,"['ki'; 'na'; 'su'; 'ha'; 're'; 'o'; 'ya']",na
59,3,"['tsu'; 'ki'; 'ma'; 'o'; 'na'; 'ya'; 'wo']",ki
60,5,"['ki'; 'su'; 'na'; 'ya'; 'ha'; 'wo'; 'ma']",na
61,5,"['su'; 'ki'; 'ha'; 'wo'; 'na'; 'ma'; 'ya']",ki
62,4,"['su'; 'ha'; 'o'; 'ki'; 'ya'; 're'; 'na']",na
63,6,"['wo'; 'ya'; 'ki'; 'tsu'; 'na'; 'su'; 'o']",tsu
64,6,"['tsu'; 'ki'; 'na'; 'su'; 'o'; 'wo'; 'ya']",na
65,1,"['ya'; 'ki'; 'ma'; 'ha'; 'wo'; 'o'; 're']",ki
66,7,"['o'; 'ma'; 'ha'; 'tsu'; 're'; 'wo'; 'ki']",tsu
67,8,"['na'; 'ya'; 'ki'; 'o'; 'su'; 'ma'; 'tsu']",su
68,8,"['ma'; 'ki'; 'ya'; 'su'; 'na'; 'o'; 'tsu']",su
69,3,"['na'; 'wo'; 'ki'; 'ya'; 'ma'; 'o'; 'tsu']",tsu
70,1,"['ki'; 'o'; 'wo'; 'ma'; 're'; 'ha'; 'ya']",o
71,9,"['wo'; 'ki'; 'ya'; 're'; 'su'; 'ma'; 'ha']",ki
72,9,"['wo'; 'ki'; 'ma'; 're'; 'ha'; 'su'; 'ya']",ki
73,3,"['o'; 'tsu'; 'na'; 'wo'; 'ki'; 'ma'; 'ya']",tsu
74,2,"['ki'; 're'; 'o'; 'wo'; 'na'; 'tsu'; 'ma']",tsu
75,1,"['ya'; 'o'; 'ki'; 'ma'; 'wo'; 'ha'; 're']",re
76,0,"['ki'; 'na'; 'o'; 'ha'; 're'; 'wo'; 'ma']",na
77,4,"['re'; 'ha'; 'ki'; 'o'; 'na'; 'ya'; 'su']",na
78,8,"['ma'; 'o'; 'ki'; 'ya'; 'na'; 'tsu'; 'su']",tsu
79,2,"['tsu'; 'na'; 'ma'; 'wo'; 'ki'; 'o'; 're']",na
80,3,"['ki'; 'ma'; 'ya'; 'o'; 'na'; 'wo'; 'tsu']",tsu
81,6,"['su'; 'o'; 'wo'; 'ya'; 'ki'; 'na'; 'tsu']",na
82,9,"['wo'; 'ha'; 'su'; 'ki'; 're'; 'ya'; 'ma']",re
