index,true_label,candidate_labels,complementary_label
0,5,"['five'; 'two'; 'zero'; 'three'; 'four']",zero
1,0,"['zero'; 'nine'; 'one'; 'four'; 'six']",nine
2,4,"['four'; 'three'; 'eight'; 'seven'; 'six']",three
3,1,"['eight'; 'two'; 'three'; 'four'; 'one']",two
4,9,"['eight'; 'four'; 'zero'; 'six'; 'one']",zero
5,2,"['one'; 'zero'; 'nine'; 'six'; 'seven']",zero
6,1,"['eight'; 'two'; 'one'; 'four'; 'three']",two
7,3,"['six'; 'eight'; 'three'; 'zero'; 'five']",zero
8,1,"['three'; 'one'; 'eight'; 'four'; 'two']",one
9,4,"['four'; 'eight'; 'six'; 'seven'; 'three']",eight
10,3,"['six'; 'five'; 'zero'; 'three'; 'eight']",zero
11,5,"['two'; 'three'; 'four'; 'five'; 'zero']",zero
12,3,"['six'; 'zero'; 'five'; 'three'; 'eight']",zero
13,6,"['seven'; 'one'; 'two'; 'five'; 'four']",one
14,1,"['one'; 'four'; 'two'; 'three'; 'eight']",four
15,7,"['one'; 'zero'; 'two'; 'six'; 'nine']",zero
16,2,"['seven'; 'one'; 'six'; 'zero'; 'nine']",zero
17,8,"['four'; 'three'; 'five'; 'zero'; 'nine']",zero
18,6,"['four'; 'five'; 'two'; 'one'; 'seven']",five
19,9,"['six'; 'eight'; 'one'; 'zero'; 'four']",zero
20,4,"['three'; 'six'; 'four'; 'eight'; 'seven']",eight
21,0,"['four'; 'nine'; 'one'; 'six'; 'zero']",zero
22,9,"['eight'; 'zero'; 'four'; 'one'; 'six']",zero
23,1,"['two'; 'four'; 'eight'; 'three'; 'one']",four
24,1,"['two'; 'eight'; 'four'; 'one'; 'three']",eight
25,2,"['zero'; 'one'; 'nine'; 'six'; 'seven']",seven
26,4,"['four'; 'seven'; 'three'; 'six'; 'eight']",three
27,3,"['six'; 'zero'; 'three'; 'five'; 'eight']",zero
28,2,"['seven'; 'zero'; 'nine'; 'six'; 'one']",zero
