index,true_label,candidate_labels,complementary_label
0,6,"['dog', 'bird', 'cat', 'truck']",truck
1,9,"['automobile', 'ship', 'horse', 'bird']",ship
2,9,"['automobile', 'ship', 'horse', 'bird']",horse
3,4,"['dog', 'bird', 'horse', 'truck']",truck
4,1,"['truck', 'ship', 'deer', 'horse']",deer
5,1,"['truck', 'ship', 'deer', 'horse']",deer
6,2,"['dog', 'deer', 'frog', 'horse']",deer
7,7,"['deer', 'dog', 'truck', 'bird']",truck
8,8,"['truck', 'bird', 'automobile', 'deer']",bird
9,3,"['dog', 'bird', 'horse', 'truck']",truck
10,4,"['dog', 'bird', 'horse', 'truck']",truck
11,7,"['deer', 'dog', 'truck', 'bird']",truck
12,7,"['deer', 'dog', 'truck', 'bird']",truck
13,2,"['dog', 'deer', 'frog', 'horse']",deer
14,9,"['automobile', 'ship', 'horse', 'bird']",ship
15,9,"['automobile', 'ship', 'horse', 'bird']",horse
16,9,"['automobile', 'ship', 'horse', 'bird']",ship
17,3,"['dog', 'bird', 'horse', 'truck']",truck
18,2,"['dog', 'deer', 'frog', 'horse']",deer
19,6,"['dog', 'bird', 'cat', 'truck']",truck
20,4,"['dog', 'bird', 'horse', 'truck']",truck
21,3,"['dog', 'bird', 'horse', 'truck']",truck
22,6,"['dog', 'bird', 'cat', 'truck']",truck
23,6,"['dog', 'bird', 'cat', 'truck']",truck
24,2,"['dog', 'deer', 'frog', 'horse']",deer
25,6,"['dog', 'bird', 'cat', 'truck']",truck
26,3,"['dog', 'bird', 'horse', 'truck']",truck
27,5,"['horse', 'truck', 'bird', 'deer']",truck
28,4,"['dog', 'bird', 'horse', 'truck']",truck
29,0,"['bird', 'ship', 'automobile', 'truck']",bird
30,0,"['bird', 'ship', 'automobile', 'truck']",bird
31,9,"['automobile', 'ship', 'horse', 'bird']",ship
32,1,"['truck', 'ship', 'deer', 'horse']",deer
33,3,"['dog', 'bird', 'horse', 'truck']",truck
34,4,"['dog', 'bird', 'horse', 'truck']",truck
35,0,"['bird', 'ship', 'automobile', 'truck']",ship
36,3,"['dog', 'bird', 'horse', 'truck']",truck
37,7,"['deer', 'dog', 'truck', 'bird']",truck
38,3,"['dog', 'bird', 'horse', 'truck']",truck
39,3,"['dog', 'bird', 'horse', 'truck']",truck
40,5,"['horse', 'truck', 'bird', 'deer']",truck
41,2,"['dog', 'deer', 'frog', 'horse']",deer
42,2,"['dog', 'deer', 'frog', 'horse']",frog
43,7,"['deer', 'dog', 'truck', 'bird']",truck
44,1,"['truck', 'ship', 'deer', 'horse']",deer
45,1,"['truck', 'ship', 'deer', 'horse']",deer
46,1,"['truck', 'ship', 'deer', 'horse']",deer
47,2,"['dog', 'deer', 'frog', 'horse']",dog
48,2,"['dog', 'deer', 'frog', 'horse']",dog
49,0,"['bird', 'ship', 'automobile', 'truck']",bird
50,9,"['automobile', 'ship', 'horse', 'bird']",horse
51,5,"['horse', 'truck', 'bird', 'deer']",truck
52,7,"['deer', 'dog', 'truck', 'bird']",truck
53,9,"['automobile', 'ship', 'horse', 'bird']",horse
54,2,"['dog', 'deer', 'frog', 'horse']",deer
