index,true_label,candidate_labels,complementary_label
0,6,"['truck'; 'airplane'; 'deer']",truck
1,9,"['dog'; 'airplane'; 'bird']",dog
2,9,"['bird'; 'dog'; 'airplane']",bird
3,4,"['horse'; 'airplane'; 'ship']",airplane
4,1,"['bird'; 'dog'; 'deer']",bird
5,1,"['dog'; 'deer'; 'bird']",bird
6,2,"['automobile'; 'cat'; 'frog']",automobile
7,7,"['cat'; 'frog'; 'automobile']",automobile
8,8,"['deer'; 'frog'; 'horse']",deer
9,3,"['automobile'; 'truck'; 'dog']",dog
10,4,"['airplane'; 'ship'; 'horse']",airplane
11,7,"['frog'; 'cat'; 'automobile']",automobile
12,7,"['cat'; 'frog'; 'automobile']",automobile
13,2,"['frog'; 'automobile'; 'cat']",automobile
14,9,"['airplane'; 'bird'; 'dog']",bird
15,9,"['bird'; 'dog'; 'airplane']",bird
16,9,"['bird'; 'dog'; 'airplane']",airplane
17,3,"['automobile'; 'truck'; 'dog']",truck
18,2,"['automobile'; 'cat'; 'frog']",automobile
19,6,"['deer'; 'airplane'; 'truck']",deer
20,4,"['airplane'; 'ship'; 'horse']",ship
21,3,"['automobile'; 'truck'; 'dog']",automobile
22,6,"['deer'; 'truck'; 'airplane']",truck
23,6,"['deer'; 'airplane'; 'truck']",airplane
24,2,"['cat'; 'frog'; 'automobile']",automobile
25,6,"['deer'; 'truck'; 'airplane']",truck
26,3,"['truck'; 'dog'; 'automobile']",truck
27,5,"['truck'; 'automobile'; 'cat']",truck
28,4,"['ship'; 'airplane'; 'horse']",airplane
29,0,"['bird'; 'automobile'; 'frog']",bird
30,0,"['bird'; 'frog'; 'automobile']",automobile
31,9,"['bird'; 'dog'; 'airplane']",bird
32,1,"['dog'; 'deer'; 'bird']",bird
33,3,"['truck'; 'automobile'; 'dog']",truck
34,4,"['airplane'; 'ship'; 'horse']",ship
35,0,"['automobile'; 'bird'; 'frog']",automobile
36,3,"['truck'; 'automobile'; 'dog']",truck
37,7,"['frog'; 'cat'; 'automobile']",automobile
38,3,"['automobile'; 'dog'; 'truck']",truck
39,3,"['dog'; 'automobile'; 'truck']",automobile
40,5,"['automobile'; 'truck'; 'cat']",truck
41,2,"['automobile'; 'cat'; 'frog']",automobile
