index,true_label,candidate_labels,complementary_label
0,19,"['pine_tree'; 'rabbit'; 'bus'; 'rose'; 'crocodile'; 'lawn_mower']",rabbit
1,29,"['train'; 'house'; 'tank'; 'leopard'; 'chimpanzee'; 'bowl']",bowl
2,0,"['chair'; 'streetcar'; 'mountain'; 'orange'; 'poppy'; 'hamster']",hamster
3,11,"['porcupine'; 'squirrel'; 'man'; 'motorcycle'; 'cloud'; 'turtle']",porcupine
4,1,"['dolphin'; 'train'; 'skunk'; 'snail'; 'tiger'; 'baby']",train
5,86,"['telephone'; 'road'; 'poppy'; 'squirrel'; 'spider'; 'turtle']",poppy
6,90,"['spider'; 'lamp'; 'clock'; 'hamster'; 'lobster'; 'tulip']",hamster
7,28,"['seal'; 'cattle'; 'whale'; 'forest'; 'bottle'; 'mouse']",cattle
8,23,"['dolphin'; 'boy'; 'kangaroo'; 'keyboard'; 'streetcar'; 'lawn_mower']",keyboard
9,31,"['shark'; 'couch'; 'mountain'; 'bridge'; 'rabbit'; 'tulip']",couch
10,39,"['television'; 'mouse'; 'rabbit'; 'trout'; 'kangaroo'; 'bus']",rabbit
11,96,"['elephant'; 'forest'; 'rabbit'; 'bear'; 'sunflower'; 'train']",elephant
12,82,"['lamp'; 'squirrel'; 'train'; 'shrew'; 'snail'; 'crocodile']",lamp
13,17,"['bottle'; 'chair'; 'palm_tree'; 'cattle'; 'television'; 'pickup_truck']",palm_tree
14,71,"['lizard'; 'leopard'; 'rabbit'; 'pickup_truck'; 'sweet_pepper'; 'lobster']",lizard
15,39,"['television'; 'kangaroo'; 'bus'; 'rabbit'; 'mouse'; 'trout']",kangaroo
16,8,"['table'; 'tractor'; 'house'; 'boy'; 'hamster'; 'baby']",hamster
17,97,"['streetcar'; 'sweet_pepper'; 'house'; 'pear'; 'skyscraper'; 'crocodile']",skyscraper
18,80,"['mouse'; 'woman'; 'television'; 'girl'; 'clock'; 'orange']",television
19,71,"['lobster'; 'leopard'; 'sweet_pepper'; 'pickup_truck'; 'rabbit'; 'lizard']",lobster
20,74,"['streetcar'; 'tiger'; 'bridge'; 'can'; 'lobster'; 'palm_tree']",palm_tree
