index,true_label,cluster_id,candidate_labels,complementary_label
0,6,33,"['deer'; 'frog'; 'automobile'; 'airplane']",automobile
1,9,25,"['horse'; 'truck'; 'automobile'; 'frog']",horse
2,9,11,"['cat'; 'automobile'; 'horse'; 'ship']",horse
3,4,38,"['bird'; 'deer'; 'airplane'; 'dog']",airplane
4,1,9,"['automobile'; 'bird'; 'truck'; 'frog']",bird
5,1,43,"['horse'; 'bird'; 'ship'; 'truck']",bird
6,2,42,"['automobile'; 'horse'; 'ship'; 'bird']",automobile
7,7,12,"['ship'; 'deer'; 'frog'; 'automobile']",deer
8,8,28,"['truck'; 'frog'; 'ship'; 'bird']",frog
9,3,46,"['airplane'; 'dog'; 'horse'; 'ship']",dog
10,4,8,"['airplane'; 'bird'; 'dog'; 'cat']",airplane
11,7,4,"['dog'; 'cat'; 'airplane'; 'ship']",airplane
12,7,12,"['deer'; 'ship'; 'automobile'; 'frog']",ship
13,2,46,"['ship'; 'horse'; 'airplane'; 'dog']",horse
14,9,7,"['frog'; 'truck'; 'bird'; 'dog']",frog
15,9,25,"['frog'; 'truck'; 'horse'; 'automobile']",frog
16,9,25,"['frog'; 'automobile'; 'horse'; 'truck']",frog
17,3,26,"['bird'; 'cat'; 'deer'; 'dog']",deer
18,2,10,"['airplane'; 'truck'; 'dog'; 'deer']",truck
19,6,21,"['frog'; 'ship'; 'cat'; 'dog']",ship
20,4,42,"['automobile'; 'ship'; 'horse'; 'bird']",ship
21,3,27,"['truck'; 'dog'; 'deer'; 'ship']",deer
22,6,33,"['frog'; 'airplane'; 'automobile'; 'deer']",airplane
23,6,16,"['deer'; 'cat'; 'automobile'; 'frog']",automobile
24,2,21,"['dog'; 'frog'; 'ship'; 'cat']",ship
25,6,27,"['deer'; 'dog'; 'ship'; 'truck']",ship
26,3,14,"['cat'; 'frog'; 'automobile'; 'airplane']",automobile
27,5,21,"['ship'; 'dog'; 'cat'; 'frog']",cat
28,4,32,"['horse'; 'frog'; 'deer'; 'ship']",frog
29,0,46,"['ship'; 'dog'; 'horse'; 'airplane']",dog
30,0,30,"['automobile'; 'dog'; 'bird'; 'airplane']",dog
31,9,7,"['bird'; 'truck'; 'frog'; 'dog']",bird
32,1,43,"['ship'; 'horse'; 'bird'; 'truck']",horse
33,3,26,"['dog'; 'cat'; 'deer'; 'bird']",deer
34,4,38,"['bird'; 'airplane'; 'deer'; 'dog']",airplane
35,0,5,"['frog'; 'horse'; 'ship'; 'cat']",ship
36,3,41,"['ship'; 'automobile'; 'dog'; 'cat']",ship
37,7,12,"['automobile'; 'ship'; 'deer'; 'frog']",ship
