index,true_label,cluster_id,candidate_labels,complementary_label
0,6,8,"['dog'; 'bird'; 'airplane'; 'cat']",airplane
1,9,9,"['automobile'; 'frog'; 'bird'; 'truck']",frog
2,9,3,"['cat'; 'automobile'; 'ship'; 'airplane']",cat
3,4,1,"['dog'; 'automobile'; 'bird'; 'cat']",automobile
4,1,2,"['automobile'; 'airplane'; 'frog'; 'ship']",frog
5,1,4,"['cat'; 'dog'; 'ship'; 'airplane']",ship
6,2,6,"['truck'; 'frog'; 'deer'; 'airplane']",frog
7,7,7,"['truck'; 'bird'; 'frog'; 'dog']",truck
8,8,9,"['frog'; 'bird'; 'truck'; 'automobile']",truck
9,3,4,"['ship'; 'airplane'; 'dog'; 'cat']",dog
10,4,1,"['automobile'; 'bird'; 'dog'; 'cat']",cat
11,7,6,"['truck'; 'airplane'; 'deer'; 'frog']",deer
12,7,3,"['cat'; 'automobile'; 'airplane'; 'ship']",automobile
13,2,8,"['bird'; 'airplane'; 'cat'; 'dog']",airplane
14,9,4,"['ship'; 'airplane'; 'dog'; 'cat']",dog
15,9,0,"['deer'; 'automobile'; 'airplane'; 'truck']",deer
16,9,3,"['airplane'; 'cat'; 'automobile'; 'ship']",cat
17,3,1,"['automobile'; 'cat'; 'dog'; 'bird']",automobile
18,2,0,"['deer'; 'automobile'; 'truck'; 'airplane']",deer
19,6,8,"['bird'; 'dog'; 'cat'; 'airplane']",dog
20,4,5,"['cat'; 'frog'; 'horse'; 'ship']",ship
21,3,7,"['bird'; 'frog'; 'truck'; 'dog']",truck
22,6,1,"['bird'; 'dog'; 'automobile'; 'cat']",dog
23,6,4,"['ship'; 'airplane'; 'dog'; 'cat']",ship
24,2,1,"['bird'; 'cat'; 'automobile'; 'dog']",automobile
25,6,3,"['ship'; 'airplane'; 'cat'; 'automobile']",cat
26,3,4,"['cat'; 'ship'; 'dog'; 'airplane']",ship
27,5,1,"['cat'; 'automobile'; 'dog'; 'bird']",automobile
28,4,6,"['frog'; 'airplane'; 'truck'; 'deer']",airplane
29,0,0,"['deer'; 'airplane'; 'truck'; 'automobile']",deer
30,0,7,"['dog'; 'bird'; 'truck'; 'frog']",truck
31,9,2,"['ship'; 'airplane'; 'automobile'; 'frog']",frog
32,1,8,"['dog'; 'cat'; 'bird'; 'airplane']",bird
33,3,8,"['airplane'; 'cat'; 'bird'; 'dog']",bird
34,4,6,"['frog'; 'truck'; 'airplane'; 'deer']",truck
35,0,2,"['frog'; 'automobile'; 'airplane'; 'ship']",automobile
36,3,5,"['frog'; 'ship'; 'horse'; 'cat']",ship
37,7,4,"['cat'; 'ship'; 'airplane'; 'dog']",ship
38,3,3,"['automobile'; 'cat'; 'ship'; 'airplane']",automobile
39,3,8,"['bird'; 'airplane'; 'dog'; 'cat']",airplane
40,5,6,"['deer'; 'frog'; 'truck'; 'airplane']",truck
41,2,5,"['horse'; 'frog'; 'ship'; 'cat']",ship
42,2,0,"['truck'; 'airplane'; 'automobile'; 'deer']",truck
43,7,7,"['truck'; 'bird'; 'dog'; 'frog']",bird
44,1,8,"['airplane'; 'dog'; 'cat'; 'bird']",dog
45,1,4,"['airplane'; 'ship'; 'dog'; 'cat']",dog
46,1,8,"['cat'; 'dog'; 'airplane'; 'bird']",airplane
47,2,4,"['dog'; 'ship'; 'airplane'; 'cat']",ship
48,2,5,"['frog'; 'horse'; 'cat'; 'ship']",ship
49,0,0,"['deer'; 'automobile'; 'truck'; 'airplane']",deer
50,9,4,"['cat'; 'ship'; 'dog'; 'airplane']",dog
51,5,8,"['cat'; 'airplane'; 'bird'; 'dog']",airplane
52,7,8,"['airplane'; 'dog'; 'cat'; 'bird']",airplane
53,9,3,"['cat'; 'ship'; 'automobile'; 'airplane']",ship
54,2,1,"['automobile'; 'cat'; 'bird'; 'dog']",automobile
55,2,0,"['airplane'; 'automobile'; 'deer'; 'truck']",deer
56,5,4,"['airplane'; 'ship'; 'dog'; 'cat']",airplane
57,2,4,"['airplane'; 'dog'; 'ship'; 'cat']",dog
58,4,8,"['cat'; 'dog'; 'airplane'; 'bird']",airplane
59,3,2,"['airplane'; 'frog'; 'ship'; 'automobile']",frog
60,1,9,"['automobile'; 'frog'; 'bird'; 'truck']",frog
61,1,6,"['airplane'; 'frog'; 'truck'; 'deer']",frog
62,8,9,"['truck'; 'frog'; 'bird'; 'automobile']",frog
63,2,4,"['dog'; 'airplane'; 'ship'; 'cat']",airplane
64,1,8,"['dog'; 'bird'; 'cat'; 'airplane']",dog
65,1,9,"['automobile'; 'truck'; 'frog'; 'bird']",frog
66,4,4,"['ship'; 'dog'; 'cat'; 'airplane']",dog
67,9,3,"['cat'; 'automobile'; 'airplane'; 'ship']",cat
68,7,4,"['cat'; 'airplane'; 'ship'; 'dog']",airplane
69,8,3,"['airplane'; 'automobile'; 'ship'; 'cat']",cat
70,5,7,"['bird'; 'truck'; 'frog'; 'dog']",truck
71,9,1,"['dog'; 'bird'; 'automobile'; 'cat']",dog
72,6,7,"['bird'; 'dog'; 'frog'; 'truck']",truck
73,7,1,"['cat'; 'bird'; 'automobile'; 'dog']",bird
74,3,7,"['dog'; 'frog'; 'truck'; 'bird']",truck
75,1,6,"['truck'; 'airplane'; 'deer'; 'frog']",deer
76,9,6,"['frog'; 'airplane'; 'deer'; 'truck']",frog
77,0,8,"['dog'; 'bird'; 'cat'; 'airplane']",dog
78,3,8,"['cat'; 'airplane'; 'dog'; 'bird']",airplane
79,1,5,"['ship'; 'horse'; 'cat'; 'frog']",horse
80,3,6,"['frog'; 'deer'; 'truck'; 'airplane']",truck
81,5,4,"['ship'; 'cat'; 'dog'; 'airplane']",ship
82,4,7,"['truck'; 'frog'; 'bird'; 'dog']",truck
83,5,3,"['ship'; 'airplane'; 'cat'; 'automobile']",cat
84,7,1,"['dog'; 'cat'; 'bird'; 'automobile']",automobile
85,7,1,"['dog'; 'bird'; 'automobile'; 'cat']",automobile
86,4,1,"['cat'; 'automobile'; 'bird'; 'dog']",automobile
87,7,8,"['cat'; 'bird'; 'dog'; 'airplane']",airplane
88,9,4,"['cat'; 'dog'; 'ship'; 'airplane']",ship
89,4,2,"['airplane'; 'frog'; 'automobile'; 'ship']",frog
90,2,0,"['automobile'; 'truck'; 'airplane'; 'deer']",deer
91,3,4,"['airplane'; 'ship'; 'cat'; 'dog']",airplane
92,8,7,"['bird'; 'dog'; 'frog'; 'truck']",truck
93,0,8,"['cat'; 'airplane'; 'bird'; 'dog']",cat
94,1,3,"['automobile'; 'airplane'; 'cat'; 'ship']",cat
95,6,2,"['automobile'; 'frog'; 'ship'; 'airplane']",automobile
96,1,8,"['airplane'; 'cat'; 'bird'; 'dog']",cat
97,1,1,"['automobile'; 'bird'; 'cat'; 'dog']",bird
98,4,8,"['airplane'; 'bird'; 'cat'; 'dog']",airplane
99,1,4,"['airplane'; 'ship'; 'dog'; 'cat']",ship
100,8,5,"['horse'; 'ship'; 'frog'; 'cat']",horse
101,3,9,"['automobile'; 'bird'; 'frog'; 'truck']",truck
102,9,2,"['automobile'; 'ship'; 'frog'; 'airplane']",frog
103,6,1,"['bird'; 'automobile'; 'dog'; 'cat']",automobile
104,6,1,"['bird'; 'automobile'; 'dog'; 'cat']",automobile
105,1,0,"['deer'; 'automobile'; 'airplane'; 'truck']",deer
106,8,0,"['truck'; 'airplane'; 'automobile'; 'deer']",deer
107,5,4,"['cat'; 'ship'; 'dog'; 'airplane']",ship
108,2,5,"['cat'; 'frog'; 'ship'; 'horse']",ship
109,9,3,"['automobile'; 'cat'; 'airplane'; 'ship']",cat
110,9,2,"['ship'; 'airplane'; 'frog'; 'automobile']",frog
111,8,4,"['dog'; 'airplane'; 'cat'; 'ship']",dog
112,1,8,"['dog'; 'airplane'; 'bird'; 'cat']",airplane
113,7,2,"['ship'; 'automobile'; 'airplane'; 'frog']",frog
114,7,7,"['bird'; 'dog'; 'frog'; 'truck']",truck
115,0,5,"['frog'; 'ship'; 'horse'; 'cat']",frog
116,0,9,"['truck'; 'automobile'; 'frog'; 'bird']",frog
117,6,6,"['frog'; 'airplane'; 'truck'; 'deer']",airplane
118,9,3,"['cat'; 'airplane'; 'ship'; 'automobile']",airplane
119,1,5,"['cat'; 'frog'; 'horse'; 'ship']",frog
120,2,5,"['ship'; 'cat'; 'horse'; 'frog']",horse
121,2,6,"['frog'; 'truck'; 'airplane'; 'deer']",truck
122,9,3,"['cat'; 'airplane'; 'automobile'; 'ship']",airplane
123,2,0,"['automobile'; 'airplane'; 'truck'; 'deer']",truck
124,6,4,"['cat'; 'airplane'; 'dog'; 'ship']",airplane
125,6,0,"['deer'; 'automobile'; 'truck'; 'airplane']",truck
126,1,3,"['automobile'; 'ship'; 'cat'; 'airplane']",cat
127,9,5,"['ship'; 'frog'; 'horse'; 'cat']",frog
128,5,4,"['dog'; 'ship'; 'airplane'; 'cat']",ship
129,0,9,"['truck'; 'automobile'; 'frog'; 'bird']",frog
130,4,8,"['airplane'; 'dog'; 'cat'; 'bird']",dog
131,7,5,"['cat'; 'ship'; 'horse'; 'frog']",ship
132,6,1,"['bird'; 'cat'; 'dog'; 'automobile']",automobile
133,7,6,"['airplane'; 'frog'; 'deer'; 'truck']",frog
134,1,1,"['dog'; 'bird'; 'automobile'; 'cat']",dog
135,8,6,"['frog'; 'truck'; 'deer'; 'airplane']",truck
136,1,8,"['bird'; 'dog'; 'cat'; 'airplane']",bird
137,1,5,"['ship'; 'frog'; 'horse'; 'cat']",frog
138,2,5,"['cat'; 'horse'; 'frog'; 'ship']",ship
139,8,2,"['airplane'; 'ship'; 'frog'; 'automobile']",frog
140,1,3,"['cat'; 'airplane'; 'ship'; 'automobile']",cat
141,3,9,"['automobile'; 'truck'; 'frog'; 'bird']",frog
142,3,1,"['dog'; 'bird'; 'automobile'; 'cat']",automobile
143,6,4,"['dog'; 'cat'; 'ship'; 'airplane']",ship
144,2,3,"['cat'; 'ship'; 'automobile'; 'airplane']",ship
145,4,8,"['bird'; 'airplane'; 'dog'; 'cat']",airplane
146,9,1,"['bird'; 'dog'; 'cat'; 'automobile']",cat
147,9,9,"['bird'; 'truck'; 'automobile'; 'frog']",bird
148,5,0,"['automobile'; 'airplane'; 'truck'; 'deer']",deer
149,4,8,"['bird'; 'cat'; 'airplane'; 'dog']",airplane
150,3,7,"['bird'; 'dog'; 'frog'; 'truck']",truck
151,6,1,"['automobile'; 'cat'; 'bird'; 'dog']",automobile
152,7,3,"['airplane'; 'ship'; 'cat'; 'automobile']",cat
153,4,9,"['frog'; 'bird'; 'automobile'; 'truck']",automobile
154,6,3,"['airplane'; 'ship'; 'cat'; 'automobile']",cat
155,8,5,"['horse'; 'frog'; 'ship'; 'cat']",horse
156,5,7,"['dog'; 'truck'; 'bird'; 'frog']",truck
157,5,8,"['airplane'; 'cat'; 'dog'; 'bird']",bird
158,4,6,"['deer'; 'frog'; 'airplane'; 'truck']",frog
159,3,4,"['cat'; 'ship'; 'dog'; 'airplane']",ship
160,1,5,"['cat'; 'ship'; 'frog'; 'horse']",ship
161,8,6,"['airplane'; 'frog'; 'deer'; 'truck']",frog
162,4,1,"['bird'; 'dog'; 'automobile'; 'cat']",automobile
163,7,1,"['automobile'; 'bird'; 'cat'; 'dog']",bird
164,6,1,"['automobile'; 'dog'; 'cat'; 'bird']",dog
165,0,3,"['cat'; 'ship'; 'airplane'; 'automobile']",cat
166,9,6,"['airplane'; 'truck'; 'deer'; 'frog']",deer
167,5,7,"['frog'; 'dog'; 'bird'; 'truck']",frog
168,1,6,"['frog'; 'deer'; 'airplane'; 'truck']",frog
169,3,3,"['airplane'; 'automobile'; 'cat'; 'ship']",airplane
170,8,6,"['truck'; 'airplane'; 'deer'; 'frog']",deer
171,2,9,"['frog'; 'automobile'; 'truck'; 'bird']",truck
172,7,2,"['ship'; 'airplane'; 'frog'; 'automobile']",frog
173,5,1,"['cat'; 'automobile'; 'dog'; 'bird']",automobile
174,3,2,"['frog'; 'airplane'; 'automobile'; 'ship']",airplane
175,4,1,"['cat'; 'automobile'; 'dog'; 'bird']",automobile
176,1,7,"['bird'; 'frog'; 'truck'; 'dog']",bird
177,5,8,"['cat'; 'dog'; 'airplane'; 'bird']",airplane
178,7,8,"['bird'; 'cat'; 'airplane'; 'dog']",airplane
179,0,1,"['cat'; 'bird'; 'dog'; 'automobile']",dog
180,4,1,"['automobile'; 'cat'; 'bird'; 'dog']",bird
181,7,9,"['bird'; 'truck'; 'automobile'; 'frog']",truck
