index,true_label,candidate_labels,complementary_label
0,11,"['people'; 'insects']",insects
1,15,"['fruit and vegetables'; 'large carnivores']",fruit and vegetables
2,4,"['vehicles 1'; 'flowers']",flowers
3,14,"['non-insect invertebrates'; 'large natural outdoor scenes']",non-insect invertebrates
4,1,"['large carnivores'; 'insects']",insects
5,5,"['non-insect invertebrates'; 'fish']",non-insect invertebrates
6,18,"['food containers'; 'medium-sized mammals']",food containers
7,3,"['trees'; 'food containers']",trees
8,10,"['non-insect invertebrates'; 'trees']",non-insect invertebrates
9,11,"['people'; 'insects']",insects
10,5,"['fish'; 'non-insect invertebrates']",fish
11,17,"['food containers'; 'flowers']",flowers
12,2,"['insects'; 'fruit and vegetables']",insects
13,9,"['trees'; 'household furniture']",household furniture
14,10,"['trees'; 'non-insect invertebrates']",trees
15,5,"['fish'; 'non-insect invertebrates']",fish
16,18,"['medium-sized mammals'; 'food containers']",food containers
17,8,"['aquatic mammals'; 'small mammals']",aquatic mammals
18,16,"['large natural outdoor scenes'; 'household furniture']",household furniture
19,10,"['trees'; 'non-insect invertebrates']",trees
20,16,"['large natural outdoor scenes'; 'household furniture']",household furniture
21,17,"['flowers'; 'food containers']",flowers
22,2,"['insects'; 'fruit and vegetables']",insects
23,5,"['non-insect invertebrates'; 'fish']",non-insect invertebrates
24,17,"['food containers'; 'flowers']",flowers
25,6,"['flowers'; 'aquatic mammals']",flowers
26,12,"['vehicles 1'; 'large carnivores']",Vehicles
27,17,"['food containers'; 'flowers']",flowers
28,8,"['aquatic mammals'; 'small mammals']",aquatic mammals
29,12,"['vehicles 1'; 'large carnivores']",Vehicles
30,18,"['medium-sized mammals'; 'food containers']",food containers
31,9,"['trees'; 'household furniture']",household furniture
32,17,"['flowers'; 'food containers']",flowers
33,16,"['household furniture'; 'large natural outdoor scenes']",household furniture
34,11,"['insects'; 'people']",insects
35,5,"['non-insect invertebrates'; 'fish']",non-insect invertebrates
36,19,"['large omnivores and herbivores'; 'vehicles 2']",large omnivores and herbivores
37,14,"['non-insect invertebrates'; 'large natural outdoor scenes']",non-insect invertebrates
38,7,"['household furniture'; 'insects']",household furniture
39,6,"['aquatic mammals'; 'flowers']",aquatic mammals
40,15,"['large carnivores'; 'fruit and vegetables']",fruit and vegetables
41,13,"['household electrical devices'; 'aquatic mammals']",household electrical devices
42,10,"['trees'; 'non-insect invertebrates']",trees
43,8,"['small mammals'; 'aquatic mammals']",aquatic mammals
44,17,"['food containers'; 'flowers']",food containers
45,9,"['trees'; 'household furniture']",household furniture
46,14,"['large natural outdoor scenes'; 'non-insect invertebrates']",non-insect invertebrates
47,18,"['food containers'; 'medium-sized mammals']",food containers
48,19,"['vehicles 2'; 'large omnivores and herbivores']",large omnivores and herbivores
49,15,"['large carnivores'; 'fruit and vegetables']",large carnivores
50,1,"['insects'; 'large carnivores']",insects
51,7,"['insects'; 'household furniture']",household furniture
52,5,"['non-insect invertebrates'; 'fish']",non-insect invertebrates
53,3,"['trees'; 'food containers']",trees
54,10,"['trees'; 'non-insect invertebrates']",trees
55,7,"['household furniture'; 'insects']",household furniture
56,17,"['food containers'; 'flowers']",food containers
57,6,"['flowers'; 'aquatic mammals']",flowers
58,14,"['non-insect invertebrates'; 'large natural outdoor scenes']",non-insect invertebrates
59,17,"['flowers'; 'food containers']",food containers
60,16,"['large natural outdoor scenes'; 'household furniture']",household furniture
61,0,"['food containers'; 'aquatic mammals']",food containers
62,0,"['aquatic mammals'; 'food containers']",food containers
63,8,"['small mammals'; 'aquatic mammals']",aquatic mammals
64,4,"['flowers'; 'vehicles 1']",Vehicles
65,14,"['non-insect invertebrates'; 'large natural outdoor scenes']",non-insect invertebrates
66,4,"['vehicles 1'; 'flowers']",Vehicles
67,10,"['trees'; 'non-insect invertebrates']",non-insect invertebrates
68,15,"['large carnivores'; 'fruit and vegetables']",fruit and vegetables
69,4,"['flowers'; 'vehicles 1']",Vehicles
70,2,"['insects'; 'fruit and vegetables']",insects
71,16,"['household furniture'; 'large natural outdoor scenes']",household furniture
72,11,"['insects'; 'people']",insects
73,19,"['large omnivores and herbivores'; 'vehicles 2']",large omnivores and herbivores
74,16,"['large natural outdoor scenes'; 'household furniture']",household furniture
75,7,"['household furniture'; 'insects']",household furniture
76,19,"['large omnivores and herbivores'; 'vehicles 2']",large omnivores and herbivores
77,14,"['non-insect invertebrates'; 'large natural outdoor scenes']",non-insect invertebrates
78,10,"['trees'; 'non-insect invertebrates']",non-insect invertebrates
79,8,"['small mammals'; 'aquatic mammals']",aquatic mammals
80,5,"['fish'; 'non-insect invertebrates']",fish
81,12,"['large carnivores'; 'vehicles 1']",Vehicles
82,12,"['vehicles 1'; 'large carnivores']",Vehicles
83,11,"['people'; 'insects']",insects
84,10,"['non-insect invertebrates'; 'trees']",trees
85,8,"['small mammals'; 'aquatic mammals']",aquatic mammals
86,12,"['large carnivores'; 'vehicles 1']",vehicles 1
87,13,"['household electrical devices'; 'aquatic mammals']",household electrical devices
88,10,"['non-insect invertebrates'; 'trees']",non-insect invertebrates
89,7,"['insects'; 'household furniture']",household furniture
90,14,"['large natural outdoor scenes'; 'non-insect invertebrates']",non-insect invertebrates
91,11,"['people'; 'insects']",insects
92,14,"['non-insect invertebrates'; 'large natural outdoor scenes']",non-insect invertebrates
93,19,"['vehicles 2'; 'large omnivores and herbivores']",vehicles 2
94,0,"['aquatic mammals'; 'food containers']",food containers
95,4,"['flowers'; 'vehicles 1']",Vehicles
96,12,"['vehicles 1'; 'large carnivores']",Vehicles
97,13,"['household electrical devices'; 'aquatic mammals']",household electrical devices
98,1,"['large carnivores'; 'insects']",insects
99,15,"['large carnivores'; 'fruit and vegetables']",fruit and vegetables
100,0,"['food containers'; 'aquatic mammals']",food containers
101,5,"['non-insect invertebrates'; 'fish']",non-insect invertebrates
102,0,"['food containers'; 'aquatic mammals']",aquatic mammals
103,8,"['aquatic mammals'; 'small mammals']",aquatic mammals
104,3,"['trees'; 'food containers']",trees
105,15,"['large carnivores'; 'fruit and vegetables']",fruit and vegetables
106,4,"['vehicles 1'; 'flowers']",flowers
107,19,"['large omnivores and herbivores'; 'vehicles 2']",Vehicles
108,17,"['flowers'; 'food containers']",flowers
109,6,"['flowers'; 'aquatic mammals']",aquatic mammals
110,17,"['flowers'; 'food containers']",flowers
111,12,"['vehicles 1'; 'large carnivores']",Vehicles
112,6,"['aquatic mammals'; 'flowers']",aquatic mammals
113,0,"['aquatic mammals'; 'food containers']",aquatic mammals
114,14,"['non-insect invertebrates'; 'large natural outdoor scenes']",non-insect invertebrates
115,10,"['non-insect invertebrates'; 'trees']",non-insect invertebrates
116,9,"['household furniture'; 'trees']",household furniture
117,11,"['insects'; 'people']",insects
118,6,"['aquatic mammals'; 'flowers']",aquatic mammals
119,10,"['trees'; 'non-insect invertebrates']",non-insect invertebrates
120,12,"['vehicles 1'; 'large carnivores']",Vehicles
121,1,"['insects'; 'large carnivores']",insects
122,14,"['large natural outdoor scenes'; 'non-insect invertebrates']",non-insect invertebrates
123,4,"['flowers'; 'vehicles 1']",Vehicles
124,8,"['aquatic mammals'; 'small mammals']",aquatic mammals
125,1,"['large carnivores'; 'insects']",insects
126,2,"['insects'; 'fruit and vegetables']",insects
127,12,"['vehicles 1'; 'large carnivores']",Vehicles
128,4,"['vehicles 1'; 'flowers']",Vehicles
129,12,"['large carnivores'; 'vehicles 1']",Vehicles
130,18,"['food containers'; 'medium-sized mammals']",food containers
131,17,"['food containers'; 'flowers']",food containers
132,5,"['non-insect invertebrates'; 'fish']",non-insect invertebrates
133,0,"['food containers'; 'aquatic mammals']",food containers
134,6,"['flowers'; 'aquatic mammals']",aquatic mammals
135,0,"['food containers'; 'aquatic mammals']",food containers
136,12,"['vehicles 1'; 'large carnivores']",Vehicles
137,11,"['people'; 'insects']",insects
138,9,"['household furniture'; 'trees']",trees
139,5,"['non-insect invertebrates'; 'fish']",non-insect invertebrates
140,17,"['flowers'; 'food containers']",flowers
141,2,"['insects'; 'fruit and vegetables']",fruit and vegetables
142,14,"['large natural outdoor scenes'; 'non-insect invertebrates']",large natural outdoor scenes
143,12,"['large carnivores'; 'vehicles 1']",Vehicles
144,5,"['fish'; 'non-insect invertebrates']",fish
145,0,"['aquatic mammals'; 'food containers']",food containers
146,13,"['household electrical devices'; 'aquatic mammals']",household electrical devices
147,12,"['vehicles 1'; 'large carnivores']",Vehicles
148,16,"['large natural outdoor scenes'; 'household furniture']",household furniture
149,4,"['vehicles 1'; 'flowers']",flowers
150,13,"['aquatic mammals'; 'household electrical devices']",aquatic mammals
151,0,"['food containers'; 'aquatic mammals']",food containers
152,18,"['medium-sized mammals'; 'food containers']",food containers
153,15,"['large carnivores'; 'fruit and vegetables']",fruit and vegetables
154,10,"['trees'; 'non-insect invertebrates']",non-insect invertebrates
155,15,"['fruit and vegetables'; 'large carnivores']",fruit and vegetables
