index,true_label,candidate_labels,complementary_label
0,19,"['otter'; 'mountain'; 'rocket'; 'train'; 'castle']",castle
1,29,"['caterpillar'; 'worm'; 'beetle'; 'cup'; 'fox']",cup
2,0,"['dolphin'; 'orange'; 'television'; 'snake'; 'shrew']",television
3,11,"['porcupine'; 'snake'; 'bowl'; 'beaver'; 'mushroom']",bowl
4,1,"['keyboard'; 'maple_tree'; 'bear'; 'sunflower'; 'train']",bear
5,86,"['rose'; 'kangaroo'; 'pickup_truck'; 'apple'; 'man']",kangaroo
6,90,"['rocket'; 'lamp'; 'squirrel'; 'lawn_mower'; 'dinosaur']",squirrel
7,28,"['tractor'; 'shark'; 'sweet_pepper'; 'skunk'; 'mountain']",skunk
8,23,"['snail'; 'otter'; 'skunk'; 'bowl'; 'leopard']",bowl
9,31,"['bridge'; 'train'; 'kangaroo'; 'can'; 'clock']",bridge
10,39,"['bicycle'; 'girl'; 'mushroom'; 'snake'; 'fox']",mushroom
11,96,"['lawn_mower'; 'raccoon'; 'motorcycle'; 'snail'; 'castle']",castle
12,82,"['couch'; 'bed'; 'lamp'; 'dolphin'; 'lawn_mower']",couch
13,17,"['possum'; 'baby'; 'worm'; 'oak_tree'; 'house']",baby
14,71,"['beaver'; 'table'; 'butterfly'; 'lamp'; 'chair']",table
15,39,"['snake'; 'mushroom'; 'fox'; 'girl'; 'bicycle']",girl
16,8,"['leopard'; 'can'; 'orchid'; 'snail'; 'train']",train
17,97,"['cattle'; 'baby'; 'mushroom'; 'shrew'; 'house']",mushroom
18,80,"['bottle'; 'snake'; 'castle'; 'cloud'; 'sea']",castle
19,71,"['lamp'; 'chair'; 'table'; 'butterfly'; 'beaver']",chair
20,74,"['willow_tree'; 'shark'; 'chair'; 'squirrel'; 'crab']",chair
21,59,"['butterfly'; 'beetle'; 'man'; 'squirrel'; 'crab']",man
22,70,"['poppy'; 'sunflower'; 'cloud'; 'keyboard'; 'castle']",keyboard
23,87,"['snake'; 'dolphin'; 'elephant'; 'lawn_mower'; 'mushroom']",lawn_mower
24,59,"['butterfly'; 'man'; 'crab'; 'beetle'; 'squirrel']",man
25,84,"['flatfish'; 'cup'; 'chair'; 'tank'; 'tractor']",cup
26,64,"['mushroom'; 'dinosaur'; 'boy'; 'woman'; 'butterfly']",dinosaur
27,52,"['porcupine'; 'beaver'; 'pear'; 'fox'; 'snake']",pear
28,42,"['butterfly'; 'lamp'; 'possum'; 'tractor'; 'sea']",tractor
29,64,"['woman'; 'butterfly'; 'boy'; 'dinosaur'; 'mushroom']",butterfly
30,8,"['orchid'; 'train'; 'can'; 'snail'; 'leopard']",train
31,17,"['baby'; 'worm'; 'oak_tree'; 'house'; 'possum']",worm
32,47,"['couch'; 'chair'; 'mushroom'; 'cup'; 'bridge']",mushroom
33,65,"['sunflower'; 'poppy'; 'lawn_mower'; 'castle'; 'hamster']",castle
34,21,"['camel'; 'tulip'; 'streetcar'; 'chair'; 'cup']",tulip
35,22,"['elephant'; 'whale'; 'pear'; 'orchid'; 'willow_tree']",whale
36,81,"['tank'; 'beaver'; 'wardrobe'; 'dinosaur'; 'cloud']",beaver
37,11,"['bowl'; 'porcupine'; 'snake'; 'beaver'; 'mushroom']",beaver
38,24,"['bus'; 'skyscraper'; 'palm_tree'; 'baby'; 'tiger']",skyscraper
39,84,"['chair'; 'tank'; 'flatfish'; 'tractor'; 'cup']",tractor
40,78,"['skunk'; 'raccoon'; 'bottle'; 'motorcycle'; 'pear']",bottle
41,45,"['keyboard'; 'bee'; 'woman'; 'snake'; 'maple_tree']",bee
42,49,"['worm'; 'maple_tree'; 'orchid'; 'cup'; 'cattle']",cup
43,97,"['baby'; 'cattle'; 'mushroom'; 'house'; 'shrew']",cattle
44,56,"['train'; 'forest'; 'motorcycle'; 'plate'; 'orchid']",plate
45,76,"['sunflower'; 'tiger'; 'bridge'; 'castle'; 'plate']",tiger
46,11,"['porcupine'; 'mushroom'; 'snake'; 'beaver'; 'bowl']",mushroom
47,90,"['lamp'; 'squirrel'; 'lawn_mower'; 'dinosaur'; 'rocket']",squirrel
48,89,"['oak_tree'; 'worm'; 'willow_tree'; 'bus'; 'snake']",worm
49,78,"['skunk'; 'pear'; 'motorcycle'; 'raccoon'; 'bottle']",motorcycle
50,73,"['shark'; 'orange'; 'aquarium_fish'; 'maple_tree'; 'rocket']",orange
51,14,"['beaver'; 'man'; 'motorcycle'; 'can'; 'apple']",beaver
52,87,"['mushroom'; 'elephant'; 'lawn_mower'; 'snake'; 'dolphin']",elephant
53,9,"['lobster'; 'oak_tree'; 'castle'; 'pine_tree'; 'road']",castle
54,71,"['lamp'; 'beaver'; 'butterfly'; 'table'; 'chair']",beaver
55,6,"['castle'; 'bowl'; 'bus'; 'bee'; 'poppy']",castle
56,47,"['mushroom'; 'chair'; 'bridge'; 'couch'; 'cup']",chair
57,20,"['bicycle'; 'lizard'; 'elephant'; 'cup'; 'sunflower']",lizard
58,98,"['mushroom'; 'chair'; 'tank'; 'maple_tree'; 'train']",chair
59,47,"['chair'; 'mushroom'; 'couch'; 'cup'; 'bridge']",mushroom
60,36,"['train'; 'bed'; 'worm'; 'television'; 'mountain']",worm
61,55,"['snail'; 'snake'; 'keyboard'; 'streetcar'; 'bee']",keyboard
62,72,"['palm_tree'; 'seal'; 'orchid'; 'sea'; 'lamp']",palm_tree
63,43,"['streetcar'; 'rocket'; 'otter'; 'aquarium_fish'; 'maple_tree']",aquarium_fish
64,51,"['lizard'; 'house'; 'bridge'; 'lion'; 'boy']",house
65,35,"['snake'; 'orchid'; 'rabbit'; 'wardrobe'; 'sweet_pepper']",wardrobe
66,83,"['sunflower'; 'lion'; 'house'; 'wardrobe'; 'streetcar']",lion
67,33,"['pine_tree'; 'tank'; 'bottle'; 'can'; 'train']",tank
68,27,"['otter'; 'shrew'; 'flatfish'; 'rocket'; 'leopard']",rocket
69,53,"['bicycle'; 'palm_tree'; 'shark'; 'lobster'; 'elephant']",shark
70,92,"['lawn_mower'; 'turtle'; 'forest'; 'bed'; 'house']",lawn_mower
71,50,"['wardrobe'; 'butterfly'; 'cloud'; 'palm_tree'; 'castle']",castle
72,15,"['bridge'; 'mouse'; 'bicycle'; 'shrew'; 'cockroach']",mouse
73,89,"['willow_tree'; 'oak_tree'; 'snake'; 'bus'; 'worm']",snake
74,36,"['worm'; 'train'; 'bed'; 'television'; 'mountain']",train
75,18,"['pine_tree'; 'raccoon'; 'orchid'; 'camel'; 'chimpanzee']",camel
76,89,"['willow_tree'; 'oak_tree'; 'bus'; 'snake'; 'worm']",snake
77,46,"['skyscraper'; 'bee'; 'cup'; 'crab'; 'bridge']",cup
78,33,"['tank'; 'train'; 'can'; 'bottle'; 'pine_tree']",bottle
79,42,"['sea'; 'tractor'; 'possum'; 'lamp'; 'butterfly']",tractor
80,39,"['girl'; 'bicycle'; 'fox'; 'snake'; 'mushroom']",fox
81,64,"['dinosaur'; 'mushroom'; 'woman'; 'boy'; 'butterfly']",woman
82,75,"['flatfish'; 'tiger'; 'motorcycle'; 'kangaroo'; 'lamp']",motorcycle
83,38,"['bridge'; 'boy'; 'cattle'; 'spider'; 'forest']",spider
84,23,"['snail'; 'bowl'; 'skunk'; 'leopard'; 'otter']",bowl
85,42,"['lamp'; 'possum'; 'sea'; 'tractor'; 'butterfly']",tractor
86,66,"['couch'; 'worm'; 'sweet_pepper'; 'lobster'; 'forest']",worm
87,77,"['otter'; 'can'; 'crocodile'; 'mountain'; 'sunflower']",mountain
88,49,"['maple_tree'; 'cup'; 'worm'; 'orchid'; 'cattle']",worm
89,18,"['camel'; 'orchid'; 'chimpanzee'; 'raccoon'; 'pine_tree']",chimpanzee
90,46,"['crab'; 'skyscraper'; 'cup'; 'bee'; 'bridge']",cup
91,15,"['shrew'; 'bicycle'; 'mouse'; 'bridge'; 'cockroach']",bicycle
92,35,"['sweet_pepper'; 'snake'; 'rabbit'; 'wardrobe'; 'orchid']",snake
93,69,"['lizard'; 'plain'; 'bridge'; 'bee'; 'whale']",lizard
94,95,"['bus'; 'girl'; 'chimpanzee'; 'lawn_mower'; 'snail']",girl
95,83,"['wardrobe'; 'streetcar'; 'lion'; 'house'; 'sunflower']",lion
96,75,"['motorcycle'; 'tiger'; 'kangaroo'; 'lamp'; 'flatfish']",lamp
97,99,"['woman'; 'clock'; 'forest'; 'mouse'; 'lamp']",forest
98,73,"['orange'; 'rocket'; 'shark'; 'aquarium_fish'; 'maple_tree']",maple_tree
99,93,"['spider'; 'tractor'; 'elephant'; 'mouse'; 'snail']",tractor
100,55,"['snake'; 'streetcar'; 'snail'; 'keyboard'; 'bee']",streetcar
101,39,"['snake'; 'girl'; 'mushroom'; 'fox'; 'bicycle']",fox
102,4,"['cattle'; 'rocket'; 'girl'; 'caterpillar'; 'bottle']",girl
103,97,"['house'; 'baby'; 'mushroom'; 'shrew'; 'cattle']",baby
104,61,"['maple_tree'; 'couch'; 'telephone'; 'tractor'; 'house']",couch
105,93,"['snail'; 'tractor'; 'spider'; 'elephant'; 'mouse']",tractor
106,51,"['boy'; 'lion'; 'house'; 'lizard'; 'bridge']",lion
107,69,"['whale'; 'plain'; 'bridge'; 'lizard'; 'bee']",whale
108,56,"['orchid'; 'train'; 'plate'; 'motorcycle'; 'forest']",train
109,84,"['tank'; 'tractor'; 'cup'; 'chair'; 'flatfish']",tractor
110,59,"['squirrel'; 'man'; 'crab'; 'beetle'; 'butterfly']",crab
111,64,"['woman'; 'boy'; 'dinosaur'; 'mushroom'; 'butterfly']",butterfly
112,94,"['rabbit'; 'plate'; 'possum'; 'worm'; 'tulip']",tulip
113,4,"['bottle'; 'caterpillar'; 'cattle'; 'girl'; 'rocket']",caterpillar
114,11,"['mushroom'; 'bowl'; 'snake'; 'beaver'; 'porcupine']",beaver
115,33,"['tank'; 'pine_tree'; 'bottle'; 'can'; 'train']",bottle
116,68,"['rose'; 'tulip'; 'dolphin'; 'otter'; 'rocket']",dolphin
117,38,"['bridge'; 'cattle'; 'boy'; 'spider'; 'forest']",cattle
118,20,"['sunflower'; 'bicycle'; 'cup'; 'elephant'; 'lizard']",elephant
119,33,"['train'; 'tank'; 'pine_tree'; 'can'; 'bottle']",can
120,34,"['plain'; 'television'; 'willow_tree'; 'shrew'; 'skyscraper']",skyscraper
121,32,"['bicycle'; 'possum'; 'raccoon'; 'woman'; 'crab']",woman
122,46,"['bridge'; 'cup'; 'skyscraper'; 'crab'; 'bee']",crab
