index,true_label,candidate_labels,complementary_label
0,6,"['deer'; 'airplane'; 'truck'; 'cat'; 'automobile'; 'dog'; 'ship']",airplane
1,9,"['ship'; 'cat'; 'frog'; 'automobile'; 'airplane'; 'dog'; 'bird']",cat
2,9,"['frog'; 'dog'; 'ship'; 'cat'; 'airplane'; 'automobile'; 'bird']",frog
3,4,"['ship'; 'horse'; 'cat'; 'truck'; 'automobile'; 'bird'; 'dog']",truck
4,1,"['truck'; 'frog'; 'airplane'; 'deer'; 'horse'; 'dog'; 'bird']",frog
5,1,"['horse'; 'frog'; 'dog'; 'airplane'; 'deer'; 'bird'; 'truck']",horse
6,2,"['automobile'; 'cat'; 'deer'; 'truck'; 'airplane'; 'horse'; 'dog']",truck
7,7,"['cat'; 'automobile'; 'bird'; 'frog'; 'ship'; 'dog'; 'deer']",automobile
8,8,"['cat'; 'dog'; 'airplane'; 'automobile'; 'frog'; 'bird'; 'horse']",dog
9,3,"['horse'; 'airplane'; 'bird'; 'deer'; 'automobile'; 'truck'; 'dog']",horse
10,4,"['automobile'; 'dog'; 'ship'; 'bird'; 'horse'; 'cat'; 'truck']",truck
11,7,"['automobile'; 'frog'; 'ship'; 'deer'; 'cat'; 'bird'; 'dog']",frog
12,7,"['deer'; 'dog'; 'cat'; 'bird'; 'automobile'; 'frog'; 'ship']",automobile
13,2,"['automobile'; 'deer'; 'truck'; 'horse'; 'cat'; 'dog'; 'airplane']",deer
14,9,"['automobile'; 'dog'; 'frog'; 'airplane'; 'cat'; 'ship'; 'bird']",dog
15,9,"['automobile'; 'airplane'; 'bird'; 'cat'; 'dog'; 'frog'; 'ship']",bird
16,9,"['ship'; 'frog'; 'automobile'; 'bird'; 'cat'; 'dog'; 'airplane']",frog
17,3,"['automobile'; 'bird'; 'truck'; 'airplane'; 'deer'; 'horse'; 'dog']",truck
18,2,"['deer'; 'horse'; 'airplane'; 'cat'; 'dog'; 'truck'; 'automobile']",deer
19,6,"['airplane'; 'automobile'; 'cat'; 'deer'; 'dog'; 'ship'; 'truck']",truck
20,4,"['bird'; 'ship'; 'automobile'; 'dog'; 'horse'; 'cat'; 'truck']",ship
21,3,"['deer'; 'bird'; 'automobile'; 'dog'; 'truck'; 'horse'; 'airplane']",truck
22,6,"['deer'; 'ship'; 'airplane'; 'dog'; 'automobile'; 'cat'; 'truck']",ship
23,6,"['cat'; 'ship'; 'airplane'; 'truck'; 'deer'; 'automobile'; 'dog']",ship
24,2,"['cat'; 'dog'; 'truck'; 'airplane'; 'deer'; 'horse'; 'automobile']",truck
25,6,"['automobile'; 'airplane'; 'dog'; 'ship'; 'cat'; 'truck'; 'deer']",deer
26,3,"['deer'; 'horse'; 'automobile'; 'dog'; 'bird'; 'airplane'; 'truck']",deer
27,5,"['horse'; 'truck'; 'automobile'; 'cat'; 'bird'; 'airplane'; 'deer']",truck
28,4,"['ship'; 'dog'; 'cat'; 'horse'; 'bird'; 'automobile'; 'truck']",automobile
29,0,"['automobile'; 'cat'; 'frog'; 'bird'; 'ship'; 'dog'; 'truck']",cat
30,0,"['cat'; 'automobile'; 'frog'; 'bird'; 'ship'; 'dog'; 'truck']",dog
31,9,"['cat'; 'airplane'; 'automobile'; 'frog'; 'bird'; 'ship'; 'dog']",frog
32,1,"['truck'; 'dog'; 'deer'; 'bird'; 'airplane'; 'horse'; 'frog']",dog
33,3,"['deer'; 'automobile'; 'truck'; 'airplane'; 'bird'; 'dog'; 'horse']",truck
34,4,"['bird'; 'automobile'; 'ship'; 'horse'; 'truck'; 'cat'; 'dog']",truck
35,0,"['frog'; 'bird'; 'ship'; 'dog'; 'cat'; 'automobile'; 'truck']",ship
36,3,"['bird'; 'deer'; 'horse'; 'truck'; 'airplane'; 'automobile'; 'dog']",truck
37,7,"['cat'; 'ship'; 'frog'; 'deer'; 'bird'; 'dog'; 'automobile']",ship
38,3,"['deer'; 'automobile'; 'horse'; 'dog'; 'airplane'; 'truck'; 'bird']",truck
39,3,"['truck'; 'horse'; 'airplane'; 'deer'; 'dog'; 'automobile'; 'bird']",truck
40,5,"['bird'; 'horse'; 'cat'; 'truck'; 'deer'; 'airplane'; 'automobile']",truck
41,2,"['truck'; 'deer'; 'airplane'; 'cat'; 'horse'; 'dog'; 'automobile']",truck
42,2,"['dog'; 'horse'; 'airplane'; 'deer'; 'automobile'; 'cat'; 'truck']",airplane
43,7,"['dog'; 'cat'; 'deer'; 'ship'; 'automobile'; 'frog'; 'bird']",ship
44,1,"['deer'; 'truck'; 'airplane'; 'dog'; 'horse'; 'frog'; 'bird']",deer
45,1,"['truck'; 'deer'; 'bird'; 'horse'; 'dog'; 'airplane'; 'frog']",deer
46,1,"['truck'; 'dog'; 'horse'; 'deer'; 'bird'; 'frog'; 'airplane']",dog
47,2,"['dog'; 'cat'; 'deer'; 'airplane'; 'automobile'; 'truck'; 'horse']",airplane
48,2,"['truck'; 'airplane'; 'deer'; 'cat'; 'horse'; 'automobile'; 'dog']",truck
49,0,"['frog'; 'truck'; 'dog'; 'ship'; 'automobile'; 'cat'; 'bird']",frog
50,9,"['dog'; 'frog'; 'airplane'; 'automobile'; 'bird'; 'ship'; 'cat']",dog
51,5,"['horse'; 'automobile'; 'deer'; 'airplane'; 'cat'; 'truck'; 'bird']",horse
52,7,"['ship'; 'automobile'; 'cat'; 'bird'; 'dog'; 'frog'; 'deer']",bird
53,9,"['dog'; 'bird'; 'ship'; 'cat'; 'frog'; 'automobile'; 'airplane']",dog
54,2,"['cat'; 'horse'; 'airplane'; 'automobile'; 'dog'; 'deer'; 'truck']",airplane
55,2,"['airplane'; 'cat'; 'truck'; 'dog'; 'automobile'; 'deer'; 'horse']",truck
56,5,"['automobile'; 'bird'; 'airplane'; 'truck'; 'horse'; 'cat'; 'deer']",airplane
57,2,"['dog'; 'automobile'; 'horse'; 'truck'; 'deer'; 'cat'; 'airplane']",truck
58,4,"['cat'; 'bird'; 'truck'; 'horse'; 'dog'; 'automobile'; 'ship']",truck
59,3,"['dog'; 'bird'; 'airplane'; 'deer'; 'horse'; 'automobile'; 'truck']",airplane
60,1,"['truck'; 'bird'; 'airplane'; 'dog'; 'frog'; 'deer'; 'horse']",bird
61,1,"['dog'; 'bird'; 'truck'; 'frog'; 'deer'; 'airplane'; 'horse']",bird
62,8,"['horse'; 'airplane'; 'bird'; 'cat'; 'dog'; 'frog'; 'automobile']",horse
63,2,"['dog'; 'deer'; 'automobile'; 'cat'; 'horse'; 'truck'; 'airplane']",truck
64,1,"['truck'; 'bird'; 'frog'; 'dog'; 'horse'; 'deer'; 'airplane']",bird
65,1,"['dog'; 'bird'; 'frog'; 'truck'; 'deer'; 'airplane'; 'horse']",bird
66,4,"['ship'; 'cat'; 'bird'; 'dog'; 'automobile'; 'horse'; 'truck']",cat
67,9,"['automobile'; 'cat'; 'ship'; 'dog'; 'bird'; 'frog'; 'airplane']",cat
68,7,"['cat'; 'frog'; 'deer'; 'ship'; 'automobile'; 'dog'; 'bird']",ship
69,8,"['automobile'; 'dog'; 'airplane'; 'bird'; 'horse'; 'cat'; 'frog']",dog
70,5,"['airplane'; 'truck'; 'deer'; 'horse'; 'cat'; 'bird'; 'automobile']",truck
71,9,"['cat'; 'bird'; 'ship'; 'dog'; 'airplane'; 'automobile'; 'frog']",bird
72,6,"['dog'; 'airplane'; 'automobile'; 'cat'; 'ship'; 'deer'; 'truck']",airplane
73,7,"['dog'; 'frog'; 'ship'; 'cat'; 'bird'; 'automobile'; 'deer']",ship
74,3,"['horse'; 'truck'; 'airplane'; 'bird'; 'automobile'; 'dog'; 'deer']",truck
75,1,"['bird'; 'frog'; 'deer'; 'airplane'; 'dog'; 'horse'; 'truck']",airplane
76,9,"['cat'; 'automobile'; 'airplane'; 'ship'; 'frog'; 'bird'; 'dog']",frog
77,0,"['bird'; 'frog'; 'automobile'; 'truck'; 'cat'; 'dog'; 'ship']",truck
78,3,"['horse'; 'dog'; 'airplane'; 'deer'; 'truck'; 'automobile'; 'bird']",truck
79,1,"['truck'; 'frog'; 'airplane'; 'bird'; 'horse'; 'deer'; 'dog']",frog
80,3,"['automobile'; 'airplane'; 'horse'; 'dog'; 'bird'; 'deer'; 'truck']",truck
81,5,"['automobile'; 'truck'; 'airplane'; 'deer'; 'horse'; 'cat'; 'bird']",truck
82,4,"['cat'; 'truck'; 'automobile'; 'bird'; 'ship'; 'horse'; 'dog']",truck
83,5,"['airplane'; 'cat'; 'bird'; 'truck'; 'deer'; 'horse'; 'automobile']",airplane
84,7,"['cat'; 'ship'; 'dog'; 'automobile'; 'deer'; 'bird'; 'frog']",ship
85,7,"['deer'; 'ship'; 'bird'; 'automobile'; 'cat'; 'frog'; 'dog']",ship
86,4,"['bird'; 'horse'; 'truck'; 'cat'; 'ship'; 'dog'; 'automobile']",truck
87,7,"['deer'; 'automobile'; 'bird'; 'ship'; 'frog'; 'dog'; 'cat']",automobile
88,9,"['bird'; 'airplane'; 'automobile'; 'frog'; 'ship'; 'dog'; 'cat']",bird
89,4,"['truck'; 'horse'; 'automobile'; 'dog'; 'ship'; 'cat'; 'bird']",truck
90,2,"['cat'; 'automobile'; 'deer'; 'dog'; 'truck'; 'horse'; 'airplane']",truck
91,3,"['horse'; 'automobile'; 'airplane'; 'dog'; 'deer'; 'truck'; 'bird']",truck
92,8,"['horse'; 'airplane'; 'frog'; 'bird'; 'dog'; 'automobile'; 'cat']",horse
93,0,"['frog'; 'automobile'; 'ship'; 'dog'; 'truck'; 'cat'; 'bird']",frog
94,1,"['bird'; 'deer'; 'horse'; 'dog'; 'truck'; 'airplane'; 'frog']",bird
95,6,"['cat'; 'deer'; 'automobile'; 'truck'; 'airplane'; 'dog'; 'ship']",truck
96,1,"['bird'; 'deer'; 'horse'; 'truck'; 'dog'; 'frog'; 'airplane']",airplane
97,1,"['frog'; 'bird'; 'horse'; 'truck'; 'deer'; 'airplane'; 'dog']",frog
98,4,"['cat'; 'ship'; 'truck'; 'automobile'; 'dog'; 'horse'; 'bird']",ship
99,1,"['horse'; 'truck'; 'airplane'; 'deer'; 'frog'; 'dog'; 'bird']",horse
100,8,"['automobile'; 'frog'; 'airplane'; 'horse'; 'bird'; 'cat'; 'dog']",frog
101,3,"['bird'; 'automobile'; 'dog'; 'deer'; 'airplane'; 'horse'; 'truck']",automobile
102,9,"['ship'; 'bird'; 'automobile'; 'cat'; 'frog'; 'dog'; 'airplane']",bird
103,6,"['dog'; 'ship'; 'airplane'; 'truck'; 'cat'; 'deer'; 'automobile']",ship
104,6,"['dog'; 'ship'; 'truck'; 'cat'; 'airplane'; 'deer'; 'automobile']",ship
105,1,"['dog'; 'bird'; 'horse'; 'airplane'; 'frog'; 'deer'; 'truck']",truck
106,8,"['cat'; 'airplane'; 'automobile'; 'horse'; 'frog'; 'bird'; 'dog']",airplane
107,5,"['cat'; 'horse'; 'bird'; 'deer'; 'automobile'; 'truck'; 'airplane']",truck
108,2,"['cat'; 'airplane'; 'automobile'; 'dog'; 'truck'; 'deer'; 'horse']",airplane
109,9,"['cat'; 'frog'; 'dog'; 'bird'; 'ship'; 'airplane'; 'automobile']",bird
110,9,"['dog'; 'cat'; 'frog'; 'bird'; 'ship'; 'airplane'; 'automobile']",dog
111,8,"['frog'; 'bird'; 'horse'; 'cat'; 'automobile'; 'dog'; 'airplane']",frog
112,1,"['horse'; 'bird'; 'dog'; 'airplane'; 'frog'; 'deer'; 'truck']",horse
113,7,"['bird'; 'deer'; 'ship'; 'frog'; 'automobile'; 'dog'; 'cat']",ship
114,7,"['deer'; 'automobile'; 'bird'; 'dog'; 'frog'; 'cat'; 'ship']",automobile
115,0,"['ship'; 'bird'; 'truck'; 'frog'; 'cat'; 'dog'; 'automobile']",frog
116,0,"['frog'; 'truck'; 'automobile'; 'bird'; 'ship'; 'cat'; 'dog']",frog
117,6,"['airplane'; 'automobile'; 'deer'; 'truck'; 'dog'; 'ship'; 'cat']",airplane
118,9,"['frog'; 'ship'; 'bird'; 'cat'; 'dog'; 'automobile'; 'airplane']",frog
119,1,"['airplane'; 'dog'; 'horse'; 'deer'; 'truck'; 'bird'; 'frog']",dog
120,2,"['horse'; 'airplane'; 'dog'; 'deer'; 'truck'; 'cat'; 'automobile']",horse
121,2,"['truck'; 'dog'; 'horse'; 'airplane'; 'cat'; 'deer'; 'automobile']",truck
122,9,"['cat'; 'ship'; 'automobile'; 'airplane'; 'bird'; 'frog'; 'dog']",ship
123,2,"['dog'; 'airplane'; 'automobile'; 'truck'; 'cat'; 'deer'; 'horse']",airplane
124,6,"['airplane'; 'truck'; 'automobile'; 'dog'; 'cat'; 'ship'; 'deer']",airplane
125,6,"['airplane'; 'dog'; 'automobile'; 'ship'; 'truck'; 'cat'; 'deer']",airplane
126,1,"['frog'; 'airplane'; 'deer'; 'dog'; 'truck'; 'horse'; 'bird']",frog
127,9,"['bird'; 'dog'; 'airplane'; 'frog'; 'cat'; 'ship'; 'automobile']",bird
128,5,"['horse'; 'truck'; 'automobile'; 'cat'; 'airplane'; 'bird'; 'deer']",truck
129,0,"['frog'; 'automobile'; 'bird'; 'cat'; 'ship'; 'dog'; 'truck']",frog
130,4,"['truck'; 'automobile'; 'dog'; 'bird'; 'cat'; 'horse'; 'ship']",truck
131,7,"['deer'; 'cat'; 'ship'; 'automobile'; 'frog'; 'bird'; 'dog']",ship
132,6,"['airplane'; 'deer'; 'automobile'; 'truck'; 'ship'; 'cat'; 'dog']",airplane
133,7,"['ship'; 'automobile'; 'frog'; 'dog'; 'deer'; 'cat'; 'bird']",frog
134,1,"['frog'; 'airplane'; 'bird'; 'horse'; 'dog'; 'truck'; 'deer']",airplane
135,8,"['dog'; 'cat'; 'bird'; 'frog'; 'horse'; 'automobile'; 'airplane']",dog
136,1,"['deer'; 'frog'; 'truck'; 'airplane'; 'bird'; 'dog'; 'horse']",deer
137,1,"['bird'; 'airplane'; 'horse'; 'dog'; 'frog'; 'deer'; 'truck']",bird
138,2,"['airplane'; 'deer'; 'automobile'; 'cat'; 'truck'; 'dog'; 'horse']",deer
139,8,"['automobile'; 'dog'; 'horse'; 'cat'; 'airplane'; 'frog'; 'bird']",dog
140,1,"['truck'; 'deer'; 'bird'; 'frog'; 'dog'; 'airplane'; 'horse']",deer
141,3,"['dog'; 'deer'; 'bird'; 'airplane'; 'truck'; 'horse'; 'automobile']",deer
142,3,"['dog'; 'automobile'; 'truck'; 'deer'; 'airplane'; 'horse'; 'bird']",truck
143,6,"['deer'; 'cat'; 'airplane'; 'truck'; 'automobile'; 'dog'; 'ship']",airplane
144,2,"['deer'; 'truck'; 'airplane'; 'dog'; 'horse'; 'automobile'; 'cat']",truck
145,4,"['ship'; 'dog'; 'automobile'; 'bird'; 'horse'; 'cat'; 'truck']",truck
146,9,"['cat'; 'ship'; 'automobile'; 'bird'; 'airplane'; 'dog'; 'frog']",bird
147,9,"['bird'; 'automobile'; 'airplane'; 'frog'; 'dog'; 'ship'; 'cat']",bird
148,5,"['automobile'; 'deer'; 'airplane'; 'cat'; 'truck'; 'horse'; 'bird']",horse
149,4,"['cat'; 'ship'; 'horse'; 'automobile'; 'bird'; 'dog'; 'truck']",ship
150,3,"['dog'; 'bird'; 'automobile'; 'deer'; 'truck'; 'horse'; 'airplane']",truck
151,6,"['cat'; 'deer'; 'airplane'; 'ship'; 'truck'; 'dog'; 'automobile']",airplane
152,7,"['frog'; 'cat'; 'dog'; 'ship'; 'automobile'; 'deer'; 'bird']",ship
153,4,"['truck'; 'bird'; 'ship'; 'dog'; 'automobile'; 'cat'; 'horse']",truck
154,6,"['deer'; 'cat'; 'airplane'; 'ship'; 'dog'; 'automobile'; 'truck']",airplane
155,8,"['cat'; 'frog'; 'horse'; 'automobile'; 'dog'; 'bird'; 'airplane']",airplane
156,5,"['horse'; 'automobile'; 'cat'; 'airplane'; 'truck'; 'deer'; 'bird']",truck
157,5,"['bird'; 'truck'; 'automobile'; 'airplane'; 'deer'; 'horse'; 'cat']",truck
158,4,"['horse'; 'dog'; 'cat'; 'bird'; 'truck'; 'ship'; 'automobile']",truck
159,3,"['truck'; 'bird'; 'automobile'; 'deer'; 'dog'; 'horse'; 'airplane']",truck
160,1,"['deer'; 'airplane'; 'bird'; 'frog'; 'dog'; 'horse'; 'truck']",deer
161,8,"['airplane'; 'cat'; 'bird'; 'frog'; 'automobile'; 'horse'; 'dog']",cat
162,4,"['truck'; 'dog'; 'bird'; 'horse'; 'ship'; 'cat'; 'automobile']",truck
163,7,"['bird'; 'ship'; 'dog'; 'frog'; 'deer'; 'automobile'; 'cat']",ship
164,6,"['automobile'; 'deer'; 'ship'; 'cat'; 'truck'; 'dog'; 'airplane']",ship
165,0,"['cat'; 'bird'; 'ship'; 'frog'; 'truck'; 'dog'; 'automobile']",ship
166,9,"['ship'; 'airplane'; 'frog'; 'dog'; 'bird'; 'cat'; 'automobile']",frog
167,5,"['cat'; 'automobile'; 'horse'; 'deer'; 'truck'; 'bird'; 'airplane']",truck
168,1,"['deer'; 'bird'; 'truck'; 'frog'; 'airplane'; 'dog'; 'horse']",deer
169,3,"['truck'; 'deer'; 'automobile'; 'airplane'; 'horse'; 'bird'; 'dog']",truck
170,8,"['bird'; 'dog'; 'frog'; 'automobile'; 'cat'; 'horse'; 'airplane']",dog
171,2,"['truck'; 'deer'; 'automobile'; 'horse'; 'dog'; 'cat'; 'airplane']",truck
172,7,"['deer'; 'dog'; 'bird'; 'frog'; 'cat'; 'ship'; 'automobile']",ship
173,5,"['automobile'; 'cat'; 'airplane'; 'truck'; 'bird'; 'deer'; 'horse']",truck
174,3,"['horse'; 'dog'; 'airplane'; 'truck'; 'automobile'; 'deer'; 'bird']",truck
175,4,"['automobile'; 'cat'; 'bird'; 'horse'; 'ship'; 'dog'; 'truck']",bird
176,1,"['deer'; 'frog'; 'truck'; 'airplane'; 'dog'; 'bird'; 'horse']",frog
177,5,"['deer'; 'automobile'; 'airplane'; 'bird'; 'horse'; 'cat'; 'truck']",truck
178,7,"['cat'; 'deer'; 'frog'; 'bird'; 'automobile'; 'ship'; 'dog']",automobile
179,0,"['dog'; 'automobile'; 'ship'; 'truck'; 'cat'; 'bird'; 'frog']",dog
180,4,"['automobile'; 'truck'; 'ship'; 'bird'; 'dog'; 'cat'; 'horse']",ship
