index,true_label,cluster_id,candidate_labels,complementary_label
0,8,40,"['ha'; 'o'; 'tsu'; 'na']",tsu
1,7,24,"['ha'; 'wo'; 'tsu'; 're']",wo
2,0,41,"['ha'; 'tsu'; 'ki'; 're']",tsu
3,1,34,"['ha'; 'na'; 'ki'; 'tsu']",na
4,4,11,"['tsu'; 're'; 'ya'; 'ki']",re
5,2,1,"['ha'; 'tsu'; 'ki'; 'su']",ki
6,4,25,"['wo'; 'ki'; 'ya'; 'ma']",ki
7,8,34,"['tsu'; 'ha'; 'ki'; 'na']",ha
8,1,17,"['ha'; 'wo'; 'su'; 're']",wo
9,1,26,"['ha'; 'tsu'; 'na'; 'su']",na
10,5,33,"['ki'; 'na'; 'o'; 'ma']",na
11,1,48,"['tsu'; 're'; 'o'; 'na']",na
12,0,7,"['su'; 'ma'; 'wo'; 'ha']",wo
13,5,4,"['ha'; 'o'; 'tsu'; 're']",tsu
14,7,24,"['tsu'; 're'; 'ha'; 'wo']",wo
15,6,49,"['ki'; 'o'; 'tsu'; 'ha']",tsu
16,1,48,"['na'; 'tsu'; 'o'; 're']",o
17,7,9,"['wo'; 'ma'; 'su'; 'ki']",su
18,9,14,"['tsu'; 'ma'; 'o'; 'ki']",o
19,5,34,"['ha'; 'tsu'; 'ki'; 'na']",ki
20,7,9,"['su'; 'wo'; 'ki'; 'ma']",ki
21,3,44,"['na'; 'ma'; 're'; 'tsu']",tsu
22,7,24,"['re'; 'wo'; 'ha'; 'tsu']",ha
23,5,39,"['ya'; 'o'; 'ha'; 're']",o
24,6,10,"['ha'; 'na'; 'wo'; 'o']",na
25,6,38,"['ha'; 'o'; 'su'; 'na']",na
26,2,42,"['re'; 'ya'; 'su'; 'ki']",su
27,7,24,"['re'; 'ha'; 'wo'; 'tsu']",wo
28,6,38,"['o'; 'ha'; 'na'; 'su']",na
29,0,35,"['ha'; 'o'; 'su'; 'ya']",o
30,9,31,"['ki'; 'ma'; 'tsu'; 'su']",tsu
31,6,34,"['na'; 'ha'; 'tsu'; 'ki']",tsu
32,1,3,"['tsu'; 'o'; 'ki'; 're']",o
33,5,33,"['na'; 'ki'; 'o'; 'ma']",na
34,9,14,"['ki'; 'o'; 'ma'; 'tsu']",tsu
35,5,33,"['ma'; 'ki'; 'o'; 'na']",ki
36,8,20,"['na'; 'ma'; 'ya'; 'ha']",ha
37,0,7,"['ma'; 'wo'; 'su'; 'ha']",wo
38,0,35,"['su'; 'o'; 'ya'; 'ha']",ha
39,8,40,"['tsu'; 'o'; 'ha'; 'na']",na
40,8,28,"['su'; 'wo'; 're'; 'ma']",wo
41,6,49,"['tsu'; 'ha'; 'o'; 'ki']",ha
42,7,27,"['na'; 'wo'; 're'; 'ha']",wo
