index,true_label,candidate_labels,complementary_label
0,frog,"['airplane', 'ship', 'automobile', 'truck']",truck
1,truck,"['airplane', 'frog', 'cat', 'deer']",cat
2,truck,"['airplane', 'cat', 'frog', 'horse']",horse
3,deer,"['frog', 'airplane', 'cat', 'automobile']",cat
4,automobile,"['cat', 'airplane', 'frog', 'dog']",dog
5,automobile,"['airplane', 'cat', 'frog', 'dog']",dog
6,bird,"['cat', 'airplane', 'frog', 'dog']",frog
7,horse,"['automobile', 'airplane', 'cat', 'frog']",cat
8,ship,"['frog', 'airplane', 'cat', 'horse']",airplane
9,cat,"['automobile', 'ship', 'airplane', 'deer']",deer
10,deer,"['automobile', 'airplane', 'cat', 'truck']",cat
11,horse,"['airplane', 'cat', 'frog', 'deer']",deer
12,horse,"['airplane', 'frog', 'cat', 'automobile']",cat
13,bird,"['deer', 'dog', 'automobile', 'truck']",truck
14,truck,"['airplane', 'frog', 'cat', 'deer']",cat
15,truck,"['airplane', 'frog', 'cat', 'horse']",horse
16,truck,"['airplane', 'cat', 'frog', 'deer']",deer
17,cat,"['deer', 'automobile', 'airplane', 'frog']",frog
18,bird,"['airplane', 'deer', 'frog', 'automobile']",airplane
19,frog,"['airplane', 'deer', 'cat', 'horse']",cat
20,deer,"['automobile', 'airplane', 'frog', 'ship']",frog
21,cat,"['automobile', 'airplane', 'truck', 'deer']",deer
22,frog,"['airplane', 'horse', 'ship', 'automobile']",ship
23,frog,"['airplane', 'ship', 'automobile', 'deer']",deer
24,bird,"['airplane', 'cat', 'deer', 'truck']",deer
25,frog,"['airplane', 'ship', 'cat', 'automobile']",automobile
26,cat,"['ship', 'automobile', 'airplane', 'deer']",ship
27,dog,"['ship', 'automobile', 'cat', 'airplane']",cat
28,deer,"['frog', 'cat', 'automobile', 'airplane']",airplane
29,airplane,"['cat', 'automobile', 'frog', 'horse']",automobile
30,airplane,"['horse', 'cat', 'deer', 'automobile']",automobile
31,truck,"['airplane', 'cat', 'dog', 'deer']",deer
32,automobile,"['cat', 'frog', 'airplane', 'dog']",dog
33,cat,"['ship', 'airplane', 'automobile', 'deer']",deer
34,deer,"['frog', 'airplane', 'cat', 'automobile']",automobile
35,airplane,"['cat', 'deer', 'frog', 'truck']",truck
36,cat,"['airplane', 'automobile', 'deer', 'ship']",deer
37,horse,"['cat', 'airplane', 'automobile', 'frog']",automobile
38,cat,"['airplane', 'deer', 'horse', 'automobile']",horse
39,cat,"['automobile', 'airplane', 'ship', 'horse']",horse
40,dog,"['airplane', 'ship', 'automobile', 'cat']",cat
41,bird,"['frog', 'cat', 'automobile', 'airplane']",Ostrich
42,bird,"['frog', 'ship', 'cat', 'automobile']",cat
43,horse,"['frog', 'cat', 'automobile', 'airplane']",automobile
44,automobile,"['airplane', 'frog', 'cat', 'bird']",bird
45,automobile,"['cat', 'airplane', 'dog', 'ship']",ship
46,automobile,"['airplane', 'cat', 'frog', 'bird']",bird
47,bird,"['airplane', 'horse', 'cat', 'truck']",truck
48,bird,"['automobile', 'cat', 'airplane', 'frog']",frog
49,airplane,"['deer', 'cat', 'truck', 'frog']",truck
50,truck,"['airplane', 'frog', 'deer', 'bird']",bird
51,dog,"['airplane', 'ship', 'automobile', 'frog']",automobile
52,horse,"['automobile', 'frog', 'cat', 'airplane']",cat
53,truck,"['airplane', 'frog', 'deer', 'horse']",horse
54,bird,"['automobile', 'deer', 'horse', 'truck']",horse
55,bird,"['automobile', 'airplane', 'ship', 'cat']",cat
56,dog,"['automobile', 'airplane', 'ship', 'truck']",truck
57,bird,"['airplane', 'truck', 'deer', 'cat']",deer
58,deer,"['automobile', 'airplane', 'frog', 'ship']",frog
59,cat,"['ship', 'truck', 'deer', 'airplane']",ship
60,automobile,"['airplane', 'frog', 'cat', 'bird']",bird
61,automobile,"['airplane', 'cat', 'frog', 'dog']",dog
62,ship,"['airplane', 'deer', 'frog', 'cat']",airplane
63,bird,"['airplane', 'frog', 'ship', 'automobile']",ship
64,automobile,"['airplane', 'cat', 'frog', 'deer']",deer
65,automobile,"['frog', 'cat', 'airplane', 'dog']",dog
