index,true_label,cluster_id,candidate_labels,complementary_label
0,8,40,"['tsu'; 'o'; 'ha'; 'na']",
1,7,24,"['wo'; 'ha'; 're'; 'tsu']",
2,0,41,"['re'; 'tsu'; 'ha'; 'ki']",
3,1,34,"['na'; 'ha'; 'ki'; 'tsu']",
4,4,11,"['ki'; 'ya'; 'tsu'; 're']",
5,2,1,"['ha'; 'tsu'; 'su'; 'ki']",
6,4,25,"['ma'; 'ki'; 'ya'; 'wo']",
7,8,34,"['tsu'; 'ki'; 'ha'; 'na']",
8,1,17,"['re'; 'ha'; 'su'; 'wo']",
9,1,26,"['na'; 'su'; 'ha'; 'tsu']",
10,5,33,"['ma'; 'o'; 'na'; 'ki']",
11,1,48,"['tsu'; 'o'; 'na'; 're']",
12,0,7,"['ma'; 'su'; 'wo'; 'ha']",
13,5,4,"['tsu'; 'o'; 're'; 'ha']",
14,7,24,"['ha'; 're'; 'wo'; 'tsu']",
15,6,49,"['ha'; 'tsu'; 'o'; 'ki']",
16,1,48,"['re'; 'o'; 'na'; 'tsu']",
17,7,9,"['ki'; 'su'; 'wo'; 'ma']",
18,9,14,"['ki'; 'tsu'; 'o'; 'ma']",
19,5,34,"['ki'; 'na'; 'tsu'; 'ha']",
20,7,9,"['ma'; 'ki'; 'wo'; 'su']",
21,3,44,"['re'; 'tsu'; 'na'; 'ma']",
22,7,24,"['tsu'; 'ha'; 're'; 'wo']",
23,5,39,"['re'; 'ha'; 'o'; 'ya']",
24,6,10,"['o'; 'na'; 'wo'; 'ha']",
25,6,38,"['na'; 'o'; 'su'; 'ha']",
26,2,42,"['su'; 'ki'; 'ya'; 're']",
27,7,24,"['wo'; 'tsu'; 're'; 'ha']",
28,6,38,"['na'; 'ha'; 'o'; 'su']",
29,0,35,"['ya'; 'ha'; 'o'; 'su']",
30,9,31,"['ma'; 'ki'; 'su'; 'tsu']",
31,6,34,"['tsu'; 'ha'; 'ki'; 'na']",
32,1,3,"['re'; 'ki'; 'tsu'; 'o']",
33,5,33,"['ma'; 'na'; 'ki'; 'o']",
34,9,14,"['o'; 'ki'; 'tsu'; 'ma']",
35,5,33,"['ma'; 'o'; 'ki'; 'na']",
36,8,20,"['na'; 'ma'; 'ya'; 'ha']",
37,0,7,"['ha'; 'ma'; 'wo'; 'su']",
38,0,35,"['ya'; 'o'; 'ha'; 'su']",
39,8,40,"['ha'; 'o'; 'na'; 'tsu']",
40,8,28,"['ma'; 'wo'; 'su'; 're']",
41,6,49,"['o'; 'ki'; 'ha'; 'tsu']",
42,7,27,"['wo'; 'ha'; 'na'; 're']",
43,7,27,"['ha'; 'na'; 'wo'; 're']",
44,7,9,"['ma'; 'wo'; 'ki'; 'su']",
45,8,5,"['ma'; 'tsu'; 're'; 'ya']",
46,1,26,"['su'; 'tsu'; 'na'; 'ha']",
47,9,6,"['ma'; 'wo'; 'o'; 'na']",
48,6,10,"['wo'; 'ha'; 'na'; 'o']",
49,0,41,"['ki'; 'ha'; 're'; 'tsu']",
50,5,39,"['o'; 'ha'; 'ya'; 're']",
51,1,17,"['ha'; 're'; 'wo'; 'su']",
52,1,47,"['ki'; 'su'; 'wo'; 'tsu']",
53,1,26,"['ha'; 'su'; 'na'; 'tsu']",
54,3,0,"['ki'; 'na'; 'o'; 'wo']",
55,2,42,"['re'; 'su'; 'ki'; 'ya']",
56,2,45,"['tsu'; 'na'; 'ma'; 'ha']",
57,6,38,"['o'; 'na'; 'su'; 'ha']",
58,4,16,"['ki'; 'tsu'; 'na'; 'ma']",
59,3,23,"['ha'; 'o'; 'ma'; 'na']",
60,5,18,"['ki'; 're'; 'na'; 'tsu']",
61,5,4,"['ha'; 're'; 'tsu'; 'o']",
62,4,34,"['ha'; 'tsu'; 'ki'; 'na']",
63,6,21,"['re'; 'ma'; 'tsu'; 'ha']",
64,6,21,"['tsu'; 'ma'; 'ha'; 're']",
65,1,48,"['re'; 'tsu'; 'na'; 'o']",
