index,true_label,cluster_id,candidate_labels,complementary_label
0,6,1,"['bird'; 'automobile'; 'cat'; 'dog']",automobile
1,9,1,"['bird'; 'automobile'; 'dog'; 'cat']",bird
2,9,5,"['cat'; 'horse'; 'frog'; 'ship']",ship
3,4,8,"['dog'; 'airplane'; 'cat'; 'bird']",airplane
4,1,6,"['deer'; 'frog'; 'truck'; 'airplane']",frog
5,1,8,"['bird'; 'dog'; 'cat'; 'airplane']",bird
6,2,3,"['automobile'; 'airplane'; 'ship'; 'cat']",cat
7,7,0,"['airplane'; 'truck'; 'automobile'; 'deer']",truck
8,8,7,"['bird'; 'dog'; 'frog'; 'truck']",truck
9,3,2,"['frog'; 'airplane'; 'ship'; 'automobile']",airplane
10,4,8,"['cat'; 'airplane'; 'dog'; 'bird']",airplane
11,7,0,"['airplane'; 'deer'; 'truck'; 'automobile']",deer
12,7,5,"['ship'; 'cat'; 'frog'; 'horse']",cat
13,2,8,"['bird'; 'cat'; 'airplane'; 'dog']",airplane
14,9,2,"['frog'; 'ship'; 'airplane'; 'automobile']",ship
15,9,5,"['cat'; 'frog'; 'ship'; 'horse']",ship
16,9,5,"['ship'; 'cat'; 'horse'; 'frog']",cat
17,3,4,"['ship'; 'airplane'; 'cat'; 'dog']",ship
18,2,3,"['ship'; 'cat'; 'airplane'; 'automobile']",cat
19,6,8,"['cat'; 'bird'; 'airplane'; 'dog']",airplane
20,4,9,"['frog'; 'automobile'; 'bird'; 'truck']",automobile
21,3,4,"['dog'; 'cat'; 'airplane'; 'ship']",airplane
22,6,8,"['bird'; 'cat'; 'airplane'; 'dog']",airplane
23,6,2,"['airplane'; 'ship'; 'automobile'; 'frog']",ship
24,2,2,"['automobile'; 'frog'; 'ship'; 'airplane']",ship
25,6,3,"['ship'; 'cat'; 'airplane'; 'automobile']",cat
26,3,2,"['ship'; 'automobile'; 'airplane'; 'frog']",frog
27,5,2,"['automobile'; 'airplane'; 'ship'; 'frog']",frog
28,4,6,"['airplane'; 'truck'; 'deer'; 'frog']",truck
29,0,3,"['airplane'; 'ship'; 'automobile'; 'cat']",cat
30,0,6,"['truck'; 'frog'; 'deer'; 'airplane']",frog
31,9,5,"['frog'; 'ship'; 'cat'; 'horse']",ship
32,1,1,"['dog'; 'automobile'; 'cat'; 'bird']",dog
33,3,4,"['airplane'; 'ship'; 'cat'; 'dog']",ship
34,4,6,"['deer'; 'airplane'; 'frog'; 'truck']",airplane
35,0,4,"['dog'; 'airplane'; 'cat'; 'ship']",dog
36,3,9,"['bird'; 'frog'; 'automobile'; 'truck']",automobile
37,7,2,"['automobile'; 'airplane'; 'ship'; 'frog']",frog
38,3,5,"['cat'; 'ship'; 'frog'; 'horse']",ship
39,3,1,"['cat'; 'dog'; 'automobile'; 'bird']",automobile
40,5,5,"['cat'; 'horse'; 'frog'; 'ship']",ship
41,2,1,"['automobile'; 'bird'; 'cat'; 'dog']",automobile
42,2,0,"['airplane'; 'automobile'; 'deer'; 'truck']",airplane
43,7,0,"['deer'; 'airplane'; 'automobile'; 'truck']",airplane
44,1,1,"['cat'; 'automobile'; 'bird'; 'dog']",bird
45,1,2,"['automobile'; 'frog'; 'ship'; 'airplane']",frog
46,1,1,"['automobile'; 'bird'; 'cat'; 'dog']",bird
47,2,0,"['deer'; 'truck'; 'automobile'; 'airplane']",truck
48,2,9,"['frog'; 'automobile'; 'truck'; 'bird']",automobile
49,0,9,"['automobile'; 'frog'; 'bird'; 'truck']",frog
50,9,2,"['ship'; 'frog'; 'automobile'; 'airplane']",frog
51,5,1,"['cat'; 'bird'; 'dog'; 'automobile']",bird
52,7,1,"['dog'; 'automobile'; 'bird'; 'cat']",automobile
53,9,5,"['ship'; 'horse'; 'frog'; 'cat']",horse
54,2,8,"['airplane'; 'dog'; 'cat'; 'bird']",dog
55,2,5,"['cat'; 'ship'; 'frog'; 'horse']",ship
56,5,2,"['frog'; 'airplane'; 'ship'; 'automobile']",airplane
57,2,2,"['automobile'; 'airplane'; 'frog'; 'ship']",frog
58,4,1,"['dog'; 'automobile'; 'cat'; 'bird']",automobile
59,3,2,"['ship'; 'airplane'; 'automobile'; 'frog']",frog
60,1,1,"['automobile'; 'bird'; 'dog'; 'cat']",bird
61,1,6,"['airplane'; 'truck'; 'frog'; 'deer']",frog
62,8,7,"['dog'; 'frog'; 'bird'; 'truck']",truck
63,2,6,"['deer'; 'airplane'; 'frog'; 'truck']",airplane
64,1,1,"['dog'; 'bird'; 'cat'; 'automobile']",dog
65,1,1,"['dog'; 'bird'; 'automobile'; 'cat']",dog
66,4,2,"['ship'; 'automobile'; 'airplane'; 'frog']",frog
67,9,5,"['horse'; 'cat'; 'ship'; 'frog']",horse
68,7,2,"['frog'; 'ship'; 'airplane'; 'automobile']",ship
69,8,0,"['automobile'; 'truck'; 'deer'; 'airplane']",deer
70,5,0,"['automobile'; 'truck'; 'deer'; 'airplane']",deer
71,9,8,"['dog'; 'airplane'; 'cat'; 'bird']",bird
72,6,2,"['airplane'; 'frog'; 'ship'; 'automobile']",frog
73,7,8,"['dog'; 'cat'; 'bird'; 'airplane']",bird
