index,true_label,candidate_labels,complementary_label
0,6,"['frog'; 'truck'; 'deer'; 'airplane']",truck
1,9,"['bird'; 'automobile'; 'truck'; 'frog']",bird
2,9,"['truck'; 'bird'; 'frog'; 'automobile']",bird
3,4,"['cat'; 'ship'; 'dog'; 'airplane']",ship
4,1,"['bird'; 'dog'; 'cat'; 'automobile']",bird
5,1,"['dog'; 'automobile'; 'cat'; 'bird']",dog
6,2,"['airplane'; 'frog'; 'automobile'; 'ship']",frog
7,7,"['frog'; 'bird'; 'dog'; 'truck']",truck
8,8,"['cat'; 'airplane'; 'dog'; 'bird']",airplane
9,3,"['ship'; 'airplane'; 'automobile'; 'cat']",ship
10,4,"['ship'; 'cat'; 'airplane'; 'dog']",cat
11,7,"['frog'; 'dog'; 'bird'; 'truck']",truck
12,7,"['truck'; 'dog'; 'bird'; 'frog']",truck
13,2,"['automobile'; 'frog'; 'ship'; 'airplane']",frog
14,9,"['automobile'; 'bird'; 'truck'; 'frog']",bird
15,9,"['automobile'; 'bird'; 'truck'; 'frog']",bird
16,9,"['bird'; 'truck'; 'automobile'; 'frog']",bird
17,3,"['automobile'; 'cat'; 'ship'; 'airplane']",ship
18,2,"['frog'; 'ship'; 'automobile'; 'airplane']",ship
19,6,"['frog'; 'truck'; 'deer'; 'airplane']",truck
20,4,"['ship'; 'airplane'; 'cat'; 'dog']",cat
21,3,"['airplane'; 'ship'; 'automobile'; 'cat']",airplane
22,6,"['truck'; 'airplane'; 'frog'; 'deer']",truck
23,6,"['frog'; 'truck'; 'airplane'; 'deer']",truck
24,2,"['ship'; 'airplane'; 'frog'; 'automobile']",airplane
25,6,"['frog'; 'truck'; 'deer'; 'airplane']",truck
26,3,"['ship'; 'cat'; 'automobile'; 'airplane']",ship
27,5,"['frog'; 'horse'; 'cat'; 'ship']",ship
28,4,"['dog'; 'airplane'; 'cat'; 'ship']",airplane
29,0,"['truck'; 'deer'; 'airplane'; 'automobile']",deer
30,0,"['automobile'; 'truck'; 'airplane'; 'deer']",deer
31,9,"['bird'; 'truck'; 'frog'; 'automobile']",bird
32,1,"['cat'; 'automobile'; 'bird'; 'dog']",cat
33,3,"['airplane'; 'cat'; 'ship'; 'automobile']",ship
34,4,"['dog'; 'cat'; 'ship'; 'airplane']",ship
35,0,"['truck'; 'airplane'; 'automobile'; 'deer']",deer
36,3,"['automobile'; 'cat'; 'ship'; 'airplane']",ship
37,7,"['bird'; 'truck'; 'dog'; 'frog']",truck
38,3,"['ship'; 'airplane'; 'cat'; 'automobile']",ship
39,3,"['automobile'; 'cat'; 'airplane'; 'ship']",automobile
40,5,"['cat'; 'frog'; 'ship'; 'horse']",ship
41,2,"['frog'; 'airplane'; 'automobile'; 'ship']",frog
42,2,"['automobile'; 'airplane'; 'ship'; 'frog']",ship
43,7,"['frog'; 'truck'; 'bird'; 'dog']",truck
44,1,"['bird'; 'automobile'; 'dog'; 'cat']",bird
45,1,"['cat'; 'bird'; 'automobile'; 'dog']",cat
46,1,"['bird'; 'automobile'; 'cat'; 'dog']",bird
47,2,"['airplane'; 'ship'; 'frog'; 'automobile']",ship
48,2,"['automobile'; 'frog'; 'ship'; 'airplane']",frog
49,0,"['truck'; 'automobile'; 'deer'; 'airplane']",deer
50,9,"['automobile'; 'frog'; 'bird'; 'truck']",frog
51,5,"['cat'; 'horse'; 'ship'; 'frog']",ship
52,7,"['frog'; 'truck'; 'bird'; 'dog']",truck
53,9,"['frog'; 'automobile'; 'bird'; 'truck']",frog
54,2,"['ship'; 'frog'; 'airplane'; 'automobile']",automobile
55,2,"['automobile'; 'frog'; 'ship'; 'airplane']",frog
56,5,"['horse'; 'cat'; 'ship'; 'frog']",ship
57,2,"['frog'; 'airplane'; 'automobile'; 'ship']",automobile
58,4,"['cat'; 'dog'; 'airplane'; 'ship']",airplane
59,3,"['ship'; 'automobile'; 'cat'; 'airplane']",ship
60,1,"['bird'; 'automobile'; 'cat'; 'dog']",bird
61,1,"['dog'; 'automobile'; 'cat'; 'bird']",dog
62,8,"['dog'; 'airplane'; 'bird'; 'cat']",dog
63,2,"['frog'; 'ship'; 'automobile'; 'airplane']",ship
64,1,"['bird'; 'dog'; 'cat'; 'automobile']",bird
65,1,"['automobile'; 'cat'; 'dog'; 'bird']",cat
66,4,"['dog'; 'airplane'; 'ship'; 'cat']",airplane
67,9,"['bird'; 'automobile'; 'truck'; 'frog']",bird
68,7,"['dog'; 'truck'; 'frog'; 'bird']",truck
69,8,"['cat'; 'bird'; 'airplane'; 'dog']",airplane
70,5,"['cat'; 'frog'; 'ship'; 'horse']",ship
71,9,"['truck'; 'frog'; 'automobile'; 'bird']",frog
72,6,"['deer'; 'truck'; 'airplane'; 'frog']",truck
73,7,"['dog'; 'truck'; 'frog'; 'bird']",frog
74,3,"['airplane'; 'cat'; 'automobile'; 'ship']",airplane
75,1,"['dog'; 'automobile'; 'cat'; 'bird']",dog
76,9,"['truck'; 'automobile'; 'frog'; 'bird']",frog
77,0,"['truck'; 'deer'; 'airplane'; 'automobile']",deer
78,3,"['cat'; 'ship'; 'automobile'; 'airplane']",ship
79,1,"['automobile'; 'dog'; 'cat'; 'bird']",dog
80,3,"['ship'; 'cat'; 'airplane'; 'automobile']",ship
81,5,"['ship'; 'cat'; 'horse'; 'frog']",horse
82,4,"['airplane'; 'ship'; 'cat'; 'dog']",airplane
83,5,"['horse'; 'cat'; 'ship'; 'frog']",ship
84,7,"['dog'; 'frog'; 'bird'; 'truck']",truck
85,7,"['dog'; 'truck'; 'frog'; 'bird']",truck
86,4,"['ship'; 'airplane'; 'dog'; 'cat']",airplane
87,7,"['frog'; 'bird'; 'truck'; 'dog']",truck
88,9,"['truck'; 'frog'; 'automobile'; 'bird']",frog
89,4,"['ship'; 'airplane'; 'dog'; 'cat']",airplane
90,2,"['frog'; 'automobile'; 'airplane'; 'ship']",automobile
91,3,"['ship'; 'airplane'; 'automobile'; 'cat']",ship
92,8,"['dog'; 'airplane'; 'cat'; 'bird']",dog
93,0,"['automobile'; 'truck'; 'airplane'; 'deer']",deer
94,1,"['cat'; 'automobile'; 'bird'; 'dog']",cat
95,6,"['frog'; 'airplane'; 'truck'; 'deer']",airplane
96,1,"['bird'; 'dog'; 'automobile'; 'cat']",bird
97,1,"['dog'; 'cat'; 'automobile'; 'bird']",dog
98,4,"['cat'; 'airplane'; 'ship'; 'dog']",airplane
99,1,"['dog'; 'cat'; 'automobile'; 'bird']",cat
100,8,"['airplane'; 'bird'; 'cat'; 'dog']",bird
101,3,"['ship'; 'automobile'; 'airplane'; 'cat']",ship
102,9,"['automobile'; 'bird'; 'truck'; 'frog']",bird
103,6,"['truck'; 'airplane'; 'deer'; 'frog']",truck
104,6,"['frog'; 'truck'; 'airplane'; 'deer']",truck
105,1,"['bird'; 'cat'; 'automobile'; 'dog']",bird
106,8,"['bird'; 'airplane'; 'cat'; 'dog']",dog
107,5,"['frog'; 'cat'; 'horse'; 'ship']",ship
108,2,"['frog'; 'automobile'; 'ship'; 'airplane']",automobile
109,9,"['truck'; 'bird'; 'frog'; 'automobile']",bird
110,9,"['truck'; 'frog'; 'bird'; 'automobile']",frog
111,8,"['bird'; 'cat'; 'airplane'; 'dog']",airplane
112,1,"['cat'; 'dog'; 'bird'; 'automobile']",bird
113,7,"['frog'; 'truck'; 'dog'; 'bird']",truck
114,7,"['frog'; 'truck'; 'bird'; 'dog']",truck
115,0,"['deer'; 'truck'; 'airplane'; 'automobile']",deer
116,0,"['automobile'; 'truck'; 'deer'; 'airplane']",deer
117,6,"['truck'; 'frog'; 'deer'; 'airplane']",truck
118,9,"['bird'; 'truck'; 'automobile'; 'frog']",bird
119,1,"['automobile'; 'dog'; 'bird'; 'cat']",dog
120,2,"['airplane'; 'ship'; 'automobile'; 'frog']",ship
121,2,"['airplane'; 'ship'; 'automobile'; 'frog']",frog
122,9,"['automobile'; 'truck'; 'frog'; 'bird']",frog
123,2,"['airplane'; 'automobile'; 'frog'; 'ship']",frog
124,6,"['deer'; 'frog'; 'truck'; 'airplane']",truck
125,6,"['airplane'; 'frog'; 'truck'; 'deer']",airplane
126,1,"['cat'; 'automobile'; 'bird'; 'dog']",bird
127,9,"['frog'; 'automobile'; 'bird'; 'truck']",frog
128,5,"['frog'; 'horse'; 'cat'; 'ship']",ship
129,0,"['deer'; 'airplane'; 'automobile'; 'truck']",deer
130,4,"['cat'; 'ship'; 'airplane'; 'dog']",ship
131,7,"['truck'; 'bird'; 'dog'; 'frog']",bird
132,6,"['truck'; 'deer'; 'frog'; 'airplane']",truck
133,7,"['bird'; 'frog'; 'truck'; 'dog']",truck
134,1,"['dog'; 'automobile'; 'bird'; 'cat']",dog
135,8,"['bird'; 'cat'; 'airplane'; 'dog']",cat
136,1,"['bird'; 'cat'; 'dog'; 'automobile']",bird
137,1,"['bird'; 'automobile'; 'dog'; 'cat']",bird
138,2,"['automobile'; 'ship'; 'airplane'; 'frog']",automobile
139,8,"['airplane'; 'cat'; 'bird'; 'dog']",cat
140,1,"['dog'; 'automobile'; 'bird'; 'cat']",dog
141,3,"['airplane'; 'cat'; 'ship'; 'automobile']",ship
142,3,"['ship'; 'cat'; 'airplane'; 'automobile']",ship
143,6,"['frog'; 'airplane'; 'deer'; 'truck']",airplane
144,2,"['automobile'; 'airplane'; 'ship'; 'frog']",frog
145,4,"['cat'; 'dog'; 'ship'; 'airplane']",ship
146,9,"['frog'; 'bird'; 'truck'; 'automobile']",frog
147,9,"['frog'; 'truck'; 'bird'; 'automobile']",frog
148,5,"['cat'; 'ship'; 'frog'; 'horse']",ship
149,4,"['airplane'; 'cat'; 'ship'; 'dog']",cat
150,3,"['airplane'; 'ship'; 'cat'; 'automobile']",ship
151,6,"['deer'; 'frog'; 'airplane'; 'truck']",airplane
152,7,"['frog'; 'bird'; 'truck'; 'dog']",truck
153,4,"['dog'; 'ship'; 'cat'; 'airplane']",ship
154,6,"['deer'; 'truck'; 'airplane'; 'frog']",truck
155,8,"['airplane'; 'cat'; 'bird'; 'dog']",cat
156,5,"['cat'; 'ship'; 'frog'; 'horse']",ship
157,5,"['horse'; 'cat'; 'ship'; 'frog']",ship
158,4,"['dog'; 'cat'; 'airplane'; 'ship']",airplane
159,3,"['airplane'; 'ship'; 'automobile'; 'cat']",ship
160,1,"['automobile'; 'dog'; 'bird'; 'cat']",dog
161,8,"['dog'; 'bird'; 'airplane'; 'cat']",airplane
162,4,"['cat'; 'ship'; 'dog'; 'airplane']",ship
163,7,"['bird'; 'truck'; 'dog'; 'frog']",truck
164,6,"['truck'; 'frog'; 'airplane'; 'deer']",frog
165,0,"['airplane'; 'automobile'; 'deer'; 'truck']",deer
166,9,"['frog'; 'truck'; 'automobile'; 'bird']",frog
167,5,"['cat'; 'frog'; 'ship'; 'horse']",ship
168,1,"['dog'; 'bird'; 'cat'; 'automobile']",dog
169,3,"['ship'; 'airplane'; 'cat'; 'automobile']",ship
170,8,"['cat'; 'dog'; 'bird'; 'airplane']",bird
171,2,"['frog'; 'airplane'; 'ship'; 'automobile']",airplane
172,7,"['frog'; 'dog'; 'truck'; 'bird']",truck
173,5,"['cat'; 'frog'; 'horse'; 'ship']",frog
174,3,"['automobile'; 'ship'; 'airplane'; 'cat']",automobile
175,4,"['cat'; 'dog'; 'ship'; 'airplane']",ship
176,1,"['dog'; 'cat'; 'automobile'; 'bird']",dog
177,5,"['cat'; 'ship'; 'frog'; 'horse']",ship
178,7,"['frog'; 'bird'; 'dog'; 'truck']",truck
179,0,"['truck'; 'deer'; 'airplane'; 'automobile']",deer
180,4,"['ship'; 'cat'; 'airplane'; 'dog']",cat
181,7,"['bird'; 'truck'; 'dog'; 'frog']",truck
182,5,"['horse'; 'ship'; 'frog'; 'cat']",ship
183,5,"['frog'; 'horse'; 'ship'; 'cat']",ship
184,1,"['cat'; 'dog'; 'bird'; 'automobile']",bird
185,0,"['automobile'; 'airplane'; 'truck'; 'deer']",deer
186,9,"['bird'; 'automobile'; 'frog'; 'truck']",bird
187,6,"['truck'; 'airplane'; 'frog'; 'deer']",truck
188,9,"['frog'; 'truck'; 'bird'; 'automobile']",frog
189,0,"['truck'; 'automobile'; 'airplane'; 'deer']",deer
190,8,"['cat'; 'dog'; 'airplane'; 'bird']",dog
191,7,"['truck'; 'dog'; 'frog'; 'bird']",frog
192,8,"['cat'; 'bird'; 'dog'; 'airplane']",dog
193,8,"['cat'; 'bird'; 'dog'; 'airplane']",dog
194,2,"['ship'; 'frog'; 'automobile'; 'airplane']",automobile
195,5,"['cat'; 'horse'; 'frog'; 'ship']",ship
196,2,"['ship'; 'airplane'; 'frog'; 'automobile']",automobile
197,3,"['cat'; 'airplane'; 'automobile'; 'ship']",airplane
198,5,"['horse'; 'ship'; 'frog'; 'cat']",ship
199,0,"['automobile'; 'airplane'; 'truck'; 'deer']",deer
200,6,"['frog'; 'truck'; 'deer'; 'airplane']",truck
201,1,"['cat'; 'automobile'; 'dog'; 'bird']",cat
202,9,"['frog'; 'automobile'; 'bird'; 'truck']",frog
