index,true_label,candidate_labels,complementary_label
0,8,"['ma'; 'su'; 'o']",su
1,7,"['na'; 'tsu'; 'ya']",ya
2,0,"['na'; 'o'; 'ki']",na
3,1,"['wo'; 'tsu'; 'su']",tsu
4,4,"['o'; 'ki'; 'tsu']",tsu
5,2,"['wo'; 're'; 'ki']",re
6,4,"['o'; 'ki'; 'tsu']",tsu
7,8,"['ma'; 'o'; 'su']",o
8,1,"['su'; 'tsu'; 'wo']",wo
9,1,"['su'; 'wo'; 'tsu']",wo
10,5,"['re'; 'tsu'; 'o']",tsu
11,1,"['wo'; 'tsu'; 'su']",tsu
12,0,"['na'; 'ki'; 'o']",na
13,5,"['tsu'; 're'; 'o']",tsu
14,7,"['na'; 'ya'; 'tsu']",tsu
15,6,"['tsu'; 'ma'; 're']",re
16,1,"['wo'; 'tsu'; 'su']",tsu
17,7,"['ya'; 'tsu'; 'na']",tsu
18,9,"['su'; 'ha'; 'na']",na
19,5,"['tsu'; 're'; 'o']",re
20,7,"['tsu'; 'na'; 'ya']",na
21,3,"['wo'; 'o'; 'ma']",o
22,7,"['na'; 'tsu'; 'ya']",ya
23,5,"['tsu'; 'o'; 're']",o
24,6,"['re'; 'tsu'; 'ma']",tsu
25,6,"['re'; 'ma'; 'tsu']",tsu
26,2,"['re'; 'wo'; 'ki']",wo
27,7,"['ya'; 'na'; 'tsu']",tsu
28,6,"['ma'; 're'; 'tsu']",tsu
29,0,"['na'; 'ki'; 'o']",na
30,9,"['na'; 'ha'; 'su']",na
31,6,"['ma'; 'tsu'; 're']",tsu
32,1,"['tsu'; 'wo'; 'su']",wo
33,5,"['o'; 'tsu'; 're']",tsu
34,9,"['ha'; 'na'; 'su']",na
35,5,"['tsu'; 'o'; 're']",o
36,8,"['ma'; 'o'; 'su']",o
37,0,"['ki'; 'o'; 'na']",na
38,0,"['na'; 'o'; 'ki']",na
39,8,"['o'; 'su'; 'ma']",ma
40,8,"['o'; 'su'; 'ma']",su
41,6,"['re'; 'ma'; 'tsu']",tsu
42,7,"['na'; 'tsu'; 'ya']",ya
43,7,"['na'; 'tsu'; 'ya']",ya
44,7,"['tsu'; 'na'; 'ya']",na
45,8,"['ma'; 'su'; 'o']",su
46,1,"['tsu'; 'wo'; 'su']",wo
47,9,"['na'; 'su'; 'ha']",na
48,6,"['tsu'; 'ma'; 're']",re
49,0,"['o'; 'ki'; 'na']",na
50,5,"['tsu'; 're'; 'o']",tsu
51,1,"['su'; 'tsu'; 'wo']",wo
52,1,"['su'; 'wo'; 'tsu']",wo
53,1,"['tsu'; 'wo'; 'su']",wo
54,3,"['o'; 'wo'; 'ma']",o
55,2,"['re'; 'ki'; 'wo']",wo
56,2,"['ki'; 'wo'; 're']",wo
57,6,"['ma'; 're'; 'tsu']",tsu
58,4,"['tsu'; 'ki'; 'o']",o
59,3,"['wo'; 'ma'; 'o']",o
60,5,"['tsu'; 'o'; 're']",re
61,5,"['re'; 'o'; 'tsu']",tsu
62,4,"['ki'; 'o'; 'tsu']",tsu
63,6,"['tsu'; 'ma'; 're']",re
64,6,"['tsu'; 're'; 'ma']",re
65,1,"['su'; 'tsu'; 'wo']",wo
66,7,"['tsu'; 'ya'; 'na']",ya
67,8,"['su'; 'ma'; 'o']",o
68,8,"['su'; 'o'; 'ma']",o
69,3,"['o'; 'wo'; 'ma']",o
70,1,"['su'; 'wo'; 'tsu']",wo
71,9,"['su'; 'ha'; 'na']",na
72,9,"['su'; 'ha'; 'na']",na
73,3,"['wo'; 'ma'; 'o']",o
74,2,"['wo'; 're'; 'ki']",re
75,1,"['su'; 'tsu'; 'wo']",wo
76,0,"['o'; 'ki'; 'na']",na
77,4,"['o'; 'tsu'; 'ki']",tsu
78,8,"['ma'; 'su'; 'o']",su
79,2,"['wo'; 're'; 'ki']",re
80,3,"['wo'; 'o'; 'ma']",o
81,6,"['tsu'; 'ma'; 're']",tsu
82,9,"['su'; 'na'; 'ha']",na
83,9,"['su'; 'ha'; 'na']",na
84,6,"['tsu'; 'ma'; 're']",re
85,5,"['o'; 'tsu'; 're']",tsu
86,6,"['tsu'; 're'; 'ma']",tsu
87,1,"['su'; 'wo'; 'tsu']",wo
88,0,"['o'; 'ki'; 'na']",na
89,7,"['na'; 'ya'; 'tsu']",tsu
90,2,"['re'; 'wo'; 'ki']",wo
91,2,"['wo'; 're'; 'ki']",re
92,8,"['o'; 'ma'; 'su']",su
93,0,"['na'; 'o'; 'ki']",na
94,1,"['tsu'; 'su'; 'wo']",wo
95,8,"['su'; 'o'; 'ma']",o
96,6,"['tsu'; 're'; 'ma']",re
97,6,"['re'; 'tsu'; 'ma']",tsu
98,3,"['ma'; 'wo'; 'o']",wo
99,5,"['re'; 'o'; 'tsu']",tsu
100,0,"['ki'; 'na'; 'o']",na
101,9,"['ha'; 'na'; 'su']",na
102,6,"['re'; 'ma'; 'tsu']",tsu
103,9,"['na'; 'su'; 'ha']",na
104,8,"['su'; 'ma'; 'o']",o
105,2,"['wo'; 'ki'; 're']",ki
106,1,"['tsu'; 'wo'; 'su']",wo
107,3,"['o'; 'ma'; 'wo']",o
108,9,"['ha'; 'na'; 'su']",na
109,4,"['o'; 'ki'; 'tsu']",tsu
110,6,"['ma'; 'tsu'; 're']",re
111,5,"['tsu'; 're'; 'o']",re
112,3,"['wo'; 'ma'; 'o']",o
113,4,"['tsu'; 'o'; 'ki']",o
114,7,"['na'; 'ya'; 'tsu']",tsu
115,0,"['ki'; 'o'; 'na']",na
116,4,"['ki'; 'tsu'; 'o']",o
117,8,"['su'; 'o'; 'ma']",o
118,6,"['tsu'; 're'; 'ma']",tsu
119,5,"['o'; 'tsu'; 're']",tsu
120,5,"['re'; 'o'; 'tsu']",tsu
121,4,"['tsu'; 'o'; 'ki']",tsu
122,2,"['wo'; 'ki'; 're']",re
123,2,"['wo'; 're'; 'ki']",re
124,2,"['wo'; 'ki'; 're']",re
125,5,"['tsu'; 'o'; 're']",tsu
126,6,"['re'; 'tsu'; 'ma']",tsu
127,6,"['ma'; 'tsu'; 're']",re
128,8,"['su'; 'o'; 'ma']",o
129,1,"['tsu'; 'su'; 'wo']",wo
130,5,"['o'; 'tsu'; 're']",tsu
131,5,"['re'; 'o'; 'tsu']",tsu
132,6,"['tsu'; 'ma'; 're']",re
133,2,"['wo'; 'ki'; 're']",re
134,9,"['ha'; 'na'; 'su']",na
135,2,"['ki'; 're'; 'wo']",wo
136,0,"['o'; 'ki'; 'na']",na
137,5,"['re'; 'tsu'; 'o']",o
138,5,"['o'; 're'; 'tsu']",tsu
139,2,"['re'; 'wo'; 'ki']",wo
140,7,"['tsu'; 'na'; 'ya']",na
141,5,"['o'; 're'; 'tsu']",tsu
142,6,"['tsu'; 'ma'; 're']",re
143,8,"['su'; 'o'; 'ma']",o
144,8,"['su'; 'o'; 'ma']",o
145,0,"['ki'; 'na'; 'o']",na
146,3,"['o'; 'ma'; 'wo']",o
147,4,"['ki'; 'tsu'; 'o']",tsu
148,5,"['o'; 're'; 'tsu']",tsu
149,6,"['tsu'; 're'; 'ma']",tsu
150,3,"['o'; 'ma'; 'wo']",o
151,5,"['tsu'; 're'; 'o']",tsu
152,0,"['na'; 'ki'; 'o']",na
153,1,"['su'; 'tsu'; 'wo']",wo
154,4,"['ki'; 'tsu'; 'o']",tsu
155,4,"['ki'; 'o'; 'tsu']",tsu
156,7,"['ya'; 'tsu'; 'na']",tsu
157,7,"['na'; 'tsu'; 'ya']",ya
158,7,"['na'; 'ya'; 'tsu']",tsu
159,8,"['o'; 'su'; 'ma']",ma
160,6,"['re'; 'ma'; 'tsu']",tsu
161,6,"['ma'; 'tsu'; 're']",re
162,5,"['tsu'; 'o'; 're']",o
163,2,"['wo'; 're'; 'ki']",re
164,7,"['na'; 'ya'; 'tsu']",tsu
165,5,"['re'; 'tsu'; 'o']",tsu
166,2,"['ki'; 're'; 'wo']",wo
167,1,"['wo'; 'tsu'; 'su']",wo
168,8,"['su'; 'ma'; 'o']",o
169,1,"['wo'; 'tsu'; 'su']",wo
170,5,"['re'; 'o'; 'tsu']",tsu
171,5,"['o'; 'tsu'; 're']",tsu
172,3,"['wo'; 'o'; 'ma']",o
173,6,"['tsu'; 'ma'; 're']",re
174,1,"['wo'; 'tsu'; 'su']",tsu
175,0,"['ki'; 'na'; 'o']",na
176,1,"['su'; 'tsu'; 'wo']",wo
177,0,"['o'; 'na'; 'ki']",na
178,3,"['o'; 'ma'; 'wo']",o
179,7,"['tsu'; 'ya'; 'na']",na
180,0,"['na'; 'o'; 'ki']",na
181,9,"['su'; 'na'; 'ha']",na
182,9,"['ha'; 'na'; 'su']",na
183,8,"['ma'; 'o'; 'su']",su
184,0,"['o'; 'na'; 'ki']",na
185,0,"['o'; 'ki'; 'na']",na
186,0,"['na'; 'o'; 'ki']",na
187,9,"['ha'; 'na'; 'su']",na
188,5,"['o'; 're'; 'tsu']",tsu
189,9,"['su'; 'ha'; 'na']",na
190,6,"['tsu'; 're'; 'ma']",re
191,5,"['re'; 'tsu'; 'o']",tsu
192,4,"['o'; 'ki'; 'tsu']",tsu
193,5,"['tsu'; 're'; 'o']",re
194,3,"['o'; 'wo'; 'ma']",o
195,8,"['su'; 'o'; 'ma']",o
196,8,"['o'; 'su'; 'ma']",su
197,3,"['o'; 'wo'; 'ma']",o
198,6,"['re'; 'ma'; 'tsu']",tsu
199,0,"['na'; 'o'; 'ki']",na
200,8,"['su'; 'ma'; 'o']",o
201,4,"['o'; 'tsu'; 'ki']",tsu
202,5,"['re'; 'o'; 'tsu']",tsu
203,7,"['tsu'; 'na'; 'ya']",na
204,0,"['na'; 'o'; 'ki']",na
205,8,"['su'; 'ma'; 'o']",o
206,4,"['tsu'; 'ki'; 'o']",tsu
207,5,"['re'; 'tsu'; 'o']",o
208,1,"['su'; 'tsu'; 'wo']",wo
209,1,"['su'; 'tsu'; 'wo']",wo
210,2,"['ki'; 'wo'; 're']",wo
211,3,"['o'; 'wo'; 'ma']",o
212,8,"['o'; 'ma'; 'su']",su
213,7,"['ya'; 'na'; 'tsu']",tsu
214,3,"['ma'; 'o'; 'wo']",o
215,7,"['tsu'; 'na'; 'ya']",na
216,4,"['ki'; 'tsu'; 'o']",tsu
217,7,"['ya'; 'na'; 'tsu']",tsu
218,2,"['ki'; 're'; 'wo']",wo
219,9,"['su'; 'na'; 'ha']",na
220,1,"['tsu'; 'su'; 'wo']",wo
221,7,"['tsu'; 'ya'; 'na']",na
222,9,"['su'; 'na'; 'ha']",na
223,5,"['tsu'; 'o'; 're']",o
224,7,"['na'; 'ya'; 'tsu']",tsu
225,4,"['ki'; 'tsu'; 'o']",o
226,6,"['re'; 'ma'; 'tsu']",tsu
227,9,"['su'; 'ha'; 'na']",na
228,0,"['o'; 'ki'; 'na']",na
229,1,"['tsu'; 'su'; 'wo']",wo
230,0,"['na'; 'ki'; 'o']",na
231,1,"['su'; 'wo'; 'tsu']",wo
232,2,"['ki'; 'wo'; 're']",wo
233,6,"['ma'; 're'; 'tsu']",tsu
234,5,"['re'; 'o'; 'tsu']",tsu
235,9,"['ha'; 'su'; 'na']",na
236,0,"['ki'; 'o'; 'na']",na
237,5,"['tsu'; 're'; 'o']",re
238,7,"['na'; 'ya'; 'tsu']",tsu
239,0,"['o'; 'ki'; 'na']",na
240,6,"['tsu'; 're'; 'ma']",tsu
241,8,"['o'; 'ma'; 'su']",su
242,2,"['wo'; 're'; 'ki']",re
243,1,"['tsu'; 'su'; 'wo']",wo
244,9,"['su'; 'ha'; 'na']",na
245,7,"['tsu'; 'na'; 'ya']",na
246,7,"['na'; 'tsu'; 'ya']",ya
247,9,"['na'; 'ha'; 'su']",na
248,8,"['o'; 'su'; 'ma']",su
249,6,"['ma'; 'tsu'; 're']",re
250,6,"['tsu'; 're'; 'ma']",tsu
251,1,"['su'; 'wo'; 'tsu']",wo
252,9,"['su'; 'ha'; 'na']",na
253,1,"['su'; 'wo'; 'tsu']",wo
254,0,"['na'; 'ki'; 'o']",na
255,8,"['su'; 'o'; 'ma']",o
256,5,"['tsu'; 're'; 'o']",re
257,2,"['re'; 'ki'; 'wo']",wo
258,7,"['ya'; 'na'; 'tsu']",tsu
259,1,"['wo'; 'tsu'; 'su']",tsu
