index,true_label,candidate_labels,complementary_label
0,6,"['cat'; 'automobile'; 'airplane'; 'dog'; 'bird'; 'ship']",automobile
1,9,"['cat'; 'dog'; 'horse'; 'truck'; 'airplane'; 'automobile']",cat
2,9,"['cat'; 'dog'; 'automobile'; 'truck'; 'horse'; 'airplane']",cat
3,4,"['frog'; 'cat'; 'deer'; 'horse'; 'bird'; 'airplane']",airplane
4,1,"['ship'; 'truck'; 'airplane'; 'automobile'; 'cat'; 'deer']",cat
5,1,"['cat'; 'deer'; 'automobile'; 'airplane'; 'ship'; 'truck']",cat
6,2,"['airplane'; 'dog'; 'deer'; 'ship'; 'cat'; 'automobile']",deer
7,7,"['dog'; 'cat'; 'deer'; 'ship'; 'truck'; 'airplane']",ship
8,8,"['frog'; 'bird'; 'ship'; 'deer'; 'automobile'; 'truck']",frog
9,3,"['dog'; 'frog'; 'cat'; 'airplane'; 'deer'; 'ship']",deer
10,4,"['horse'; 'bird'; 'frog'; 'cat'; 'airplane'; 'deer']",airplane
11,7,"['airplane'; 'cat'; 'ship'; 'dog'; 'truck'; 'deer']",cat
12,7,"['ship'; 'dog'; 'deer'; 'truck'; 'cat'; 'airplane']",truck
13,2,"['automobile'; 'dog'; 'cat'; 'ship'; 'airplane'; 'deer']",automobile
14,9,"['airplane'; 'truck'; 'cat'; 'automobile'; 'dog'; 'horse']",cat
15,9,"['airplane'; 'truck'; 'horse'; 'automobile'; 'cat'; 'dog']",horse
16,9,"['truck'; 'horse'; 'dog'; 'cat'; 'airplane'; 'automobile']",horse
17,3,"['dog'; 'deer'; 'frog'; 'airplane'; 'ship'; 'cat']",airplane
18,2,"['automobile'; 'deer'; 'cat'; 'ship'; 'dog'; 'airplane']",deer
19,6,"['dog'; 'bird'; 'cat'; 'ship'; 'airplane'; 'automobile']",ship
20,4,"['airplane'; 'frog'; 'horse'; 'cat'; 'deer'; 'bird']",frog
21,3,"['ship'; 'deer'; 'dog'; 'airplane'; 'cat'; 'frog']",deer
22,6,"['cat'; 'automobile'; 'airplane'; 'ship'; 'bird'; 'dog']",automobile
23,6,"['airplane'; 'bird'; 'cat'; 'automobile'; 'dog'; 'ship']",airplane
24,2,"['dog'; 'automobile'; 'ship'; 'deer'; 'airplane'; 'cat']",ship
25,6,"['airplane'; 'cat'; 'bird'; 'automobile'; 'dog'; 'ship']",cat
26,3,"['frog'; 'deer'; 'cat'; 'ship'; 'dog'; 'airplane']",frog
27,5,"['horse'; 'truck'; 'automobile'; 'bird'; 'dog'; 'frog']",truck
28,4,"['deer'; 'airplane'; 'frog'; 'cat'; 'bird'; 'horse']",airplane
29,0,"['automobile'; 'truck'; 'dog'; 'airplane'; 'deer'; 'frog']",dog
30,0,"['truck'; 'deer'; 'airplane'; 'automobile'; 'frog'; 'dog']",deer
31,9,"['airplane'; 'horse'; 'cat'; 'dog'; 'automobile'; 'truck']",horse
32,1,"['truck'; 'deer'; 'ship'; 'cat'; 'automobile'; 'airplane']",deer
33,3,"['frog'; 'airplane'; 'ship'; 'deer'; 'cat'; 'dog']",airplane
34,4,"['cat'; 'horse'; 'airplane'; 'bird'; 'deer'; 'frog']",airplane
35,0,"['truck'; 'automobile'; 'frog'; 'dog'; 'deer'; 'airplane']",frog
36,3,"['frog'; 'ship'; 'cat'; 'dog'; 'deer'; 'airplane']",ship
37,7,"['dog'; 'deer'; 'ship'; 'cat'; 'truck'; 'airplane']",ship
38,3,"['cat'; 'airplane'; 'ship'; 'frog'; 'dog'; 'deer']",airplane
39,3,"['cat'; 'dog'; 'frog'; 'ship'; 'deer'; 'airplane']",ship
40,5,"['dog'; 'automobile'; 'truck'; 'frog'; 'horse'; 'bird']",automobile
41,2,"['automobile'; 'dog'; 'deer'; 'ship'; 'airplane'; 'cat']",ship
42,2,"['cat'; 'dog'; 'ship'; 'airplane'; 'deer'; 'automobile']",ship
43,7,"['ship'; 'deer'; 'airplane'; 'dog'; 'cat'; 'truck']",deer
44,1,"['truck'; 'airplane'; 'automobile'; 'cat'; 'ship'; 'deer']",cat
45,1,"['airplane'; 'truck'; 'automobile'; 'cat'; 'deer'; 'ship']",cat
46,1,"['airplane'; 'cat'; 'ship'; 'deer'; 'truck'; 'automobile']",cat
47,2,"['dog'; 'ship'; 'deer'; 'airplane'; 'cat'; 'automobile']",ship
48,2,"['dog'; 'deer'; 'airplane'; 'cat'; 'ship'; 'automobile']",airplane
49,0,"['automobile'; 'airplane'; 'deer'; 'frog'; 'dog'; 'truck']",deer
50,9,"['airplane'; 'truck'; 'horse'; 'automobile'; 'cat'; 'dog']",horse
