index,true_label,candidate_labels,complementary_label
0,5,"['nine'; 'zero']",zero
1,0,"['one'; 'zero']",zero
2,4,"['six'; 'one']",six
3,1,"['four'; 'three']",three
4,9,"['eight'; 'three']",three
5,2,"['three'; 'two']",three
6,1,"['four'; 'three']",three
7,3,"['eight'; 'one']",eight
8,1,"['four'; 'three']",three
9,4,"['one'; 'six']",six
10,3,"['eight'; 'one']",eight
11,5,"['zero'; 'nine']",nine
12,3,"['one'; 'eight']",eight
13,6,"['three'; 'one']",three
14,1,"['three'; 'four']",four
15,7,"['three'; 'eight']",eight
16,2,"['three'; 'two']",three
17,8,"['nine'; 'zero']",zero
18,6,"['three'; 'one']",three
19,9,"['eight'; 'three']",eight
20,4,"['six'; 'one']",six
21,0,"['zero'; 'one']",zero
22,9,"['eight'; 'three']",three
23,1,"['four'; 'three']",three
24,1,"['three'; 'four']",four
25,2,"['two'; 'three']",three
26,4,"['one'; 'six']",six
27,3,"['one'; 'eight']",eight
28,2,"['three'; 'two']",three
29,7,"['three'; 'eight']",eight
30,3,"['one'; 'eight']",eight
31,8,"['nine'; 'zero']",zero
32,6,"['one'; 'three']",three
33,9,"['three'; 'eight']",eight
34,0,"['one'; 'zero']",zero
35,5,"['nine'; 'zero']",nine
36,6,"['one'; 'three']",three
37,0,"['zero'; 'one']",zero
38,7,"['eight'; 'three']",eight
39,6,"['one'; 'three']",three
40,1,"['three'; 'four']",four
41,8,"['nine'; 'zero']",zero
42,7,"['three'; 'eight']",eight
43,9,"['eight'; 'three']",three
44,3,"['eight'; 'one']",eight
45,9,"['eight'; 'three']",three
46,8,"['zero'; 'nine']",zero
47,5,"['nine'; 'zero']",nine
48,9,"['eight'; 'three']",three
49,3,"['one'; 'eight']",eight
50,3,"['eight'; 'one']",eight
51,0,"['one'; 'zero']",zero
52,7,"['three'; 'eight']",eight
53,4,"['one'; 'six']",six
54,9,"['three'; 'eight']",eight
55,8,"['zero'; 'nine']",zero
56,0,"['one'; 'zero']",zero
57,9,"['eight'; 'three']",three
58,4,"['one'; 'six']",six
59,1,"['four'; 'three']",three
60,4,"['one'; 'six']",six
61,4,"['six'; 'one']",six
62,6,"['three'; 'one']",three
63,0,"['one'; 'zero']",zero
64,4,"['one'; 'six']",six
65,5,"['zero'; 'nine']",nine
66,6,"['three'; 'one']",three
67,1,"['four'; 'three']",three
68,0,"['one'; 'zero']",zero
69,0,"['zero'; 'one']",zero
70,1,"['four'; 'three']",three
71,7,"['eight'; 'three']",eight
72,1,"['four'; 'three']",three
73,6,"['one'; 'three']",three
74,3,"['eight'; 'one']",eight
75,0,"['one'; 'zero']",zero
76,2,"['three'; 'two']",three
77,1,"['three'; 'four']",four
78,1,"['three'; 'four']",four
79,7,"['eight'; 'three']",three
80,9,"['eight'; 'three']",three
81,0,"['one'; 'zero']",zero
82,2,"['three'; 'two']",three
83,6,"['three'; 'one']",three
84,7,"['eight'; 'three']",three
85,8,"['nine'; 'zero']",zero
86,3,"['eight'; 'one']",eight
87,9,"['eight'; 'three']",three
88,0,"['one'; 'zero']",zero
89,4,"['six'; 'one']",six
90,6,"['one'; 'three']",three
91,7,"['eight'; 'three']",eight
92,4,"['one'; 'six']",six
93,6,"['one'; 'three']",three
94,8,"['nine'; 'zero']",zero
95,0,"['zero'; 'one']",zero
96,7,"['three'; 'eight']",eight
97,8,"['zero'; 'nine']",zero
98,3,"['eight'; 'one']",eight
99,1,"['four'; 'three']",four
100,5,"['nine'; 'zero']",zero
101,7,"['three'; 'eight']",eight
102,1,"['three'; 'four']",four
103,7,"['eight'; 'three']",three
104,1,"['four'; 'three']",three
105,1,"['four'; 'three']",three
106,6,"['three'; 'one']",one
107,3,"['one'; 'eight']",eight
108,0,"['zero'; 'one']",zero
109,2,"['three'; 'two']",three
110,9,"['eight'; 'three']",three
111,3,"['one'; 'eight']",eight
