index,true_label,candidate_labels,complementary_label
0,19,"['bridge'; 'hamster'; 'pine_tree'; 'mountain']",hamster
1,29,"['tulip'; 'shark'; 'crocodile'; 'lawn_mower']",lawn_mower
2,0,"['sunflower'; 'camel'; 'whale'; 'beaver']",camel
3,11,"['bridge'; 'lizard'; 'butterfly'; 'mountain']",lizard
4,1,"['hamster'; 'flatfish'; 'caterpillar'; 'dinosaur']",dinosaur
5,86,"['shrew'; 'whale'; 'crocodile'; 'beetle']",whale
6,90,"['cloud'; 'rabbit'; 'bicycle'; 'bowl']",rabbit
7,28,"['lawn_mower'; 'girl'; 'oak_tree'; 'bicycle']",girl
8,23,"['snake'; 'rocket'; 'sunflower'; 'chimpanzee']",chimpanzee
9,31,"['caterpillar'; 'pine_tree'; 'sweet_pepper'; 'fox']",sweet_pepper
10,39,"['plain'; 'road'; 'mountain'; 'snail']",road
11,96,"['lamp'; 'crab'; 'trout'; 'tank']",crab
12,82,"['forest'; 'mountain'; 'apple'; 'motorcycle']",apple
13,17,"['tank'; 'dolphin'; 'bed'; 'bicycle']",bed
14,71,"['orchid'; 'oak_tree'; 'pine_tree'; 'wardrobe']",oak_tree
15,39,"['plain'; 'snail'; 'mountain'; 'road']",mountain
16,8,"['apple'; 'skyscraper'; 'hamster'; 'woman']",hamster
17,97,"['mouse'; 'can'; 'forest'; 'dolphin']",dolphin
18,80,"['plate'; 'chimpanzee'; 'poppy'; 'oak_tree']",poppy
19,71,"['oak_tree'; 'wardrobe'; 'pine_tree'; 'orchid']",wardrobe
20,74,"['bus'; 'lion'; 'elephant'; 'cockroach']",lion
21,59,"['mushroom'; 'keyboard'; 'table'; 'telephone']",keyboard
22,70,"['otter'; 'tank'; 'lobster'; 'bridge']",tank
23,87,"['rocket'; 'lamp'; 'willow_tree'; 'beetle']",lamp
24,59,"['table'; 'mushroom'; 'keyboard'; 'telephone']",keyboard
25,84,"['wardrobe'; 'tulip'; 'sea'; 'tank']",tulip
26,64,"['bottle'; 'streetcar'; 'beetle'; 'trout']",streetcar
27,52,"['shark'; 'dolphin'; 'beetle'; 'bowl']",bowl
28,42,"['fox'; 'worm'; 'sweet_pepper'; 'wolf']",worm
29,64,"['trout'; 'streetcar'; 'bottle'; 'beetle']",streetcar
30,8,"['apple'; 'skyscraper'; 'hamster'; 'woman']",hamster
31,17,"['dolphin'; 'bicycle'; 'bed'; 'tank']",bed
32,47,"['rabbit'; 'kangaroo'; 'sunflower'; 'snake']",rabbit
33,65,"['bicycle'; 'beaver'; 'leopard'; 'dinosaur']",beaver
34,21,"['girl'; 'man'; 'telephone'; 'crocodile']",girl
35,22,"['bottle'; 'train'; 'tiger'; 'sweet_pepper']",tiger
36,81,"['mushroom'; 'chimpanzee'; 'crocodile'; 'beetle']",chimpanzee
37,11,"['butterfly'; 'lizard'; 'mountain'; 'bridge']",mountain
38,24,"['flatfish'; 'plain'; 'chair'; 'wardrobe']",chair
39,84,"['tank'; 'sea'; 'wardrobe'; 'tulip']",wardrobe
40,78,"['bridge'; 'bee'; 'rocket'; 'table']",bee
41,45,"['forest'; 'rabbit'; 'turtle'; 'woman']",rabbit
42,49,"['apple'; 'rose'; 'road'; 'chair']",rose
43,97,"['forest'; 'can'; 'mouse'; 'dolphin']",can
44,56,"['road'; 'forest'; 'snake'; 'chimpanzee']",snake
45,76,"['pine_tree'; 'girl'; 'orchid'; 'cloud']",girl
46,11,"['mountain'; 'lizard'; 'bridge'; 'butterfly']",lizard
47,90,"['bicycle'; 'rabbit'; 'bowl'; 'cloud']",rabbit
48,89,"['beetle'; 'ray'; 'chair'; 'possum']",chair
49,78,"['bridge'; 'bee'; 'rocket'; 'table']",rocket
50,73,"['beetle'; 'wardrobe'; 'mushroom'; 'bridge']",wardrobe
51,14,"['rocket'; 'bowl'; 'can'; 'mountain']",bowl
52,87,"['willow_tree'; 'rocket'; 'beetle'; 'lamp']",rocket
53,9,"['chimpanzee'; 'train'; 'otter'; 'lizard']",train
54,71,"['pine_tree'; 'wardrobe'; 'oak_tree'; 'orchid']",wardrobe
55,6,"['table'; 'crab'; 'tulip'; 'train']",tulip
56,47,"['snake'; 'rabbit'; 'sunflower'; 'kangaroo']",kangaroo
57,20,"['sunflower'; 'chimpanzee'; 'motorcycle'; 'maple_tree']",chimpanzee
58,98,"['sunflower'; 'tank'; 'pickup_truck'; 'kangaroo']",kangaroo
59,47,"['snake'; 'sunflower'; 'kangaroo'; 'rabbit']",kangaroo
60,36,"['boy'; 'butterfly'; 'wolf'; 'bee']",wolf
61,55,"['sea'; 'tank'; 'plate'; 'can']",plate
62,72,"['bee'; 'television'; 'sweet_pepper'; 'table']",television
63,43,"['house'; 'butterfly'; 'lizard'; 'palm_tree']",butterfly
64,51,"['butterfly'; 'keyboard'; 'dolphin'; 'man']",keyboard
65,35,"['cup'; 'raccoon'; 'possum'; 'castle']",raccoon
66,83,"['orchid'; 'pickup_truck'; 'hamster'; 'train']",hamster
67,33,"['fox'; 'skunk'; 'willow_tree'; 'rocket']",fox
68,27,"['beetle'; 'beaver'; 'worm'; 'dolphin']",beaver
69,53,"['wardrobe'; 'porcupine'; 'bowl'; 'bicycle']",wardrobe
70,92,"['camel'; 'mushroom'; 'seal'; 'elephant']",camel
71,50,"['baby'; 'snail'; 'lawn_mower'; 'porcupine']",lawn_mower
72,15,"['streetcar'; 'kangaroo'; 'squirrel'; 'sea']",kangaroo
73,89,"['beetle'; 'chair'; 'ray'; 'possum']",chair
74,36,"['bee'; 'boy'; 'wolf'; 'butterfly']",boy
75,18,"['worm'; 'kangaroo'; 'bowl'; 'dolphin']",bowl
76,89,"['possum'; 'chair'; 'beetle'; 'ray']",chair
77,46,"['rabbit'; 'bus'; 'streetcar'; 'clock']",bus
78,33,"['willow_tree'; 'fox'; 'rocket'; 'skunk']",rocket
79,42,"['sweet_pepper'; 'worm'; 'wolf'; 'fox']",worm
80,39,"['mountain'; 'plain'; 'road'; 'snail']",snail
81,64,"['streetcar'; 'trout'; 'bottle'; 'beetle']",trout
82,75,"['cockroach'; 'pear'; 'road'; 'castle']",pear
83,38,"['mouse'; 'otter'; 'bicycle'; 'snail']",bicycle
84,23,"['snake'; 'chimpanzee'; 'rocket'; 'sunflower']",chimpanzee
85,42,"['fox'; 'worm'; 'sweet_pepper'; 'wolf']",worm
86,66,"['rabbit'; 'girl'; 'dolphin'; 'bottle']",girl
87,77,"['rose'; 'elephant'; 'palm_tree'; 'bottle']",elephant
88,49,"['chair'; 'road'; 'rose'; 'apple']",rose
89,18,"['kangaroo'; 'bowl'; 'dolphin'; 'worm']",bowl
90,46,"['rabbit'; 'clock'; 'streetcar'; 'bus']",streetcar
91,15,"['kangaroo'; 'sea'; 'streetcar'; 'squirrel']",streetcar
92,35,"['castle'; 'possum'; 'raccoon'; 'cup']",castle
93,69,"['plain'; 'oak_tree'; 'elephant'; 'cockroach']",elephant
94,95,"['lamp'; 'seal'; 'forest'; 'raccoon']",forest
95,83,"['train'; 'pickup_truck'; 'hamster'; 'orchid']",hamster
96,75,"['pear'; 'castle'; 'cockroach'; 'road']",castle
97,99,"['aquarium_fish'; 'lamp'; 'bottle'; 'willow_tree']",lamp
98,73,"['beetle'; 'mushroom'; 'wardrobe'; 'bridge']",wardrobe
99,93,"['bed'; 'spider'; 'skyscraper'; 'shrew']",skyscraper
100,55,"['tank'; 'plate'; 'can'; 'sea']",plate
101,39,"['mountain'; 'plain'; 'road'; 'snail']",mountain
102,4,"['dolphin'; 'bear'; 'bridge'; 'cup']",cup
103,97,"['forest'; 'can'; 'mouse'; 'dolphin']",can
104,61,"['bicycle'; 'camel'; 'cup'; 'elephant']",elephant
105,93,"['bed'; 'spider'; 'shrew'; 'skyscraper']",skyscraper
106,51,"['keyboard'; 'dolphin'; 'butterfly'; 'man']",keyboard
107,69,"['elephant'; 'oak_tree'; 'plain'; 'cockroach']",cockroach
108,56,"['chimpanzee'; 'snake'; 'road'; 'forest']",road
109,84,"['wardrobe'; 'tank'; 'sea'; 'tulip']",sea
110,59,"['keyboard'; 'table'; 'telephone'; 'mushroom']",table
111,64,"['beetle'; 'trout'; 'streetcar'; 'bottle']",streetcar
112,94,"['orange'; 'table'; 'shrew'; 'bowl']",shrew
113,4,"['cup'; 'bridge'; 'bear'; 'dolphin']",cup
114,11,"['bridge'; 'lizard'; 'mountain'; 'butterfly']",lizard
115,33,"['fox'; 'rocket'; 'willow_tree'; 'skunk']",rocket
116,68,"['shrew'; 'plain'; 'can'; 'turtle']",turtle
117,38,"['snail'; 'otter'; 'mouse'; 'bicycle']",bicycle
118,20,"['motorcycle'; 'sunflower'; 'chimpanzee'; 'maple_tree']",sunflower
119,33,"['rocket'; 'skunk'; 'fox'; 'willow_tree']",skunk
120,34,"['oak_tree'; 'skunk'; 'otter'; 'maple_tree']",skunk
121,32,"['willow_tree'; 'castle'; 'seal'; 'elephant']",castle
122,46,"['rabbit'; 'bus'; 'streetcar'; 'clock']",bus
123,53,"['wardrobe'; 'bicycle'; 'bowl'; 'porcupine']",porcupine
124,88,"['shrew'; 'bee'; 'plate'; 'beetle']",plate
125,67,"['poppy'; 'crocodile'; 'telephone'; 'rose']",telephone
126,70,"['otter'; 'tank'; 'bridge'; 'lobster']",tank
127,64,"['trout'; 'beetle'; 'streetcar'; 'bottle']",streetcar
128,53,"['bicycle'; 'bowl'; 'porcupine'; 'wardrobe']",porcupine
129,64,"['beetle'; 'bottle'; 'streetcar'; 'trout']",bottle
130,8,"['skyscraper'; 'apple'; 'hamster'; 'woman']",apple
131,96,"['trout'; 'lamp'; 'tank'; 'crab']",lamp
132,87,"['lamp'; 'willow_tree'; 'rocket'; 'beetle']",rocket
133,30,"['mushroom'; 'table'; 'possum'; 'crocodile']",table
134,20,"['maple_tree'; 'sunflower'; 'motorcycle'; 'chimpanzee']",sunflower
135,30,"['table'; 'possum'; 'crocodile'; 'mushroom']",mushroom
136,66,"['rabbit'; 'girl'; 'dolphin'; 'bottle']",girl
137,19,"['mountain'; 'pine_tree'; 'bridge'; 'hamster']",hamster
138,76,"['orchid'; 'cloud'; 'pine_tree'; 'girl']",orchid
139,87,"['rocket'; 'lamp'; 'beetle'; 'willow_tree']",beetle
140,52,"['bowl'; 'dolphin'; 'shark'; 'beetle']",dolphin
141,62,"['baby'; 'sea'; 'lion'; 'skyscraper']",lion
142,35,"['castle'; 'raccoon'; 'possum'; 'cup']",raccoon
143,63,"['apple'; 'cup'; 'dinosaur'; 'skyscraper']",cup
144,40,"['tiger'; 'sea'; 'flatfish'; 'aquarium_fish']",sea
145,4,"['bear'; 'cup'; 'dolphin'; 'bridge']",cup
146,99,"['willow_tree'; 'aquarium_fish'; 'lamp'; 'bottle']",lamp
147,63,"['apple'; 'skyscraper'; 'dinosaur'; 'cup']",skyscraper
148,74,"['bus'; 'lion'; 'elephant'; 'cockroach']",lion
149,53,"['bowl'; 'bicycle'; 'wardrobe'; 'porcupine']",bicycle
150,26,"['seal'; 'leopard'; 'tiger'; 'dinosaur']",dinosaur
151,95,"['raccoon'; 'lamp'; 'forest'; 'seal']",lamp
152,48,"['couch'; 'cattle'; 'maple_tree'; 'woman']",couch
