index,true_label,candidate_labels,complementary_label
0,8,"['na'; 'su'; 'ki'; 're'; 'ma'; 'wo']",na
1,7,"['o'; 're'; 'tsu'; 'ha'; 'wo'; 'na']",na
2,0,"['o'; 'na'; 'ha'; 'ma'; 'wo'; 'ki']",na
3,1,"['wo'; 'ki'; 'na'; 'tsu'; 'o'; 're']",ki
4,4,"['o'; 'su'; 'ma'; 'ya'; 'na'; 'tsu']",na
5,2,"['ha'; 're'; 'o'; 'tsu'; 'ki'; 'na']",tsu
6,4,"['o'; 'na'; 'su'; 'ya'; 'ma'; 'tsu']",na
7,8,"['ki'; 're'; 'na'; 'wo'; 'ma'; 'su']",re
8,1,"['tsu'; 'o'; 'ki'; 'wo'; 're'; 'na']",o
9,1,"['wo'; 'tsu'; 'na'; 're'; 'o'; 'ki']",na
10,5,"['ya'; 'ki'; 'su'; 'ma'; 'wo'; 'ha']",ki
11,1,"['na'; 'ki'; 'tsu'; 'wo'; 'o'; 're']",re
12,0,"['o'; 'ma'; 'ha'; 'na'; 'ki'; 'wo']",na
13,5,"['ki'; 'wo'; 'ma'; 'su'; 'ha'; 'ya']",wo
14,7,"['ha'; 'wo'; 're'; 'o'; 'na'; 'tsu']",tsu
15,6,"['ha'; 'o'; 'ki'; 'tsu'; 're'; 'su']",tsu
16,1,"['o'; 'wo'; 'tsu'; 'na'; 're'; 'ki']",na
17,7,"['o'; 'tsu'; 'na'; 'wo'; 'ha'; 're']",na
18,9,"['o'; 'ya'; 'ki'; 'ha'; 'tsu'; 'wo']",o
19,5,"['su'; 'ya'; 'ha'; 'wo'; 'ki'; 'ma']",wo
20,7,"['na'; 'o'; 're'; 'ha'; 'tsu'; 'wo']",na
21,3,"['tsu'; 're'; 'o'; 'ma'; 'ha'; 'na']",na
22,7,"['na'; 're'; 'tsu'; 'wo'; 'o'; 'ha']",ha
23,5,"['wo'; 'ki'; 'su'; 'ha'; 'ya'; 'ma']",ki
24,6,"['re'; 'su'; 'ha'; 'o'; 'ki'; 'tsu']",su
25,6,"['re'; 'ha'; 'su'; 'ki'; 'tsu'; 'o']",su
26,2,"['tsu'; 'na'; 'ki'; 'o'; 're'; 'ha']",na
27,7,"['re'; 'ha'; 'na'; 'tsu'; 'wo'; 'o']",na
28,6,"['ha'; 'su'; 'ki'; 'o'; 'tsu'; 're']",su
29,0,"['ki'; 'na'; 'ha'; 'ma'; 'wo'; 'o']",na
30,9,"['tsu'; 'ki'; 'ha'; 'o'; 'wo'; 'ya']",ki
