index,true_label,random_label,predicted,raw_answer
0,cattle,boy,CL,NO
1,dinosaur,lobster,CL,NO
2,apple,girl,CL,NO
3,boy,palm_tree,CL,NO
4,aquarium_fish,lamp,CL,NO
5,telephone,boy,CL,NO
6,train,lizard,CL,NO
7,cup,hamster,CL,NO
8,cloud,beetle,CL,NO
9,elephant,bicycle,CL,NO
10,keyboard,table,CL,NO
11,willow_tree,woman,CL,NO
12,sunflower,sea,CL,NO
13,castle,chair,CL,NO
14,sea,telephone,CL,NO
15,keyboard,bridge,CL,NO
16,bicycle,bee,CL,NO
17,wolf,boy,CL,NO
18,squirrel,boy,CL,NO
19,sea,beetle,CL,NO
20,shrew,crab,CL,NO
21,pine_tree,bus,CL,NO
22,rose,bus,CL,NO
23,television,orchid,CL,NO
24,pine_tree,forest,OL,YES
25,table,tulip,CL,NO
26,possum,caterpillar,CL,NO
27,oak_tree,shark,CL,NO
28,leopard,leopard,OL,YES
29,possum,seal,CL,NO
30,bicycle,sweet_pepper,CL,NO
31,castle,baby,CL,NO
32,maple_tree,elephant,CL,NO
33,rabbit,castle,CL,NO
34,chimpanzee,plain,OL,YES
35,clock,beaver,CL,NO
36,streetcar,kangaroo,CL,NO
37,boy,tractor,CL,NO
38,cockroach,couch,CL,NO
39,table,pear,CL,NO
40,snake,beaver,CL,NO
41,lobster,woman,CL,NO
42,mountain,skunk,CL,NO
43,wolf,girl,CL,NO
44,palm_tree,baby,CL,NO
45,skyscraper,tulip,CL,NO
46,boy,caterpillar,CL,NO
47,train,lamp,CL,NO
48,tractor,television,CL,NO
49,snake,lawn_mower,CL,NO
50,shark,baby,CL,NO
51,butterfly,lamp,CL,NO
52,television,fox,CL,NO
53,bottle,television,CL,NO
54,sea,sunflower,CL,NO
55,bee,squirrel,CL,NO
56,maple_tree,man,CL,NO
57,chair,otter,CL,NO
58,woman,streetcar,CL,NO
59,maple_tree,tractor,CL,NO
60,hamster,crocodile,CL,NO
61,otter,television,CL,NO
62,seal,keyboard,CL,NO
63,lion,lamp,CL,NO
64,mushroom,dinosaur,CL,NO
65,girl,girl,OL,YES
66,sweet_pepper,bowl,CL,NO
67,forest,bed,CL,NO
68,crocodile,flatfish,CL,NO
69,orange,ray,CL,NO
70,tulip,aquarium_fish,CL,NO
71,mouse,dolphin,CL,NO
72,camel,seal,CL,NO
73,tractor,chair,CL,NO
74,hamster,skunk,CL,NO
75,caterpillar,skunk,CL,NO
76,tractor,sea,CL,NO
77,man,plate,CL,NO
78,forest,shrew,CL,NO
79,leopard,pine_tree,CL,NO
80,keyboard,rose,CL,NO
81,possum,cockroach,CL,NO
82,skunk,oak_tree,CL,NO
83,kangaroo,baby,CL,NO
84,cloud,tiger,CL,NO
85,leopard,oak_tree,CL,NO
86,raccoon,poppy,CL,NO
87,snail,otter,CL,NO
88,mountain,spider,CL,NO
89,caterpillar,butterfly,OL,YES
90,man,crocodile,CL,NO
91,camel,rose,CL,NO
92,girl,whale,CL,NO
93,rocket,ray,CL,NO
94,whale,orchid,CL,NO
95,sweet_pepper,train,CL,NO
96,skunk,tiger,CL,NO
97,worm,possum,CL,NO
98,shark,hamster,CL,NO
99,turtle,bed,CL,NO
100,otter,wardrobe,CL,NO
101,keyboard,bus,CL,NO
102,beaver,crab,CL,NO
103,wolf,apple,CL,NO
104,plate,worm,CL,NO
105,turtle,squirrel,CL,NO
106,mushroom,seal,CL,NO
107,rocket,mouse,CL,NO
108,palm_tree,otter,CL,NO
109,table,maple_tree,CL,NO
110,pine_tree,woman,OL,YES
111,possum,hamster,CL,NO
112,wardrobe,snake,CL,NO
113,beaver,skyscraper,CL,NO
114,boy,hamster,CL,NO
115,forest,otter,CL,NO
116,road,bottle,CL,NO
117,kangaroo,butterfly,CL,NO
118,chair,flatfish,CL,NO
119,forest,snail,CL,NO
120,fox,aquarium_fish,CL,NO
121,flatfish,bridge,CL,NO
122,man,fox,CL,NO
123,orange,lizard,CL,NO
124,tiger,pine_tree,CL,NO
125,ray,mouse,CL,NO
126,rose,woman,CL,NO
127,possum,fox,OL,YES
128,orange,bus,CL,NO
129,possum,bridge,CL,NO
130,bicycle,lobster,CL,NO
131,willow_tree,house,CL,NO
132,television,motorcycle,CL,NO
133,dolphin,shark,CL,NO
134,chair,motorcycle,CL,NO
135,dolphin,aquarium_fish,OL,YES
136,raccoon,aquarium_fish,CL,NO
137,cattle,orchid,CL,NO
138,skyscraper,plain,CL,NO
139,television,pear,CL,NO
140,oak_tree,beaver,CL,NO
141,poppy,lawn_mower,CL,NO
142,girl,snail,CL,NO
143,porcupine,elephant,CL,NO
144,lamp,mouse,OL,YES
145,beaver,spider,CL,NO
146,worm,palm_tree,CL,NO
147,porcupine,baby,CL,NO
148,shrew,bear,OL,YES
149,orange,bowl,OL,YES
150,crab,streetcar,CL,NO
151,whale,crab,CL,NO
152,motorcycle,rabbit,CL,NO
153,crocodile,skyscraper,CL,NO
154,forest,raccoon,CL,NO
155,dinosaur,mountain,CL,NO
156,keyboard,snail,CL,NO
157,spider,plate,CL,NO
158,flatfish,girl,CL,NO
159,man,skunk,CL,NO
160,possum,oak_tree,CL,NO
161,cup,mountain,CL,NO
162,tank,oak_tree,CL,NO
163,flatfish,rocket,CL,NO
164,sunflower,leopard,CL,NO
165,snake,rabbit,CL,NO
166,keyboard,oak_tree,CL,NO
167,orchid,chair,CL,NO
168,cup,television,CL,NO
169,raccoon,couch,CL,NO
170,rabbit,mountain,CL,NO
171,seal,shrew,CL,NO
172,chimpanzee,house,CL,NO
173,possum,cockroach,CL,NO
174,poppy,caterpillar,CL,NO
175,seal,shark,CL,NO
176,apple,caterpillar,CL,NO
177,lizard,shrew,OL,YES
178,beetle,mouse,CL,NO
179,bridge,rose,CL,NO
180,cattle,willow_tree,CL,NO
181,boy,rabbit,CL,NO
182,elephant,beetle,CL,NO
183,plate,woman,CL,NO
184,spider,man,CL,NO
185,lobster,sweet_pepper,CL,NO
186,streetcar,woman,CL,NO
187,spider,dinosaur,CL,NO
188,woman,bed,OL,YES
189,lion,turtle,CL,NO
190,man,tank,CL,NO
191,ray,train,CL,NO
192,squirrel,castle,CL,NO
193,road,road,OL,YES
194,shrew,pickup_truck,CL,NO
195,motorcycle,chimpanzee,CL,NO
196,streetcar,bus,OL,YES
197,wardrobe,shrew,CL,NO
198,telephone,lamp,CL,NO
199,rocket,bus,CL,NO
200,keyboard,chair,CL,NO
201,shark,orange,CL,NO
202,baby,turtle,CL,NO
203,man,willow_tree,CL,NO
204,mountain,flatfish,CL,NO
205,porcupine,shrew,OL,YES
206,lion,flatfish,CL,NO
207,butterfly,tulip,CL,NO
208,mountain,beaver,CL,NO
209,road,tiger,CL,NO
210,rabbit,bottle,CL,NO
211,lawn_mower,tractor,CL,NO
212,house,butterfly,CL,NO
213,lobster,plate,CL,NO
214,hamster,mountain,CL,NO
215,chimpanzee,crab,CL,NO
216,snail,television,CL,NO
217,house,mountain,CL,NO
218,keyboard,seal,CL,NO
219,bicycle,wolf,CL,NO
220,bottle,mountain,CL,NO
221,poppy,mouse,CL,NO
222,telephone,streetcar,CL,NO
223,keyboard,forest,CL,NO
224,cattle,house,CL,NO
225,orchid,tank,CL,NO
226,keyboard,elephant,CL,NO
227,cup,can,CL,NO
228,boy,lamp,CL,NO
229,tractor,chimpanzee,CL,NO
230,train,snail,CL,NO
231,train,caterpillar,CL,NO
232,spider,apple,CL,NO
233,raccoon,trout,CL,NO
234,streetcar,pickup_truck,CL,NO
235,chimpanzee,woman,CL,NO
236,spider,willow_tree,CL,NO
237,lamp,chair,CL,NO
238,dinosaur,tulip,CL,NO
239,clock,apple,CL,NO
240,bus,rocket,CL,NO
241,couch,baby,CL,NO
242,boy,flatfish,CL,NO
243,kangaroo,dinosaur,CL,NO
244,bowl,elephant,CL,NO
245,willow_tree,baby,CL,NO
246,orchid,seal,CL,NO
247,rabbit,man,CL,NO
248,keyboard,bowl,CL,NO
249,lamp,aquarium_fish,CL,NO
250,leopard,snail,CL,NO
251,motorcycle,mountain,CL,NO
252,motorcycle,mushroom,CL,NO
253,mushroom,shrew,CL,NO
254,boy,lobster,CL,NO
255,cloud,camel,CL,NO
256,cloud,dolphin,CL,NO
257,tractor,lawn_mower,OL,YES
258,oak_tree,caterpillar,CL,NO
259,man,telephone,CL,NO
260,baby,orange,CL,NO
261,whale,mushroom,CL,NO
262,lion,ray,CL,NO
263,telephone,possum,CL,NO
264,fox,beaver,CL,NO
265,raccoon,house,CL,NO
266,caterpillar,pickup_truck,CL,NO
267,man,tulip,CL,NO
268,raccoon,pine_tree,CL,NO
269,palm_tree,hamster,CL,NO
270,pear,baby,CL,NO
271,aquarium_fish,crab,CL,NO
272,lizard,bed,CL,NO
273,boy,kangaroo,CL,NO
274,sunflower,sweet_pepper,CL,NO
275,cloud,can,CL,NO
276,train,telephone,CL,NO
277,palm_tree,tiger,CL,NO
278,cattle,girl,CL,NO
279,road,sunflower,CL,NO
280,raccoon,clock,CL,NO
281,cup,lawn_mower,CL,NO
282,aquarium_fish,chair,CL,NO
283,pear,bowl,CL,NO
284,ray,poppy,CL,NO
285,bed,skyscraper,CL,NO
286,bus,hamster,CL,NO
287,snake,oak_tree,CL,NO
288,bee,palm_tree,CL,NO
289,table,tiger,CL,NO
290,beetle,camel,CL,NO
291,lawn_mower,sea,CL,NO
292,rabbit,cloud,OL,YES
293,squirrel,snake,CL,NO
294,bridge,crocodile,CL,NO
295,mouse,seal,CL,NO
296,porcupine,chimpanzee,CL,NO
297,crab,willow_tree,CL,NO
298,bicycle,mushroom,CL,NO
299,orange,ray,CL,NO
300,plain,skunk,CL,NO
301,worm,aquarium_fish,CL,NO
302,wolf,plate,CL,NO
303,tank,tractor,OL,YES
304,apple,turtle,CL,NO
305,snake,aquarium_fish,CL,NO
306,elephant,cloud,OL,YES
307,bowl,plain,CL,NO
308,baby,lawn_mower,CL,NO
309,beetle,rocket,CL,NO
310,lion,cockroach,CL,NO
311,sweet_pepper,table,OL,YES
312,wolf,girl,CL,NO
313,trout,camel,CL,NO
314,sunflower,keyboard,CL,NO
315,cup,couch,CL,NO
316,leopard,plain,CL,NO
317,apple,leopard,CL,NO
318,sunflower,forest,CL,NO
319,bed,rose,OL,YES
320,road,cup,CL,NO
321,plain,castle,CL,NO
322,dolphin,tractor,CL,NO
323,woman,clock,CL,NO
324,sunflower,keyboard,CL,NO
325,chair,sunflower,CL,NO
326,possum,table,CL,NO
327,raccoon,caterpillar,CL,NO
328,bowl,chimpanzee,CL,NO
329,skunk,cloud,CL,NO
330,orchid,chair,CL,NO
331,pear,beetle,CL,NO
332,television,baby,CL,NO
333,raccoon,cloud,CL,NO
334,raccoon,camel,CL,NO
335,shark,raccoon,CL,NO
336,orchid,mouse,CL,NO
337,tiger,cattle,CL,NO
338,leopard,bowl,CL,NO
