index,true_label,candidate_labels,complementary_label
0,5,"['five'; 'seven'; 'nine'; 'two'; 'six'; 'one']",nine
1,0,"['nine'; 'one'; 'five'; 'zero'; 'four'; 'six']",zero
2,4,"['zero'; 'seven'; 'six'; 'four'; 'three'; 'two']",seven
3,1,"['four'; 'three'; 'eight'; 'nine'; 'zero'; 'one']",zero
4,9,"['seven'; 'nine'; 'one'; 'three'; 'zero'; 'five']",zero
5,2,"['five'; 'zero'; 'four'; 'one'; 'eight'; 'three']",zero
6,1,"['four'; 'nine'; 'eight'; 'three'; 'one'; 'zero']",nine
7,3,"['eight'; 'four'; 'three'; 'five'; 'zero'; 'six']",zero
8,1,"['one'; 'eight'; 'nine'; 'three'; 'zero'; 'four']",zero
9,4,"['seven'; 'four'; 'two'; 'zero'; 'three'; 'six']",zero
10,3,"['zero'; 'three'; 'four'; 'eight'; 'five'; 'six']",zero
11,5,"['one'; 'five'; 'seven'; 'six'; 'nine'; 'two']",five
12,3,"['three'; 'five'; 'four'; 'zero'; 'six'; 'eight']",zero
13,6,"['eight'; 'zero'; 'one'; 'five'; 'three'; 'two']",zero
14,1,"['eight'; 'four'; 'three'; 'zero'; 'one'; 'nine']",zero
15,7,"['four'; 'three'; 'five'; 'nine'; 'eight'; 'zero']",zero
16,2,"['eight'; 'zero'; 'one'; 'five'; 'four'; 'three']",zero
17,8,"['six'; 'two'; 'one'; 'four'; 'eight'; 'nine']",nine
18,6,"['zero'; 'eight'; 'five'; 'three'; 'one'; 'two']",zero
19,9,"['nine'; 'five'; 'zero'; 'seven'; 'one'; 'three']",zero
20,4,"['zero'; 'four'; 'two'; 'three'; 'seven'; 'six']",zero
21,0,"['six'; 'one'; 'four'; 'five'; 'zero'; 'nine']",zero
22,9,"['three'; 'five'; 'zero'; 'one'; 'nine'; 'seven']",zero
23,1,"['one'; 'three'; 'four'; 'eight'; 'zero'; 'nine']",zero
24,1,"['three'; 'nine'; 'one'; 'four'; 'eight'; 'zero']",zero
25,2,"['eight'; 'five'; 'one'; 'zero'; 'four'; 'three']",zero
26,4,"['zero'; 'six'; 'seven'; 'four'; 'three'; 'two']",zero
27,3,"['three'; 'six'; 'zero'; 'eight'; 'five'; 'four']",zero
28,2,"['five'; 'eight'; 'zero'; 'four'; 'three'; 'one']",zero
29,7,"['eight'; 'zero'; 'three'; 'nine'; 'four'; 'five']",zero
30,3,"['three'; 'four'; 'eight'; 'zero'; 'six'; 'five']",zero
31,8,"['one'; 'six'; 'eight'; 'two'; 'four'; 'nine']",eight
32,6,"['one'; 'three'; 'zero'; 'two'; 'eight'; 'five']",zero
33,9,"['three'; 'five'; 'zero'; 'nine'; 'seven'; 'one']",zero
34,0,"['four'; 'one'; 'six'; 'zero'; 'five'; 'nine']",zero
