index,true_label,candidate_labels,complementary_label
0,6,"['truck', 'ship', 'horse', 'bird']",truck
1,9,"['airplane', 'bird', 'ship', 'automobile']",bird
2,9,"['automobile', 'bird', 'ship', 'airplane']",bird
3,4,"['automobile', 'ship', 'truck', 'horse']",ship
4,1,"['horse', 'frog', 'deer', 'ship']",ship
5,1,"['ship', 'horse', 'frog', 'deer']",horse
6,2,"['dog', 'horse', 'deer', 'airplane']",airplane
7,7,"['frog', 'cat', 'truck', 'airplane']",truck
8,8,"['deer', 'frog', 'cat', 'truck']",truck
9,3,"['horse', 'airplane', 'dog', 'frog']",airplane
10,4,"['horse', 'automobile', 'truck', 'ship']",truck
11,7,"['truck', 'frog', 'airplane', 'cat']",frog
12,7,"['airplane', 'cat', 'frog', 'truck']",cat
13,2,"['horse', 'dog', 'deer', 'airplane']",airplane
14,9,"['airplane', 'ship', 'bird', 'automobile']",bird
15,9,"['automobile', 'airplane', 'ship', 'bird']",bird
16,9,"['bird', 'automobile', 'airplane', 'ship']",bird
17,3,"['frog', 'airplane', 'horse', 'dog']",airplane
18,2,"['deer', 'horse', 'dog', 'airplane']",airplane
19,6,"['truck', 'bird', 'horse', 'ship']",bird
20,4,"['automobile', 'horse', 'truck', 'ship']",truck
21,3,"['frog', 'horse', 'airplane', 'dog']",airplane
22,6,"['ship', 'horse', 'truck', 'bird']",horse
23,6,"['truck', 'horse', 'bird', 'ship']",ship
24,2,"['dog', 'airplane', 'deer', 'horse']",airplane
25,6,"['horse', 'truck', 'bird', 'ship']",truck
26,3,"['frog', 'dog', 'horse', 'airplane']",airplane
27,5,"['ship', 'automobile', 'truck', 'airplane']",truck
28,4,"['horse', 'automobile', 'truck', 'ship']",truck
29,0,"['cat', 'horse', 'automobile', 'dog']",horse
30,0,"['horse', 'automobile', 'cat', 'dog']",horse
31,9,"['bird', 'automobile', 'ship', 'airplane']",bird
32,1,"['horse', 'ship', 'frog', 'deer']",ship
33,3,"['airplane', 'frog', 'horse', 'dog']",frog
