index,true_label,candidate_labels,complementary_label
0,6,"['truck', 'deer', 'bird', 'cat']",truck
1,9,"['deer', 'ship', 'horse', 'bird']",ship
2,9,"['bird', 'deer', 'horse', 'ship']",ship
3,4,"['truck', 'bird', 'ship', 'dog']",ship
4,1,"['ship', 'horse', 'bird', 'deer']",bird
5,1,"['ship', 'horse', 'bird', 'deer']",horse
6,2,"['horse', 'dog', 'truck', 'frog']",truck
7,7,"['dog', 'bird', 'ship', 'truck']",ship
8,8,"['automobile', 'deer', 'bird', 'dog']",deer
9,3,"['horse', 'deer', 'truck', 'bird']",truck
10,4,"['dog', 'bird', 'ship', 'truck']",ship
11,7,"['truck', 'dog', 'ship', 'bird']",ship
12,7,"['dog', 'bird', 'ship', 'truck']",ship
13,2,"['dog', 'truck', 'frog', 'horse']",truck
14,9,"['horse', 'bird', 'deer', 'ship']",ship
15,9,"['bird', 'horse', 'deer', 'ship']",ship
16,9,"['bird', 'deer', 'ship', 'horse']",ship
17,3,"['horse', 'deer', 'bird', 'truck']",truck
18,2,"['truck', 'frog', 'horse', 'dog']",truck
19,6,"['bird', 'truck', 'deer', 'cat']",truck
20,4,"['truck', 'bird', 'dog', 'ship']",truck
21,3,"['truck', 'deer', 'horse', 'bird']",truck
22,6,"['cat', 'truck', 'deer', 'bird']",truck
23,6,"['truck', 'cat', 'deer', 'bird']",truck
24,2,"['dog', 'truck', 'frog', 'horse']",truck
25,6,"['deer', 'truck', 'bird', 'cat']",truck
26,3,"['truck', 'bird', 'horse', 'deer']",bird
27,5,"['deer', 'bird', 'truck', 'cat']",truck
28,4,"['dog', 'ship', 'truck', 'bird']",ship
29,0,"['automobile', 'truck', 'dog', 'ship']",dog
30,0,"['truck', 'ship', 'dog', 'automobile']",dog
31,9,"['horse', 'ship', 'bird', 'deer']",ship
32,1,"['ship', 'bird', 'horse', 'deer']",bird
33,3,"['horse', 'bird', 'deer', 'truck']",truck
34,4,"['truck', 'bird', 'dog', 'ship']",ship
35,0,"['ship', 'automobile', 'truck', 'dog']",truck
36,3,"['truck', 'bird', 'deer', 'horse']",truck
37,7,"['ship', 'truck', 'bird', 'dog']",bird
38,3,"['deer', 'horse', 'truck', 'bird']",truck
39,3,"['horse', 'truck', 'deer', 'bird']",truck
40,5,"['bird', 'cat', 'truck', 'deer']",truck
41,2,"['truck', 'dog', 'horse', 'frog']",dog
42,2,"['horse', 'truck', 'frog', 'dog']",truck
43,7,"['truck', 'ship', 'dog', 'bird']",ship
44,1,"['deer', 'horse', 'bird', 'ship']",ship
45,1,"['horse', 'ship', 'deer', 'bird']",ship
46,1,"['horse', 'ship', 'deer', 'bird']",ship
47,2,"['dog', 'truck', 'frog', 'horse']",truck
48,2,"['truck', 'dog', 'frog', 'horse']",dog
49,0,"['ship', 'truck', 'dog', 'automobile']",dog
50,9,"['deer', 'horse', 'ship', 'bird']",ship
51,5,"['bird', 'truck', 'cat', 'deer']",truck
52,7,"['ship', 'dog', 'bird', 'truck']",truck
53,9,"['bird', 'ship', 'deer', 'horse']",ship
54,2,"['dog', 'horse', 'frog', 'truck']",truck
55,2,"['dog', 'frog', 'horse', 'truck']",truck
56,5,"['bird', 'truck', 'deer', 'cat']",truck
57,2,"['horse', 'dog', 'truck', 'frog']",truck
58,4,"['dog', 'truck', 'bird', 'ship']",truck
59,3,"['deer', 'bird', 'truck', 'horse']",truck
60,1,"['bird', 'ship', 'horse', 'deer']",ship
61,1,"['ship', 'bird', 'horse', 'deer']",bird
62,8,"['dog', 'bird', 'deer', 'automobile']",automobile
63,2,"['frog', 'dog', 'truck', 'horse']",truck
64,1,"['deer', 'horse', 'ship', 'bird']",ship
65,1,"['deer', 'horse', 'bird', 'ship']",ship
66,4,"['truck', 'ship', 'dog', 'bird']",dog
67,9,"['deer', 'horse', 'ship', 'bird']",ship
68,7,"['ship', 'dog', 'truck', 'bird']",truck
69,8,"['automobile', 'deer', 'bird', 'dog']",deer
70,5,"['bird', 'deer', 'cat', 'truck']",truck
71,9,"['deer', 'ship', 'bird', 'horse']",ship
72,6,"['bird', 'cat', 'truck', 'deer']",truck
73,7,"['bird', 'ship', 'truck', 'dog']",ship
74,3,"['horse', 'deer', 'truck', 'bird']",truck
75,1,"['horse', 'bird', 'deer', 'ship']",ship
76,9,"['ship', 'horse', 'bird', 'deer']",horse
77,0,"['ship', 'dog', 'truck', 'automobile']",dog
78,3,"['deer', 'truck', 'bird', 'horse']",truck
79,1,"['deer', 'horse', 'bird', 'ship']",ship
80,3,"['deer', 'bird', 'truck', 'horse']",truck
81,5,"['deer', 'bird', 'cat', 'truck']",truck
82,4,"['dog', 'ship', 'truck', 'bird']",ship
83,5,"['deer', 'cat', 'truck', 'bird']",truck
84,7,"['dog', 'ship', 'truck', 'bird']",ship
85,7,"['ship', 'dog', 'truck', 'bird']",truck
86,4,"['dog', 'ship', 'truck', 'bird']",ship
87,7,"['bird', 'truck', 'ship', 'dog']",truck
88,9,"['horse', 'bird', 'ship', 'deer']",ship
89,4,"['ship', 'truck', 'bird', 'dog']",truck
90,2,"['horse', 'frog', 'dog', 'truck']",truck
91,3,"['truck', 'horse', 'deer', 'bird']",truck
92,8,"['dog', 'automobile', 'bird', 'deer']",automobile
93,0,"['automobile', 'dog', 'ship', 'truck']",dog
94,1,"['horse', 'ship', 'bird', 'deer']",ship
95,6,"['bird', 'deer', 'truck', 'cat']",truck
96,1,"['horse', 'bird', 'deer', 'ship']",ship
97,1,"['ship', 'deer', 'horse', 'bird']",deer
98,4,"['bird', 'ship', 'dog', 'truck']",ship
99,1,"['deer', 'ship', 'bird', 'horse']",ship
100,8,"['bird', 'deer', 'automobile', 'dog']",deer
101,3,"['horse', 'deer', 'truck', 'bird']",truck
102,9,"['ship', 'horse', 'deer', 'bird']",horse
103,6,"['deer', 'truck', 'cat', 'bird']",truck
104,6,"['bird', 'deer', 'truck', 'cat']",truck
105,1,"['ship', 'horse', 'deer', 'bird']",horse
106,8,"['dog', 'deer', 'automobile', 'bird']",automobile
107,5,"['deer', 'cat', 'bird', 'truck']",truck
108,2,"['truck', 'frog', 'dog', 'horse']",truck
109,9,"['ship', 'bird', 'horse', 'deer']",bird
110,9,"['deer', 'horse', 'bird', 'ship']",ship
111,8,"['dog', 'deer', 'automobile', 'bird']",deer
112,1,"['deer', 'ship', 'horse', 'bird']",ship
113,7,"['bird', 'truck', 'dog', 'ship']",truck
114,7,"['ship', 'dog', 'truck', 'bird']",truck
115,0,"['ship', 'dog', 'truck', 'automobile']",dog
116,0,"['automobile', 'truck', 'ship', 'dog']",ship
117,6,"['cat', 'bird', 'truck', 'deer']",truck
118,9,"['bird', 'deer', 'horse', 'ship']",ship
119,1,"['ship', 'bird', 'horse', 'deer']",bird
120,2,"['horse', 'truck', 'frog', 'dog']",truck
121,2,"['truck', 'horse', 'frog', 'dog']",frog
