index,true_label,candidate_labels,complementary_label
0,11,"['large carnivores'; 'reptiles']",reptiles
1,15,"['large natural outdoor scenes'; 'household furniture']",large natural outdoor scenes
2,4,"['people'; 'flowers']",flowers
3,14,"['large carnivores'; 'fruit and vegetables']",fruit and vegetables
4,1,"['large man-made outdoor things'; 'large carnivores']",large man-made outdoor things
5,5,"['aquatic mammals'; 'fish']",fish
6,18,"['large omnivores and herbivores'; 'vehicles 2']",Vehicles
7,3,"['fruit and vegetables'; 'vehicles 1']",fruit and vegetables
8,10,"['people'; 'insects']",people
9,11,"['reptiles'; 'large carnivores']",large carnivores
10,5,"['fish'; 'aquatic mammals']",aquatic mammals
11,17,"['medium-sized mammals'; 'food containers']",food containers
12,2,"['household electrical devices'; 'large carnivores']",household electrical devices
13,9,"['vehicles 1'; 'household furniture']",household furniture
14,10,"['people'; 'insects']",people
15,5,"['aquatic mammals'; 'fish']",fish
16,18,"['large omnivores and herbivores'; 'vehicles 2']",large omnivores and herbivores
17,8,"['vehicles 1'; 'aquatic mammals']",aquatic mammals
18,16,"['flowers'; 'food containers']",flowers
19,10,"['insects'; 'people']",people
20,16,"['food containers'; 'flowers']",flowers
21,17,"['food containers'; 'medium-sized mammals']",medium-sized mammals
22,2,"['large carnivores'; 'household electrical devices']",household electrical devices
23,5,"['fish'; 'aquatic mammals']",aquatic mammals
24,17,"['medium-sized mammals'; 'food containers']",food containers
25,6,"['insects'; 'flowers']",flowers
26,12,"['aquatic mammals'; 'household electrical devices']",aquatic mammals
27,17,"['medium-sized mammals'; 'food containers']",food containers
28,8,"['vehicles 1'; 'aquatic mammals']",aquatic mammals
29,12,"['household electrical devices'; 'aquatic mammals']",aquatic mammals
30,18,"['vehicles 2'; 'large omnivores and herbivores']",vehicles 2
31,9,"['household furniture'; 'vehicles 1']",household furniture
32,17,"['food containers'; 'medium-sized mammals']",food containers
33,16,"['flowers'; 'food containers']",flowers
34,11,"['large carnivores'; 'reptiles']",large carnivores
35,5,"['fish'; 'aquatic mammals']",aquatic mammals
36,19,"['fish'; 'large carnivores']",large carnivores
37,14,"['fruit and vegetables'; 'large carnivores']",fruit and vegetables
38,7,"['large carnivores'; 'trees']",large carnivores
39,6,"['insects'; 'flowers']",flowers
