index,true_label,candidate_labels,complementary_label
0,8,"['ha'; 'na'; 'wo'; 'ki'; 'su'; 'tsu'; 'ma'; 're']",na
1,7,"['re'; 'ki'; 'tsu'; 'ya'; 'wo'; 'su'; 'o'; 'ha']",ha
2,0,"['su'; 'na'; 'ha'; 'ki'; 'ma'; 'wo'; 'o'; 're']",na
3,1,"['ma'; 'ha'; 'na'; 're'; 'o'; 'wo'; 'ki'; 'ya']",na
4,4,"['su'; 're'; 'ki'; 'tsu'; 'o'; 'ha'; 'ma'; 'ya']",su
5,2,"['o'; 'wo'; 'tsu'; 'ma'; 'ha'; 'na'; 're'; 'ya']",na
6,4,"['re'; 'tsu'; 'ki'; 'ma'; 'ya'; 'o'; 'su'; 'ha']",tsu
7,8,"['ma'; 'na'; 'ha'; 're'; 'wo'; 'su'; 'tsu'; 'ki']",na
8,1,"['o'; 'ha'; 'wo'; 'ki'; 'ma'; 'ya'; 'na'; 're']",na
9,1,"['re'; 'ya'; 'wo'; 'o'; 'ma'; 'na'; 'ha'; 'ki']",wo
10,5,"['re'; 'ha'; 'wo'; 'o'; 'tsu'; 'ya'; 'na'; 'ki']",tsu
11,1,"['wo'; 'ma'; 're'; 'na'; 'ki'; 'ya'; 'ha'; 'o']",na
12,0,"['na'; 're'; 'ki'; 'su'; 'ma'; 'wo'; 'ha'; 'o']",na
13,5,"['re'; 'ya'; 'na'; 'o'; 'ki'; 'ha'; 'wo'; 'tsu']",tsu
14,7,"['wo'; 'ha'; 'ki'; 're'; 'o'; 'su'; 'ya'; 'tsu']",su
15,6,"['ya'; 'su'; 'ma'; 'ha'; 'ki'; 'na'; 're'; 'tsu']",su
16,1,"['re'; 'o'; 'na'; 'wo'; 'ma'; 'ya'; 'ki'; 'ha']",ha
17,7,"['o'; 'ki'; 'ya'; 'ha'; 'su'; 're'; 'wo'; 'tsu']",su
18,9,"['ma'; 'ki'; 'su'; 'na'; 'o'; 'ha'; 'tsu'; 'wo']",ki
19,5,"['ha'; 'wo'; 'tsu'; 're'; 'o'; 'ki'; 'na'; 'ya']",na
20,7,"['re'; 'su'; 'ya'; 'ki'; 'wo'; 'tsu'; 'ha'; 'o']",su
21,3,"['tsu'; 'ya'; 'ha'; 'ki'; 'su'; 'ma'; 'na'; 'o']",na
22,7,"['tsu'; 'ki'; 're'; 'su'; 'ha'; 'ya'; 'o'; 'wo']",ki
23,5,"['ya'; 'tsu'; 'wo'; 'o'; 're'; 'ki'; 'na'; 'ha']",ha
24,6,"['ya'; 'ma'; 're'; 'su'; 'ki'; 'ha'; 'tsu'; 'na']",su
25,6,"['tsu'; 're'; 'ya'; 'ki'; 'ha'; 'na'; 'su'; 'ma']",tsu
26,2,"['na'; 'tsu'; 'ya'; 're'; 'o'; 'wo'; 'ma'; 'ha']",na
27,7,"['re'; 'ha'; 'wo'; 'su'; 'ya'; 'ki'; 'o'; 'tsu']",su
28,6,"['ha'; 'na'; 'ki'; 'tsu'; 're'; 'ma'; 'su'; 'ya']",na
29,0,"['na'; 'o'; 'ki'; 'wo'; 'su'; 'ma'; 'ha'; 're']",na
30,9,"['na'; 'o'; 'ha'; 'wo'; 'tsu'; 'ki'; 'ma'; 'su']",na
31,6,"['ki'; 'su'; 'ma'; 're'; 'tsu'; 'ha'; 'na'; 'ya']",su
32,1,"['ya'; 'ma'; 'o'; 'wo'; 'ha'; 're'; 'ki'; 'na']",na
33,5,"['ha'; 'wo'; 'o'; 're'; 'tsu'; 'na'; 'ki'; 'ya']",tsu
34,9,"['na'; 'su'; 'ha'; 'ma'; 'tsu'; 'ki'; 'o'; 'wo']",na
35,5,"['ki'; 'o'; 'wo'; 'ya'; 'ha'; 're'; 'tsu'; 'na']",tsu
36,8,"['tsu'; 'ki'; 'ma'; 'na'; 'su'; 'wo'; 'ha'; 're']",ki
37,0,"['wo'; 'ma'; 'ki'; 'ha'; 'o'; 'na'; 're'; 'su']",na
38,0,"['na'; 'ki'; 'ma'; 're'; 'wo'; 'su'; 'ha'; 'o']",na
39,8,"['wo'; 'tsu'; 'na'; 'ma'; 'su'; 'ki'; 're'; 'ha']",na
40,8,"['su'; 're'; 'tsu'; 'na'; 'ma'; 'ha'; 'ki'; 'wo']",na
41,6,"['re'; 'su'; 'na'; 'ma'; 'ki'; 'ha'; 'ya'; 'tsu']",su
42,7,"['ki'; 'o'; 'ha'; 're'; 'tsu'; 'wo'; 'su'; 'ya']",tsu
43,7,"['wo'; 'ya'; 'o'; 'su'; 'tsu'; 'ki'; 'ha'; 're']",ha
44,7,"['o'; 'wo'; 'tsu'; 'su'; 'ki'; 'ha'; 're'; 'ya']",ha
45,8,"['tsu'; 'su'; 'na'; 'wo'; 'ki'; 're'; 'ha'; 'ma']",tsu
46,1,"['ki'; 'ma'; 'ha'; 're'; 'wo'; 'ya'; 'na'; 'o']",na
47,9,"['tsu'; 'su'; 'ma'; 'ki'; 'o'; 'ha'; 'wo'; 'na']",na
48,6,"['ya'; 're'; 'na'; 'ma'; 'su'; 'tsu'; 'ha'; 'ki']",ha
49,0,"['re'; 'o'; 'su'; 'wo'; 'ki'; 'ma'; 'ha'; 'na']",na
50,5,"['o'; 'ki'; 'ya'; 're'; 'ha'; 'na'; 'tsu'; 'wo']",tsu
51,1,"['re'; 'o'; 'ha'; 'na'; 'wo'; 'ya'; 'ki'; 'ma']",ki
52,1,"['ki'; 'na'; 're'; 'wo'; 'o'; 'ya'; 'ma'; 'ha']",na
53,1,"['ha'; 'ki'; 're'; 'na'; 'wo'; 'ma'; 'o'; 'ya']",na
54,3,"['ha'; 'ma'; 'na'; 'ki'; 'su'; 'ya'; 'tsu'; 'o']",su
55,2,"['ma'; 'ya'; 'ha'; 'tsu'; 'wo'; 're'; 'o'; 'na']",tsu
56,2,"['na'; 're'; 'tsu'; 'ma'; 'ya'; 'wo'; 'ha'; 'o']",na
57,6,"['na'; 'tsu'; 'ya'; 're'; 'ha'; 'ma'; 'su'; 'ki']",na
58,4,"['re'; 'ya'; 'ki'; 'ma'; 'su'; 'ha'; 'tsu'; 'o']",su
59,3,"['ya'; 'tsu'; 'ki'; 'na'; 'ma'; 'su'; 'o'; 'ha']",tsu
60,5,"['re'; 'wo'; 'na'; 'tsu'; 'ya'; 'o'; 'ki'; 'ha']",ha
61,5,"['na'; 'wo'; 'ki'; 'ya'; 'ha'; 'o'; 'tsu'; 're']",tsu
62,4,"['tsu'; 'ha'; 'ya'; 'o'; 'su'; 'ma'; 're'; 'ki']",tsu
63,6,"['re'; 'na'; 'ya'; 'tsu'; 'ha'; 'ma'; 'ki'; 'su']",tsu
64,6,"['ya'; 'ha'; 'na'; 'su'; 'ki'; 'tsu'; 'ma'; 're']",ha
65,1,"['wo'; 'o'; 're'; 'na'; 'ma'; 'ha'; 'ki'; 'ya']",na
66,7,"['re'; 'ya'; 'o'; 'wo'; 'ha'; 'su'; 'ki'; 'tsu']",su
67,8,"['ha'; 'na'; 're'; 'ki'; 'ma'; 'wo'; 'tsu'; 'su']",tsu
68,8,"['wo'; 're'; 'su'; 'tsu'; 'ha'; 'ki'; 'ma'; 'na']",na
69,3,"['ma'; 'ya'; 'ha'; 'su'; 'na'; 'o'; 'ki'; 'tsu']",na
70,1,"['o'; 'ki'; 're'; 'ya'; 'na'; 'wo'; 'ma'; 'ha']",na
71,9,"['ha'; 'na'; 'su'; 'o'; 'ki'; 'wo'; 'ma'; 'tsu']",na
72,9,"['ki'; 'ma'; 'o'; 'su'; 'wo'; 'ha'; 'na'; 'tsu']",su
73,3,"['ki'; 'su'; 'tsu'; 'ha'; 'o'; 'ya'; 'ma'; 'na']",na
74,2,"['re'; 'o'; 'ma'; 'ya'; 'na'; 'wo'; 'ha'; 'tsu']",tsu
75,1,"['ki'; 'ha'; 'ya'; 'ma'; 'o'; 're'; 'wo'; 'na']",na
76,0,"['ki'; 're'; 'na'; 'o'; 'ha'; 'wo'; 'ma'; 'su']",ki
77,4,"['ki'; 'o'; 'ha'; 'ya'; 'su'; 're'; 'tsu'; 'ma']",su
78,8,"['ma'; 'ha'; 'wo'; 'na'; 're'; 'su'; 'tsu'; 'ki']",na
79,2,"['ha'; 're'; 'tsu'; 'ma'; 'o'; 'na'; 'ya'; 'wo']",na
80,3,"['ha'; 'su'; 'tsu'; 'o'; 'ma'; 'ya'; 'ki'; 'na']",na
81,6,"['re'; 'na'; 'ha'; 'tsu'; 'ma'; 'ki'; 'su'; 'ya']",tsu
82,9,"['ha'; 'ki'; 'su'; 'o'; 'ma'; 'na'; 'wo'; 'tsu']",su
83,9,"['wo'; 'tsu'; 'o'; 'ha'; 'ma'; 'ki'; 'na'; 'su']",na
84,6,"['re'; 'ma'; 'na'; 'ha'; 'ya'; 'tsu'; 'ki'; 'su']",tsu
85,5,"['o'; 'ha'; 'ya'; 're'; 'na'; 'wo'; 'ki'; 'tsu']",tsu
86,6,"['ki'; 'tsu'; 'ma'; 'na'; 'ha'; 'su'; 'ya'; 're']",tsu
87,1,"['ha'; 'o'; 'ya'; 'wo'; 'ma'; 'ki'; 're'; 'na']",na
