index,true_label,candidate_labels,complementary_label
0,6,"['automobile', 'horse', 'ship', 'airplane']",ship
1,9,"['dog', 'frog', 'cat', 'airplane']",dog
2,9,"['dog', 'frog', 'cat', 'airplane']",airplane
3,4,"['cat', 'automobile', 'frog', 'airplane']",automobile
4,1,"['bird', 'dog', 'frog', 'cat', 'airplane']",airplane
5,1,"['bird', 'dog', 'frog', 'cat', 'airplane']",airplane
6,2,"['ship', 'cat', 'automobile', 'airplane']",cat
7,7,"['automobile', 'cat', 'airplane', 'frog']",cat
8,8,"['horse', 'airplane', 'cat', 'frog']",horse
9,3,"['frog', 'ship', 'automobile', 'airplane']",ship
10,4,"['cat', 'automobile', 'frog', 'airplane']",automobile
11,7,"['automobile', 'cat', 'airplane', 'frog']",cat
12,7,"['automobile', 'cat', 'airplane', 'frog']",cat
13,2,"['ship', 'cat', 'automobile', 'airplane']",cat
14,9,"['dog', 'frog', 'cat', 'airplane']",airplane
15,9,"['dog', 'frog', 'cat', 'airplane']",dog
16,9,"['dog', 'frog', 'cat', 'airplane']",airplane
17,3,"['frog', 'ship', 'automobile', 'airplane']",ship
18,2,"['ship', 'cat', 'automobile', 'airplane']",cat
19,6,"['automobile', 'horse', 'ship', 'airplane']",airplane
20,4,"['cat', 'automobile', 'frog', 'airplane']",automobile
21,3,"['frog', 'ship', 'automobile', 'airplane']",ship
22,6,"['automobile', 'horse', 'ship', 'airplane']",airplane
23,6,"['automobile', 'horse', 'ship', 'airplane']",airplane
24,2,"['ship', 'cat', 'automobile', 'airplane']",cat
25,6,"['automobile', 'horse', 'ship', 'airplane']",horse
26,3,"['frog', 'ship', 'automobile', 'airplane']",ship
27,5,"['frog', 'ship', 'airplane', 'automobile']",ship
28,4,"['cat', 'automobile', 'frog', 'airplane']",automobile
29,0,"['horse', 'deer', 'frog', 'cat']",horse
30,0,"['horse', 'deer', 'frog', 'cat']",horse
31,9,"['dog', 'frog', 'cat', 'airplane']",airplane
32,1,"['bird', 'dog', 'frog', 'cat', 'airplane']",airplane
33,3,"['frog', 'ship', 'automobile', 'airplane']",ship
34,4,"['cat', 'automobile', 'frog', 'airplane']",automobile
35,0,"['horse', 'deer', 'frog', 'cat']",horse
36,3,"['frog', 'ship', 'automobile', 'airplane']",ship
37,7,"['automobile', 'cat', 'airplane', 'frog']",cat
38,3,"['frog', 'ship', 'automobile', 'airplane']",ship
39,3,"['frog', 'ship', 'automobile', 'airplane']",ship
40,5,"['frog', 'ship', 'airplane', 'automobile']",ship
41,2,"['ship', 'cat', 'automobile', 'airplane']",cat
42,2,"['ship', 'cat', 'automobile', 'airplane']",cat
43,7,"['automobile', 'cat', 'airplane', 'frog']",cat
44,1,"['bird', 'dog', 'frog', 'cat', 'airplane']",airplane
45,1,"['bird', 'dog', 'frog', 'cat', 'airplane']",airplane
46,1,"['bird', 'dog', 'frog', 'cat', 'airplane']",airplane
47,2,"['ship', 'cat', 'automobile', 'airplane']",cat
48,2,"['ship', 'cat', 'automobile', 'airplane']",cat
49,0,"['horse', 'deer', 'frog', 'cat']",horse
50,9,"['dog', 'frog', 'cat', 'airplane']",airplane
51,5,"['frog', 'ship', 'airplane', 'automobile']",ship
52,7,"['automobile', 'cat', 'airplane', 'frog']",airplane
53,9,"['dog', 'frog', 'cat', 'airplane']",airplane
54,2,"['ship', 'cat', 'automobile', 'airplane']",cat
55,2,"['ship', 'cat', 'automobile', 'airplane']",automobile
56,5,"['frog', 'ship', 'airplane', 'automobile']",ship
57,2,"['ship', 'cat', 'automobile', 'airplane']",cat
58,4,"['cat', 'automobile', 'frog', 'airplane']",automobile
59,3,"['frog', 'ship', 'automobile', 'airplane']",frog
60,1,"['bird', 'dog', 'frog', 'cat', 'airplane']",airplane
61,1,"['bird', 'dog', 'frog', 'cat', 'airplane']",airplane
62,8,"['horse', 'airplane', 'cat', 'frog']",horse
63,2,"['ship', 'cat', 'automobile', 'airplane']",cat
64,1,"['bird', 'dog', 'frog', 'cat', 'airplane']",airplane
65,1,"['bird', 'dog', 'frog', 'cat', 'airplane']",airplane
66,4,"['cat', 'automobile', 'frog', 'airplane']",automobile
67,9,"['dog', 'frog', 'cat', 'airplane']",airplane
68,7,"['automobile', 'cat', 'airplane', 'frog']",cat
69,8,"['horse', 'airplane', 'cat', 'frog']",horse
70,5,"['frog', 'ship', 'airplane', 'automobile']",ship
71,9,"['dog', 'frog', 'cat', 'airplane']",airplane
72,6,"['automobile', 'horse', 'ship', 'airplane']",airplane
73,7,"['automobile', 'cat', 'airplane', 'frog']",cat
74,3,"['frog', 'ship', 'automobile', 'airplane']",ship
75,1,"['bird', 'dog', 'frog', 'cat', 'airplane']",airplane
76,9,"['dog', 'frog', 'cat', 'airplane']",dog
77,0,"['horse', 'deer', 'frog', 'cat']",horse
78,3,"['frog', 'ship', 'automobile', 'airplane']",frog
79,1,"['bird', 'dog', 'frog', 'cat', 'airplane']",airplane
80,3,"['frog', 'ship', 'automobile', 'airplane']",ship
81,5,"['frog', 'ship', 'airplane', 'automobile']",ship
82,4,"['cat', 'automobile', 'frog', 'airplane']",automobile
83,5,"['frog', 'ship', 'airplane', 'automobile']",ship
84,7,"['automobile', 'cat', 'airplane', 'frog']",airplane
85,7,"['automobile', 'cat', 'airplane', 'frog']",airplane
86,4,"['cat', 'automobile', 'frog', 'airplane']",automobile
87,7,"['automobile', 'cat', 'airplane', 'frog']",airplane
88,9,"['dog', 'frog', 'cat', 'airplane']",airplane
89,4,"['cat', 'automobile', 'frog', 'airplane']",automobile
90,2,"['ship', 'cat', 'automobile', 'airplane']",automobile
91,3,"['frog', 'ship', 'automobile', 'airplane']",ship
92,8,"['horse', 'airplane', 'cat', 'frog']",horse
93,0,"['horse', 'deer', 'frog', 'cat']",horse
94,1,"['bird', 'dog', 'frog', 'cat', 'airplane']",airplane
95,6,"['automobile', 'horse', 'ship', 'airplane']",airplane
96,1,"['bird', 'dog', 'frog', 'cat', 'airplane']",airplane
97,1,"['bird', 'dog', 'frog', 'cat', 'airplane']",airplane
98,4,"['cat', 'automobile', 'frog', 'airplane']",airplane
99,1,"['bird', 'dog', 'frog', 'cat', 'airplane']",bird
100,8,"['horse', 'airplane', 'cat', 'frog']",horse
101,3,"['frog', 'ship', 'automobile', 'airplane']",ship
102,9,"['dog', 'frog', 'cat', 'airplane']",airplane
103,6,"['automobile', 'horse', 'ship', 'airplane']",airplane
104,6,"['automobile', 'horse', 'ship', 'airplane']",automobile
105,1,"['bird', 'dog', 'frog', 'cat', 'airplane']",airplane
106,8,"['horse', 'airplane', 'cat', 'frog']",horse
107,5,"['frog', 'ship', 'airplane', 'automobile']",ship
108,2,"['ship', 'cat', 'automobile', 'airplane']",cat
109,9,"['dog', 'frog', 'cat', 'airplane']",dog
110,9,"['dog', 'frog', 'cat', 'airplane']",airplane
111,8,"['horse', 'airplane', 'cat', 'frog']",horse
112,1,"['bird', 'dog', 'frog', 'cat', 'airplane']",airplane
113,7,"['automobile', 'cat', 'airplane', 'frog']",airplane
114,7,"['automobile', 'cat', 'airplane', 'frog']",cat
115,0,"['horse', 'deer', 'frog', 'cat']",horse
