index,true_label,candidate_labels,complementary_label
0,6,"['deer'; 'horse'; 'truck'; 'bird'; 'airplane'; 'automobile'; 'cat']",truck
1,9,"['frog'; 'ship'; 'bird'; 'truck'; 'dog'; 'automobile'; 'horse']",frog
2,9,"['frog'; 'dog'; 'bird'; 'horse'; 'ship'; 'automobile'; 'truck']",frog
3,4,"['horse'; 'bird'; 'airplane'; 'dog'; 'ship'; 'automobile'; 'deer']",airplane
4,1,"['truck'; 'horse'; 'automobile'; 'airplane'; 'ship'; 'frog'; 'dog']",horse
5,1,"['ship'; 'dog'; 'truck'; 'frog'; 'automobile'; 'horse'; 'airplane']",dog
6,2,"['truck'; 'deer'; 'ship'; 'airplane'; 'frog'; 'cat'; 'automobile']",truck
7,7,"['frog'; 'dog'; 'truck'; 'airplane'; 'ship'; 'automobile'; 'cat']",truck
8,8,"['frog'; 'deer'; 'automobile'; 'bird'; 'horse'; 'airplane'; 'cat']",frog
9,3,"['truck'; 'automobile'; 'deer'; 'frog'; 'horse'; 'airplane'; 'cat']",truck
10,4,"['deer'; 'bird'; 'dog'; 'airplane'; 'automobile'; 'ship'; 'horse']",airplane
11,7,"['dog'; 'ship'; 'frog'; 'cat'; 'truck'; 'airplane'; 'automobile']",ship
12,7,"['frog'; 'airplane'; 'ship'; 'cat'; 'automobile'; 'dog'; 'truck']",airplane
13,2,"['airplane'; 'ship'; 'automobile'; 'frog'; 'deer'; 'truck'; 'cat']",ship
14,9,"['ship'; 'frog'; 'truck'; 'automobile'; 'dog'; 'horse'; 'bird']",frog
15,9,"['dog'; 'frog'; 'horse'; 'automobile'; 'ship'; 'bird'; 'truck']",dog
16,9,"['ship'; 'automobile'; 'frog'; 'truck'; 'dog'; 'bird'; 'horse']",frog
17,3,"['automobile'; 'truck'; 'airplane'; 'horse'; 'deer'; 'frog'; 'cat']",automobile
18,2,"['airplane'; 'frog'; 'ship'; 'truck'; 'deer'; 'automobile'; 'cat']",frog
19,6,"['horse'; 'deer'; 'bird'; 'truck'; 'automobile'; 'cat'; 'airplane']",truck
20,4,"['deer'; 'automobile'; 'bird'; 'horse'; 'airplane'; 'ship'; 'dog']",automobile
21,3,"['cat'; 'horse'; 'automobile'; 'airplane'; 'frog'; 'truck'; 'deer']",truck
22,6,"['automobile'; 'deer'; 'cat'; 'airplane'; 'bird'; 'truck'; 'horse']",truck
23,6,"['deer'; 'bird'; 'truck'; 'automobile'; 'cat'; 'horse'; 'airplane']",truck
24,2,"['ship'; 'deer'; 'frog'; 'truck'; 'automobile'; 'airplane'; 'cat']",truck
25,6,"['automobile'; 'bird'; 'deer'; 'airplane'; 'cat'; 'horse'; 'truck']",bird
26,3,"['truck'; 'cat'; 'deer'; 'frog'; 'airplane'; 'horse'; 'automobile']",truck
27,5,"['frog'; 'horse'; 'deer'; 'bird'; 'dog'; 'automobile'; 'truck']",frog
28,4,"['airplane'; 'horse'; 'deer'; 'automobile'; 'bird'; 'ship'; 'dog']",airplane
29,0,"['airplane'; 'deer'; 'dog'; 'truck'; 'automobile'; 'ship'; 'frog']",deer
30,0,"['deer'; 'automobile'; 'airplane'; 'dog'; 'frog'; 'truck'; 'ship']",deer
31,9,"['ship'; 'bird'; 'dog'; 'automobile'; 'truck'; 'horse'; 'frog']",bird
32,1,"['truck'; 'horse'; 'frog'; 'ship'; 'automobile'; 'airplane'; 'dog']",horse
33,3,"['truck'; 'cat'; 'automobile'; 'horse'; 'airplane'; 'frog'; 'deer']",truck
34,4,"['deer'; 'ship'; 'bird'; 'automobile'; 'airplane'; 'dog'; 'horse']",ship
35,0,"['airplane'; 'deer'; 'dog'; 'truck'; 'frog'; 'automobile'; 'ship']",deer
36,3,"['deer'; 'cat'; 'horse'; 'airplane'; 'truck'; 'frog'; 'automobile']",airplane
37,7,"['frog'; 'automobile'; 'truck'; 'airplane'; 'dog'; 'cat'; 'ship']",frog
38,3,"['airplane'; 'cat'; 'automobile'; 'horse'; 'deer'; 'truck'; 'frog']",airplane
39,3,"['deer'; 'cat'; 'automobile'; 'airplane'; 'frog'; 'truck'; 'horse']",truck
40,5,"['dog'; 'deer'; 'frog'; 'horse'; 'bird'; 'automobile'; 'truck']",automobile
41,2,"['airplane'; 'cat'; 'truck'; 'frog'; 'ship'; 'deer'; 'automobile']",cat
42,2,"['automobile'; 'deer'; 'ship'; 'airplane'; 'truck'; 'frog'; 'cat']",ship
43,7,"['truck'; 'airplane'; 'dog'; 'automobile'; 'cat'; 'frog'; 'ship']",truck
44,1,"['dog'; 'horse'; 'truck'; 'frog'; 'automobile'; 'airplane'; 'ship']",dog
45,1,"['ship'; 'automobile'; 'airplane'; 'truck'; 'frog'; 'horse'; 'dog']",frog
46,1,"['airplane'; 'frog'; 'ship'; 'automobile'; 'horse'; 'dog'; 'truck']",frog
47,2,"['automobile'; 'airplane'; 'ship'; 'truck'; 'cat'; 'frog'; 'deer']",truck
48,2,"['truck'; 'deer'; 'frog'; 'ship'; 'automobile'; 'airplane'; 'cat']",truck
49,0,"['airplane'; 'deer'; 'frog'; 'ship'; 'dog'; 'automobile'; 'truck']",deer
50,9,"['bird'; 'automobile'; 'dog'; 'horse'; 'ship'; 'frog'; 'truck']",bird
51,5,"['dog'; 'bird'; 'horse'; 'frog'; 'automobile'; 'truck'; 'deer']",truck
52,7,"['cat'; 'frog'; 'airplane'; 'truck'; 'dog'; 'automobile'; 'ship']",frog
53,9,"['truck'; 'bird'; 'frog'; 'horse'; 'automobile'; 'ship'; 'dog']",bird
54,2,"['deer'; 'ship'; 'truck'; 'cat'; 'airplane'; 'automobile'; 'frog']",ship
55,2,"['truck'; 'airplane'; 'frog'; 'ship'; 'automobile'; 'cat'; 'deer']",frog
