index,true_label,candidate_labels,complementary_label
0,6,"['deer'; 'horse'; 'airplane'; 'automobile']",airplane
1,9,"['automobile'; 'frog'; 'ship'; 'bird']",frog
2,9,"['automobile'; 'ship'; 'bird'; 'frog']",bird
3,4,"['airplane'; 'automobile'; 'dog'; 'cat']",airplane
4,1,"['truck'; 'deer'; 'bird'; 'frog']",deer
5,1,"['bird'; 'frog'; 'deer'; 'truck']",bird
6,2,"['dog'; 'automobile'; 'deer'; 'truck']",truck
7,7,"['bird'; 'automobile'; 'frog'; 'dog']",automobile
8,8,"['dog'; 'cat'; 'airplane'; 'frog']",dog
9,3,"['automobile'; 'ship'; 'truck'; 'airplane']",ship
10,4,"['automobile'; 'cat'; 'dog'; 'airplane']",airplane
11,7,"['bird'; 'automobile'; 'frog'; 'dog']",automobile
12,7,"['dog'; 'automobile'; 'frog'; 'bird']",automobile
13,2,"['deer'; 'dog'; 'truck'; 'automobile']",truck
14,9,"['ship'; 'frog'; 'bird'; 'automobile']",frog
15,9,"['frog'; 'ship'; 'bird'; 'automobile']",ship
16,9,"['ship'; 'frog'; 'automobile'; 'bird']",frog
17,3,"['ship'; 'truck'; 'automobile'; 'airplane']",truck
18,2,"['automobile'; 'truck'; 'dog'; 'deer']",automobile
19,6,"['deer'; 'automobile'; 'airplane'; 'horse']",deer
20,4,"['cat'; 'dog'; 'airplane'; 'automobile']",airplane
21,3,"['truck'; 'airplane'; 'automobile'; 'ship']",truck
22,6,"['automobile'; 'horse'; 'airplane'; 'deer']",automobile
23,6,"['horse'; 'automobile'; 'deer'; 'airplane']",airplane
24,2,"['dog'; 'automobile'; 'deer'; 'truck']",truck
25,6,"['deer'; 'automobile'; 'airplane'; 'horse']",automobile
26,3,"['ship'; 'airplane'; 'automobile'; 'truck']",ship
27,5,"['cat'; 'horse'; 'automobile'; 'truck']",horse
28,4,"['automobile'; 'cat'; 'airplane'; 'dog']",airplane
29,0,"['frog'; 'bird'; 'cat'; 'automobile']",frog
30,0,"['cat'; 'frog'; 'bird'; 'automobile']",automobile
31,9,"['ship'; 'automobile'; 'bird'; 'frog']",bird
32,1,"['deer'; 'frog'; 'bird'; 'truck']",frog
33,3,"['truck'; 'ship'; 'automobile'; 'airplane']",ship
34,4,"['automobile'; 'cat'; 'airplane'; 'dog']",cat
35,0,"['bird'; 'automobile'; 'frog'; 'cat']",automobile
36,3,"['truck'; 'automobile'; 'airplane'; 'ship']",truck
37,7,"['dog'; 'bird'; 'frog'; 'automobile']",bird
38,3,"['truck'; 'automobile'; 'airplane'; 'ship']",truck
39,3,"['automobile'; 'ship'; 'airplane'; 'truck']",ship
40,5,"['horse'; 'automobile'; 'truck'; 'cat']",truck
41,2,"['dog'; 'truck'; 'deer'; 'automobile']",truck
42,2,"['truck'; 'deer'; 'automobile'; 'dog']",truck
43,7,"['frog'; 'bird'; 'dog'; 'automobile']",automobile
44,1,"['truck'; 'deer'; 'bird'; 'frog']",deer
45,1,"['deer'; 'truck'; 'bird'; 'frog']",bird
46,1,"['bird'; 'frog'; 'deer'; 'truck']",bird
47,2,"['truck'; 'automobile'; 'deer'; 'dog']",truck
48,2,"['deer'; 'truck'; 'automobile'; 'dog']",truck
49,0,"['bird'; 'cat'; 'automobile'; 'frog']",bird
50,9,"['frog'; 'ship'; 'bird'; 'automobile']",ship
51,5,"['horse'; 'automobile'; 'truck'; 'cat']",truck
52,7,"['bird'; 'dog'; 'frog'; 'automobile']",automobile
53,9,"['ship'; 'frog'; 'bird'; 'automobile']",frog
54,2,"['automobile'; 'deer'; 'dog'; 'truck']",automobile
55,2,"['truck'; 'automobile'; 'dog'; 'deer']",truck
56,5,"['truck'; 'cat'; 'horse'; 'automobile']",truck
57,2,"['dog'; 'automobile'; 'truck'; 'deer']",truck
58,4,"['automobile'; 'cat'; 'dog'; 'airplane']",cat
59,3,"['automobile'; 'ship'; 'airplane'; 'truck']",ship
60,1,"['frog'; 'truck'; 'deer'; 'bird']",frog
61,1,"['truck'; 'deer'; 'frog'; 'bird']",deer
62,8,"['cat'; 'dog'; 'airplane'; 'frog']",dog
63,2,"['truck'; 'automobile'; 'deer'; 'dog']",truck
64,1,"['bird'; 'deer'; 'truck'; 'frog']",bird
65,1,"['deer'; 'frog'; 'bird'; 'truck']",frog
66,4,"['cat'; 'automobile'; 'airplane'; 'dog']",automobile
67,9,"['bird'; 'frog'; 'ship'; 'automobile']",bird
68,7,"['frog'; 'dog'; 'bird'; 'automobile']",automobile
69,8,"['frog'; 'airplane'; 'cat'; 'dog']",frog
70,5,"['truck'; 'cat'; 'horse'; 'automobile']",truck
71,9,"['ship'; 'frog'; 'automobile'; 'bird']",frog
72,6,"['airplane'; 'deer'; 'automobile'; 'horse']",deer
73,7,"['dog'; 'frog'; 'automobile'; 'bird']",frog
74,3,"['automobile'; 'truck'; 'airplane'; 'ship']",ship
75,1,"['frog'; 'truck'; 'deer'; 'bird']",frog
76,9,"['ship'; 'frog'; 'bird'; 'automobile']",frog
77,0,"['frog'; 'cat'; 'bird'; 'automobile']",frog
78,3,"['ship'; 'truck'; 'airplane'; 'automobile']",truck
79,1,"['bird'; 'truck'; 'frog'; 'deer']",bird
80,3,"['ship'; 'automobile'; 'truck'; 'airplane']",truck
81,5,"['cat'; 'automobile'; 'truck'; 'horse']",truck
82,4,"['airplane'; 'automobile'; 'dog'; 'cat']",airplane
83,5,"['truck'; 'cat'; 'horse'; 'automobile']",truck
84,7,"['bird'; 'frog'; 'dog'; 'automobile']",automobile
85,7,"['dog'; 'automobile'; 'frog'; 'bird']",automobile
86,4,"['cat'; 'dog'; 'airplane'; 'automobile']",airplane
87,7,"['automobile'; 'bird'; 'frog'; 'dog']",automobile
88,9,"['ship'; 'bird'; 'frog'; 'automobile']",bird
89,4,"['automobile'; 'dog'; 'cat'; 'airplane']",cat
90,2,"['automobile'; 'deer'; 'dog'; 'truck']",deer
91,3,"['ship'; 'truck'; 'airplane'; 'automobile']",truck
92,8,"['airplane'; 'dog'; 'cat'; 'frog']",dog
93,0,"['bird'; 'frog'; 'cat'; 'automobile']",bird
94,1,"['deer'; 'frog'; 'truck'; 'bird']",frog
