index,true_label,random_label,predicted,raw_answer,clip_pos_similarity,clip_neg_similarity
0,large_omnivores_and_herbivores,people,CL,NO,0.1733,0.177
1,reptiles,non-insect_invertebrates,OL,YES,0.183,0.1853
2,fruit_and_vegetables,people,CL,NO,0.1847,0.1917
3,people,trees,CL,NO,0.1481,0.1753
4,fish,household_electrical_devices,CL,NO,0.1289,0.1686
5,household_electrical_devices,people,CL,NO,0.1575,0.1448
6,standard transportation vehicles,reptiles,CL,NO,0.1548,0.1642
7,food_containers,small_mammals,CL,NO,0.193,0.173
8,large_natural_outdoor_scenes,insects,CL,NO,0.1847,0.1947
9,large_omnivores_and_herbivores,standard transportation vehicles,CL,NO,0.153,0.164
10,household_electrical_devices,household_furniture,CL,NO,0.1561,0.1617
11,trees,people,CL,NO,0.1818,0.1722
12,flowers,large_natural_outdoor_scenes,OL,YES,0.1991,0.1992
13,large_man-made_outdoor_things,household_furniture,CL,NO,0.1836,0.1823
14,large_natural_outdoor_scenes,household_electrical_devices,CL,NO,0.1674,0.1975
15,household_electrical_devices,large_man-made_outdoor_things,CL,NO,0.1616,0.1548
16,standard transportation vehicles,insects,CL,NO,0.1895,0.1882
17,large_carnivores,people,CL,NO,0.1849,0.1857
18,small_mammals,people,CL,NO,0.17,0.1748
19,large_natural_outdoor_scenes,insects,CL,NO,0.1782,0.1924
20,small_mammals,non-insect_invertebrates,CL,NO,0.2207,0.2092
21,trees,standard transportation vehicles,CL,NO,0.1605,0.1742
22,flowers,standard transportation vehicles,CL,NO,0.1494,0.1646
23,household_electrical_devices,flowers,CL,NO,0.1375,0.1605
24,trees,large_natural_outdoor_scenes,OL,YES,0.2039,0.1956
25,household_furniture,flowers,CL,NO,0.1459,0.1759
26,medium_mammals,insects,CL,NO,0.1672,0.18
27,trees,fish,CL,NO,0.1687,0.1907
28,large_carnivores,large_carnivores,OL,YES,0.168,0.1606
29,medium_mammals,aquatic_mammals,CL,NO,0.2184,0.2006
