index,true_label,candidate_labels,complementary_label
0,6,"['horse', 'ship', 'bird', 'truck']",ship
1,9,"['airplane', 'automobile', 'bird', 'ship']",bird
2,9,"['airplane', 'automobile', 'bird', 'ship']",bird
3,4,"['automobile', 'horse', 'ship', 'truck']",ship
4,1,"['frog', 'deer', 'horse', 'ship']",ship
5,1,"['frog', 'deer', 'horse', 'ship']",ship
6,2,"['dog', 'deer', 'airplane', 'horse']",airplane
7,7,"['frog', 'truck', 'cat', 'airplane']",truck
8,8,"['deer', 'cat', 'truck', 'frog']",deer
9,3,"['dog', 'airplane', 'horse', 'frog']",airplane
10,4,"['automobile', 'horse', 'ship', 'truck']",ship
11,7,"['frog', 'truck', 'cat', 'airplane']",truck
12,7,"['frog', 'truck', 'cat', 'airplane']",truck
13,2,"['dog', 'deer', 'airplane', 'horse']",airplane
14,9,"['airplane', 'automobile', 'bird', 'ship']",bird
15,9,"['airplane', 'automobile', 'bird', 'ship']",bird
16,9,"['airplane', 'automobile', 'bird', 'ship']",bird
17,3,"['dog', 'airplane', 'horse', 'frog']",airplane
18,2,"['dog', 'deer', 'airplane', 'horse']",airplane
19,6,"['horse', 'ship', 'bird', 'truck']",ship
20,4,"['automobile', 'horse', 'ship', 'truck']",ship
21,3,"['dog', 'airplane', 'horse', 'frog']",airplane
22,6,"['horse', 'ship', 'bird', 'truck']",ship
23,6,"['horse', 'ship', 'bird', 'truck']",ship
24,2,"['dog', 'deer', 'airplane', 'horse']",airplane
25,6,"['horse', 'ship', 'bird', 'truck']",ship
26,3,"['dog', 'airplane', 'horse', 'frog']",airplane
27,5,"['airplane', 'truck', 'automobile', 'ship']",truck
28,4,"['automobile', 'horse', 'ship', 'truck']",ship
29,0,"['horse', 'dog', 'automobile', 'cat']",horse
30,0,"['horse', 'dog', 'automobile', 'cat']",horse
31,9,"['airplane', 'automobile', 'bird', 'ship']",bird
32,1,"['frog', 'deer', 'horse', 'ship']",ship
33,3,"['dog', 'airplane', 'horse', 'frog']",airplane
34,4,"['automobile', 'horse', 'ship', 'truck']",ship
35,0,"['horse', 'dog', 'automobile', 'cat']",automobile
36,3,"['dog', 'airplane', 'horse', 'frog']",airplane
37,7,"['frog', 'truck', 'cat', 'airplane']",truck
38,3,"['dog', 'airplane', 'horse', 'frog']",airplane
39,3,"['dog', 'airplane', 'horse', 'frog']",airplane
40,5,"['airplane', 'truck', 'automobile', 'ship']",truck
41,2,"['dog', 'deer', 'airplane', 'horse']",airplane
42,2,"['dog', 'deer', 'airplane', 'horse']",airplane
43,7,"['frog', 'truck', 'cat', 'airplane']",truck
44,1,"['frog', 'deer', 'horse', 'ship']",ship
45,1,"['frog', 'deer', 'horse', 'ship']",ship
46,1,"['frog', 'deer', 'horse', 'ship']",ship
47,2,"['dog', 'deer', 'airplane', 'horse']",airplane
48,2,"['dog', 'deer', 'airplane', 'horse']",airplane
49,0,"['horse', 'dog', 'automobile', 'cat']",horse
50,9,"['airplane', 'automobile', 'bird', 'ship']",bird
51,5,"['airplane', 'truck', 'automobile', 'ship']",ship
52,7,"['frog', 'truck', 'cat', 'airplane']",truck
53,9,"['airplane', 'automobile', 'bird', 'ship']",bird
54,2,"['dog', 'deer', 'airplane', 'horse']",airplane
55,2,"['dog', 'deer', 'airplane', 'horse']",airplane
56,5,"['airplane', 'truck', 'automobile', 'ship']",truck
57,2,"['dog', 'deer', 'airplane', 'horse']",airplane
58,4,"['automobile', 'horse', 'ship', 'truck']",ship
59,3,"['dog', 'airplane', 'horse', 'frog']",airplane
60,1,"['frog', 'deer', 'horse', 'ship']",ship
61,1,"['frog', 'deer', 'horse', 'ship']",ship
62,8,"['deer', 'cat', 'truck', 'frog']",deer
63,2,"['dog', 'deer', 'airplane', 'horse']",airplane
64,1,"['frog', 'deer', 'horse', 'ship']",ship
65,1,"['frog', 'deer', 'horse', 'ship']",ship
66,4,"['automobile', 'horse', 'ship', 'truck']",ship
67,9,"['airplane', 'automobile', 'bird', 'ship']",bird
68,7,"['frog', 'truck', 'cat', 'airplane']",truck
69,8,"['deer', 'cat', 'truck', 'frog']",deer
70,5,"['airplane', 'truck', 'automobile', 'ship']",truck
71,9,"['airplane', 'automobile', 'bird', 'ship']",bird
72,6,"['horse', 'ship', 'bird', 'truck']",ship
73,7,"['frog', 'truck', 'cat', 'airplane']",frog
74,3,"['dog', 'airplane', 'horse', 'frog']",airplane
75,1,"['frog', 'deer', 'horse', 'ship']",ship
76,9,"['airplane', 'automobile', 'bird', 'ship']",bird
77,0,"['horse', 'dog', 'automobile', 'cat']",horse
78,3,"['dog', 'airplane', 'horse', 'frog']",airplane
79,1,"['frog', 'deer', 'horse', 'ship']",ship
80,3,"['dog', 'airplane', 'horse', 'frog']",airplane
81,5,"['airplane', 'truck', 'automobile', 'ship']",truck
82,4,"['automobile', 'horse', 'ship', 'truck']",ship
83,5,"['airplane', 'truck', 'automobile', 'ship']",truck
84,7,"['frog', 'truck', 'cat', 'airplane']",truck
85,7,"['frog', 'truck', 'cat', 'airplane']",truck
86,4,"['automobile', 'horse', 'ship', 'truck']",ship
87,7,"['frog', 'truck', 'cat', 'airplane']",truck
88,9,"['airplane', 'automobile', 'bird', 'ship']",bird
89,4,"['automobile', 'horse', 'ship', 'truck']",ship
90,2,"['dog', 'deer', 'airplane', 'horse']",airplane
91,3,"['dog', 'airplane', 'horse', 'frog']",airplane
92,8,"['deer', 'cat', 'truck', 'frog']",truck
93,0,"['horse', 'dog', 'automobile', 'cat']",horse
94,1,"['frog', 'deer', 'horse', 'ship']",ship
95,6,"['horse', 'ship', 'bird', 'truck']",ship
96,1,"['frog', 'deer', 'horse', 'ship']",ship
97,1,"['frog', 'deer', 'horse', 'ship']",ship
98,4,"['automobile', 'horse', 'ship', 'truck']",ship
99,1,"['frog', 'deer', 'horse', 'ship']",ship
100,8,"['deer', 'cat', 'truck', 'frog']",deer
101,3,"['dog', 'airplane', 'horse', 'frog']",airplane
102,9,"['airplane', 'automobile', 'bird', 'ship']",bird
103,6,"['horse', 'ship', 'bird', 'truck']",ship
104,6,"['horse', 'ship', 'bird', 'truck']",ship
105,1,"['frog', 'deer', 'horse', 'ship']",ship
106,8,"['deer', 'cat', 'truck', 'frog']",deer
107,5,"['airplane', 'truck', 'automobile', 'ship']",ship
108,2,"['dog', 'deer', 'airplane', 'horse']",airplane
109,9,"['airplane', 'automobile', 'bird', 'ship']",bird
110,9,"['airplane', 'automobile', 'bird', 'ship']",bird
111,8,"['deer', 'cat', 'truck', 'frog']",deer
112,1,"['frog', 'deer', 'horse', 'ship']",ship
113,7,"['frog', 'truck', 'cat', 'airplane']",truck
114,7,"['frog', 'truck', 'cat', 'airplane']",truck
115,0,"['horse', 'dog', 'automobile', 'cat']",horse
116,0,"['horse', 'dog', 'automobile', 'cat']",horse
117,6,"['horse', 'ship', 'bird', 'truck']",ship
118,9,"['airplane', 'automobile', 'bird', 'ship']",bird
119,1,"['frog', 'deer', 'horse', 'ship']",ship
120,2,"['dog', 'deer', 'airplane', 'horse']",airplane
121,2,"['dog', 'deer', 'airplane', 'horse']",airplane
122,9,"['airplane', 'automobile', 'bird', 'ship']",bird
123,2,"['dog', 'deer', 'airplane', 'horse']",airplane
124,6,"['horse', 'ship', 'bird', 'truck']",ship
125,6,"['horse', 'ship', 'bird', 'truck']",ship
126,1,"['frog', 'deer', 'horse', 'ship']",ship
127,9,"['airplane', 'automobile', 'bird', 'ship']",bird
128,5,"['airplane', 'truck', 'automobile', 'ship']",truck
129,0,"['horse', 'dog', 'automobile', 'cat']",horse
130,4,"['automobile', 'horse', 'ship', 'truck']",ship
131,7,"['frog', 'truck', 'cat', 'airplane']",truck
132,6,"['horse', 'ship', 'bird', 'truck']",ship
133,7,"['frog', 'truck', 'cat', 'airplane']",truck
134,1,"['frog', 'deer', 'horse', 'ship']",ship
135,8,"['deer', 'cat', 'truck', 'frog']",deer
136,1,"['frog', 'deer', 'horse', 'ship']",ship
137,1,"['frog', 'deer', 'horse', 'ship']",ship
138,2,"['dog', 'deer', 'airplane', 'horse']",airplane
139,8,"['deer', 'cat', 'truck', 'frog']",deer
140,1,"['frog', 'deer', 'horse', 'ship']",ship
141,3,"['dog', 'airplane', 'horse', 'frog']",airplane
142,3,"['dog', 'airplane', 'horse', 'frog']",airplane
143,6,"['horse', 'ship', 'bird', 'truck']",ship
144,2,"['dog', 'deer', 'airplane', 'horse']",airplane
145,4,"['automobile', 'horse', 'ship', 'truck']",ship
146,9,"['airplane', 'automobile', 'bird', 'ship']",bird
147,9,"['airplane', 'automobile', 'bird', 'ship']",bird
148,5,"['airplane', 'truck', 'automobile', 'ship']",truck
149,4,"['automobile', 'horse', 'ship', 'truck']",ship
150,3,"['dog', 'airplane', 'horse', 'frog']",airplane
151,6,"['horse', 'ship', 'bird', 'truck']",ship
152,7,"['frog', 'truck', 'cat', 'airplane']",truck
153,4,"['automobile', 'horse', 'ship', 'truck']",ship
154,6,"['horse', 'ship', 'bird', 'truck']",truck
155,8,"['deer', 'cat', 'truck', 'frog']",deer
156,5,"['airplane', 'truck', 'automobile', 'ship']",truck
157,5,"['airplane', 'truck', 'automobile', 'ship']",truck
158,4,"['automobile', 'horse', 'ship', 'truck']",ship
159,3,"['dog', 'airplane', 'horse', 'frog']",airplane
160,1,"['frog', 'deer', 'horse', 'ship']",ship
161,8,"['deer', 'cat', 'truck', 'frog']",deer
162,4,"['automobile', 'horse', 'ship', 'truck']",ship
163,7,"['frog', 'truck', 'cat', 'airplane']",truck
164,6,"['horse', 'ship', 'bird', 'truck']",ship
165,0,"['horse', 'dog', 'automobile', 'cat']",horse
166,9,"['airplane', 'automobile', 'bird', 'ship']",bird
167,5,"['airplane', 'truck', 'automobile', 'ship']",airplane
168,1,"['frog', 'deer', 'horse', 'ship']",ship
169,3,"['dog', 'airplane', 'horse', 'frog']",airplane
170,8,"['deer', 'cat', 'truck', 'frog']",deer
171,2,"['dog', 'deer', 'airplane', 'horse']",airplane
172,7,"['frog', 'truck', 'cat', 'airplane']",truck
173,5,"['airplane', 'truck', 'automobile', 'ship']",truck
174,3,"['dog', 'airplane', 'horse', 'frog']",airplane
175,4,"['automobile', 'horse', 'ship', 'truck']",ship
176,1,"['frog', 'deer', 'horse', 'ship']",ship
177,5,"['airplane', 'truck', 'automobile', 'ship']",truck
178,7,"['frog', 'truck', 'cat', 'airplane']",truck
179,0,"['horse', 'dog', 'automobile', 'cat']",horse
180,4,"['automobile', 'horse', 'ship', 'truck']",ship
181,7,"['frog', 'truck', 'cat', 'airplane']",truck
182,5,"['airplane', 'truck', 'automobile', 'ship']",truck
183,5,"['airplane', 'truck', 'automobile', 'ship']",truck
184,1,"['frog', 'deer', 'horse', 'ship']",ship
