index,true_label,candidate_labels,complementary_label
0,frog,"['airplane', 'ship', 'automobile', 'truck']",ship
1,truck,"['airplane', 'frog', 'cat', 'deer']",cat
2,truck,"['airplane', 'cat', 'frog', 'horse']",horse
3,deer,"['frog', 'airplane', 'cat', 'automobile']",frog
4,automobile,"['cat', 'airplane', 'frog', 'dog']",airplane
5,automobile,"['airplane', 'cat', 'frog', 'dog']",airplane
6,bird,"['cat', 'airplane', 'frog', 'dog']",airplane
7,horse,"['automobile', 'airplane', 'cat', 'frog']",automobile
8,ship,"['frog', 'airplane', 'cat', 'horse']",airplane
9,cat,"['automobile', 'ship', 'airplane', 'deer']",deer
10,deer,"['automobile', 'airplane', 'cat', 'truck']",cat
11,horse,"['airplane', 'cat', 'frog', 'deer']",cat
12,horse,"['airplane', 'frog', 'cat', 'automobile']",frog
13,bird,"['deer', 'dog', 'automobile', 'truck']",deer
14,truck,"['airplane', 'frog', 'cat', 'deer']",cat
15,truck,"['airplane', 'frog', 'cat', 'horse']",cat
16,truck,"['airplane', 'cat', 'frog', 'deer']",cat
17,cat,"['deer', 'automobile', 'airplane', 'frog']",deer
18,bird,"['airplane', 'deer', 'frog', 'automobile']",airplane
19,frog,"['airplane', 'deer', 'cat', 'horse']",horse
20,deer,"['automobile', 'airplane', 'frog', 'ship']",ship
21,cat,"['automobile', 'airplane', 'truck', 'deer']",truck
22,frog,"['airplane', 'horse', 'ship', 'automobile']",horse
23,frog,"['airplane', 'ship', 'automobile', 'deer']",ship
24,bird,"['airplane', 'cat', 'deer', 'truck']",deer
25,frog,"['airplane', 'ship', 'cat', 'automobile']",cat
26,cat,"['ship', 'automobile', 'airplane', 'deer']",deer
27,dog,"['ship', 'automobile', 'cat', 'airplane']",ship
28,deer,"['frog', 'cat', 'automobile', 'airplane']",automobile
29,airplane,"['cat', 'automobile', 'frog', 'horse']",cat
30,airplane,"['horse', 'cat', 'deer', 'automobile']",automobile
31,truck,"['airplane', 'cat', 'dog', 'deer']",cat
32,automobile,"['cat', 'frog', 'airplane', 'dog']",airplane
33,cat,"['ship', 'airplane', 'automobile', 'deer']",ship
34,deer,"['frog', 'airplane', 'cat', 'automobile']",frog
35,airplane,"['cat', 'deer', 'frog', 'truck']",truck
36,cat,"['airplane', 'automobile', 'deer', 'ship']",deer
37,horse,"['cat', 'airplane', 'automobile', 'frog']",airplane
38,cat,"['airplane', 'deer', 'horse', 'automobile']",horse
39,cat,"['automobile', 'airplane', 'ship', 'horse']",horse
40,dog,"['airplane', 'ship', 'automobile', 'cat']",cat
41,bird,"['frog', 'cat', 'automobile', 'airplane']",automobile
42,bird,"['frog', 'ship', 'cat', 'automobile']",ship
43,horse,"['frog', 'cat', 'automobile', 'airplane']",automobile
44,automobile,"['airplane', 'frog', 'cat', 'bird']",frog
45,automobile,"['cat', 'airplane', 'dog', 'ship']",ship
46,automobile,"['airplane', 'cat', 'frog', 'bird']",airplane
47,bird,"['airplane', 'horse', 'cat', 'truck']",truck
48,bird,"['automobile', 'cat', 'airplane', 'frog']",airplane
49,airplane,"['deer', 'cat', 'truck', 'frog']",deer
50,truck,"['airplane', 'frog', 'deer', 'bird']",airplane
51,dog,"['airplane', 'ship', 'automobile', 'frog']",frog
52,horse,"['automobile', 'frog', 'cat', 'airplane']",frog
53,truck,"['airplane', 'frog', 'deer', 'horse']",airplane
54,bird,"['automobile', 'deer', 'horse', 'truck']",truck
55,bird,"['automobile', 'airplane', 'ship', 'cat']",cat
56,dog,"['automobile', 'airplane', 'ship', 'truck']",truck
57,bird,"['airplane', 'truck', 'deer', 'cat']",truck
58,deer,"['automobile', 'airplane', 'frog', 'ship']",ship
59,cat,"['ship', 'truck', 'deer', 'airplane']",ship
60,automobile,"['airplane', 'frog', 'cat', 'bird']",airplane
61,automobile,"['airplane', 'cat', 'frog', 'dog']",airplane
62,ship,"['airplane', 'deer', 'frog', 'cat']",deer
63,bird,"['airplane', 'frog', 'ship', 'automobile']",ship
64,automobile,"['airplane', 'cat', 'frog', 'deer']",airplane
65,automobile,"['frog', 'cat', 'airplane', 'dog']",airplane
66,deer,"['cat', 'frog', 'airplane', 'ship']",airplane
67,truck,"['cat', 'frog', 'deer', 'dog']",dog
68,horse,"['frog', 'cat', 'airplane', 'automobile']",frog
69,ship,"['airplane', 'frog', 'horse', 'cat']",horse
70,dog,"['automobile', 'ship', 'airplane', 'cat']",ship
71,truck,"['airplane', 'cat', 'frog', 'dog']",airplane
72,frog,"['airplane', 'automobile', 'truck', 'ship']",ship
73,horse,"['frog', 'automobile', 'cat', 'dog']",frog
74,cat,"['airplane', 'ship', 'automobile', 'horse']",horse
75,automobile,"['cat', 'airplane', 'frog', 'dog']",airplane
76,truck,"['deer', 'cat', 'frog', 'airplane']",airplane
77,airplane,"['automobile', 'cat', 'frog', 'truck']",truck
78,cat,"['ship', 'airplane', 'automobile', 'frog']",frog
79,automobile,"['cat', 'dog', 'bird', 'airplane']",airplane
80,cat,"['automobile', 'ship', 'frog', 'deer']",frog
