index,true_label,candidate_labels,complementary_label
0,11,"['people'; 'non-insect_invertebrates'; 'food_containers'; 'fish'; 'vehicles_2'; 'medium_mammals'; 'insects'; 'flowers'; 'large_carnivores'; 'aquatic_mammals']",fish
1,15,"['small_mammals'; 'vehicles_1'; 'large_natural_outdoor_scenes'; 'large_carnivores'; 'flowers'; 'household_electrical_devices'; 'food_containers'; 'large_man-made_outdoor_things'; 'non-insect_invertebrates'; 'trees']",vehicles_1
2,4,"['large_man-made_outdoor_things'; 'vehicles_2'; 'reptiles'; 'small_mammals'; 'medium_mammals'; 'vehicles_1'; 'large_carnivores'; 'insects'; 'fish'; 'trees']",reptiles
3,14,"['food_containers'; 'large_man-made_outdoor_things'; 'fruit_and_vegetables'; 'large_carnivores'; 'non-insect_invertebrates'; 'household_electrical_devices'; 'insects'; 'medium_mammals'; 'aquatic_mammals'; 'large_omnivores_and_herbivores']",large_man-made_outdoor_things
4,1,"['small_mammals'; 'trees'; 'aquatic_mammals'; 'food_containers'; 'vehicles_1'; 'large_natural_outdoor_scenes'; 'large_man-made_outdoor_things'; 'fruit_and_vegetables'; 'people'; 'flowers']",vehicles_1
5,5,"['vehicles_1'; 'fish'; 'aquatic_mammals'; 'trees'; 'large_natural_outdoor_scenes'; 'fruit_and_vegetables'; 'insects'; 'large_omnivores_and_herbivores'; 'medium_mammals'; 'food_containers']",fish
6,18,"['people'; 'fruit_and_vegetables'; 'household_furniture'; 'large_carnivores'; 'reptiles'; 'large_man-made_outdoor_things'; 'flowers'; 'vehicles_2'; 'trees'; 'small_mammals']",fruit_and_vegetables
7,3,"['fish'; 'household_electrical_devices'; 'insects'; 'non-insect_invertebrates'; 'large_man-made_outdoor_things'; 'reptiles'; 'small_mammals'; 'household_furniture'; 'medium_mammals'; 'large_omnivores_and_herbivores']",fish
8,10,"['fruit_and_vegetables'; 'large_carnivores'; 'food_containers'; 'trees'; 'flowers'; 'non-insect_invertebrates'; 'small_mammals'; 'medium_mammals'; 'reptiles'; 'vehicles_2']",fruit_and_vegetables
9,11,"['medium_mammals'; 'large_carnivores'; 'non-insect_invertebrates'; 'insects'; 'vehicles_2'; 'food_containers'; 'aquatic_mammals'; 'people'; 'fish'; 'flowers']",people
10,5,"['food_containers'; 'fish'; 'medium_mammals'; 'vehicles_1'; 'large_omnivores_and_herbivores'; 'large_natural_outdoor_scenes'; 'fruit_and_vegetables'; 'insects'; 'trees'; 'aquatic_mammals']",fish
11,17,"['fish'; 'medium_mammals'; 'large_omnivores_and_herbivores'; 'insects'; 'people'; 'reptiles'; 'small_mammals'; 'vehicles_1'; 'vehicles_2'; 'large_man-made_outdoor_things']",people
12,2,"['insects'; 'large_carnivores'; 'people'; 'food_containers'; 'vehicles_2'; 'vehicles_1'; 'small_mammals'; 'aquatic_mammals'; 'large_natural_outdoor_scenes'; 'household_electrical_devices']",insects
13,9,"['large_carnivores'; 'food_containers'; 'large_omnivores_and_herbivores'; 'flowers'; 'medium_mammals'; 'non-insect_invertebrates'; 'insects'; 'household_electrical_devices'; 'large_natural_outdoor_scenes'; 'reptiles']",household_electrical_devices
14,10,"['fruit_and_vegetables'; 'trees'; 'vehicles_2'; 'reptiles'; 'non-insect_invertebrates'; 'large_carnivores'; 'food_containers'; 'flowers'; 'medium_mammals'; 'small_mammals']",vehicles_2
15,5,"['insects'; 'large_omnivores_and_herbivores'; 'large_natural_outdoor_scenes'; 'aquatic_mammals'; 'fish'; 'trees'; 'vehicles_1'; 'medium_mammals'; 'food_containers'; 'fruit_and_vegetables']",insects
16,18,"['trees'; 'fruit_and_vegetables'; 'small_mammals'; 'large_man-made_outdoor_things'; 'people'; 'large_carnivores'; 'reptiles'; 'household_furniture'; 'flowers'; 'vehicles_2']",household_furniture
17,8,"['medium_mammals'; 'household_electrical_devices'; 'non-insect_invertebrates'; 'reptiles'; 'large_man-made_outdoor_things'; 'aquatic_mammals'; 'food_containers'; 'large_omnivores_and_herbivores'; 'insects'; 'vehicles_1']",household_electrical_devices
18,16,"['insects'; 'trees'; 'large_omnivores_and_herbivores'; 'aquatic_mammals'; 'fish'; 'reptiles'; 'large_man-made_outdoor_things'; 'household_electrical_devices'; 'non-insect_invertebrates'; 'vehicles_1']",large_omnivores_and_herbivores
19,10,"['trees'; 'non-insect_invertebrates'; 'fruit_and_vegetables'; 'reptiles'; 'flowers'; 'medium_mammals'; 'small_mammals'; 'vehicles_2'; 'food_containers'; 'large_carnivores']",vehicles_2
20,16,"['large_man-made_outdoor_things'; 'insects'; 'non-insect_invertebrates'; 'large_omnivores_and_herbivores'; 'trees'; 'reptiles'; 'household_electrical_devices'; 'vehicles_1'; 'aquatic_mammals'; 'fish']",household_electrical_devices
21,17,"['reptiles'; 'large_man-made_outdoor_things'; 'large_omnivores_and_herbivores'; 'medium_mammals'; 'people'; 'vehicles_2'; 'fish'; 'insects'; 'vehicles_1'; 'small_mammals']",reptiles
22,2,"['household_electrical_devices'; 'vehicles_2'; 'large_natural_outdoor_scenes'; 'food_containers'; 'people'; 'aquatic_mammals'; 'large_carnivores'; 'insects'; 'small_mammals'; 'vehicles_1']",vehicles_2
23,5,"['fish'; 'large_omnivores_and_herbivores'; 'large_natural_outdoor_scenes'; 'fruit_and_vegetables'; 'trees'; 'food_containers'; 'medium_mammals'; 'vehicles_1'; 'aquatic_mammals'; 'insects']",large_omnivores_and_herbivores
24,17,"['medium_mammals'; 'reptiles'; 'fish'; 'large_man-made_outdoor_things'; 'small_mammals'; 'large_omnivores_and_herbivores'; 'people'; 'vehicles_1'; 'insects'; 'vehicles_2']",large_man-made_outdoor_things
25,6,"['fruit_and_vegetables'; 'vehicles_1'; 'vehicles_2'; 'household_electrical_devices'; 'non-insect_invertebrates'; 'large_carnivores'; 'food_containers'; 'large_omnivores_and_herbivores'; 'medium_mammals'; 'flowers']",large_carnivores
26,12,"['household_furniture'; 'fruit_and_vegetables'; 'food_containers'; 'people'; 'reptiles'; 'fish'; 'non-insect_invertebrates'; 'insects'; 'household_electrical_devices'; 'large_man-made_outdoor_things']",household_furniture
27,17,"['reptiles'; 'vehicles_2'; 'medium_mammals'; 'large_omnivores_and_herbivores'; 'insects'; 'large_man-made_outdoor_things'; 'people'; 'fish'; 'small_mammals'; 'vehicles_1']",vehicles_2
28,8,"['aquatic_mammals'; 'large_man-made_outdoor_things'; 'large_omnivores_and_herbivores'; 'reptiles'; 'household_electrical_devices'; 'food_containers'; 'vehicles_1'; 'non-insect_invertebrates'; 'insects'; 'medium_mammals']",large_omnivores_and_herbivores
29,12,"['household_electrical_devices'; 'reptiles'; 'large_man-made_outdoor_things'; 'fish'; 'food_containers'; 'people'; 'insects'; 'fruit_and_vegetables'; 'non-insect_invertebrates'; 'household_furniture']",household_electrical_devices
30,18,"['trees'; 'flowers'; 'people'; 'household_furniture'; 'small_mammals'; 'reptiles'; 'large_man-made_outdoor_things'; 'large_carnivores'; 'vehicles_2'; 'fruit_and_vegetables']",fruit_and_vegetables
31,9,"['food_containers'; 'insects'; 'medium_mammals'; 'large_omnivores_and_herbivores'; 'household_electrical_devices'; 'large_natural_outdoor_scenes'; 'large_carnivores'; 'reptiles'; 'non-insect_invertebrates'; 'flowers']",food_containers
32,17,"['fish'; 'insects'; 'reptiles'; 'vehicles_2'; 'large_omnivores_and_herbivores'; 'small_mammals'; 'medium_mammals'; 'vehicles_1'; 'large_man-made_outdoor_things'; 'people']",fish
33,16,"['large_omnivores_and_herbivores'; 'aquatic_mammals'; 'insects'; 'vehicles_1'; 'non-insect_invertebrates'; 'household_electrical_devices'; 'large_man-made_outdoor_things'; 'fish'; 'trees'; 'reptiles']",vehicles_1
34,11,"['flowers'; 'food_containers'; 'people'; 'fish'; 'non-insect_invertebrates'; 'insects'; 'large_carnivores'; 'aquatic_mammals'; 'vehicles_2'; 'medium_mammals']",fish
35,5,"['fish'; 'aquatic_mammals'; 'trees'; 'medium_mammals'; 'vehicles_1'; 'insects'; 'food_containers'; 'fruit_and_vegetables'; 'large_natural_outdoor_scenes'; 'large_omnivores_and_herbivores']",fish
36,19,"['vehicles_1'; 'large_man-made_outdoor_things'; 'large_carnivores'; 'trees'; 'household_electrical_devices'; 'insects'; 'household_furniture'; 'non-insect_invertebrates'; 'large_natural_outdoor_scenes'; 'small_mammals']",insects
37,14,"['food_containers'; 'medium_mammals'; 'insects'; 'aquatic_mammals'; 'fruit_and_vegetables'; 'non-insect_invertebrates'; 'large_man-made_outdoor_things'; 'household_electrical_devices'; 'large_carnivores'; 'large_omnivores_and_herbivores']",fruit_and_vegetables
38,7,"['large_man-made_outdoor_things'; 'non-insect_invertebrates'; 'flowers'; 'medium_mammals'; 'large_omnivores_and_herbivores'; 'small_mammals'; 'household_furniture'; 'trees'; 'large_natural_outdoor_scenes'; 'food_containers']",household_furniture
39,6,"['vehicles_2'; 'large_carnivores'; 'vehicles_1'; 'food_containers'; 'non-insect_invertebrates'; 'medium_mammals'; 'household_electrical_devices'; 'flowers'; 'fruit_and_vegetables'; 'large_omnivores_and_herbivores']",large_carnivores
40,15,"['trees'; 'non-insect_invertebrates'; 'large_carnivores'; 'large_natural_outdoor_scenes'; 'flowers'; 'small_mammals'; 'vehicles_1'; 'food_containers'; 'household_electrical_devices'; 'large_man-made_outdoor_things']",large_natural_outdoor_scenes
41,13,"['food_containers'; 'large_carnivores'; 'household_electrical_devices'; 'aquatic_mammals'; 'trees'; 'vehicles_1'; 'medium_mammals'; 'reptiles'; 'large_natural_outdoor_scenes'; 'fruit_and_vegetables']",fruit_and_vegetables
42,10,"['flowers'; 'fruit_and_vegetables'; 'food_containers'; 'vehicles_2'; 'reptiles'; 'trees'; 'medium_mammals'; 'large_carnivores'; 'small_mammals'; 'non-insect_invertebrates']",fruit_and_vegetables
43,8,"['large_omnivores_and_herbivores'; 'vehicles_1'; 'aquatic_mammals'; 'non-insect_invertebrates'; 'large_man-made_outdoor_things'; 'insects'; 'food_containers'; 'reptiles'; 'household_electrical_devices'; 'medium_mammals']",vehicles_1
44,17,"['large_omnivores_and_herbivores'; 'medium_mammals'; 'large_man-made_outdoor_things'; 'vehicles_2'; 'fish'; 'people'; 'small_mammals'; 'reptiles'; 'insects'; 'vehicles_1']",large_omnivores_and_herbivores
45,9,"['food_containers'; 'large_carnivores'; 'medium_mammals'; 'household_electrical_devices'; 'non-insect_invertebrates'; 'flowers'; 'insects'; 'reptiles'; 'large_omnivores_and_herbivores'; 'large_natural_outdoor_scenes']",large_carnivores
46,14,"['large_omnivores_and_herbivores'; 'insects'; 'large_man-made_outdoor_things'; 'fruit_and_vegetables'; 'household_electrical_devices'; 'non-insect_invertebrates'; 'food_containers'; 'large_carnivores'; 'aquatic_mammals'; 'medium_mammals']",large_omnivores_and_herbivores
47,18,"['trees'; 'flowers'; 'reptiles'; 'people'; 'large_carnivores'; 'household_furniture'; 'vehicles_2'; 'fruit_and_vegetables'; 'small_mammals'; 'large_man-made_outdoor_things']",fruit_and_vegetables
48,19,"['large_man-made_outdoor_things'; 'non-insect_invertebrates'; 'large_carnivores'; 'vehicles_1'; 'trees'; 'household_furniture'; 'large_natural_outdoor_scenes'; 'insects'; 'household_electrical_devices'; 'small_mammals']",household_furniture
49,15,"['household_electrical_devices'; 'food_containers'; 'trees'; 'small_mammals'; 'vehicles_1'; 'flowers'; 'non-insect_invertebrates'; 'large_natural_outdoor_scenes'; 'large_carnivores'; 'large_man-made_outdoor_things']",household_electrical_devices
50,1,"['food_containers'; 'flowers'; 'fruit_and_vegetables'; 'large_natural_outdoor_scenes'; 'vehicles_1'; 'people'; 'trees'; 'small_mammals'; 'large_man-made_outdoor_things'; 'aquatic_mammals']",flowers
51,7,"['household_furniture'; 'flowers'; 'non-insect_invertebrates'; 'trees'; 'large_omnivores_and_herbivores'; 'small_mammals'; 'large_man-made_outdoor_things'; 'food_containers'; 'large_natural_outdoor_scenes'; 'medium_mammals']",household_furniture
52,5,"['fruit_and_vegetables'; 'fish'; 'aquatic_mammals'; 'vehicles_1'; 'large_natural_outdoor_scenes'; 'food_containers'; 'insects'; 'large_omnivores_and_herbivores'; 'trees'; 'medium_mammals']",fish
53,3,"['household_furniture'; 'fish'; 'large_man-made_outdoor_things'; 'reptiles'; 'household_electrical_devices'; 'small_mammals'; 'medium_mammals'; 'large_omnivores_and_herbivores'; 'non-insect_invertebrates'; 'insects']",fish
54,10,"['reptiles'; 'fruit_and_vegetables'; 'flowers'; 'large_carnivores'; 'non-insect_invertebrates'; 'food_containers'; 'small_mammals'; 'trees'; 'medium_mammals'; 'vehicles_2']",fruit_and_vegetables
55,7,"['food_containers'; 'large_natural_outdoor_scenes'; 'flowers'; 'medium_mammals'; 'large_omnivores_and_herbivores'; 'household_furniture'; 'non-insect_invertebrates'; 'large_man-made_outdoor_things'; 'small_mammals'; 'trees']",household_furniture
56,17,"['vehicles_2'; 'fish'; 'reptiles'; 'large_omnivores_and_herbivores'; 'vehicles_1'; 'small_mammals'; 'people'; 'insects'; 'medium_mammals'; 'large_man-made_outdoor_things']",fish
57,6,"['fruit_and_vegetables'; 'medium_mammals'; 'non-insect_invertebrates'; 'large_carnivores'; 'flowers'; 'large_omnivores_and_herbivores'; 'vehicles_2'; 'household_electrical_devices'; 'vehicles_1'; 'food_containers']",medium_mammals
58,14,"['insects'; 'large_carnivores'; 'medium_mammals'; 'aquatic_mammals'; 'food_containers'; 'large_man-made_outdoor_things'; 'non-insect_invertebrates'; 'fruit_and_vegetables'; 'large_omnivores_and_herbivores'; 'household_electrical_devices']",insects
59,17,"['vehicles_2'; 'medium_mammals'; 'insects'; 'large_man-made_outdoor_things'; 'small_mammals'; 'large_omnivores_and_herbivores'; 'reptiles'; 'people'; 'vehicles_1'; 'fish']",people
60,16,"['fish'; 'non-insect_invertebrates'; 'insects'; 'large_omnivores_and_herbivores'; 'aquatic_mammals'; 'vehicles_1'; 'reptiles'; 'large_man-made_outdoor_things'; 'household_electrical_devices'; 'trees']",fish
61,0,"['trees'; 'large_omnivores_and_herbivores'; 'fish'; 'large_carnivores'; 'vehicles_2'; 'fruit_and_vegetables'; 'large_man-made_outdoor_things'; 'flowers'; 'food_containers'; 'medium_mammals']",fish
62,0,"['flowers'; 'fish'; 'medium_mammals'; 'large_omnivores_and_herbivores'; 'trees'; 'food_containers'; 'large_man-made_outdoor_things'; 'vehicles_2'; 'fruit_and_vegetables'; 'large_carnivores']",fish
63,8,"['large_man-made_outdoor_things'; 'non-insect_invertebrates'; 'large_omnivores_and_herbivores'; 'vehicles_1'; 'food_containers'; 'aquatic_mammals'; 'household_electrical_devices'; 'medium_mammals'; 'insects'; 'reptiles']",large_man-made_outdoor_things
64,4,"['reptiles'; 'large_carnivores'; 'small_mammals'; 'insects'; 'fish'; 'vehicles_2'; 'trees'; 'vehicles_1'; 'medium_mammals'; 'large_man-made_outdoor_things']",vehicles_1
65,14,"['insects'; 'large_carnivores'; 'medium_mammals'; 'food_containers'; 'large_man-made_outdoor_things'; 'aquatic_mammals'; 'large_omnivores_and_herbivores'; 'fruit_and_vegetables'; 'household_electrical_devices'; 'non-insect_invertebrates']",insects
66,4,"['medium_mammals'; 'trees'; 'large_man-made_outdoor_things'; 'vehicles_2'; 'fish'; 'vehicles_1'; 'large_carnivores'; 'insects'; 'small_mammals'; 'reptiles']",fish
67,10,"['fruit_and_vegetables'; 'small_mammals'; 'non-insect_invertebrates'; 'reptiles'; 'vehicles_2'; 'medium_mammals'; 'trees'; 'flowers'; 'large_carnivores'; 'food_containers']",vehicles_2
