index,true_label,candidate_labels,complementary_label
0,6,"['bird'; 'dog'; 'airplane'; 'cat'; 'ship']",airplane
1,9,"['deer'; 'ship'; 'cat'; 'airplane'; 'dog']",ship
2,9,"['cat'; 'deer'; 'ship'; 'dog'; 'airplane']",ship
3,4,"['dog'; 'frog'; 'truck'; 'cat'; 'horse']",truck
4,1,"['airplane'; 'dog'; 'deer'; 'cat'; 'frog']",dog
5,1,"['deer'; 'cat'; 'airplane'; 'frog'; 'dog']",frog
6,2,"['automobile'; 'airplane'; 'frog'; 'ship'; 'horse']",frog
7,7,"['bird'; 'ship'; 'airplane'; 'deer'; 'automobile']",ship
8,8,"['automobile'; 'frog'; 'airplane'; 'dog'; 'bird']",frog
9,3,"['deer'; 'dog'; 'truck'; 'airplane'; 'horse']",truck
10,4,"['dog'; 'cat'; 'frog'; 'truck'; 'horse']",truck
11,7,"['deer'; 'automobile'; 'bird'; 'ship'; 'airplane']",ship
12,7,"['deer'; 'ship'; 'automobile'; 'bird'; 'airplane']",ship
13,2,"['ship'; 'airplane'; 'automobile'; 'frog'; 'horse']",horse
14,9,"['dog'; 'airplane'; 'cat'; 'ship'; 'deer']",airplane
15,9,"['cat'; 'ship'; 'deer'; 'airplane'; 'dog']",ship
16,9,"['cat'; 'ship'; 'deer'; 'dog'; 'airplane']",ship
17,3,"['truck'; 'horse'; 'airplane'; 'deer'; 'dog']",truck
18,2,"['automobile'; 'frog'; 'horse'; 'ship'; 'airplane']",frog
19,6,"['airplane'; 'dog'; 'ship'; 'bird'; 'cat']",dog
20,4,"['horse'; 'dog'; 'truck'; 'frog'; 'cat']",truck
21,3,"['horse'; 'truck'; 'airplane'; 'dog'; 'deer']",truck
22,6,"['airplane'; 'dog'; 'bird'; 'ship'; 'cat']",airplane
23,6,"['airplane'; 'dog'; 'bird'; 'ship'; 'cat']",airplane
24,2,"['ship'; 'horse'; 'airplane'; 'automobile'; 'frog']",horse
25,6,"['airplane'; 'cat'; 'bird'; 'ship'; 'dog']",cat
26,3,"['dog'; 'horse'; 'deer'; 'truck'; 'airplane']",truck
27,5,"['bird'; 'horse'; 'ship'; 'deer'; 'cat']",ship
28,4,"['horse'; 'cat'; 'dog'; 'truck'; 'frog']",truck
29,0,"['cat'; 'automobile'; 'bird'; 'frog'; 'truck']",bird
30,0,"['truck'; 'automobile'; 'bird'; 'frog'; 'cat']",bird
31,9,"['deer'; 'dog'; 'ship'; 'cat'; 'airplane']",ship
32,1,"['deer'; 'dog'; 'frog'; 'airplane'; 'cat']",airplane
33,3,"['dog'; 'airplane'; 'truck'; 'deer'; 'horse']",airplane
34,4,"['horse'; 'cat'; 'frog'; 'dog'; 'truck']",frog
35,0,"['truck'; 'automobile'; 'bird'; 'cat'; 'frog']",truck
36,3,"['airplane'; 'deer'; 'horse'; 'dog'; 'truck']",deer
37,7,"['automobile'; 'ship'; 'airplane'; 'bird'; 'deer']",ship
38,3,"['horse'; 'airplane'; 'truck'; 'dog'; 'deer']",horse
39,3,"['deer'; 'truck'; 'dog'; 'airplane'; 'horse']",truck
40,5,"['cat'; 'ship'; 'bird'; 'deer'; 'horse']",ship
41,2,"['frog'; 'horse'; 'automobile'; 'ship'; 'airplane']",frog
42,2,"['horse'; 'frog'; 'automobile'; 'ship'; 'airplane']",automobile
43,7,"['deer'; 'bird'; 'ship'; 'airplane'; 'automobile']",ship
44,1,"['dog'; 'cat'; 'airplane'; 'deer'; 'frog']",airplane
45,1,"['cat'; 'frog'; 'dog'; 'deer'; 'airplane']",frog
46,1,"['deer'; 'dog'; 'cat'; 'frog'; 'airplane']",airplane
47,2,"['automobile'; 'frog'; 'ship'; 'horse'; 'airplane']",ship
48,2,"['frog'; 'automobile'; 'horse'; 'airplane'; 'ship']",automobile
49,0,"['bird'; 'cat'; 'automobile'; 'truck'; 'frog']",bird
50,9,"['cat'; 'ship'; 'deer'; 'dog'; 'airplane']",dog
51,5,"['deer'; 'ship'; 'horse'; 'bird'; 'cat']",ship
52,7,"['ship'; 'automobile'; 'deer'; 'bird'; 'airplane']",airplane
53,9,"['ship'; 'airplane'; 'deer'; 'dog'; 'cat']",deer
54,2,"['automobile'; 'frog'; 'horse'; 'ship'; 'airplane']",automobile
55,2,"['ship'; 'horse'; 'automobile'; 'frog'; 'airplane']",horse
56,5,"['bird'; 'cat'; 'deer'; 'ship'; 'horse']",ship
57,2,"['airplane'; 'ship'; 'frog'; 'automobile'; 'horse']",automobile
58,4,"['horse'; 'cat'; 'frog'; 'dog'; 'truck']",truck
59,3,"['horse'; 'deer'; 'dog'; 'truck'; 'airplane']",horse
60,1,"['cat'; 'airplane'; 'frog'; 'dog'; 'deer']",airplane
